   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.275048, 0, 6.89562e-09, 6.75005e-42, 1.41421, -6.89562e-09, 6.75005e-42, 0, 6.75005e-42, 6.75005e-42, 6.75005e-42, 6.75005e-42, 6.75005e-42, 6.75005e-42, 2.98333e-11, 6.75005e-42, 6.75005e-42, 2.6063e-13, 6.17798e-12, 6.85935e-09, 6.75005e-42, 6.75005e-42
0.283076, 0, 1.02016e-08, 1.07133e-40, 1.41421, -1.02016e-08, 1.07133e-40, 0, 1.07133e-40, 1.07133e-40, 1.07133e-40, 1.07133e-40, 1.07133e-40, 1.07133e-40, 4.41658e-11, 1.07133e-40, 1.07133e-40, 4.05099e-13, 9.67968e-12, 1.01474e-08, 1.07133e-40, 1.07133e-40
0.291103, 0, 1.49993e-08, 1.49851e-39, 1.41421, -1.49993e-08, 1.49851e-39, 0, 1.49851e-39, 1.49851e-39, 1.49851e-39, 1.49851e-39, 1.49851e-39, 1.49851e-39, 6.49884e-11, 1.49851e-39, 1.49851e-39, 6.28269e-13, 1.51081e-11, 1.49185e-08, 1.49851e-39, 1.49851e-39
0.299131, 0, 2.19193e-08, 9.54547e-38, 1.41421, -2.19193e-08, 9.54547e-38, 0, 9.54547e-38, 9.54547e-38, 9.54547e-38, 9.54547e-38, 9.54547e-38, 9.54547e-38, 9.50656e-11, 9.54547e-38, 9.54547e-38, 9.74451e-13, 2.35245e-11, 2.17998e-08, 9.54547e-38, 9.54547e-38
0.307159, 0, 3.18339e-08, 9.6651e-37, 1.41421, -3.18339e-08, 9.6651e-37, 0, 9.6651e-37, 9.6651e-37, 9.6651e-37, 9.6651e-37, 9.6651e-37, 9.6651e-37, 1.38224e-10, 9.6651e-37, 9.6651e-37, 1.50662e-12, 3.64568e-11, 3.16577e-08, 9.6651e-37, 9.6651e-37
0.315187, 0, 4.59532e-08, 8.88567e-36, 1.41421, -4.59532e-08, 8.88567e-36, 0, 8.88567e-36, 8.88567e-36, 8.88567e-36, 8.88567e-36, 8.88567e-36, 8.88567e-36, 1.99802e-10, 8.88567e-36, 8.88567e-36, 2.32722e-12, 5.63156e-11, 4.56948e-08, 8.88567e-36, 8.88567e-36
0.323215, 0, 6.5936e-08, 7.45734e-35, 1.41421, -6.5936e-08, 7.45734e-35, 0, 7.45734e-35, 7.45734e-35, 7.45734e-35, 7.45734e-35, 7.45734e-35, 7.45734e-35, 2.87147e-10, 7.45734e-35, 7.45734e-35, 3.59263e-12, 8.67266e-11, 6.55585e-08, 7.45734e-35, 7.45734e-35
0.331243, 0, 9.40442e-08, 5.74173e-34, 1.41421, -9.40442e-08, 5.74173e-34, 0, 5.74173e-34, 5.74173e-34, 5.74173e-34, 5.74173e-34, 5.74173e-34, 5.74173e-34, 4.10328e-10, 5.74173e-34, 5.74173e-34, 5.54442e-12, 1.33176e-10, 9.34951e-08, 5.74173e-34, 5.74173e-34
0.33927, 0, 1.33341e-07, 4.1296e-33, 1.41421, -1.33341e-07, 4.1296e-33, 0, 4.1296e-33, 4.1296e-33, 4.1296e-33, 4.1296e-33, 4.1296e-33, 4.1296e-33, 5.83067e-10, 4.1296e-33, 4.1296e-33, 8.55591e-12, 2.03948e-10, 1.32546e-07, 4.1296e-33, 4.1296e-33
0.347298, 0, 1.87949e-07, 2.94962e-32, 1.41421, -1.87949e-07, 2.94962e-32, 0, 2.94962e-32, 2.94962e-32, 2.94962e-32, 2.94962e-32, 2.94962e-32, 2.94962e-32, 8.23958e-10, 2.94962e-32, 2.94962e-32, 1.32038e-11, 3.1152e-10, 1.86801e-07, 2.94962e-32, 2.94962e-32
0.355326, 0, 2.63382e-07, 1.98571e-31, 1.41421, -2.63382e-07, 1.98571e-31, 0, 1.98571e-31, 1.98571e-31, 1.98571e-31, 1.98571e-31, 1.98571e-31, 1.98571e-31, 1.15806e-09, 1.98571e-31, 1.98571e-31, 2.03784e-11, 4.74647e-10, 2.61729e-07, 1.98571e-31, 1.98571e-31
0.363354, 0, 3.66961e-07, 1.24562e-30, 1.41421, -3.66961e-07, 1.24562e-30, 0, 1.24562e-30, 1.24562e-30, 1.24562e-30, 1.24562e-30, 1.24562e-30, 1.24562e-30, 1.61899e-09, 1.24562e-30, 1.24562e-30, 3.14527e-11, 7.21441e-10, 3.64589e-07, 1.24562e-30, 1.24562e-30
0.371382, 0, 5.08357e-07, 7.27988e-30, 1.41421, -5.08357e-07, 7.27988e-30, 0, 7.27988e-30, 7.27988e-30, 7.27988e-30, 7.27988e-30, 7.27988e-30, 7.27988e-30, 2.25156e-09, 7.27988e-30, 7.27988e-30, 4.85392e-11, 1.09391e-09, 5.04963e-07, 7.27988e-30, 7.27988e-30
0.37941, 0, 7.00258e-07, 3.97442e-29, 1.41421, -7.00258e-07, 3.97442e-29, 0, 3.97442e-29, 3.97442e-29, 3.97442e-29, 3.97442e-29, 3.97442e-29, 3.97442e-29, 3.1153e-09, 3.97442e-29, 3.97442e-29, 7.48807e-11, 1.65466e-09, 6.95413e-07, 3.97442e-29, 3.97442e-29
0.387437, 0, 9.59207e-07, 2.03357e-28, 1.41421, -9.59207e-07, 2.03357e-28, 0, 2.03357e-28, 2.03357e-28, 2.03357e-28, 2.03357e-28, 2.03357e-28, 2.03357e-28, 4.28884e-09, 2.03357e-28, 2.03357e-28, 1.15439e-10, 2.49657e-09, 9.52306e-07, 2.03357e-28, 2.03357e-28
0.395465, 0, 1.30665e-06, 9.78469e-28, 1.41421, -1.30665e-06, 9.78469e-28, 0, 9.78469e-28, 9.78469e-28, 9.78469e-28, 9.78469e-28, 9.78469e-28, 9.78469e-28, 5.87559e-09, 9.78469e-28, 9.78469e-28, 1.77778e-10, 3.757e-09, 1.29684e-06, 9.78469e-28, 9.78469e-28
