   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_827.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.268445, 0, 2.31616e-09, 4.13632e-39, 1.41421, -2.31616e-09, 4.13632e-39, 0, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 4.13632e-39, 1.2404e-11, 4.13632e-39, 4.13632e-39, 3.66845e-12, 4.13632e-39, 5.76422e-10, 4.13632e-39, 1.72367e-09, 4.13632e-39, 4.13632e-39, 4.13632e-39
0.276311, 0, 3.28815e-09, 4.26752e-38, 1.41421, -3.28815e-09, 4.26752e-38, 0, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 4.26752e-38, 1.73629e-11, 4.26752e-38, 4.26752e-38, 5.42841e-12, 4.26752e-38, 8.54833e-10, 4.26752e-38, 2.41053e-09, 4.26752e-38, 4.26752e-38, 4.26752e-38
0.284176, 0, 4.65251e-09, 3.99217e-37, 1.41421, -4.65251e-09, 3.99217e-37, 0, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 3.99217e-37, 2.41962e-11, 3.99217e-37, 3.99217e-37, 8.02837e-12, 3.99217e-37, 1.26468e-09, 3.99217e-37, 3.3556e-09, 3.99217e-37, 3.99217e-37, 3.99217e-37
0.292041, 0, 6.56203e-09, 3.4059e-36, 1.41421, -6.56203e-09, 3.4059e-36, 0, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.4059e-36, 3.35698e-11, 3.4059e-36, 3.4059e-36, 1.187e-11, 3.4059e-36, 1.86677e-09, 3.4059e-36, 4.64982e-09, 3.4059e-36, 3.4059e-36, 3.4059e-36
0.299906, 0, 9.22725e-09, 2.66269e-35, 1.41421, -9.22725e-09, 2.66269e-35, 0, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 2.66269e-35, 4.63709e-11, 2.66269e-35, 2.66269e-35, 1.75482e-11, 2.66269e-35, 2.74952e-09, 2.66269e-35, 6.41381e-09, 2.66269e-35, 2.66269e-35, 2.66269e-35
0.307771, 0, 1.29379e-08, 1.91648e-34, 1.41421, -1.29379e-08, 1.91648e-34, 0, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 1.91648e-34, 6.37761e-11, 1.91648e-34, 1.91648e-34, 2.59443e-11, 1.91648e-34, 4.04133e-09, 1.91648e-34, 8.80686e-09, 1.91648e-34, 1.91648e-34, 1.91648e-34
0.315637, 0, 1.80921e-08, 1.27397e-33, 1.41421, -1.80921e-08, 1.27397e-33, 0, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 1.27397e-33, 8.73378e-11, 1.27397e-33, 1.27397e-33, 3.83642e-11, 1.27397e-33, 5.92827e-09, 1.27397e-33, 1.20381e-08, 1.27397e-33, 1.27397e-33, 1.27397e-33
0.323502, 0, 2.52363e-08, 7.78711e-33, 1.41421, -2.52363e-08, 7.78711e-33, 0, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 7.78711e-33, 1.19097e-10, 7.78711e-33, 7.78711e-33, 5.67429e-11, 7.78711e-33, 8.67955e-09, 7.78711e-33, 1.63809e-08, 7.78711e-33, 7.78711e-33, 7.78711e-33
0.331367, 0, 3.51202e-08, 4.73775e-32, 1.41421, -3.51202e-08, 4.73775e-32, 0, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 4.73775e-32, 1.61725e-10, 4.73775e-32, 4.73775e-32, 8.39453e-11, 4.73775e-32, 1.26838e-08, 4.73775e-32, 2.21907e-08, 4.73775e-32, 4.73775e-32, 4.73775e-32
0.339232, 0, 4.87713e-08, 2.59724e-31, 1.41421, -4.87713e-08, 2.59724e-31, 0, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.59724e-31, 2.18703e-10, 2.59724e-31, 2.59724e-31, 1.2421e-10, 2.59724e-31, 1.8501e-08, 2.59724e-31, 2.99273e-08, 2.59724e-31, 2.59724e-31, 2.59724e-31
