   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.322387, 0, 4.89401e-10, 3.9537e-39, 1.41421, -4.89401e-10, 3.9537e-39, 0, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 3.9537e-39, 7.71273e-15, 3.9537e-39, 1.95663e-10, 3.9537e-39, 2.9373e-10, 3.9537e-39, 3.9537e-39, 3.9537e-39
0.330247, 0, 7.50693e-10, 4.19496e-38, 1.41421, -7.50693e-10, 4.19496e-38, 0, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 4.19496e-38, 1.21845e-14, 4.19496e-38, 3.10891e-10, 4.19496e-38, 4.3979e-10, 4.19496e-38, 4.19496e-38, 4.19496e-38
0.338107, 0, 1.14673e-09, 4.03286e-37, 1.41421, -1.14673e-09, 4.03286e-37, 0, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 4.03286e-37, 1.92135e-14, 4.03286e-37, 4.92482e-10, 4.03286e-37, 6.54231e-10, 4.03286e-37, 4.03286e-37, 4.03286e-37
0.345968, 0, 1.74501e-09, 3.5357e-36, 1.41421, -1.74501e-09, 3.5357e-36, 0, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.5357e-36, 3.02545e-14, 3.5357e-36, 7.77993e-10, 3.5357e-36, 9.66984e-10, 3.5357e-36, 3.5357e-36, 3.5357e-36
0.353828, 0, 2.64615e-09, 2.84047e-35, 1.41421, -2.64615e-09, 2.84047e-35, 0, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 2.84047e-35, 4.75918e-14, 2.84047e-35, 1.22598e-09, 2.84047e-35, 1.42012e-09, 2.84047e-35, 2.84047e-35, 2.84047e-35
0.361688, 0, 4.00005e-09, 2.10007e-34, 1.41421, -4.00005e-09, 2.10007e-34, 0, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 2.10007e-34, 7.48155e-14, 2.10007e-34, 1.92761e-09, 2.10007e-34, 2.07237e-09, 2.10007e-34, 2.10007e-34, 2.10007e-34
0.369549, 0, 6.02994e-09, 1.41472e-33, 1.41421, -6.02994e-09, 1.41472e-33, 0, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.41472e-33, 1.17571e-13, 1.41472e-33, 3.02472e-09, 1.41472e-33, 3.0051e-09, 1.41472e-33, 1.41472e-33, 1.41472e-33
0.377409, 0, 9.06816e-09, 8.40107e-33, 1.41421, -9.06816e-09, 8.40107e-33, 0, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 8.40107e-33, 1.84735e-13, 8.40107e-33, 4.73767e-09, 8.40107e-33, 4.33031e-09, 8.40107e-33, 8.40107e-33, 8.40107e-33
0.385269, 0, 1.36097e-08, 5.09623e-32, 1.41421, -1.36097e-08, 5.09623e-32, 0, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 5.09623e-32, 2.90271e-13, 5.09623e-32, 7.40839e-09, 5.09623e-32, 6.20103e-09, 5.09623e-32, 5.09623e-32, 5.09623e-32
0.393129, 0, 2.0392e-08, 2.7634e-31, 1.41421, -2.0392e-08, 2.7634e-31, 0, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 2.7634e-31, 4.56117e-13, 2.7634e-31, 1.15666e-08, 2.7634e-31, 8.82497e-09, 2.7634e-31, 2.7634e-31, 2.7634e-31
