   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_638.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.231702, 0, 3.63969e-13, 0, 1.41421, -3.63969e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19465e-13, 0, 2.44504e-13, 0, 0, 0
0.239561, 0, 6.2039e-13, 0, 1.41421, -6.2039e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07593e-13, 0, 4.12797e-13, 0, 0, 0
0.24742, 0, 1.0501e-12, 0, 1.41421, -1.0501e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58436e-13, 0, 6.91664e-13, 0, 0, 0
0.255279, 0, 1.76526e-12, 0, 1.41421, -1.76526e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15033e-13, 0, 1.15023e-12, 0, 0, 0
0.263137, 0, 2.94747e-12, 0, 1.41421, -2.94747e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04891e-12, 0, 1.89856e-12, 0, 0, 0
0.270996, 0, 4.88882e-12, 0, 1.41421, -4.88882e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77829e-12, 0, 3.11053e-12, 0, 0, 0
0.278855, 0, 8.05614e-12, 0, 1.41421, -8.05614e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99754e-12, 0, 5.0586e-12, 0, 0, 0
0.286714, 0, 1.31911e-11, 0, 1.41421, -1.31911e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02469e-12, 0, 8.16641e-12, 0, 0, 0
0.294573, 0, 2.14651e-11, 0, 1.41421, -2.14651e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37776e-12, 0, 1.30874e-11, 0, 0, 0
0.302431, 0, 3.47185e-11, 0, 1.41421, -3.47185e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3897e-11, 0, 2.08215e-11, 0, 0, 0
0.31029, 0, 5.58272e-11, 4.4281e-43, 1.41421, -5.58272e-11, 4.4281e-43, 0, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 4.4281e-43, 2.29403e-11, 4.4281e-43, 3.28869e-11, 4.4281e-43, 4.4281e-43, 4.4281e-43
0.318149, 0, 8.93444e-11, 4.53404e-41, 1.41421, -8.93444e-11, 4.53404e-41, 0, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 4.53404e-41, 3.77635e-11, 4.53404e-41, 5.15809e-11, 4.53404e-41, 4.53404e-41, 4.53404e-41
0.326008, 0, 1.42091e-10, 5.69796e-40, 1.41421, -1.42091e-10, 5.69796e-40, 0, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 5.69796e-40, 6.17865e-11, 5.69796e-40, 8.03043e-11, 5.69796e-40, 5.69796e-40, 5.69796e-40
0.333867, 0, 2.24824e-10, 6.41165e-39, 1.41421, -2.24824e-10, 6.41165e-39, 0, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 6.41165e-39, 1.00691e-10, 6.41165e-39, 1.24133e-10, 6.41165e-39, 6.41165e-39, 6.41165e-39
0.341725, 0, 3.54023e-10, 6.52569e-38, 1.41421, -3.54023e-10, 6.52569e-38, 0, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 6.52569e-38, 1.63497e-10, 6.52569e-38, 1.90526e-10, 6.52569e-38, 6.52569e-38, 6.52569e-38
0.349584, 0, 5.54977e-10, 6.03545e-37, 1.41421, -5.54977e-10, 6.03545e-37, 0, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 6.03545e-37, 2.64607e-10, 6.03545e-37, 2.9037e-10, 6.03545e-37, 6.03545e-37, 6.03545e-37
0.357443, 0, 8.66428e-10, 5.10304e-36, 1.41421, -8.66428e-10, 5.10304e-36, 0, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 5.10304e-36, 4.2699e-10, 5.10304e-36, 4.39438e-10, 5.10304e-36, 5.10304e-36, 5.10304e-36
0.365302, 0, 1.34764e-09, 3.96154e-35, 1.41421, -1.34764e-09, 3.96154e-35, 0, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 3.96154e-35, 6.87243e-10, 3.96154e-35, 6.604e-10, 3.96154e-35, 3.96154e-35, 3.96154e-35
0.37316, 0, 2.08923e-09, 2.83635e-34, 1.41421, -2.08923e-09, 2.83635e-34, 0, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 2.83635e-34, 1.10364e-09, 2.83635e-34, 9.85594e-10, 2.83635e-34, 2.83635e-34, 2.83635e-34
0.381019, 0, 3.22968e-09, 1.90331e-33, 1.41421, -3.22968e-09, 1.90331e-33, 0, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.90331e-33, 1.76889e-09, 1.90331e-33, 1.46079e-09, 1.90331e-33, 1.90331e-33, 1.90331e-33
0.388878, 0, 4.98065e-09, 1.09299e-32, 1.41421, -4.98065e-09, 1.09299e-32, 0, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 1.09299e-32, 2.83037e-09, 1.09299e-32, 2.15029e-09, 1.09299e-32, 1.09299e-32, 1.09299e-32
0.396737, 0, 7.66591e-09, 6.39261e-32, 1.41421, -7.66591e-09, 6.39261e-32, 0, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 6.39261e-32, 4.52219e-09, 6.39261e-32, 3.14372e-09, 6.39261e-32, 6.39261e-32, 6.39261e-32
0.404596, 0, 1.17808e-08, 3.34154e-31, 1.41421, -1.17808e-08, 3.34154e-31, 0, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 3.34154e-31, 7.21571e-09, 3.34154e-31, 4.56507e-09, 3.34154e-31, 3.34154e-31, 3.34154e-31
0.412454, 0, 1.80836e-08, 1.71445e-30, 1.41421, -1.80836e-08, 1.71445e-30, 0, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.71445e-30, 1.1499e-08, 1.71445e-30, 6.58465e-09, 1.71445e-30, 1.71445e-30, 1.71445e-30
0.420313, 0, 2.77355e-08, 8.40573e-30, 1.41421, -2.77355e-08, 8.40573e-30, 0, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 8.40573e-30, 1.8301e-08, 8.40573e-30, 9.4345e-09, 8.40573e-30, 8.40573e-30, 8.40573e-30
0.428172, 0, 4.25141e-08, 3.90815e-29, 1.41421, -4.25141e-08, 3.90815e-29, 0, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 3.90815e-29, 2.90855e-08, 3.90815e-29, 1.34286e-08, 3.90815e-29, 3.90815e-29, 3.90815e-29
0.436031, 0, 6.51386e-08, 1.76051e-28, 1.41421, -6.51386e-08, 1.76051e-28, 0, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 1.76051e-28, 4.61499e-08, 1.76051e-28, 1.89887e-08, 1.76051e-28, 1.76051e-28, 1.76051e-28
0.44389, 0, 9.97624e-08, 7.59681e-28, 1.41421, -9.97624e-08, 7.59681e-28, 0, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.59681e-28, 7.30854e-08, 7.59681e-28, 2.6677e-08, 7.59681e-28, 7.59681e-28, 7.59681e-28
0.451748, 0, 1.52714e-07, 3.12709e-27, 1.41421, -1.52714e-07, 3.12709e-27, 0, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 3.12709e-27, 1.15477e-07, 3.12709e-27, 3.72374e-08, 3.12709e-27, 3.12709e-27, 3.12709e-27
0.459607, 0, 2.33608e-07, 1.22878e-26, 1.41421, -2.33608e-07, 1.22878e-26, 0, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.22878e-26, 1.8196e-07, 1.22878e-26, 5.16481e-08, 1.22878e-26, 1.22878e-26, 1.22878e-26
0.467466, 0, 3.56989e-07, 4.61454e-26, 1.41421, -3.56989e-07, 4.61454e-26, 0, 4.61454e-26, 4.61454e-26, 4.61454e-26, 4.61454e-26, 4.61454e-26, 1.36222e-13, 4.61454e-26, 4.61454e-26, 4.61454e-26, 4.61454e-26, 4.61454e-26, 2.85804e-07, 4.61454e-26, 7.1185e-08, 4.61454e-26, 4.61454e-26, 4.61454e-26
0.475325, 0, 5.4475e-07, 1.659e-25, 1.41421, -5.4475e-07, 1.659e-25, 0, 1.659e-25, 1.659e-25, 1.659e-25, 1.659e-25, 1.659e-25, 4.5431e-13, 1.659e-25, 1.659e-25, 1.659e-25, 1.659e-25, 1.659e-25, 4.47248e-07, 1.659e-25, 9.75012e-08, 1.659e-25, 1.659e-25, 1.659e-25
0.483184, 0, 8.29662e-07, 5.76443e-25, 1.41421, -8.29662e-07, 5.76443e-25, 0, 5.76443e-25, 5.76443e-25, 5.76443e-25, 5.76443e-25, 5.76443e-25, 1.17593e-12, 5.76443e-25, 5.76443e-25, 5.76443e-25, 5.76443e-25, 5.76443e-25, 6.96937e-07, 5.76443e-25, 1.32724e-07, 5.76443e-25, 5.76443e-25, 5.76443e-25
0.491042, 0, 1.26124e-06, 6.77448e-11, 1.41421, -1.26124e-06, 9.40411e-11, 6.77448e-11, 9.34759e-11, 2.75234e-10, 7.49402e-11, 2.37675e-10, 9.7378e-11, 7.68251e-11, 1.69185e-10, 7.62865e-11, 1.87708e-10, 7.2873e-11, 6.79662e-11, 1.08094e-06, 6.77461e-11, 1.7966e-07, 6.77448e-11, 6.77448e-11, 6.83145e-11
0.498901, 0, 1.91169e-06, 2.22416e-10, 1.41421, -1.91169e-06, 3.09695e-10, 2.22416e-10, 3.07819e-10, 9.11086e-10, 2.46298e-10, 7.86427e-10, 3.20771e-10, 2.49576e-10, 5.59104e-10, 2.50766e-10, 6.20583e-10, 2.39436e-10, 2.23151e-10, 1.66776e-06, 2.2242e-10, 2.41788e-07, 2.22416e-10, 2.22416e-10, 2.24306e-10
0.50676, 0, 2.8876e-06, 5.67611e-10, 1.41421, -2.8876e-06, 7.92585e-10, 5.67611e-10, 7.8775e-10, 2.34275e-09, 6.2917e-10, 2.02143e-09, 8.21134e-10, 6.351e-10, 1.43547e-09, 6.40689e-10, 1.59394e-09, 6.11485e-10, 5.69506e-10, 2.55845e-06, 5.67622e-10, 3.23641e-07, 5.67611e-10, 5.67611e-10, 5.72485e-10
0.514619, 0, 4.34454e-06, 1.32389e-09, 1.41421, -4.34454e-06, 1.85241e-09, 1.32389e-09, 1.84105e-09, 5.49418e-09, 1.46851e-09, 4.7393e-09, 1.91948e-09, 1.47928e-09, 3.36272e-09, 1.49557e-09, 3.73502e-09, 1.42696e-09, 1.32834e-09, 3.90063e-06, 1.32391e-09, 4.30967e-07, 1.32389e-09, 1.32389e-09, 1.33534e-09
0.522478, 0, 6.50812e-06, 2.95012e-09, 1.41421, -6.50812e-06, 4.13283e-09, 2.95012e-09, 4.10741e-09, 1.22822e-08, 3.27374e-09, 1.0593e-08, 4.28291e-09, 3.29282e-09, 7.51255e-09, 3.3343e-09, 8.34564e-09, 3.18077e-09, 2.96008e-09, 5.90792e-06, 2.95018e-09, 5.7123e-07, 2.95012e-09, 2.95012e-09, 2.97574e-09
0.530336, 0, 9.71638e-06, 6.37285e-09, 1.41421, -9.71638e-06, 8.93446e-09, 6.37285e-09, 8.87941e-09, 2.65851e-08, 7.07378e-09, 2.29264e-08, 9.25953e-09, 7.1691e-09, 1.62545e-08, 7.20493e-09, 1.80589e-08, 6.8724e-09, 6.39442e-09, 8.89937e-06, 6.37297e-09, 7.54184e-07, 6.37285e-09, 6.37285e-09, 6.42834e-09
0.538195, 0, 1.44242e-05, 1.34214e-08, 1.41421, -1.44242e-05, 1.88266e-08, 1.34214e-08, 1.87104e-08, 5.6071e-08, 1.49004e-08, 4.83509e-08, 1.95125e-08, 1.52231e-08, 3.42726e-08, 1.51771e-08, 3.808e-08, 1.44755e-08, 1.34669e-08, 1.32986e-05, 1.34216e-08, 9.9288e-07, 1.34214e-08, 1.34214e-08, 1.35385e-08
0.546054, 0, 2.13099e-05, 2.76245e-08, 1.41421, -2.13099e-05, 3.87682e-08, 2.76245e-08, 3.85287e-08, 1.15553e-07, 3.06737e-08, 9.9637e-08, 4.01824e-08, 3.27594e-08, 7.06126e-08, 3.12443e-08, 7.84621e-08, 2.97977e-08, 2.77183e-08, 1.97295e-05, 2.7625e-08, 1.30525e-06, 2.76245e-08, 2.76245e-08, 2.78659e-08
0.553913, 0, 3.13302e-05, 5.56314e-08, 1.41421, -3.13302e-05, 7.81081e-08, 5.56314e-08, 7.7625e-08, 2.32983e-07, 6.17816e-08, 2.00879e-07, 8.09604e-08, 6.78617e-08, 1.42338e-07, 6.29324e-08, 1.5817e-07, 6.00147e-08, 5.58206e-08, 2.90568e-05, 5.56324e-08, 1.71673e-06, 5.56314e-08, 5.56314e-08, 5.61183e-08
0.561771, 0, 4.58477e-05, 1.09679e-07, 1.41421, -4.58477e-05, 1.54062e-07, 1.09679e-07, 1.53108e-07, 4.59877e-07, 1.21824e-07, 3.96486e-07, 1.59694e-07, 1.36736e-07, 2.8089e-07, 1.24096e-07, 3.12152e-07, 1.18335e-07, 1.10053e-07, 4.24805e-05, 1.09682e-07, 2.26471e-06, 1.09679e-07, 1.09679e-07, 1.10641e-07
0.56963, 0, 6.67999e-05, 2.11767e-07, 1.41421, -6.67999e-05, 2.97596e-07, 2.11767e-07, 2.95751e-07, 8.88992e-07, 2.35252e-07, 7.66405e-07, 3.08487e-07, 2.6913e-07, 5.4286e-07, 2.39647e-07, 6.03317e-07, 2.28505e-07, 2.1249e-07, 6.16569e-05, 2.11771e-07, 3.00561e-06, 2.11767e-07, 2.11767e-07, 2.13627e-07
0.577489, 0, 9.69448e-05, 4.00509e-07, 1.41421, -9.69448e-05, 5.63099e-07, 4.00509e-07, 5.59604e-07, 1.68341e-06, 4.44998e-07, 1.45119e-06, 5.83731e-07, 5.1847e-07, 1.02771e-06, 4.53323e-07, 1.14224e-06, 4.32217e-07, 4.01878e-07, 8.88592e-05, 4.00517e-07, 4.02681e-06, 4.00509e-07, 4.00509e-07, 4.04031e-07
0.585348, 0, 0.000140215, 7.42094e-07, 1.41421, -0.000140215, 1.04386e-06, 7.42094e-07, 1.03738e-06, 3.12316e-06, 8.24665e-07, 2.69216e-06, 1.08215e-06, 9.79215e-07, 1.90619e-06, 8.40116e-07, 2.11875e-06, 8.00943e-07, 7.44635e-07, 0.000127198, 7.42108e-07, 5.46519e-06, 7.42094e-07, 7.42094e-07, 7.48631e-07
0.593207, 0, 0.000202233, 1.34728e-06, 1.41421, -0.000202233, 1.8961e-06, 1.34728e-06, 1.88431e-06, 5.67773e-06, 1.49745e-06, 4.89386e-06, 1.96575e-06, 1.81616e-06, 3.46442e-06, 1.52555e-06, 3.85101e-06, 1.45431e-06, 1.3519e-06, 0.00018092, 1.34731e-06, 7.53644e-06, 1.34728e-06, 1.34728e-06, 1.35917e-06
0.601065, 0, 0.000291041, 2.397e-06, 1.41421, -0.000291041, 3.37521e-06, 2.397e-06, 3.35419e-06, 1.01155e-05, 2.66466e-06, 8.71836e-06, 3.49935e-06, 3.30885e-06, 6.17055e-06, 2.71475e-06, 6.8596e-06, 2.58777e-06, 2.40524e-06, 0.000255827, 2.39705e-06, 1.05789e-05, 2.397e-06, 2.397e-06, 2.41819e-06
0.608924, 0, 0.000418166, 4.17974e-06, 1.41421, -0.000418166, 5.88872e-06, 4.17974e-06, 5.852e-06, 1.76644e-05, 4.64737e-06, 1.52235e-05, 6.10559e-06, 5.92352e-06, 1.07723e-05, 4.73487e-06, 1.19761e-05, 4.51302e-06, 4.19413e-06, 0.000359849, 4.17982e-06, 1.51207e-05, 4.17974e-06, 4.17974e-06, 4.21676e-06
0.616783, 0, 0.000600089, 7.14419e-06, 1.41421, -0.000600089, 1.0071e-05, 7.14419e-06, 1.00081e-05, 3.02381e-05, 7.94505e-06, 2.60578e-05, 1.04424e-05, 1.04226e-05, 1.84347e-05, 8.0949e-06, 2.04964e-05, 7.71496e-06, 7.16883e-06, 0.000503836, 7.14433e-06, 2.19689e-05, 7.14419e-06, 7.14419e-06, 7.20759e-06
0.624642, 0, 0.000860318, 1.19712e-05, 1.41421, -0.000860318, 1.68857e-05, 1.19712e-05, 1.67801e-05, 5.07484e-05, 1.3316e-05, 4.37292e-05, 1.75093e-05, 1.80296e-05, 3.09292e-05, 1.35676e-05, 3.43909e-05, 1.29296e-05, 1.20126e-05, 0.000702667, 1.19715e-05, 3.23429e-05, 1.19712e-05, 1.19712e-05, 1.20777e-05
0.6325, 0, 0.00123217, 1.96685e-05, 1.41421, -0.00123217, 2.776e-05, 1.96685e-05, 2.75861e-05, 8.35142e-05, 2.18825e-05, 7.19573e-05, 2.87868e-05, 3.06707e-05, 5.08824e-05, 2.22968e-05, 5.65821e-05, 2.12464e-05, 1.97366e-05, 0.000976737, 1.96689e-05, 4.80465e-05, 1.96685e-05, 1.96685e-05, 1.98438e-05
0.640359, 0, 0.00176246, 3.16888e-05, 1.41421, -0.00176246, 4.47543e-05, 3.16888e-05, 4.44735e-05, 0.000134782, 3.52639e-05, 0.00011612, 4.64123e-05, 5.132e-05, 8.20904e-05, 3.59328e-05, 9.12938e-05, 3.42367e-05, 3.17988e-05, 0.00135396, 3.16894e-05, 7.16931e-05, 3.16888e-05, 3.16888e-05, 3.19718e-05
0.648218, 0, 0.00251621, 5.00736e-05, 1.41421, -0.00251621, 7.0767e-05, 5.00736e-05, 7.03223e-05, 0.000213353, 5.57359e-05, 0.000183797, 7.3393e-05, 8.44832e-05, 0.0001299, 5.67954e-05, 0.000144477, 5.41091e-05, 5.02479e-05, 0.00187236, 5.00746e-05, 0.000106986, 5.00736e-05, 5.00736e-05, 5.05219e-05
0.656077, 0, 0.00358253, 7.76162e-05, 1.41421, -0.00358253, 0.000109768, 7.76162e-05, 0.000109077, 0.000331311, 8.64139e-05, 0.000285389, 0.000113848, 0.000136855, 0.000201646, 8.80601e-05, 0.000224294, 8.38862e-05, 7.7887e-05, 0.00258336, 7.76177e-05, 0.000159052, 7.76162e-05, 7.76162e-05, 7.83127e-05
0.663936, 0, 0.00508143, 0.000118033, 1.41421, -0.00508143, 0.000167049, 0.000118033, 0.000165995, 0.000504789, 0.000131445, 0.000434781, 0.000173269, 0.000218183, 0.000307115, 0.000133955, 0.000341643, 0.000127592, 0.000118446, 0.00355571, 0.000118035, 0.000234821, 0.000118033, 0.000118033, 0.000119095
0.671794, 0, 0.00717157, 0.000176132, 1.41421, -0.00717157, 0.000249462, 0.000176132, 0.000247886, 0.00075474, 0.000196197, 0.000650004, 0.000258768, 0.000342381, 0.000459009, 0.000199951, 0.000510665, 0.000190432, 0.000176749, 0.00488001, 0.000176135, 0.000343432, 0.000176132, 0.000176132, 0.00017772
