   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.323344, 0, 1.52316e-18, 0, 1.41421, -1.52316e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77827e-21, 0, 6.71873e-24, 2.3244e-22, 1.51914e-18, 0, 0
0.331553, 0, 5.1487e-18, 0, 1.41421, -5.1487e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27715e-20, 0, 2.28014e-23, 8.09354e-22, 5.1351e-18, 0, 0
0.339761, 0, 1.69017e-17, 0, 1.41421, -1.69017e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19247e-20, 0, 7.51707e-23, 2.73336e-21, 1.68569e-17, 0, 0
0.34797, 0, 5.39589e-17, 0, 1.41421, -5.39589e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33844e-19, 0, 2.41092e-22, 8.9685e-21, 5.38159e-17, 0, 0
0.356179, 0, 1.67736e-16, 0, 1.41421, -1.67736e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16057e-19, 0, 7.53192e-22, 2.86297e-20, 1.6729e-16, 0, 0
0.364388, 0, 5.08234e-16, 0, 1.41421, -5.08234e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26061e-18, 0, 2.29443e-21, 8.90233e-20, 5.06882e-16, 0, 0
0.372597, 0, 1.50229e-15, 0, 1.41421, -1.50229e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72612e-18, 0, 6.82153e-21, 2.69906e-19, 1.49829e-15, 0, 0
0.380806, 0, 4.33524e-15, 0, 1.41421, -4.33524e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07522e-17, 0, 1.98087e-20, 7.98552e-19, 4.32367e-15, 0, 0
0.389015, 0, 1.22209e-14, 0, 1.41421, -1.22209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03082e-17, 0, 5.62184e-20, 2.30717e-18, 1.21882e-14, 0, 0
0.397224, 0, 3.36703e-14, 0, 1.41421, -3.36703e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34974e-17, 0, 1.56025e-19, 6.51335e-18, 3.35801e-14, 0, 0
0.405433, 0, 9.07072e-14, 0, 1.41421, -9.07072e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2492e-16, 0, 4.23659e-19, 1.79764e-17, 9.04639e-14, 0, 0
0.413642, 0, 2.39026e-13, 0, 1.41421, -2.39026e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92629e-16, 0, 1.12607e-18, 4.85248e-17, 2.38384e-13, 0, 0
0.421851, 0, 6.16307e-13, 5.5071e-43, 1.41421, -6.16307e-13, 5.5071e-43, 0, 5.5071e-43, 5.5071e-43, 5.5071e-43, 5.5071e-43, 5.5071e-43, 5.5071e-43, 5.5071e-43, 1.52784e-15, 5.5071e-43, 2.93109e-18, 1.28163e-16, 6.14648e-13, 5.5071e-43, 5.5071e-43
0.43006, 0, 1.55532e-12, 1.21563e-41, 1.41421, -1.55532e-12, 1.21563e-41, 0, 1.21563e-41, 1.21563e-41, 1.21563e-41, 1.21563e-41, 1.21563e-41, 1.21563e-41, 1.21563e-41, 3.85511e-15, 1.21563e-41, 7.475e-18, 3.31322e-16, 1.55113e-12, 1.21563e-41, 1.21563e-41
0.438269, 0, 3.84257e-12, 2.10149e-40, 1.41421, -3.84257e-12, 2.10149e-40, 0, 2.10149e-40, 2.10149e-40, 2.10149e-40, 2.10149e-40, 2.10149e-40, 2.10149e-40, 2.10149e-40, 9.5228e-15, 2.10149e-40, 1.86864e-17, 8.38622e-16, 3.83219e-12, 2.10149e-40, 2.10149e-40
0.446478, 0, 9.29589e-12, 3.14919e-39, 1.41421, -9.29589e-12, 3.14919e-39, 0, 3.14919e-39, 3.14919e-39, 3.14919e-39, 3.14919e-39, 3.14919e-39, 3.14919e-39, 3.14919e-39, 2.30332e-14, 3.14919e-39, 4.58157e-17, 2.07892e-15, 9.27074e-12, 3.14919e-39, 3.14919e-39
0.454687, 0, 2.20453e-11, 1.19286e-37, 1.41421, -2.20453e-11, 1.19286e-37, 0, 1.19286e-37, 1.19286e-37, 1.19286e-37, 1.19286e-37, 1.19286e-37, 1.19286e-37, 1.19286e-37, 5.46137e-14, 1.19286e-37, 1.10477e-16, 5.05634e-15, 2.19855e-11, 1.19286e-37, 1.19286e-37
0.462896, 0, 5.11539e-11, 1.28869e-36, 1.41421, -5.11539e-11, 1.28869e-36, 0, 1.28869e-36, 1.28869e-36, 1.28869e-36, 1.28869e-36, 1.28869e-36, 1.28869e-36, 1.28869e-36, 1.26704e-13, 1.28869e-36, 2.61143e-16, 1.2031e-14, 5.10149e-11, 1.28869e-36, 1.28869e-36
0.471105, 0, 1.16296e-10, 1.26346e-35, 1.41421, -1.16296e-10, 1.26346e-35, 0, 1.26346e-35, 1.26346e-35, 1.26346e-35, 1.26346e-35, 1.26346e-35, 1.26346e-35, 1.26346e-35, 2.88014e-13, 1.26346e-35, 6.07064e-16, 2.80648e-14, 1.15979e-10, 1.26346e-35, 1.26346e-35
0.479314, 0, 2.59083e-10, 1.13085e-34, 1.41421, -2.59083e-10, 1.13085e-34, 0, 1.13085e-34, 1.13085e-34, 1.13085e-34, 1.13085e-34, 1.13085e-34, 1.13085e-34, 1.13085e-34, 6.41577e-13, 1.13085e-34, 1.3897e-15, 6.42061e-14, 2.58376e-10, 1.13085e-34, 1.13085e-34
0.487523, 0, 5.65662e-10, 9.29138e-34, 1.41421, -5.65662e-10, 9.29138e-34, 0, 9.29138e-34, 9.29138e-34, 9.29138e-34, 9.29138e-34, 9.29138e-34, 9.29138e-34, 9.29138e-34, 1.40078e-12, 9.29138e-34, 3.13801e-15, 1.44124e-13, 5.64114e-10, 9.29138e-34, 9.29138e-34
0.495731, 0, 1.21054e-09, 7.19441e-33, 1.41421, -1.21054e-09, 7.19441e-33, 0, 7.19441e-33, 7.19441e-33, 7.19441e-33, 7.19441e-33, 7.19441e-33, 7.19441e-33, 7.19441e-33, 2.99818e-12, 7.19441e-33, 7.0034e-15, 3.17608e-13, 1.20722e-09, 7.19441e-33, 7.19441e-33
0.50394, 0, 2.53959e-09, 5.38674e-32, 1.41421, -2.53959e-09, 5.38674e-32, 0, 5.38674e-32, 5.38674e-32, 5.38674e-32, 5.38674e-32, 5.38674e-32, 5.38674e-32, 5.38674e-32, 6.29221e-12, 5.38674e-32, 1.54845e-14, 6.87634e-13, 2.53259e-09, 5.38674e-32, 5.38674e-32
0.512149, 0, 5.22359e-09, 3.81726e-31, 1.41421, -5.22359e-09, 3.81726e-31, 0, 3.81726e-31, 3.81726e-31, 3.81726e-31, 3.81726e-31, 3.81726e-31, 3.81726e-31, 3.81726e-31, 1.29511e-11, 3.81726e-31, 3.40055e-14, 1.46407e-12, 5.20914e-09, 3.81726e-31, 3.81726e-31
0.520358, 0, 1.05357e-08, 2.53936e-30, 1.41421, -1.05357e-08, 2.53936e-30, 0, 2.53936e-30, 2.53936e-30, 2.53936e-30, 2.53936e-30, 2.53936e-30, 2.53936e-30, 2.53936e-30, 2.61508e-11, 2.53936e-30, 7.43727e-14, 3.06956e-12, 1.05064e-08, 2.53936e-30, 2.53936e-30
0.528567, 0, 2.08405e-08, 1.58346e-29, 1.41421, -2.08405e-08, 1.58346e-29, 0, 1.58346e-29, 1.58346e-29, 1.58346e-29, 1.58346e-29, 1.58346e-29, 1.58346e-29, 1.58346e-29, 5.18162e-11, 1.58346e-29, 1.62382e-13, 6.34807e-12, 2.07822e-08, 1.58346e-29, 1.58346e-29
0.536776, 0, 4.04372e-08, 9.26882e-29, 1.41421, -4.04372e-08, 9.26882e-29, 0, 9.26882e-29, 9.26882e-29, 9.26882e-29, 9.26882e-29, 9.26882e-29, 9.26882e-29, 9.26882e-29, 1.00787e-10, 9.26882e-29, 3.5459e-13, 1.29788e-11, 4.03231e-08, 9.26882e-29, 9.26882e-29
0.544985, 0, 7.69767e-08, 5.10693e-28, 1.41421, -7.69767e-08, 5.10693e-28, 0, 5.10693e-28, 5.10693e-28, 5.10693e-28, 5.10693e-28, 5.10693e-28, 5.10693e-28, 5.10693e-28, 1.92518e-10, 5.10693e-28, 7.75131e-13, 2.63076e-11, 7.67571e-08, 5.10693e-28, 5.10693e-28
0.553194, 0, 1.43792e-07, 2.65699e-27, 1.41421, -1.43792e-07, 2.65699e-27, 0, 2.65699e-27, 2.65699e-27, 2.65699e-27, 2.65699e-27, 2.65699e-27, 2.65699e-27, 2.65699e-27, 3.61303e-10, 2.65699e-27, 1.69589e-12, 5.30464e-11, 1.43376e-07, 2.65699e-27, 2.65699e-27
0.561403, 0, 2.63632e-07, 1.30954e-26, 1.41421, -2.63632e-07, 1.30954e-26, 0, 1.30954e-26, 1.30954e-26, 1.30954e-26, 1.30954e-26, 1.30954e-26, 1.30954e-26, 1.30954e-26, 6.66533e-10, 1.30954e-26, 3.70853e-12, 1.06809e-10, 2.62855e-07, 1.30954e-26, 1.30954e-26
0.569612, 0, 4.74527e-07, 6.13367e-26, 1.41421, -4.74527e-07, 6.13367e-26, 0, 6.13367e-26, 6.13367e-26, 6.13367e-26, 6.13367e-26, 6.13367e-26, 6.13367e-26, 6.13367e-26, 1.20939e-09, 6.13367e-26, 8.08723e-12, 2.15586e-10, 4.73094e-07, 6.13367e-26, 6.13367e-26
0.577821, 0, 8.38763e-07, 2.73843e-25, 1.41421, -8.38763e-07, 2.73843e-25, 0, 2.73843e-25, 2.73843e-25, 2.73843e-25, 8.66755e-13, 2.73843e-25, 2.73843e-25, 2.73843e-25, 2.15958e-09, 2.73843e-25, 1.75365e-11, 4.37699e-10, 8.36147e-07, 2.73843e-25, 2.73843e-25
0.58603, 0, 1.45633e-06, 1.16862e-24, 1.41421, -1.45633e-06, 1.16862e-24, 0, 1.16862e-24, 1.16862e-24, 1.16862e-24, 4.48697e-12, 1.16862e-24, 1.16862e-24, 1.16862e-24, 3.79747e-09, 1.16862e-24, 3.76952e-11, 8.95906e-10, 1.4516e-06, 1.16862e-24, 1.16862e-24
0.594239, 0, 2.48461e-06, 4.78275e-24, 1.41421, -2.48461e-06, 4.78275e-24, 0, 4.78275e-24, 4.78275e-24, 4.78275e-24, 1.86067e-11, 4.78275e-24, 4.78275e-24, 4.78275e-24, 6.57975e-09, 4.78275e-24, 8.00817e-11, 1.84984e-09, 2.47608e-06, 4.78275e-24, 4.78275e-24
0.602448, 0, 4.16805e-06, 1.8875e-23, 1.41421, -4.16805e-06, 2.59635e-10, 0, 6.11933e-14, 1.72328e-13, 1.11433e-12, 1.11198e-10, 2.26525e-11, 1.15525e-12, 9.39252e-11, 1.12402e-08, 3.66674e-12, 1.67703e-10, 3.84792e-09, 4.15179e-06, 1.8875e-23, 5.06427e-10
0.610657, 0.985982, 6.89398e-06, 1.61016e-08, 1.728, 0.985975, 1.74353e-08, 1.61016e-08, 1.61019e-08, 1.61025e-08, 1.61074e-08, 1.65601e-08, 1.6218e-08, 1.61076e-08, 1.65841e-08, 3.50429e-08, 1.61205e-08, 1.64471e-08, 2.41415e-08, 6.86163e-06, 1.61016e-08, 1.87029e-08
0.618866, 0.0140178, 1.1258e-05, 8.23998e-08, 1.41916, 0.0140065, 8.78899e-08, 8.23998e-08, 8.24011e-08, 8.24035e-08, 8.24234e-08, 8.40903e-08, 8.28788e-08, 8.24243e-08, 8.43859e-08, 1.13898e-07, 8.24774e-08, 8.30988e-08, 9.92031e-08, 1.11885e-05, 8.23998e-08, 9.31085e-08
0.627075, 0, 1.82464e-05, 3.38197e-07, 1.41421, -1.82464e-05, 3.58804e-07, 3.38197e-07, 3.38202e-07, 3.38211e-07, 3.38286e-07, 3.44031e-07, 3.39995e-07, 3.38289e-07, 3.45652e-07, 3.89906e-07, 3.38488e-07, 3.39584e-07, 3.73165e-07, 1.80819e-05, 3.38197e-07, 3.78391e-07
