   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_159.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.321616, 0, 1.7227e-09, 8.45746e-38, 1.41421, -1.7227e-09, 0, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 8.45746e-38, 9.75072e-12, 8.45746e-38, 1.79795e-13, 2.2133e-12, 8.45746e-38, 1.71056e-09, 8.45746e-38, 8.45746e-38, 8.45746e-38
0.329484, 0, 2.4767e-09, 2.83026e-36, 1.41421, -2.4767e-09, 0, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 2.83026e-36, 1.40366e-11, 2.83026e-36, 2.76947e-13, 3.41341e-12, 2.83026e-36, 2.45897e-09, 2.83026e-36, 2.83026e-36, 2.83026e-36
0.337353, 0, 3.53943e-09, 2.1295e-35, 1.41421, -3.53943e-09, 0, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.1295e-35, 2.00897e-11, 2.1295e-35, 4.2563e-13, 5.24356e-12, 2.1295e-35, 3.51367e-09, 2.1295e-35, 2.1295e-35, 2.1295e-35
0.345221, 0, 5.02848e-09, 1.47999e-34, 1.41421, -5.02848e-09, 0, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 1.47999e-34, 2.85916e-11, 1.47999e-34, 6.53886e-13, 8.03381e-12, 1.47999e-34, 4.9912e-09, 1.47999e-34, 1.47999e-34, 1.47999e-34
0.35309, 0, 7.10232e-09, 1.02455e-33, 1.41421, -7.10232e-09, 0, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 1.02455e-33, 4.04659e-11, 1.02455e-33, 1.00438e-12, 1.22783e-11, 1.02455e-33, 7.04857e-09, 1.02455e-33, 1.02455e-33, 1.02455e-33
0.360958, 0, 9.97349e-09, 6.75418e-33, 1.41421, -9.97349e-09, 0, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 6.75418e-33, 5.69592e-11, 6.75418e-33, 1.54267e-12, 1.87211e-11, 6.75418e-33, 9.89627e-09, 6.75418e-33, 6.75418e-33, 6.75418e-33
0.368827, 0, 1.39251e-08, 4.16697e-32, 1.41421, -1.39251e-08, 0, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 4.16697e-32, 7.97445e-11, 4.16697e-32, 2.36946e-12, 2.84801e-11, 4.16697e-32, 1.38145e-08, 4.16697e-32, 4.16697e-32, 4.16697e-32
0.376696, 0, 1.93321e-08, 2.40099e-31, 1.41421, -1.93321e-08, 0, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 2.40099e-31, 1.11055e-10, 2.40099e-31, 3.63922e-12, 4.323e-11, 2.40099e-31, 1.91741e-08, 2.40099e-31, 2.40099e-31, 2.40099e-31
0.384564, 0, 2.66875e-08, 1.29467e-30, 1.41421, -2.66875e-08, 0, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.29467e-30, 1.53859e-10, 1.29467e-30, 5.58845e-12, 6.54743e-11, 1.29467e-30, 2.64626e-08, 1.29467e-30, 1.29467e-30, 1.29467e-30
0.392433, 0, 3.66365e-08, 6.55244e-30, 1.41421, -3.66365e-08, 0, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 6.55244e-30, 2.12076e-10, 6.55244e-30, 8.57839e-12, 9.89416e-11, 6.55244e-30, 3.63169e-08, 6.55244e-30, 6.55244e-30, 6.55244e-30
0.400301, 0, 5.00173e-08, 3.12268e-29, 1.41421, -5.00173e-08, 0, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 3.12268e-29, 2.90866e-10, 3.12268e-29, 1.31592e-11, 1.49168e-10, 3.12268e-29, 4.95641e-08, 3.12268e-29, 3.12268e-29, 3.12268e-29
0.40817, 0, 6.79132e-08, 1.40561e-28, 1.41421, -6.79132e-08, 0, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 1.40561e-28, 3.9698e-10, 1.40561e-28, 2.01655e-11, 2.24337e-10, 1.40561e-28, 6.72717e-08, 1.40561e-28, 1.40561e-28, 1.40561e-28
0.416038, 0, 9.17154e-08, 5.99419e-28, 1.41421, -9.17154e-08, 0, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.99419e-28, 5.39221e-10, 5.99419e-28, 3.0859e-11, 3.36499e-10, 5.99419e-28, 9.08088e-08, 5.99419e-28, 5.99419e-28, 5.99419e-28
