   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_135.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.27084, 0, 1.171e-10, 0, 1.41421, -1.171e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22574e-13, 8.24637e-15, 7.01158e-13, 0, 1.15568e-10, 0, 0
0.278722, 0, 1.74182e-10, 1.30321e-43, 1.41421, -1.74182e-10, 1.30321e-43, 0, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.22372e-12, 1.27583e-14, 1.09747e-12, 1.30321e-43, 1.71849e-10, 1.30321e-43, 1.30321e-43
0.286604, 0, 2.57646e-10, 2.158e-42, 1.41421, -2.57646e-10, 2.158e-42, 0, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 2.158e-42, 1.81044e-12, 1.96871e-14, 1.71201e-12, 2.158e-42, 2.54103e-10, 2.158e-42, 2.158e-42
0.294486, 0, 3.78985e-10, 2.99163e-41, 1.41421, -3.78985e-10, 2.99163e-41, 0, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.99163e-41, 2.66379e-12, 3.03095e-14, 2.66219e-12, 2.99163e-41, 3.73629e-10, 2.99163e-41, 2.99163e-41
0.302368, 0, 5.54389e-10, 3.67699e-40, 1.41421, -5.54389e-10, 3.67699e-40, 0, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.67699e-40, 3.89799e-12, 4.65738e-14, 4.12735e-12, 3.67699e-40, 5.46317e-10, 3.67699e-40, 3.67699e-40
0.31025, 0, 8.0651e-10, 4.05925e-39, 1.41421, -8.0651e-10, 4.05925e-39, 0, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 4.05925e-39, 5.67318e-12, 7.14545e-14, 6.38097e-12, 4.05925e-39, 7.94385e-10, 4.05925e-39, 4.05925e-39
0.318132, 0, 1.16687e-09, 4.04852e-38, 1.41421, -1.16687e-09, 4.04852e-38, 0, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 4.04852e-38, 8.21249e-12, 1.09497e-13, 9.83946e-12, 4.04852e-38, 1.14871e-09, 4.04852e-38, 4.04852e-38
0.326014, 0, 1.67905e-09, 3.66837e-37, 1.41421, -1.67905e-09, 3.66837e-37, 0, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 3.66837e-37, 1.18251e-11, 1.6765e-13, 1.51359e-11, 3.66837e-37, 1.65192e-09, 3.66837e-37, 3.66837e-37
0.333896, 0, 2.40296e-09, 3.03586e-36, 1.41421, -2.40296e-09, 3.03586e-36, 0, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 3.03586e-36, 1.6937e-11, 2.56552e-13, 2.32313e-11, 3.03586e-36, 2.36253e-09, 3.03586e-36, 3.03586e-36
0.341778, 0, 3.42049e-09, 2.30618e-35, 1.41421, -3.42049e-09, 2.30618e-35, 0, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.30618e-35, 2.41323e-11, 3.92499e-13, 3.55835e-11, 2.30618e-35, 3.36038e-09, 2.30618e-35, 2.30618e-35
