   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_67.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.15178, 0, 1.23559e-25, 0, 1.41421, -1.23559e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00437e-28, 0, 0, 2.87989e-30, 1.22429e-29, 0, 1.23044e-25, 0, 0, 0
0.159743, 0, 5.0031e-25, 0, 1.41421, -5.0031e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02633e-27, 0, 0, 1.17342e-29, 5.29282e-29, 0, 4.98219e-25, 0, 0, 0
0.167706, 0, 1.89642e-24, 0, 1.41421, -1.89642e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68075e-27, 0, 0, 4.47583e-29, 2.11059e-28, 0, 1.88848e-24, 0, 0, 0
0.175669, 0, 6.81816e-24, 0, 1.41421, -6.81816e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76143e-26, 0, 0, 1.61948e-28, 7.91214e-28, 0, 6.78959e-24, 0, 0, 0
0.183632, 0, 2.34491e-23, 0, 1.41421, -2.34491e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49711e-26, 0, 0, 5.60619e-28, 2.82071e-27, 0, 2.33508e-23, 0, 0, 0
0.191596, 0, 7.76046e-23, 0, 1.41421, -7.76046e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14305e-25, 0, 0, 1.86787e-27, 9.63658e-27, 0, 7.72788e-23, 0, 0, 0
0.199559, 0, 2.48227e-22, 0, 1.41421, -2.48227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00533e-24, 0, 0, 6.01617e-27, 3.17218e-26, 0, 2.47184e-22, 0, 0, 0
0.207522, 0, 7.69966e-22, 0, 1.41421, -7.69966e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1184e-24, 0, 0, 1.87959e-26, 1.01026e-25, 0, 7.66728e-22, 0, 0, 0
0.215485, 0, 2.32229e-21, 0, 1.41421, -2.32229e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40534e-24, 0, 0, 5.71145e-26, 3.1227e-25, 0, 2.31251e-21, 0, 0, 0
0.223448, 0, 6.82532e-21, 0, 1.41421, -6.82532e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76427e-23, 0, 0, 1.69167e-25, 9.39178e-25, 0, 6.79657e-21, 0, 0, 0
0.231412, 0, 1.95826e-20, 0, 1.41421, -1.95826e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93097e-23, 0, 0, 4.89283e-25, 2.75411e-24, 0, 1.95001e-20, 0, 0, 0
0.239375, 0, 5.49299e-20, 0, 1.41421, -5.49299e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22466e-22, 0, 0, 1.38398e-24, 7.88814e-24, 0, 5.46981e-20, 0, 0, 0
0.247338, 0, 1.50827e-19, 0, 1.41421, -1.50827e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10847e-22, 0, 0, 3.83336e-24, 2.20974e-23, 0, 1.5019e-19, 0, 0, 0
0.255301, 0, 4.05834e-19, 0, 1.41421, -4.05834e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64362e-21, 0, 0, 1.04083e-23, 6.0619e-23, 0, 4.04119e-19, 0, 0, 0
0.263264, 0, 1.07105e-18, 0, 1.41421, -1.07105e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3377e-21, 0, 0, 2.77285e-23, 1.63011e-22, 0, 1.06652e-18, 0, 0, 0
0.271228, 0, 2.77461e-18, 0, 1.41421, -2.77461e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1237e-20, 0, 0, 7.25387e-23, 4.30079e-22, 0, 2.76287e-18, 0, 0, 0
0.279191, 0, 7.06009e-18, 0, 1.41421, -7.06009e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85928e-20, 0, 0, 1.86467e-22, 1.1141e-21, 0, 7.0302e-18, 0, 0, 0
0.287154, 0, 1.76559e-17, 0, 1.41421, -1.76559e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15041e-20, 0, 0, 4.71288e-22, 2.83549e-21, 0, 1.7581e-17, 0, 0, 0
0.295117, 0, 4.34161e-17, 0, 1.41421, -4.34161e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75828e-19, 0, 0, 1.17178e-21, 7.09423e-21, 0, 4.3232e-17, 0, 0, 0
0.30308, 0, 1.05023e-16, 0, 1.41421, -1.05023e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25322e-19, 0, 0, 2.86733e-21, 1.74571e-20, 0, 1.04577e-16, 0, 0, 0
0.311044, 0, 2.50011e-16, 0, 1.41421, -2.50011e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01248e-18, 0, 0, 6.90814e-21, 4.22686e-20, 0, 2.48949e-16, 0, 0, 0
0.319007, 0, 5.85885e-16, 0, 1.41421, -5.85885e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37263e-18, 0, 0, 1.63926e-20, 1.00742e-19, 0, 5.83395e-16, 0, 0, 0
0.32697, 0, 1.352e-15, 0, 1.41421, -1.352e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.475e-18, 0, 0, 3.83251e-20, 2.36429e-19, 0, 1.34625e-15, 0, 0, 0
0.334933, 0, 3.07299e-15, 0, 1.41421, -3.07299e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24439e-17, 0, 0, 8.83052e-20, 5.4654e-19, 0, 3.05991e-15, 0, 0, 0
0.342897, 0, 6.88127e-15, 0, 1.41421, -6.88127e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78643e-17, 0, 0, 2.00575e-19, 1.2448e-18, 0, 6.85197e-15, 0, 0, 0
0.35086, 0, 1.5184e-14, 0, 1.41421, -1.5184e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1482e-17, 0, 0, 4.49265e-19, 2.79415e-18, 0, 1.51193e-14, 0, 0, 0
0.358823, 0, 3.30211e-14, 0, 1.41421, -3.30211e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33701e-16, 0, 0, 9.92585e-19, 6.18258e-18, 0, 3.28802e-14, 0, 0, 0
0.366786, 0, 7.07874e-14, 0, 1.41421, -7.07874e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.866e-16, 0, 0, 2.16369e-18, 1.34884e-17, 0, 7.04851e-14, 0, 0, 0
0.374749, 0, 1.49889e-13, 0, 1.41421, -1.49889e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06831e-16, 0, 0, 4.66997e-18, 2.91013e-17, 0, 1.49249e-13, 0, 0, 0
0.382713, 0, 3.12228e-13, 1.26117e-44, 1.41421, -3.12228e-13, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.264e-15, 1.26117e-44, 1.26117e-44, 9.9156e-18, 6.17322e-17, 1.26117e-44, 3.10892e-13, 1.26117e-44, 1.26117e-44, 1.26117e-44
0.390676, 0, 6.41399e-13, 2.31214e-43, 1.41421, -6.41399e-13, 2.31214e-43, 0, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.31214e-43, 2.59646e-15, 2.31214e-43, 2.31214e-43, 2.07952e-17, 1.2921e-16, 2.31214e-43, 6.38653e-13, 2.31214e-43, 2.31214e-43, 2.31214e-43
0.398639, 0, 1.29951e-12, 3.60134e-42, 1.41421, -1.29951e-12, 3.60134e-42, 0, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 3.60134e-42, 5.26037e-15, 3.60134e-42, 3.60134e-42, 4.30954e-17, 2.66899e-16, 3.60134e-42, 1.29394e-12, 3.60134e-42, 3.60134e-42, 3.60134e-42
0.406602, 0, 2.59699e-12, 4.92374e-41, 1.41421, -2.59699e-12, 4.92374e-41, 0, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 4.92374e-41, 1.05122e-14, 4.92374e-41, 4.92374e-41, 8.82972e-17, 5.44208e-16, 4.92374e-41, 2.58584e-12, 4.92374e-41, 4.92374e-41, 4.92374e-41
0.414565, 0, 5.11949e-12, 6.00877e-40, 1.41421, -5.11949e-12, 6.00877e-40, 0, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 6.00877e-40, 2.07228e-14, 6.00877e-40, 6.00877e-40, 1.78966e-16, 1.09561e-15, 6.00877e-40, 5.0975e-12, 6.00877e-40, 6.00877e-40, 6.00877e-40
0.422529, 0, 9.95606e-12, 6.60243e-39, 1.41421, -9.95606e-12, 6.60243e-39, 0, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 6.60243e-39, 4.03016e-14, 6.60243e-39, 6.60243e-39, 3.59098e-16, 2.1785e-15, 6.60243e-39, 9.91322e-12, 6.60243e-39, 6.60243e-39, 6.60243e-39
0.430492, 0, 1.91021e-11, 6.56986e-38, 1.41421, -1.91021e-11, 6.56986e-38, 0, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 6.56986e-38, 7.73307e-14, 6.56986e-38, 6.56986e-38, 7.13902e-16, 4.27974e-15, 6.56986e-38, 1.90197e-11, 6.56986e-38, 6.56986e-38, 6.56986e-38
0.438455, 0, 3.61608e-11, 5.95488e-37, 1.41421, -3.61608e-11, 5.95488e-37, 0, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 5.95488e-37, 1.46412e-13, 5.95488e-37, 5.95488e-37, 1.40757e-15, 8.31064e-15, 5.95488e-37, 3.60047e-11, 5.95488e-37, 5.95488e-37, 5.95488e-37
0.446418, 0, 6.75443e-11, 4.94272e-36, 1.41421, -6.75443e-11, 4.94272e-36, 0, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 4.94272e-36, 2.73551e-13, 4.94272e-36, 4.94272e-36, 2.75533e-15, 1.59604e-14, 4.94272e-36, 6.7252e-11, 4.94272e-36, 4.94272e-36, 4.94272e-36
0.454381, 0, 1.24498e-10, 3.77578e-35, 1.41421, -1.24498e-10, 3.77578e-35, 0, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 3.77578e-35, 5.04406e-13, 3.77578e-35, 3.77578e-35, 5.36135e-15, 3.0335e-14, 3.77578e-35, 1.23958e-10, 3.77578e-35, 3.77578e-35, 3.77578e-35
0.462345, 0, 2.2646e-10, 2.69497e-34, 1.41421, -2.2646e-10, 2.69497e-34, 0, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 2.69497e-34, 9.18021e-13, 2.69497e-34, 2.69497e-34, 1.03828e-14, 5.71092e-14, 2.69497e-34, 2.25474e-10, 2.69497e-34, 2.69497e-34, 2.69497e-34
0.470308, 0, 4.0654e-10, 1.88931e-33, 1.41421, -4.0654e-10, 1.88931e-33, 0, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.88931e-33, 1.64933e-12, 1.88931e-33, 1.88931e-33, 2.00371e-14, 1.06606e-13, 1.88931e-33, 4.04764e-10, 1.88931e-33, 1.88931e-33, 1.88931e-33
0.478271, 0, 7.20336e-10, 1.25797e-32, 1.41421, -7.20336e-10, 1.25797e-32, 0, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 1.25797e-32, 2.92554e-12, 1.25797e-32, 1.25797e-32, 3.85779e-14, 1.97573e-13, 1.25797e-32, 7.17174e-10, 1.25797e-32, 1.25797e-32, 1.25797e-32
0.486234, 0, 1.25985e-09, 7.8648e-32, 1.41421, -1.25985e-09, 7.8648e-32, 0, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 7.8648e-32, 5.12406e-12, 7.8648e-32, 7.8648e-32, 7.41719e-14, 3.64073e-13, 7.8648e-32, 1.25428e-09, 7.8648e-32, 7.8648e-32, 7.8648e-32
0.494198, 0, 2.17517e-09, 4.6081e-31, 1.41421, -2.17517e-09, 4.6081e-31, 0, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 4.6081e-31, 8.86362e-12, 4.6081e-31, 4.6081e-31, 1.42505e-13, 6.68215e-13, 4.6081e-31, 2.1655e-09, 4.6081e-31, 4.6081e-31, 4.6081e-31
0.502161, 0, 3.70765e-09, 2.53392e-30, 1.41421, -3.70765e-09, 2.53392e-30, 0, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 2.53392e-30, 1.51453e-11, 2.53392e-30, 2.53392e-30, 2.73669e-13, 1.22383e-12, 2.53392e-30, 3.69101e-09, 2.53392e-30, 2.53392e-30, 2.53392e-30
0.510124, 0, 6.2399e-09, 1.31126e-29, 1.41421, -6.2399e-09, 1.31126e-29, 0, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 1.31126e-29, 2.5569e-11, 1.31126e-29, 1.31126e-29, 5.25248e-13, 2.24102e-12, 1.31126e-29, 6.21157e-09, 1.31126e-29, 1.31126e-29, 1.31126e-29
0.518087, 0, 1.037e-08, 6.40607e-29, 1.41421, -1.037e-08, 6.40607e-29, 0, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 6.40607e-29, 4.26599e-11, 6.40607e-29, 6.40607e-29, 1.00694e-12, 4.11039e-12, 6.40607e-29, 1.03222e-08, 6.40607e-29, 6.40607e-29, 6.40607e-29
0.52605, 0, 1.70198e-08, 2.96391e-28, 1.41421, -1.70198e-08, 2.96391e-28, 0, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 2.96391e-28, 7.03583e-11, 2.96391e-28, 2.96391e-28, 1.92635e-12, 7.56302e-12, 2.96391e-28, 1.694e-08, 2.96391e-28, 2.96391e-28, 2.96391e-28
0.534014, 0, 2.75905e-08, 1.30269e-27, 1.41421, -2.75905e-08, 1.30269e-27, 0, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.30269e-27, 1.14742e-10, 1.30269e-27, 1.30269e-27, 3.67312e-12, 1.39739e-11, 1.30269e-27, 2.74581e-08, 1.30269e-27, 1.30269e-27, 1.30269e-27
0.541977, 0, 4.4183e-08, 5.45521e-27, 1.41421, -4.4183e-08, 5.45521e-27, 0, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 5.45521e-27, 1.85085e-10, 5.45521e-27, 5.45521e-27, 6.9712e-12, 2.59353e-11, 5.45521e-27, 4.3965e-08, 5.45521e-27, 5.45521e-27, 5.45521e-27
0.54994, 0, 6.99046e-08, 2.18265e-26, 1.41421, -6.99046e-08, 2.18265e-26, 0, 2.18265e-26, 2.18265e-26, 2.18265e-26, 2.18265e-26, 2.18265e-26, 2.18265e-26, 2.18265e-26, 1.20815e-13, 2.18265e-26, 2.18265e-26, 2.18265e-26, 2.95393e-10, 2.18265e-26, 2.18265e-26, 1.31503e-11, 4.83308e-11, 2.18265e-26, 6.95476e-08, 2.18265e-26, 2.18265e-26, 2.18265e-26
0.557903, 0, 1.0929e-07, 8.36562e-26, 1.41421, -1.0929e-07, 8.36562e-26, 0, 8.36562e-26, 8.36562e-26, 8.36562e-26, 8.36562e-26, 8.36562e-26, 8.36562e-26, 8.36562e-26, 5.09344e-13, 8.36562e-26, 8.36562e-26, 8.36562e-26, 4.66601e-10, 8.36562e-26, 8.36562e-26, 2.46219e-11, 9.03246e-11, 8.36562e-26, 1.08708e-07, 8.36562e-26, 8.36562e-26, 8.36562e-26
0.565866, 0, 1.68872e-07, 3.09199e-25, 1.41421, -1.68872e-07, 3.09199e-25, 0, 3.09199e-25, 3.09199e-25, 3.09199e-25, 3.09199e-25, 3.09199e-25, 3.09199e-25, 3.09199e-25, 1.70181e-12, 3.09199e-25, 3.09199e-25, 3.09199e-25, 7.29702e-10, 3.09199e-25, 3.09199e-25, 4.56998e-11, 1.68991e-10, 3.09199e-25, 1.67926e-07, 3.09199e-25, 3.09199e-25, 3.09199e-25
0.57383, 0, 2.59962e-07, 5.58118e-10, 1.41421, -2.59962e-07, 5.59517e-10, 5.58118e-10, 5.58126e-10, 5.58194e-10, 5.58172e-10, 5.5844e-10, 5.58473e-10, 5.58335e-10, 5.58393e-10, 5.68921e-10, 5.65047e-10, 5.63098e-10, 1.96272e-09, 1.68826e-09, 5.59731e-10, 5.58158e-10, 6.42109e-10, 8.73939e-10, 5.58119e-10, 2.56985e-07, 5.58118e-10, 5.58118e-10, 5.72763e-10
0.581793, 0, 3.98016e-07, 2.33657e-09, 1.41421, -3.98016e-07, 2.34243e-09, 2.33657e-09, 2.3366e-09, 2.33688e-09, 2.33679e-09, 2.33792e-09, 2.33806e-09, 2.33748e-09, 2.33772e-09, 2.37514e-09, 2.36563e-09, 2.35746e-09, 8.22888e-09, 4.07045e-09, 2.34334e-09, 2.33673e-09, 2.48931e-09, 2.92477e-09, 2.33657e-09, 3.8948e-07, 2.33657e-09, 2.33657e-09, 2.398e-09
0.589756, 0, 6.10021e-07, 7.76398e-09, 1.41421, -6.10021e-07, 7.7835e-09, 7.76398e-09, 7.76409e-09, 7.76504e-09, 7.76472e-09, 7.76847e-09, 7.76893e-09, 7.767e-09, 7.76782e-09, 7.88395e-09, 7.86067e-09, 7.83348e-09, 2.73666e-08, 1.03998e-08, 7.7865e-09, 7.76453e-09, 8.0386e-09, 8.85312e-09, 7.76399e-09, 5.85868e-07, 7.76398e-09, 7.76398e-09, 7.96836e-09
0.597719, 0, 9.4565e-07, 2.36517e-08, 1.41421, -9.4565e-07, 2.37113e-08, 2.36517e-08, 2.36521e-08, 2.3655e-08, 2.3654e-08, 2.36654e-08, 2.36668e-08, 2.3661e-08, 2.36635e-08, 2.40014e-08, 2.39466e-08, 2.38637e-08, 8.34179e-08, 2.76226e-08, 2.37204e-08, 2.36534e-08, 2.41397e-08, 2.56523e-08, 2.36518e-08, 8.7776e-07, 2.36517e-08, 2.36517e-08, 2.42749e-08
0.605682, 0, 1.50548e-06, 6.83033e-08, 1.41421, -1.50548e-06, 6.84753e-08, 6.83033e-08, 6.83043e-08, 6.83127e-08, 6.83099e-08, 6.83429e-08, 6.8347e-08, 6.833e-08, 6.83372e-08, 6.92767e-08, 6.91552e-08, 6.89157e-08, 2.40993e-07, 7.42328e-08, 6.85017e-08, 6.83082e-08, 6.91597e-08, 7.19416e-08, 6.83035e-08, 1.31759e-06, 6.83033e-08, 6.83033e-08, 7.01039e-08
0.613646, 0, 2.50706e-06, 1.88793e-07, 1.41421, -2.50706e-06, 1.89269e-07, 1.88793e-07, 1.88796e-07, 1.88819e-07, 1.88811e-07, 1.88902e-07, 1.88914e-07, 1.88867e-07, 1.88887e-07, 1.91453e-07, 1.91148e-07, 1.90486e-07, 6.66311e-07, 1.9757e-07, 1.89342e-07, 1.88806e-07, 1.90278e-07, 1.95343e-07, 1.88793e-07, 1.99956e-06, 1.88793e-07, 1.88793e-07, 1.93772e-07
0.621609, 0, 4.43547e-06, 5.01025e-07, 1.41421, -4.43547e-06, 5.02288e-07, 5.01025e-07, 5.01032e-07, 5.01094e-07, 5.01073e-07, 5.01316e-07, 5.01345e-07, 5.01221e-07, 5.01274e-07, 5.08024e-07, 5.07279e-07, 5.0552e-07, 1.76876e-06, 5.13905e-07, 5.02481e-07, 5.01061e-07, 5.03568e-07, 5.1266e-07, 5.01026e-07, 3.10578e-06, 5.01025e-07, 5.01025e-07, 5.14243e-07
