   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.164026, 0, 7.90668e-14, 0, 1.41421, -7.90668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94578e-16, 0, 0, 1.37829e-18, 1.33108e-15, 0, 7.73398e-14, 0, 0, 0
0.171897, 0, 1.31775e-13, 0, 1.41421, -1.31775e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5731e-16, 0, 0, 2.34318e-18, 2.27944e-15, 0, 1.28836e-13, 0, 0, 0
0.179769, 0, 2.18178e-13, 0, 1.41421, -2.18178e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08776e-15, 0, 0, 3.95922e-18, 3.88123e-15, 0, 2.13205e-13, 0, 0, 0
0.187641, 0, 3.58879e-13, 0, 1.41421, -3.58879e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78833e-15, 0, 0, 6.64956e-18, 6.57176e-15, 0, 3.50513e-13, 0, 0, 0
0.195512, 0, 5.86497e-13, 0, 1.41421, -5.86497e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92097e-15, 0, 0, 1.11019e-17, 1.10661e-14, 0, 5.72499e-13, 0, 0, 0
0.203384, 0, 9.52317e-13, 0, 1.41421, -9.52317e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74015e-15, 0, 0, 1.84278e-17, 1.8533e-14, 0, 9.29025e-13, 0, 0, 0
0.211256, 0, 1.53643e-12, 0, 1.41421, -1.53643e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6429e-15, 0, 0, 3.04134e-17, 3.08727e-14, 0, 1.49788e-12, 0, 0, 0
0.219127, 0, 2.46306e-12, 0, 1.41421, -2.46306e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22446e-14, 0, 0, 4.99165e-17, 5.11598e-14, 0, 2.39961e-12, 0, 0, 0
0.226999, 0, 3.92363e-12, 0, 1.41421, -3.92363e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94922e-14, 0, 0, 8.14827e-17, 8.43433e-14, 0, 3.81971e-12, 0, 0, 0
0.234871, 0, 6.21104e-12, 0, 1.41421, -6.21104e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08339e-14, 0, 0, 1.32311e-16, 1.38353e-13, 0, 6.04172e-12, 0, 0, 0
