   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_727.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.129411, 0, 1.45608e-15, 0, 1.41421, -1.45608e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64369e-18, 0, 0, 1.0799e-20, 0, 3.73543e-16, 0, 1.07588e-15, 0, 0
0.13727, 0, 2.62377e-15, 0, 1.41421, -2.62377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19054e-17, 0, 0, 1.97268e-20, 0, 6.83887e-16, 0, 1.92795e-15, 0, 0
0.145129, 0, 4.69248e-15, 0, 1.41421, -4.69248e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11689e-17, 0, 0, 3.5765e-20, 0, 1.24317e-15, 0, 3.4281e-15, 0, 0
0.152987, 0, 8.33035e-15, 0, 1.41421, -8.33035e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73525e-17, 0, 0, 6.43627e-20, 0, 2.24405e-15, 0, 6.04888e-15, 0, 0
0.160846, 0, 1.47436e-14, 0, 1.41421, -1.47436e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56382e-17, 0, 0, 1.15616e-19, 0, 4.04841e-15, 0, 1.06295e-14, 0, 0
0.168704, 0, 2.57856e-14, 0, 1.41421, -2.57856e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14034e-16, 0, 0, 2.04955e-19, 0, 7.20475e-15, 0, 1.84667e-14, 0, 0
0.176563, 0, 4.4781e-14, 0, 1.41421, -4.4781e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96654e-16, 0, 0, 3.60787e-19, 0, 1.27377e-14, 0, 3.18463e-14, 0, 0
0.184421, 0, 7.72309e-14, 0, 1.41421, -7.72309e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36664e-16, 0, 0, 6.30716e-19, 0, 2.23743e-14, 0, 5.45194e-14, 0, 0
0.19228, 0, 1.32284e-13, 0, 1.41421, -1.32284e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72191e-16, 0, 0, 1.0951e-18, 0, 3.90511e-14, 0, 9.26601e-14, 0, 0
0.200138, 0, 2.25056e-13, 0, 1.41421, -2.25056e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65515e-16, 0, 0, 1.88868e-18, 0, 6.77355e-14, 0, 1.56353e-13, 0, 0
0.207997, 0, 3.80341e-13, 0, 1.41421, -3.80341e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61762e-15, 0, 0, 3.23587e-18, 0, 1.1677e-13, 0, 2.6195e-13, 0, 0
0.215856, 0, 6.38545e-13, 0, 1.41421, -6.38545e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.691e-15, 0, 0, 5.50814e-18, 0, 2.00087e-13, 0, 4.35761e-13, 0, 0
0.223714, 0, 1.06509e-12, 0, 1.41421, -1.06509e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44521e-15, 0, 0, 9.31651e-18, 0, 3.40825e-13, 0, 7.19807e-13, 0, 0
0.231573, 0, 1.7652e-12, 0, 1.41421, -1.7652e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29173e-15, 0, 0, 1.56602e-17, 0, 5.77188e-13, 0, 1.1807e-12, 0, 0
0.239431, 0, 2.90709e-12, 0, 1.41421, -2.90709e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18782e-14, 0, 0, 2.61644e-17, 0, 9.7192e-13, 0, 1.92327e-12, 0, 0
0.24729, 0, 4.758e-12, 0, 1.41421, -4.758e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92161e-14, 0, 0, 4.34573e-17, 0, 1.62752e-12, 0, 3.11122e-12, 0, 0
0.255148, 0, 7.73994e-12, 0, 1.41421, -7.73994e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08744e-14, 0, 0, 7.17691e-17, 0, 2.71062e-12, 0, 4.99838e-12, 0, 0
0.263007, 0, 1.25155e-11, 0, 1.41421, -1.25155e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92678e-14, 0, 0, 1.17876e-16, 0, 4.49075e-12, 0, 7.97534e-12, 0, 0
0.270866, 0, 2.01192e-11, 0, 1.41421, -2.01192e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80869e-14, 0, 0, 1.92588e-16, 0, 7.40206e-12, 0, 1.26389e-11, 0, 0
0.278724, 0, 3.21578e-11, 0, 1.41421, -3.21578e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2293e-13, 0, 0, 3.13089e-16, 0, 1.21408e-11, 0, 1.98938e-11, 0, 0
0.286583, 0, 5.11142e-11, 0, 1.41421, -5.11142e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92231e-13, 0, 0, 5.066e-16, 0, 1.98192e-11, 0, 3.11023e-11, 0, 0
0.294441, 0, 8.08074e-11, 2.92871e-43, 1.41421, -8.08074e-11, 2.92871e-43, 0, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.92871e-43, 2.98599e-13, 2.92871e-43, 2.92871e-43, 8.16137e-16, 2.92871e-43, 3.2208e-11, 2.92871e-43, 4.82999e-11, 2.92871e-43, 2.92871e-43
0.3023, 0, 1.27086e-10, 4.99843e-42, 1.41421, -1.27086e-10, 4.99843e-42, 0, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.99843e-42, 4.60759e-13, 4.99843e-42, 4.99843e-42, 1.30953e-15, 4.99843e-42, 5.21173e-11, 4.99843e-42, 7.45064e-11, 4.99843e-42, 4.99843e-42
0.310158, 0, 1.9887e-10, 7.06479e-41, 1.41421, -1.9887e-10, 7.06479e-41, 0, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06479e-41, 7.06311e-13, 7.06479e-41, 7.06479e-41, 2.09357e-15, 7.06479e-41, 8.39935e-11, 7.06479e-41, 1.14168e-10, 7.06479e-41, 7.06479e-41
0.318017, 0, 3.09722e-10, 8.86307e-40, 1.41421, -3.09722e-10, 8.86307e-40, 0, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 8.86307e-40, 1.07566e-12, 8.86307e-40, 8.86307e-40, 3.33622e-15, 8.86307e-40, 1.34856e-10, 8.86307e-40, 1.73787e-10, 8.86307e-40, 8.86307e-40
0.325875, 0, 4.80193e-10, 9.95624e-39, 1.41421, -4.80193e-10, 9.95624e-39, 0, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 9.95624e-39, 1.62754e-12, 9.95624e-39, 9.95624e-39, 5.30155e-15, 9.95624e-39, 2.15762e-10, 9.95624e-39, 2.62798e-10, 9.95624e-39, 9.95624e-39
0.333734, 0, 7.41354e-10, 1.01151e-37, 1.41421, -7.41354e-10, 1.01151e-37, 0, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 1.01151e-37, 2.44675e-12, 1.01151e-37, 1.01151e-37, 8.40469e-15, 1.01151e-37, 3.44101e-10, 1.01151e-37, 3.94798e-10, 1.01151e-37, 1.01151e-37
0.341593, 0, 1.14008e-09, 9.33646e-37, 1.41421, -1.14008e-09, 9.33646e-37, 0, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 9.33646e-37, 3.65484e-12, 9.33646e-37, 9.33646e-37, 1.32984e-14, 9.33646e-37, 5.47175e-10, 9.33646e-37, 5.89235e-10, 9.33646e-37, 9.33646e-37
0.349451, 0, 1.74698e-09, 7.87804e-36, 1.41421, -1.74698e-09, 7.87804e-36, 0, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 7.87804e-36, 5.42494e-12, 7.87804e-36, 7.87804e-36, 2.10095e-14, 7.87804e-36, 8.67801e-10, 7.87804e-36, 8.73729e-10, 7.87804e-36, 7.87804e-36
0.35731, 0, 2.66832e-09, 6.10263e-35, 1.41421, -2.66832e-09, 6.10263e-35, 0, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 6.10263e-35, 8.00196e-12, 6.10263e-35, 6.10263e-35, 3.31548e-14, 6.10263e-35, 1.37305e-09, 6.10263e-35, 1.28723e-09, 6.10263e-35, 6.10263e-35
0.365168, 0, 4.06395e-09, 4.35889e-34, 1.41421, -4.06395e-09, 4.35889e-34, 0, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 4.35889e-34, 1.17301e-11, 4.35889e-34, 4.35889e-34, 5.22804e-14, 4.35889e-34, 2.16789e-09, 4.35889e-34, 1.88427e-09, 4.35889e-34, 4.35889e-34
0.373027, 0, 6.17423e-09, 2.92445e-33, 1.41421, -6.17423e-09, 2.92445e-33, 0, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 2.92445e-33, 1.709e-11, 2.92445e-33, 2.92445e-33, 8.23983e-14, 2.92445e-33, 3.4164e-09, 2.92445e-33, 2.74066e-09, 2.92445e-33, 2.92445e-33
0.380885, 0, 9.36061e-09, 1.69229e-32, 1.41421, -9.36061e-09, 1.69229e-32, 0, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 1.69229e-32, 2.47485e-11, 1.69229e-32, 1.69229e-32, 1.29829e-13, 1.69229e-32, 5.37473e-09, 1.69229e-32, 3.961e-09, 1.69229e-32, 1.69229e-32
0.388744, 0, 1.41668e-08, 9.94219e-32, 1.41421, -1.41668e-08, 9.94219e-32, 0, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 9.94219e-32, 3.56254e-11, 9.94219e-32, 9.94219e-32, 2.04529e-13, 9.94219e-32, 8.44225e-09, 9.94219e-32, 5.68871e-09, 9.94219e-32, 9.94219e-32
0.396602, 0, 2.14108e-08, 5.21927e-31, 1.41421, -2.14108e-08, 5.21927e-31, 0, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.21927e-31, 5.09814e-11, 5.21927e-31, 5.21927e-31, 3.22165e-13, 5.21927e-31, 1.32405e-08, 5.21927e-31, 8.11897e-09, 5.21927e-31, 5.21927e-31
0.404461, 0, 3.2323e-08, 2.68407e-30, 1.41421, -3.2323e-08, 2.68407e-30, 0, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 2.68407e-30, 7.25345e-11, 2.68407e-30, 2.68407e-30, 5.07349e-13, 2.68407e-30, 2.07344e-08, 2.68407e-30, 1.15155e-08, 2.68407e-30, 2.68407e-30
0.41232, 0, 4.87542e-08, 1.31676e-29, 1.41421, -4.87542e-08, 1.31676e-29, 0, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.31676e-29, 1.02613e-10, 1.31676e-29, 1.31676e-29, 7.98675e-13, 1.31676e-29, 3.24183e-08, 1.31676e-29, 1.62325e-08, 1.31676e-29, 1.31676e-29
0.420178, 0, 7.3486e-08, 6.116e-29, 1.41421, -7.3486e-08, 6.116e-29, 0, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 6.116e-29, 1.44352e-10, 6.116e-29, 6.116e-29, 1.25648e-12, 6.116e-29, 5.05984e-08, 6.116e-29, 2.2742e-08, 6.116e-29, 6.116e-29
0.428037, 0, 1.10693e-07, 2.7497e-28, 1.41421, -1.10693e-07, 2.7497e-28, 0, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.7497e-28, 2.01957e-10, 2.7497e-28, 2.7497e-28, 1.9748e-12, 2.7497e-28, 7.88202e-08, 2.7497e-28, 3.16687e-08, 2.7497e-28, 2.7497e-28
0.435895, 0, 1.66629e-07, 1.18313e-27, 1.41421, -1.66629e-07, 1.18313e-27, 0, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 1.18313e-27, 2.81032e-10, 1.18313e-27, 1.18313e-27, 3.09957e-12, 1.18313e-27, 1.2251e-07, 1.18313e-27, 4.38348e-08, 1.18313e-27, 1.18313e-27
0.443754, 0, 2.50638e-07, 4.85264e-27, 1.41421, -2.50638e-07, 4.85264e-27, 0, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 4.85264e-27, 3.89008e-10, 4.85264e-27, 4.85264e-27, 4.85629e-12, 4.85264e-27, 1.8993e-07, 4.85264e-27, 6.03139e-08, 4.85264e-27, 4.85264e-27
0.451612, 0, 3.76633e-07, 1.89906e-26, 1.41421, -3.76633e-07, 1.89906e-26, 0, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 1.89906e-26, 5.35695e-10, 1.89906e-26, 1.89906e-26, 7.59165e-12, 1.89906e-26, 2.93591e-07, 1.89906e-26, 8.24994e-08, 1.89906e-26, 1.89906e-26
0.459471, 0, 5.65242e-07, 7.09965e-26, 1.41421, -5.65242e-07, 7.09965e-26, 0, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.09965e-26, 5.80594e-13, 7.09965e-26, 7.09965e-26, 7.09965e-26, 7.3397e-10, 7.09965e-26, 7.09965e-26, 1.18356e-11, 7.09965e-26, 4.52308e-07, 7.09965e-26, 1.12187e-07, 7.09965e-26, 7.09965e-26
0.46733, 0, 8.46897e-07, 2.54021e-25, 1.41421, -8.46897e-07, 2.54021e-25, 0, 2.54021e-25, 2.54021e-25, 2.54021e-25, 2.54021e-25, 2.54021e-25, 2.54021e-25, 2.54021e-25, 2.54021e-25, 1.88704e-12, 2.54021e-25, 2.54021e-25, 2.54021e-25, 1.00066e-09, 2.54021e-25, 2.54021e-25, 1.83937e-11, 2.54021e-25, 6.94198e-07, 2.54021e-25, 1.51678e-07, 2.54021e-25, 2.54021e-25
0.475188, 0, 1.26625e-06, 8.78325e-25, 1.41421, -1.26625e-06, 8.78325e-25, 0, 8.78325e-25, 8.78325e-25, 8.78325e-25, 8.78325e-25, 8.78325e-25, 8.78325e-25, 8.78325e-25, 8.78325e-25, 4.74912e-12, 8.78325e-25, 8.78325e-25, 8.78325e-25, 1.35764e-09, 8.78325e-25, 8.78325e-25, 2.84822e-11, 8.78325e-25, 1.06096e-06, 8.78325e-25, 2.03898e-07, 8.78325e-25, 8.78325e-25
0.483047, 0, 1.88985e-06, 1.0743e-10, 1.41421, -1.88985e-06, 1.40395e-10, 1.0743e-10, 1.07436e-10, 1.0744e-10, 1.48566e-10, 4.70445e-10, 1.20618e-10, 3.69354e-10, 1.48688e-10, 1.15256e-10, 1.45008e-10, 3.16851e-10, 1.32671e-10, 4.06346e-10, 1.9407e-09, 1.19101e-10, 1.07854e-10, 1.51356e-10, 1.07549e-10, 1.61404e-06, 1.07432e-10, 2.72696e-07, 1.0743e-10, 1.0743e-10
0.490905, 0, 2.81231e-06, 3.41832e-10, 1.41421, -2.81231e-06, 4.48487e-10, 3.41832e-10, 3.4185e-10, 3.41863e-10, 4.74923e-10, 1.51634e-09, 3.84501e-10, 1.18927e-09, 4.75318e-10, 3.6715e-10, 4.51932e-10, 1.0194e-09, 4.23498e-10, 1.30895e-09, 2.80583e-09, 3.79593e-10, 3.43204e-10, 4.09284e-10, 3.44777e-10, 2.44303e-06, 3.41836e-10, 3.62754e-07, 3.41832e-10, 3.41832e-10
0.498764, 0, 4.17109e-06, 8.4653e-10, 1.41421, -4.17109e-06, 1.1139e-09, 8.4653e-10, 8.46573e-10, 8.46605e-10, 1.18018e-09, 3.79092e-09, 9.53496e-10, 2.97097e-09, 1.18117e-09, 9.09998e-10, 1.11314e-09, 2.54513e-09, 1.05126e-09, 3.27101e-09, 4.14307e-09, 9.41191e-10, 8.49968e-10, 9.49609e-10, 8.55819e-10, 3.6775e-06, 8.46539e-10, 4.80159e-07, 8.4653e-10, 8.4653e-10
0.506622, 0, 6.16339e-06, 1.91608e-09, 1.41421, -6.16339e-06, 2.5263e-09, 1.91608e-09, 1.91618e-09, 1.91625e-09, 2.67755e-09, 8.63596e-09, 2.16021e-09, 6.76463e-09, 2.67981e-09, 2.06093e-09, 2.51332e-09, 5.79274e-09, 2.38332e-09, 7.44941e-09, 6.30658e-09, 2.13212e-09, 1.92393e-09, 2.0728e-09, 1.93991e-09, 5.50341e-06, 1.9161e-09, 6.32542e-07, 1.91608e-09, 1.91608e-09
0.514481, 0, 9.07037e-06, 4.14437e-09, 1.41421, -9.07037e-06, 5.47064e-09, 4.14437e-09, 4.14458e-09, 4.14474e-09, 5.79938e-09, 1.87497e-08, 4.67496e-09, 1.46824e-08, 5.8043e-09, 4.4592e-09, 5.42515e-09, 1.25701e-08, 5.1599e-09, 1.61708e-08, 9.96584e-09, 4.61392e-09, 4.16142e-09, 4.38136e-09, 4.20002e-09, 8.1848e-06, 4.14441e-09, 8.29726e-07, 4.14437e-09, 4.14437e-09
0.522339, 0, 1.33109e-05, 8.69541e-09, 1.41421, -1.33109e-05, 1.14867e-08, 8.69541e-09, 8.69586e-09, 8.6962e-09, 1.21786e-08, 3.94338e-08, 9.8121e-09, 3.08739e-08, 1.21889e-08, 9.358e-09, 1.16249e-08, 2.64282e-08, 1.08327e-08, 3.40062e-08, 1.63803e-08, 9.68364e-09, 8.73131e-09, 9.05177e-09, 8.81852e-09, 1.21134e-05, 8.69551e-09, 1.08446e-06, 8.69541e-09, 8.69541e-09
0.530198, 0, 1.94348e-05, 1.78465e-08, 1.41421, -1.94348e-05, 2.35912e-08, 1.78465e-08, 1.78474e-08, 1.78481e-08, 2.50151e-08, 8.11087e-08, 2.01448e-08, 6.34916e-08, 2.50364e-08, 1.92102e-08, 2.69745e-08, 5.4342e-08, 2.22452e-08, 6.99382e-08, 2.7947e-08, 1.98804e-08, 1.79204e-08, 1.83793e-08, 1.81123e-08, 1.77912e-05, 1.78467e-08, 1.41372e-06, 1.78465e-08, 1.78465e-08
0.538057, 0, 2.82522e-05, 3.5711e-08, 1.41421, -2.82522e-05, 4.72261e-08, 3.5711e-08, 3.57128e-08, 3.57142e-08, 5.00804e-08, 1.62519e-07, 4.03178e-08, 1.27206e-07, 5.01231e-08, 3.84444e-08, 5.74108e-08, 1.08866e-07, 4.45281e-08, 1.40128e-07, 4.89291e-08, 3.97878e-08, 3.58591e-08, 3.65027e-08, 3.62587e-08, 2.59549e-05, 3.57114e-08, 1.84019e-06, 3.5711e-08, 3.5711e-08
0.545915, 0, 4.08986e-05, 7.00495e-08, 1.41421, -4.08986e-05, 9.2676e-08, 7.00495e-08, 7.00532e-08, 7.0056e-08, 9.82843e-08, 3.19218e-07, 7.91016e-08, 2.4983e-07, 9.83683e-08, 7.54206e-08, 1.17835e-07, 2.13793e-07, 8.73746e-08, 2.75221e-07, 8.72737e-08, 7.80603e-08, 7.03406e-08, 7.12192e-08, 7.11544e-08, 3.76083e-05, 7.00504e-08, 2.39602e-06, 7.00495e-08, 7.00495e-08
0.553774, 0, 5.89732e-05, 1.34744e-07, 1.41421, -5.89732e-05, 1.78342e-07, 1.34744e-07, 1.34751e-07, 1.34756e-07, 1.89149e-07, 6.14858e-07, 1.52186e-07, 4.81158e-07, 1.89311e-07, 1.45093e-07, 2.35507e-07, 4.11719e-07, 1.68127e-07, 5.30083e-07, 1.57093e-07, 1.5018e-07, 1.35305e-07, 1.36461e-07, 1.36928e-07, 5.4125e-05, 1.34746e-07, 3.12736e-06, 1.34744e-07, 1.34744e-07
