   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_145.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.186302, 0, 1.00055e-13, 0, 1.41421, -1.00055e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36559e-16, 0, 2.08514e-18, 3.55287e-15, 0, 9.58634e-14, 0, 0
0.19418, 0, 1.69983e-13, 0, 1.41421, -1.69983e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08039e-15, 0, 3.61251e-18, 6.19813e-15, 0, 1.62701e-13, 0, 0
0.202059, 0, 2.86715e-13, 0, 1.41421, -2.86715e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82042e-15, 0, 6.21687e-18, 1.07447e-14, 0, 2.74143e-13, 0, 0
0.209937, 0, 4.80172e-13, 0, 1.41421, -4.80172e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04538e-15, 0, 1.06284e-17, 1.8511e-14, 0, 4.58605e-13, 0, 0
0.217815, 0, 7.98494e-13, 0, 1.41421, -7.98494e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05835e-15, 0, 1.80532e-17, 3.16984e-14, 0, 7.61719e-13, 0, 0
0.225693, 0, 1.31855e-12, 0, 1.41421, -1.31855e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34247e-15, 0, 3.04706e-17, 5.39571e-14, 0, 1.25622e-12, 0, 0
0.233572, 0, 2.16219e-12, 0, 1.41421, -2.16219e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36621e-14, 0, 5.11102e-17, 9.13083e-14, 0, 2.05717e-12, 0, 0
0.24145, 0, 3.52383e-12, 0, 1.41421, -3.52383e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22333e-14, 0, 8.53809e-17, 1.53986e-13, 0, 3.34752e-12, 0, 0
0.249328, 0, 5.69874e-12, 0, 1.41421, -5.69874e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59021e-14, 0, 1.41508e-16, 2.57597e-13, 0, 5.4051e-12, 0, 0
0.257207, 0, 9.15352e-12, 0, 1.41421, -9.15352e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75753e-14, 0, 2.33208e-16, 4.28573e-13, 0, 8.66714e-12, 0, 0
0.265085, 0, 1.46036e-11, 0, 1.41421, -1.46036e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17e-14, 0, 3.82244e-16, 7.09247e-13, 0, 1.38023e-11, 0, 0
0.272963, 0, 2.31429e-11, 0, 1.41421, -2.31429e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45056e-13, 0, 6.23274e-16, 1.16769e-12, 0, 2.18296e-11, 0, 0
0.280842, 0, 3.64322e-11, 0, 1.41421, -3.64322e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27905e-13, 0, 1.01129e-15, 1.91286e-12, 0, 3.42904e-11, 0, 0
0.28872, 0, 5.69747e-11, 8.40779e-45, 1.41421, -5.69747e-11, 8.40779e-45, 0, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 8.40779e-45, 3.55662e-13, 8.40779e-45, 1.63326e-15, 3.11852e-12, 8.40779e-45, 5.34988e-11, 8.40779e-45, 8.40779e-45
0.296598, 0, 8.85188e-11, 1.8357e-43, 1.41421, -8.85188e-11, 1.8357e-43, 0, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 5.51326e-13, 1.8357e-43, 2.62643e-15, 5.06068e-12, 1.8357e-43, 8.29042e-11, 1.8357e-43, 1.8357e-43
0.304477, 0, 1.36638e-10, 2.69189e-42, 1.41421, -1.36638e-10, 2.69189e-42, 0, 2.69189e-42, 2.69189e-42, 2.69189e-42, 2.69189e-42, 2.69189e-42, 2.69189e-42, 2.69189e-42, 2.69189e-42, 8.48951e-13, 2.69189e-42, 4.20692e-15, 8.1763e-12, 2.69189e-42, 1.27609e-10, 2.69189e-42, 2.69189e-42
0.312355, 0, 2.09566e-10, 3.62558e-41, 1.41421, -2.09566e-10, 3.62558e-41, 0, 3.62558e-41, 3.62558e-41, 3.62558e-41, 3.62558e-41, 3.62558e-41, 3.62558e-41, 3.62558e-41, 3.62558e-41, 1.29862e-12, 3.62558e-41, 6.7146e-15, 1.31551e-11, 3.62558e-41, 1.95106e-10, 3.62558e-41, 3.62558e-41
0.320233, 0, 3.19387e-10, 4.38402e-40, 1.41421, -3.19387e-10, 4.38402e-40, 0, 4.38402e-40, 4.38402e-40, 4.38402e-40, 4.38402e-40, 4.38402e-40, 4.38402e-40, 4.38402e-40, 4.38402e-40, 1.97344e-12, 4.38402e-40, 1.06836e-14, 2.10829e-11, 4.38402e-40, 2.9632e-10, 4.38402e-40, 4.38402e-40
0.328111, 0, 4.83719e-10, 4.77785e-39, 1.41421, -4.83719e-10, 4.77785e-39, 0, 4.77785e-39, 4.77785e-39, 4.77785e-39, 4.77785e-39, 4.77785e-39, 4.77785e-39, 4.77785e-39, 4.77785e-39, 2.97943e-12, 4.77785e-39, 1.69528e-14, 3.36649e-11, 4.77785e-39, 4.47058e-10, 4.77785e-39, 4.77785e-39
0.33599, 0, 7.28098e-10, 4.71236e-38, 1.41421, -7.28098e-10, 4.71236e-38, 0, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.71236e-38, 4.4692e-12, 4.71236e-38, 2.68404e-14, 5.35737e-11, 4.71236e-38, 6.70029e-10, 4.71236e-38, 4.71236e-38
0.343868, 0, 1.08932e-09, 4.22912e-37, 1.41421, -1.08932e-09, 4.22912e-37, 0, 4.22912e-37, 4.22912e-37, 4.22912e-37, 4.22912e-37, 4.22912e-37, 4.22912e-37, 4.22912e-37, 4.22912e-37, 6.66105e-12, 4.22912e-37, 4.24188e-14, 8.49922e-11, 4.22912e-37, 9.97622e-10, 4.22912e-37, 4.22912e-37
0.351746, 0, 1.62008e-09, 3.47174e-36, 1.41421, -1.62008e-09, 3.47174e-36, 0, 3.47174e-36, 3.47174e-36, 3.47174e-36, 3.47174e-36, 3.47174e-36, 3.47174e-36, 3.47174e-36, 3.47174e-36, 9.86499e-12, 3.47174e-36, 6.69476e-14, 1.34456e-10, 3.47174e-36, 1.47569e-09, 3.47174e-36, 3.47174e-36
0.359625, 0, 2.39548e-09, 2.6195e-35, 1.41421, -2.39548e-09, 2.6195e-35, 0, 2.6195e-35, 2.6195e-35, 2.6195e-35, 2.6195e-35, 2.6195e-35, 2.6195e-35, 2.6195e-35, 2.6195e-35, 1.45185e-11, 2.6195e-35, 1.05558e-13, 2.12164e-10, 2.6195e-35, 2.16869e-09, 2.6195e-35, 2.6195e-35
0.367503, 0, 3.52199e-09, 1.82476e-34, 1.41421, -3.52199e-09, 1.82476e-34, 0, 1.82476e-34, 1.82476e-34, 1.82476e-34, 1.82476e-34, 1.82476e-34, 1.82476e-34, 1.82476e-34, 1.82476e-34, 2.12347e-11, 1.82476e-34, 1.66336e-13, 3.34018e-10, 1.82476e-34, 3.16657e-09, 1.82476e-34, 1.82476e-34
0.375381, 0, 5.14988e-09, 1.25342e-33, 1.41421, -5.14988e-09, 1.25342e-33, 0, 1.25342e-33, 1.25342e-33, 1.25342e-33, 1.25342e-33, 1.25342e-33, 1.25342e-33, 1.25342e-33, 1.25342e-33, 3.0868e-11, 1.25342e-33, 2.62023e-13, 5.24779e-10, 1.25342e-33, 4.59397e-09, 1.25342e-33, 1.25342e-33
0.38326, 0, 7.4903e-09, 8.25088e-33, 1.41421, -7.4903e-09, 8.25088e-33, 0, 8.25088e-33, 8.25088e-33, 8.25088e-33, 8.25088e-33, 8.25088e-33, 8.25088e-33, 8.25088e-33, 8.25088e-33, 4.46005e-11, 8.25088e-33, 4.12706e-13, 8.22962e-10, 8.25088e-33, 6.62232e-09, 8.25088e-33, 8.25088e-33
0.391138, 0, 1.08389e-08, 5.09395e-32, 1.41421, -1.08389e-08, 5.09395e-32, 0, 5.09395e-32, 5.09395e-32, 5.09395e-32, 5.09395e-32, 5.09395e-32, 5.09395e-32, 5.09395e-32, 5.09395e-32, 6.40592e-11, 5.09395e-32, 6.50036e-13, 1.28839e-09, 5.09395e-32, 9.48584e-09, 5.09395e-32, 5.09395e-32
0.399016, 0, 1.56086e-08, 2.93875e-31, 1.41421, -1.56086e-08, 2.93875e-31, 0, 2.93875e-31, 2.93875e-31, 2.93875e-31, 2.93875e-31, 2.93875e-31, 2.93875e-31, 2.93875e-31, 2.93875e-31, 9.14691e-11, 2.93875e-31, 1.02385e-12, 2.01386e-09, 2.93875e-31, 1.35022e-08, 2.93875e-31, 2.93875e-31
0.406895, 0, 2.23737e-08, 1.58658e-30, 1.41421, -2.23737e-08, 1.58658e-30, 0, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.58658e-30, 1.29855e-10, 1.58658e-30, 1.61248e-12, 3.14296e-09, 1.58658e-30, 1.90993e-08, 1.58658e-30, 1.58658e-30
0.414773, 0, 3.19328e-08, 8.0395e-30, 1.41421, -3.19328e-08, 8.0395e-30, 0, 8.0395e-30, 8.0395e-30, 8.0395e-30, 8.0395e-30, 8.0395e-30, 8.0395e-30, 8.0395e-30, 8.0395e-30, 1.83309e-10, 8.0395e-30, 2.5388e-12, 4.89742e-09, 8.0395e-30, 2.68495e-08, 8.0395e-30, 8.0395e-30
0.422651, 0, 4.53931e-08, 3.83521e-29, 1.41421, -4.53931e-08, 3.83521e-29, 0, 3.83521e-29, 3.83521e-29, 3.83521e-29, 3.83521e-29, 3.83521e-29, 3.83521e-29, 3.83521e-29, 3.83521e-29, 2.57331e-10, 3.83521e-29, 3.99505e-12, 7.61859e-09, 3.83521e-29, 3.75132e-08, 3.83521e-29, 3.83521e-29
0.430529, 0, 6.42888e-08, 1.72794e-28, 1.41421, -6.42888e-08, 1.72794e-28, 0, 1.72794e-28, 1.72794e-28, 1.72794e-28, 1.72794e-28, 1.72794e-28, 1.72794e-28, 1.72794e-28, 1.72794e-28, 3.59281e-10, 1.72794e-28, 6.28079e-12, 1.183e-08, 1.72794e-28, 5.20933e-08, 1.72794e-28, 1.72794e-28
0.438408, 0, 9.07448e-08, 7.37465e-28, 1.41421, -9.07448e-08, 7.37465e-28, 0, 7.37465e-28, 7.37465e-28, 7.37465e-28, 7.37465e-28, 7.37465e-28, 7.37465e-28, 7.37465e-28, 7.37465e-28, 4.9895e-10, 7.37465e-28, 9.86122e-12, 1.83315e-08, 7.37465e-28, 7.19045e-08, 7.37465e-28, 7.37465e-28
0.446286, 0, 1.27702e-07, 2.99006e-27, 1.41421, -1.27702e-07, 2.99006e-27, 0, 2.99006e-27, 2.99006e-27, 2.99006e-27, 2.99006e-27, 2.99006e-27, 2.99006e-27, 2.99006e-27, 2.99006e-27, 6.89307e-10, 2.99006e-27, 1.54551e-11, 2.83394e-08, 2.99006e-27, 9.86579e-08, 2.99006e-27, 2.99006e-27
0.454164, 0, 1.7923e-07, 1.15478e-26, 1.41421, -1.7923e-07, 1.15478e-26, 0, 1.15478e-26, 1.15478e-26, 1.15478e-26, 1.15478e-26, 4.46555e-14, 1.15478e-26, 1.15478e-26, 1.15478e-26, 9.47428e-10, 1.15478e-26, 2.41675e-11, 4.36925e-08, 1.15478e-26, 1.34566e-07, 1.15478e-26, 1.15478e-26
0.462043, 0, 2.50958e-07, 4.25901e-26, 1.41421, -2.50958e-07, 4.25901e-26, 0, 4.25901e-26, 4.25901e-26, 4.25901e-26, 4.25901e-26, 1.72274e-13, 4.25901e-26, 4.25901e-26, 4.25901e-26, 1.29571e-09, 4.25901e-26, 3.76874e-11, 6.71555e-08, 4.25901e-26, 1.82469e-07, 4.25901e-26, 4.25901e-26
0.469921, 0, 3.50674e-07, 1.50562e-25, 1.41421, -3.50674e-07, 1.50562e-25, 0, 1.50562e-25, 1.50562e-25, 1.50562e-25, 1.50562e-25, 4.55783e-13, 1.50562e-25, 1.50562e-25, 1.50562e-25, 1.76335e-09, 1.50562e-25, 5.85812e-11, 1.02857e-07, 1.50562e-25, 2.45995e-07, 1.50562e-25, 1.50562e-25
0.477799, 0, 4.90381e-07, 5.16338e-25, 1.41421, -4.90381e-07, 7.24116e-12, 0, 1.54055e-14, 4.87617e-14, 1.12228e-11, 1.12974e-12, 4.63057e-12, 5.64906e-12, 1.43298e-12, 1.15417e-09, 2.38834e-09, 3.37259e-13, 9.07226e-11, 1.5692e-07, 3.65309e-15, 3.2978e-07, 5.16338e-25, 1.64146e-11
0.485678, 0, 6.8589e-07, 6.4007e-10, 1.41421, -6.8589e-07, 6.63641e-10, 6.4007e-10, 6.4012e-10, 6.40229e-10, 6.76602e-10, 6.43748e-10, 6.54033e-10, 6.58458e-10, 6.44735e-10, 4.39703e-09, 3.85971e-09, 6.41168e-10, 7.80001e-10, 2.38994e-07, 6.40082e-10, 4.40263e-07, 6.4007e-10, 6.93502e-10
0.493556, 0, 9.59638e-07, 2.07746e-09, 1.41421, -9.59638e-07, 2.13695e-09, 2.07746e-09, 2.07758e-09, 2.07786e-09, 2.16966e-09, 2.08674e-09, 2.11179e-09, 2.12387e-09, 2.08923e-09, 1.15598e-08, 6.39773e-09, 2.08023e-09, 2.29231e-09, 3.62391e-07, 2.07749e-09, 5.84916e-07, 2.07746e-09, 2.21231e-09
0.501434, 0, 1.3445e-06, 5.23078e-09, 1.41421, -1.3445e-06, 5.36753e-09, 5.23078e-09, 5.23108e-09, 5.23171e-09, 5.44273e-09, 5.25212e-09, 5.30861e-09, 5.33747e-09, 5.25785e-09, 2.70274e-08, 1.10016e-08, 5.23715e-09, 5.55908e-09, 5.47058e-07, 5.23085e-09, 7.73876e-07, 5.23078e-09, 5.54078e-09
0.509313, 0, 1.88862e-06, 1.19975e-08, 1.41421, -1.88862e-06, 1.22969e-08, 1.19975e-08, 1.19981e-08, 1.19995e-08, 1.24615e-08, 1.20442e-08, 1.21663e-08, 1.22311e-08, 1.20567e-08, 5.97217e-08, 1.96713e-08, 1.20114e-08, 1.24965e-08, 8.22294e-07, 1.19976e-08, 1.02046e-06, 1.19975e-08, 1.26762e-08
0.517191, 0, 2.66422e-06, 2.62233e-08, 1.41421, -2.66422e-06, 2.68581e-08, 2.62233e-08, 2.62246e-08, 2.62275e-08, 2.72072e-08, 2.63223e-08, 2.65783e-08, 2.67185e-08, 2.63489e-08, 1.27412e-07, 3.63823e-08, 2.62528e-08, 2.69775e-08, 1.23136e-06, 2.62236e-08, 1.34281e-06, 2.62233e-08, 2.76623e-08
0.525069, 0, 3.78084e-06, 5.55197e-08, 1.41421, -3.78084e-06, 5.68321e-08, 5.55197e-08, 5.55225e-08, 5.55285e-08, 5.75538e-08, 5.57245e-08, 5.63208e-08, 5.65436e-08, 5.57794e-08, 2.64709e-07, 6.891e-08, 5.55808e-08, 5.66533e-08, 1.83746e-06, 5.55204e-08, 1.76651e-06, 5.55197e-08, 5.84948e-08
0.532947, 0, 5.40578e-06, 1.14632e-07, 1.41421, -5.40578e-06, 1.17285e-07, 1.14632e-07, 1.14637e-07, 1.1465e-07, 1.18744e-07, 1.15046e-07, 1.16549e-07, 1.16702e-07, 1.15157e-07, 5.37585e-07, 1.32204e-07, 1.14755e-07, 1.16325e-07, 2.73137e-06, 1.14633e-07, 2.32896e-06, 1.14632e-07, 1.20647e-07
0.540826, 0, 7.80376e-06, 2.31497e-07, 1.41421, -7.80376e-06, 2.36752e-07, 2.31497e-07, 2.31509e-07, 2.31533e-07, 2.39641e-07, 2.32317e-07, 2.36229e-07, 2.35597e-07, 2.32537e-07, 1.06903e-06, 2.54459e-07, 2.31742e-07, 2.34012e-07, 4.0488e-06, 2.315e-07, 3.08715e-06, 2.31497e-07, 2.43409e-07
0.548704, 0, 1.13931e-05, 4.57904e-07, 1.41421, -1.13931e-05, 4.68102e-07, 4.57904e-07, 4.57926e-07, 4.57973e-07, 4.7371e-07, 4.59495e-07, 4.68393e-07, 4.6586e-07, 4.59922e-07, 2.08341e-06, 4.8778e-07, 4.58379e-07, 4.61617e-07, 5.98944e-06, 4.57909e-07, 4.13072e-06, 4.57904e-07, 4.81022e-07
0.556582, 0, 1.68418e-05, 8.87749e-07, 1.41421, -1.68418e-05, 9.07156e-07, 8.87749e-07, 8.87791e-07, 8.8788e-07, 9.17827e-07, 8.90777e-07, 9.09769e-07, 9.02889e-07, 8.9159e-07, 3.98098e-06, 9.26457e-07, 8.88653e-07, 8.93194e-07, 8.84958e-06, 8.87759e-07, 5.60403e-06, 8.87749e-07, 9.31741e-07
0.564461, 0, 2.52192e-05, 1.68755e-06, 1.41421, -2.52192e-05, 1.72377e-06, 1.68755e-06, 1.68763e-06, 1.6878e-06, 1.74369e-06, 1.6932e-06, 1.73237e-06, 1.71581e-06, 1.69472e-06, 7.46035e-06, 1.7375e-06, 1.68924e-06, 1.69549e-06, 1.30712e-05, 1.68757e-06, 7.7426e-06, 1.68755e-06, 1.76965e-06
0.572339, 0, 3.8232e-05, 3.14613e-06, 1.41421, -3.8232e-05, 3.21243e-06, 3.14613e-06, 3.14627e-06, 3.14657e-06, 3.24888e-06, 3.15647e-06, 3.23451e-06, 3.19785e-06, 3.15925e-06, 1.37138e-05, 3.2103e-06, 3.14921e-06, 3.15762e-06, 1.93159e-05, 3.14616e-06, 1.09322e-05, 3.14613e-06, 3.29642e-06
0.580217, 0, 5.85898e-05, 5.75333e-06, 1.41421, -5.85898e-05, 5.8724e-06, 5.75333e-06, 5.75358e-06, 5.75413e-06, 5.93787e-06, 5.77191e-06, 5.92506e-06, 5.84622e-06, 5.77689e-06, 2.47317e-05, 5.83548e-06, 5.75888e-06, 5.76987e-06, 2.85772e-05, 5.75339e-06, 1.58019e-05, 5.75333e-06, 6.02324e-06
0.588096, 0, 9.05491e-05, 1.03215e-05, 1.41421, -9.05491e-05, 1.05313e-05, 1.03215e-05, 1.03219e-05, 1.03229e-05, 1.06466e-05, 1.03542e-05, 1.06501e-05, 1.04851e-05, 1.0363e-05, 4.37619e-05, 1.04262e-05, 1.03312e-05, 1.03451e-05, 4.23452e-05, 1.03216e-05, 2.33676e-05, 1.03215e-05, 1.07971e-05
0.595974, 0, 0.000140717, 1.81676e-05, 1.41421, -0.000140717, 1.85303e-05, 1.81676e-05, 1.81683e-05, 1.817e-05, 1.87298e-05, 1.82241e-05, 1.87871e-05, 1.84505e-05, 1.82393e-05, 7.59866e-05, 1.83007e-05, 1.81844e-05, 1.82012e-05, 6.28497e-05, 1.81677e-05, 3.52502e-05, 1.81676e-05, 1.89899e-05
0.603852, 0, 0.000219183, 3.13787e-05, 1.41421, -0.000219183, 3.19943e-05, 3.13787e-05, 3.13801e-05, 3.13829e-05, 3.23327e-05, 3.14748e-05, 3.25287e-05, 3.18589e-05, 3.15006e-05, 0.000129488, 3.15473e-05, 3.14074e-05, 3.14263e-05, 9.34074e-05, 3.13791e-05, 5.39818e-05, 3.13787e-05, 3.27741e-05
0.61173, 0, 0.000341113, 5.31876e-05, 1.41421, -0.000341113, 5.42127e-05, 5.31876e-05, 5.31898e-05, 5.31945e-05, 5.47764e-05, 5.33475e-05, 5.52892e-05, 5.39873e-05, 5.33905e-05, 0.000216583, 5.34004e-05, 5.32354e-05, 5.32545e-05, 0.000138908, 5.31881e-05, 8.34578e-05, 5.31876e-05, 5.55114e-05
0.619609, 0, 0.000528861, 8.84846e-05, 1.41421, -0.000528861, 9.01605e-05, 8.84846e-05, 8.84881e-05, 8.84959e-05, 9.1082e-05, 8.8746e-05, 9.22649e-05, 8.9792e-05, 8.88162e-05, 0.000355609, 8.87524e-05, 8.85626e-05, 8.85781e-05, 0.000206478, 8.84854e-05, 0.000129534, 8.84846e-05, 9.22836e-05
0.627487, 0, 0.000814765, 0.000144498, 1.41421, -0.000814765, 0.000147188, 0.000144498, 0.000144503, 0.000144516, 0.000148667, 0.000144917, 0.00015119, 0.000146596, 0.00014503, 0.000573231, 0.000144834, 0.000144623, 0.000144628, 0.000306362, 0.000144499, 0.000200851, 0.000144498, 0.000150595
0.635365, 0, 0.00124462, 0.000231657, 1.41421, -0.00124462, 0.000235896, 0.000231657, 0.000231666, 0.000231686, 0.000238227, 0.000232319, 0.000243313, 0.000234964, 0.000232496, 0.000907303, 0.000232079, 0.000231855, 0.000231838, 0.000453056, 0.00023166, 0.000309858, 0.000231657, 0.000241266
0.643244, 0, 0.00188188, 0.00036465, 1.41421, -0.00188188, 0.00037121, 0.00036465, 0.000364664, 0.000364694, 0.000374817, 0.000365673, 0.00038462, 0.000369767, 0.000365948, 0.00141025, 0.000365176, 0.000364955, 0.000364899, 0.000666695, 0.000364653, 0.000474088, 0.00036465, 0.00037952
0.651122, 0, 0.00281253, 0.000563651, 1.41421, -0.00281253, 0.000573622, 0.000563651, 0.000563672, 0.000563718, 0.000579104, 0.000565206, 0.000597304, 0.000571429, 0.000565624, 0.0021529, 0.000564308, 0.000564115, 0.000563993, 0.000974721, 0.000563656, 0.000717667, 0.000563651, 0.000586254
0.659, 0, 0.00415034, 0.000855675, 1.41421, -0.00415034, 0.000870562, 0.000855675, 0.000855707, 0.000855775, 0.000878747, 0.000857998, 0.000911439, 0.000867289, 0.000858621, 0.00322849, 0.000856493, 0.000856368, 0.000856144, 0.00141373, 0.000855682, 0.001073, 0.000855675, 0.000889422
