   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.290691, 0, 1.46408e-10, 4.30199e-43, 1.41421, -1.46408e-10, 4.30199e-43, 0, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 4.30199e-43, 6.58356e-13, 4.30199e-43, 4.30199e-43, 3.70365e-15, 4.30199e-43, 8.81344e-12, 4.30199e-43, 1.36932e-10, 4.30199e-43, 4.30199e-43
0.298562, 0, 2.21414e-10, 6.38712e-42, 1.41421, -2.21414e-10, 6.38712e-42, 0, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 6.38712e-42, 9.92946e-13, 6.38712e-42, 6.38712e-42, 5.82478e-15, 6.38712e-42, 1.39848e-11, 6.38712e-42, 2.0643e-10, 6.38712e-42, 6.38712e-42
0.306433, 0, 3.32895e-10, 8.38481e-41, 1.41421, -3.32895e-10, 8.38481e-41, 0, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 8.38481e-41, 1.48851e-12, 8.38481e-41, 8.38481e-41, 9.13449e-15, 8.38481e-41, 2.21112e-11, 8.38481e-41, 3.09286e-10, 8.38481e-41, 8.38481e-41
0.314303, 0, 4.97628e-10, 9.85089e-40, 1.41421, -4.97628e-10, 9.85089e-40, 0, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 9.85089e-40, 2.21798e-12, 9.85089e-40, 9.85089e-40, 1.42894e-14, 9.85089e-40, 3.48429e-11, 9.85089e-40, 4.60553e-10, 9.85089e-40, 9.85089e-40
0.322174, 0, 7.3966e-10, 1.04327e-38, 1.41421, -7.3966e-10, 1.04327e-38, 0, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 1.04327e-38, 3.28521e-12, 1.04327e-38, 1.04327e-38, 2.2307e-14, 1.04327e-38, 5.47346e-11, 1.04327e-38, 6.81618e-10, 1.04327e-38, 1.04327e-38
0.330045, 0, 1.09328e-09, 1.0011e-37, 1.41421, -1.09328e-09, 1.0011e-37, 0, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 1.0011e-37, 4.83715e-12, 1.0011e-37, 1.0011e-37, 3.47647e-14, 1.0011e-37, 8.57346e-11, 1.0011e-37, 1.00267e-09, 1.0011e-37, 1.0011e-37
0.337916, 0, 1.6071e-09, 8.75165e-37, 1.41421, -1.6071e-09, 8.75165e-37, 0, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 8.75165e-37, 7.08045e-12, 8.75165e-37, 8.75165e-37, 5.41092e-14, 8.75165e-37, 1.33937e-10, 8.75165e-37, 1.46603e-09, 8.75165e-37, 8.75165e-37
0.345786, 0, 2.34975e-09, 7.00516e-36, 1.41421, -2.34975e-09, 7.00516e-36, 0, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 7.00516e-36, 1.03039e-11, 7.00516e-36, 7.00516e-36, 8.41384e-14, 7.00516e-36, 2.08733e-10, 7.00516e-36, 2.13063e-09, 7.00516e-36, 7.00516e-36
0.353657, 0, 3.4176e-09, 5.15951e-35, 1.41421, -3.4176e-09, 5.15951e-35, 0, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 5.15951e-35, 1.49085e-11, 5.15951e-35, 5.15951e-35, 1.30751e-13, 5.15951e-35, 3.24577e-10, 5.15951e-35, 3.07798e-09, 5.15951e-35, 5.15951e-35
0.361528, 0, 4.94546e-09, 3.51077e-34, 1.41421, -4.94546e-09, 3.51077e-34, 0, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 3.51077e-34, 2.14483e-11, 3.51077e-34, 3.51077e-34, 2.03114e-13, 3.51077e-34, 5.03693e-10, 3.51077e-34, 4.42011e-09, 3.51077e-34, 3.51077e-34
0.369398, 0, 7.12111e-09, 2.39519e-33, 1.41421, -7.12111e-09, 2.39519e-33, 0, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 2.39519e-33, 3.06835e-11, 2.39519e-33, 2.39519e-33, 3.15471e-13, 2.39519e-33, 7.80192e-10, 2.39519e-33, 6.30992e-09, 2.39519e-33, 2.39519e-33
0.377269, 0, 1.02052e-08, 1.54949e-32, 1.41421, -1.02052e-08, 1.54949e-32, 0, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 1.54949e-32, 4.3652e-11, 1.54949e-32, 1.54949e-32, 4.89956e-13, 1.54949e-32, 1.20636e-09, 1.54949e-32, 8.95472e-09, 1.54949e-32, 1.54949e-32
0.38514, 0, 1.45586e-08, 9.37489e-32, 1.41421, -1.45586e-08, 9.37489e-32, 0, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 9.37489e-32, 6.17626e-11, 9.37489e-32, 9.37489e-32, 7.60931e-13, 9.37489e-32, 1.86219e-09, 9.37489e-32, 1.26339e-08, 9.37489e-32, 9.37489e-32
0.39301, 0, 2.06791e-08, 5.29797e-31, 1.41421, -2.06791e-08, 5.29797e-31, 0, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 5.29797e-31, 8.6917e-11, 5.29797e-31, 5.29797e-31, 1.18168e-12, 5.29797e-31, 2.86981e-09, 5.29797e-31, 1.77212e-08, 5.29797e-31, 5.29797e-31
0.400881, 0, 2.92525e-08, 2.80307e-30, 1.41421, -2.92525e-08, 2.80307e-30, 0, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 2.80307e-30, 1.21669e-10, 2.80307e-30, 2.80307e-30, 1.83468e-12, 2.80307e-30, 4.4152e-09, 2.80307e-30, 2.47137e-08, 2.80307e-30, 2.80307e-30
0.408752, 0, 4.12215e-08, 1.39265e-29, 1.41421, -4.12215e-08, 1.39265e-29, 0, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.39265e-29, 1.69432e-10, 1.39265e-29, 1.39265e-29, 2.84727e-12, 1.39265e-29, 6.78076e-09, 1.39265e-29, 3.42685e-08, 1.39265e-29, 1.39265e-29
0.416622, 0, 5.78804e-08, 6.51792e-29, 1.41421, -5.78804e-08, 6.51792e-29, 0, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 6.51792e-29, 2.34742e-10, 6.51792e-29, 6.51792e-29, 4.41552e-12, 6.51792e-29, 1.03937e-08, 6.51792e-29, 4.72475e-08, 6.51792e-29, 6.51792e-29
0.424493, 0, 8.10042e-08, 2.88275e-28, 1.41421, -8.10042e-08, 2.88275e-28, 0, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 2.88275e-28, 3.23599e-10, 2.88275e-28, 2.88275e-28, 6.84019e-12, 2.88275e-28, 1.5898e-08, 2.88275e-28, 6.47757e-08, 2.88275e-28, 2.88275e-28
0.432364, 0, 1.13025e-07, 1.20847e-27, 1.41421, -1.13025e-07, 1.20847e-27, 0, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 1.20847e-27, 4.43903e-10, 1.20847e-27, 1.20847e-27, 1.05808e-11, 1.20847e-27, 2.42596e-08, 1.20847e-27, 8.83114e-08, 1.20847e-27, 1.20847e-27
0.440235, 0, 1.57276e-07, 4.81513e-27, 1.41421, -1.57276e-07, 4.81513e-27, 0, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 4.81513e-27, 6.06008e-10, 4.81513e-27, 4.81513e-27, 1.63362e-11, 4.81513e-27, 3.69206e-08, 4.81513e-27, 1.19733e-07, 4.81513e-27, 4.81513e-27
0.448105, 0, 2.18315e-07, 1.82836e-26, 1.41421, -2.18315e-07, 1.82836e-26, 0, 1.82836e-26, 1.82836e-26, 1.82836e-26, 1.82836e-26, 1.82836e-26, 5.38552e-14, 1.82836e-26, 1.82836e-26, 1.82836e-26, 8.23417e-10, 1.82836e-26, 1.82836e-26, 2.51639e-11, 1.82836e-26, 5.60214e-08, 1.82836e-26, 1.61445e-07, 1.82836e-26, 1.82836e-26
0.455976, 0, 3.0238e-07, 6.6326e-26, 1.41421, -3.0238e-07, 6.6326e-26, 0, 6.6326e-26, 6.6326e-26, 6.6326e-26, 6.6326e-26, 6.6326e-26, 1.71945e-13, 6.6326e-26, 6.6326e-26, 6.6326e-26, 1.11366e-09, 6.6326e-26, 6.6326e-26, 3.86554e-11, 6.6326e-26, 8.47202e-08, 6.6326e-26, 2.16508e-07, 6.6326e-26, 6.6326e-26
0.463847, 0, 4.17995e-07, 2.31284e-25, 1.41421, -4.17995e-07, 2.31284e-25, 0, 2.31284e-25, 2.31284e-25, 2.31284e-25, 2.31284e-25, 2.31284e-25, 4.24654e-13, 2.31284e-25, 2.31284e-25, 2.31284e-25, 1.4994e-09, 2.31284e-25, 2.31284e-25, 5.91921e-11, 2.31284e-25, 1.27646e-07, 2.31284e-25, 2.8879e-07, 2.31284e-25, 2.31284e-25
