   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.283582, 0, 8.32683e-21, 0, 1.41421, -8.32683e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38248e-22, 0, 2.01145e-25, 1.24302e-24, 0, 8.18714e-21, 0, 0
0.291152, 0, 2.52719e-20, 0, 1.41421, -2.52719e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1958e-22, 0, 6.14475e-25, 3.85807e-24, 0, 2.48479e-20, 0, 0
0.298722, 0, 7.48805e-20, 0, 1.41421, -7.48805e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24321e-21, 0, 1.83317e-24, 1.1678e-23, 0, 7.36237e-20, 0, 0
0.306292, 0, 2.16842e-19, 0, 1.41421, -2.16842e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60012e-21, 0, 5.34667e-24, 3.45163e-23, 0, 2.13202e-19, 0, 0
0.313862, 0, 6.1428e-19, 0, 1.41421, -6.1428e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01985e-20, 0, 1.52601e-23, 9.97238e-23, 0, 6.03967e-19, 0, 0
0.321431, 0, 1.70369e-18, 0, 1.41421, -1.70369e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82853e-20, 0, 4.26569e-23, 2.81903e-22, 0, 1.67508e-18, 0, 0
0.329001, 0, 4.62939e-18, 0, 1.41421, -4.62939e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68582e-20, 0, 1.16867e-22, 7.80329e-22, 0, 4.55164e-18, 0, 0
0.336571, 0, 1.23321e-17, 0, 1.41421, -1.23321e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04738e-19, 0, 3.14013e-22, 2.11661e-21, 0, 1.21249e-17, 0, 0
0.344141, 0, 3.22228e-17, 0, 1.41421, -3.22228e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34958e-19, 0, 8.27948e-22, 5.62937e-21, 0, 3.16814e-17, 0, 0
0.351711, 0, 8.26264e-17, 0, 1.41421, -8.26264e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37173e-18, 0, 2.14332e-21, 1.46886e-20, 0, 8.12379e-17, 0, 0
0.359281, 0, 2.08012e-16, 0, 1.41421, -2.08012e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45325e-18, 0, 5.44996e-21, 3.76195e-20, 0, 2.04516e-16, 0, 0
0.36685, 0, 5.14323e-16, 0, 1.41421, -5.14323e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.53814e-18, 0, 1.36176e-20, 9.46117e-20, 0, 5.05677e-16, 0, 0
0.37442, 0, 1.24942e-15, 0, 1.41421, -1.24942e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07406e-17, 0, 3.34477e-20, 2.33748e-19, 0, 1.22841e-15, 0, 0
0.38199, 0, 2.9829e-15, 0, 1.41421, -2.9829e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95145e-17, 0, 8.07874e-20, 5.67513e-19, 0, 2.93274e-15, 0, 0
0.38956, 0, 7.00074e-15, 0, 1.41421, -7.00074e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16202e-16, 0, 1.91954e-19, 1.35447e-18, 0, 6.88299e-15, 0, 0
0.39713, 0, 1.61556e-14, 0, 1.41421, -1.61556e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68145e-16, 0, 4.48805e-19, 3.17871e-18, 0, 1.58839e-14, 0, 0
