   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_131.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.504079, 0, 4.19651e-07, 6.99138e-10, 1.41421, -4.19651e-07, 6.99138e-10, 6.99153e-10, 6.99278e-10, 6.99267e-10, 6.99207e-10, 7.01812e-10, 6.99423e-10, 7.0807e-10, 2.70368e-09, 2.92178e-09, 6.99204e-10, 9.64911e-10, 2.96267e-09, 6.99139e-10, 4.12863e-07, 6.99138e-10, 7.17623e-10
0.51199, 0, 5.78903e-07, 2.42744e-09, 1.41421, -5.78903e-07, 2.42744e-09, 2.4275e-09, 2.42793e-09, 2.4279e-09, 2.42769e-09, 2.43675e-09, 2.42844e-09, 2.45853e-09, 9.40255e-09, 5.49907e-09, 2.42768e-09, 2.85103e-09, 6.00643e-09, 2.42745e-09, 5.64746e-07, 2.42744e-09, 2.49177e-09
0.519902, 0, 7.98329e-07, 6.54994e-09, 1.41421, -7.98329e-07, 6.54994e-09, 6.55008e-09, 6.55126e-09, 6.55116e-09, 6.5506e-09, 6.57509e-09, 6.55263e-09, 6.63397e-09, 2.54075e-08, 1.07708e-08, 6.55056e-09, 7.22102e-09, 1.21709e-08, 6.54995e-09, 7.68669e-07, 6.54994e-09, 6.72384e-09
0.527814, 0, 1.10503e-06, 1.61028e-08, 1.41421, -1.10503e-06, 1.61028e-08, 1.61031e-08, 1.6106e-08, 1.61058e-08, 1.61044e-08, 1.61647e-08, 1.61094e-08, 1.63096e-08, 6.25166e-08, 2.18707e-08, 1.61043e-08, 1.71592e-08, 2.48666e-08, 1.61028e-08, 1.04232e-06, 1.61028e-08, 1.65308e-08
0.535726, 0, 1.54421e-06, 3.76387e-08, 1.41421, -1.54421e-06, 3.76387e-08, 3.76395e-08, 3.76463e-08, 3.76457e-08, 3.76425e-08, 3.77835e-08, 3.76542e-08, 3.81225e-08, 1.46207e-07, 4.54776e-08, 3.76423e-08, 3.92908e-08, 5.11968e-08, 3.76388e-08, 1.41093e-06, 3.76387e-08, 3.86399e-08
0.543637, 0, 2.19487e-06, 8.4918e-08, 1.41421, -2.19487e-06, 8.4918e-08, 8.49199e-08, 8.49352e-08, 8.49339e-08, 8.49266e-08, 8.52449e-08, 8.4953e-08, 8.60101e-08, 3.29991e-07, 9.55141e-08, 8.49262e-08, 8.74835e-08, 1.05749e-07, 8.49182e-08, 1.91204e-06, 8.4918e-08, 8.71781e-08
0.551549, 0, 3.19968e-06, 1.8605e-07, 1.41421, -3.19968e-06, 1.8605e-07, 1.86054e-07, 1.86087e-07, 1.86084e-07, 1.86068e-07, 1.86766e-07, 1.86126e-07, 1.88443e-07, 7.23222e-07, 2.00296e-07, 1.86067e-07, 1.90005e-07, 2.17761e-07, 1.8605e-07, 2.60434e-06, 1.8605e-07, 1.91003e-07
0.559461, 0, 4.82048e-06, 3.96896e-07, 1.41421, -4.82048e-06, 3.96896e-07, 3.96905e-07, 3.96976e-07, 3.9697e-07, 3.96936e-07, 3.98425e-07, 3.97059e-07, 4.02004e-07, 1.54327e-06, 4.15949e-07, 3.96934e-07, 4.02949e-07, 4.44757e-07, 3.96897e-07, 3.58353e-06, 3.96896e-07, 4.07467e-07
0.567373, 0, 7.54035e-06, 8.25847e-07, 1.41421, -7.54035e-06, 8.25847e-07, 8.25865e-07, 8.26015e-07, 8.26001e-07, 8.2593e-07, 8.2903e-07, 8.26187e-07, 8.36481e-07, 3.21209e-06, 8.51197e-07, 8.25926e-07, 8.35046e-07, 8.97456e-07, 8.25849e-07, 5.01127e-06, 8.25847e-07, 8.47853e-07
0.575284, 0, 1.2233e-05, 1.67528e-06, 1.41421, -1.2233e-05, 1.67528e-06, 1.67532e-06, 1.67562e-06, 1.67559e-06, 1.67545e-06, 1.68174e-06, 1.67597e-06, 1.69686e-06, 6.5176e-06, 1.70883e-06, 1.67544e-06, 1.68915e-06, 1.78148e-06, 1.67529e-06, 7.16267e-06, 1.67528e-06, 1.71994e-06
