   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_705.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0657718, 0, 3.24502e-14, 0, 1.41421, -3.24502e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68345e-17, 0, 1.84874e-18, 0, 3.23815e-14, 0, 0, 0
0.0736487, 0, 5.197e-14, 0, 1.41421, -5.197e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0906e-16, 0, 3.05524e-18, 0, 5.18579e-14, 0, 0, 0
0.0815255, 0, 8.27888e-14, 0, 1.41421, -8.27888e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77067e-16, 0, 5.02549e-18, 0, 8.26067e-14, 0, 0, 0
0.0894024, 0, 1.31187e-13, 0, 1.41421, -1.31187e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86055e-16, 0, 8.22803e-18, 0, 1.30893e-13, 0, 0, 0
0.0972793, 0, 2.0679e-13, 0, 1.41421, -2.0679e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59862e-16, 0, 1.34098e-17, 0, 2.06316e-13, 0, 0, 0
0.105156, 0, 3.24263e-13, 0, 1.41421, -3.24263e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35693e-16, 0, 2.17556e-17, 0, 3.23505e-13, 0, 0, 0
0.113033, 0, 5.05837e-13, 0, 1.41421, -5.05837e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17135e-15, 0, 3.51401e-17, 0, 5.04631e-13, 0, 0, 0
0.12091, 0, 7.85023e-13, 0, 1.41421, -7.85023e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8562e-15, 0, 5.65085e-17, 0, 7.83111e-13, 0, 0, 0
0.128787, 0, 1.21206e-12, 0, 1.41421, -1.21206e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92784e-15, 0, 9.04739e-17, 0, 1.20904e-12, 0, 0, 0
0.136664, 0, 1.86185e-12, 0, 1.41421, -1.86185e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59711e-15, 0, 1.4423e-16, 0, 1.85711e-12, 0, 0, 0
0.144541, 0, 2.84549e-12, 0, 1.41421, -2.84549e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18597e-15, 0, 2.28944e-16, 0, 2.83807e-12, 0, 0, 0
0.152417, 0, 4.32684e-12, 0, 1.41421, -4.32684e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11839e-14, 0, 3.61888e-16, 0, 4.31529e-12, 0, 0, 0
0.160294, 0, 6.54625e-12, 0, 1.41421, -6.54625e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73321e-14, 0, 5.69652e-16, 0, 6.52835e-12, 0, 0, 0
0.168171, 0, 9.85453e-12, 0, 1.41421, -9.85453e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67492e-14, 0, 8.93029e-16, 0, 9.82689e-12, 0, 0, 0
0.176048, 0, 1.47607e-11, 0, 1.41421, -1.47607e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11178e-14, 0, 1.39434e-15, 0, 1.47182e-11, 0, 0, 0
0.183925, 0, 2.19995e-11, 0, 1.41421, -2.19995e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29613e-14, 0, 2.16845e-15, 0, 2.19343e-11, 0, 0, 0
0.191802, 0, 3.26258e-11, 0, 1.41421, -3.26258e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60535e-14, 0, 3.35925e-15, 0, 3.25264e-11, 0, 0, 0
0.199679, 0, 4.81462e-11, 0, 1.41421, -4.81462e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46025e-13, 0, 5.18418e-15, 0, 4.7995e-11, 0, 0, 0
0.207556, 0, 7.07005e-11, 0, 1.41421, -7.07005e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21263e-13, 0, 7.97082e-15, 0, 7.04713e-11, 0, 0, 0
0.215432, 0, 1.03312e-10, 0, 1.41421, -1.03312e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34232e-13, 0, 1.2211e-14, 0, 1.02965e-10, 0, 0, 0
0.223309, 0, 1.50228e-10, 0, 1.41421, -1.50228e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03448e-13, 0, 1.8641e-14, 0, 1.49706e-10, 0, 0, 0
0.231186, 0, 2.17387e-10, 0, 1.41421, -2.17387e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56382e-13, 0, 2.83598e-14, 0, 2.16602e-10, 0, 0, 0
0.239063, 0, 3.13046e-10, 0, 1.41421, -3.13046e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13378e-12, 0, 4.30035e-14, 0, 3.11869e-10, 0, 0, 0
0.24694, 0, 4.48622e-10, 2.0459e-43, 1.41421, -4.48622e-10, 0, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 2.0459e-43, 1.69609e-12, 2.0459e-43, 6.50014e-14, 2.0459e-43, 4.4686e-10, 2.0459e-43, 2.0459e-43, 2.0459e-43
0.254817, 0, 6.39821e-10, 3.42477e-42, 1.41421, -6.39821e-10, 0, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 3.42477e-42, 2.53297e-12, 3.42477e-42, 9.7952e-14, 3.42477e-42, 6.3719e-10, 3.42477e-42, 3.42477e-42, 3.42477e-42
0.262694, 0, 9.08141e-10, 4.77338e-41, 1.41421, -9.08141e-10, 0, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 4.77338e-41, 3.77756e-12, 4.77338e-41, 1.47174e-13, 4.77338e-41, 9.04216e-10, 4.77338e-41, 4.77338e-41, 4.77338e-41
0.270571, 0, 1.28284e-09, 5.90062e-40, 1.41421, -1.28284e-09, 0, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.90062e-40, 5.62766e-12, 5.90062e-40, 2.20514e-13, 5.90062e-40, 1.27699e-09, 5.90062e-40, 5.90062e-40, 5.90062e-40
0.278447, 0, 1.80354e-09, 6.54939e-39, 1.41421, -1.80354e-09, 0, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 6.54939e-39, 8.37745e-12, 6.54939e-39, 3.29522e-13, 6.54939e-39, 1.79483e-09, 6.54939e-39, 6.54939e-39, 6.54939e-39
0.286324, 0, 2.52363e-09, 6.56576e-38, 1.41421, -2.52363e-09, 0, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 6.56576e-38, 1.24649e-11, 6.56576e-38, 4.91171e-13, 6.56576e-38, 2.51067e-09, 6.56576e-38, 6.56576e-38, 6.56576e-38
0.294201, 0, 3.51465e-09, 5.9776e-37, 1.41421, -3.51465e-09, 0, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 5.9776e-37, 1.85426e-11, 5.9776e-37, 7.30358e-13, 5.9776e-37, 3.49538e-09, 5.9776e-37, 5.9776e-37, 5.9776e-37
0.302078, 0, 4.87201e-09, 4.96834e-36, 1.41421, -4.87201e-09, 0, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 4.96834e-36, 2.75838e-11, 4.96834e-36, 1.08355e-12, 4.96834e-36, 4.84334e-09, 4.96834e-36, 4.96834e-36, 4.96834e-36
0.309955, 0, 6.72227e-09, 3.78885e-35, 1.41421, -6.72227e-09, 0, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 3.78885e-35, 4.10407e-11, 3.78885e-35, 1.60404e-12, 3.78885e-35, 6.67962e-09, 3.78885e-35, 3.78885e-35, 3.78885e-35
0.317832, 0, 9.23251e-09, 2.66348e-34, 1.41421, -9.23251e-09, 0, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 2.66348e-34, 6.10809e-11, 2.66348e-34, 2.36962e-12, 2.66348e-34, 9.16906e-09, 2.66348e-34, 2.66348e-34, 2.66348e-34
0.325709, 0, 1.26223e-08, 1.79559e-33, 1.41421, -1.26223e-08, 0, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 1.79559e-33, 9.09397e-11, 1.79559e-33, 3.49363e-12, 1.79559e-33, 1.25278e-08, 1.79559e-33, 1.79559e-33, 1.79559e-33
0.333586, 0, 1.71784e-08, 1.15538e-32, 1.41421, -1.71784e-08, 0, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.15538e-32, 1.35443e-10, 1.15538e-32, 5.14081e-12, 1.15538e-32, 1.70378e-08, 1.15538e-32, 1.15538e-32, 1.15538e-32
0.341462, 0, 2.32742e-08, 7.09714e-32, 1.41421, -2.32742e-08, 0, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 7.09714e-32, 2.01782e-10, 7.09714e-32, 7.55026e-12, 7.09714e-32, 2.30649e-08, 7.09714e-32, 7.09714e-32, 7.09714e-32
0.349339, 0, 3.13931e-08, 4.02236e-31, 1.41421, -3.13931e-08, 0, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 4.02236e-31, 3.00661e-10, 4.02236e-31, 1.1068e-11, 4.02236e-31, 3.10813e-08, 4.02236e-31, 4.02236e-31, 4.02236e-31
0.357216, 0, 4.21581e-08, 2.15206e-30, 1.41421, -4.21581e-08, 0, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 2.15206e-30, 4.47978e-10, 2.15206e-30, 1.61938e-11, 2.15206e-30, 4.16939e-08, 2.15206e-30, 2.15206e-30, 2.15206e-30
0.365093, 0, 5.63689e-08, 1.08216e-29, 1.41421, -5.63689e-08, 0, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 1.08216e-29, 6.67295e-10, 1.08216e-29, 2.36471e-11, 1.08216e-29, 5.56779e-08, 1.08216e-29, 1.08216e-29, 1.08216e-29
0.37297, 0, 7.50471e-08, 5.1229e-29, 1.41421, -7.50471e-08, 0, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 5.1229e-29, 9.93425e-10, 5.1229e-29, 3.44608e-11, 5.1229e-29, 7.40192e-08, 5.1229e-29, 5.1229e-29, 5.1229e-29
0.380847, 0, 9.94929e-08, 2.30064e-28, 1.41421, -9.94929e-08, 0, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 2.30064e-28, 1.47765e-09, 2.30064e-28, 5.01124e-11, 2.30064e-28, 9.79651e-08, 2.30064e-28, 2.30064e-28, 2.30064e-28
0.388724, 0, 1.31354e-07, 9.79615e-28, 1.41421, -1.31354e-07, 0, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 9.79615e-28, 2.19525e-09, 9.79615e-28, 7.27074e-11, 9.79615e-28, 1.29086e-07, 9.79615e-28, 9.79615e-28, 9.79615e-28
0.3966, 0, 1.7271e-07, 3.961e-27, 1.41421, -1.7271e-07, 0, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.961e-27, 3.25624e-09, 3.961e-27, 1.05235e-10, 3.961e-27, 1.69348e-07, 3.961e-27, 3.961e-27, 3.961e-27
0.404477, 0, 2.26177e-07, 1.52424e-26, 1.41421, -2.26177e-07, 0, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 1.52424e-26, 4.82077e-09, 1.52424e-26, 1.51917e-10, 1.52424e-26, 2.21204e-07, 1.52424e-26, 1.52424e-26, 1.52424e-26
0.412354, 0, 2.95035e-07, 5.59529e-26, 1.41421, -2.95035e-07, 0, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 6.80453e-13, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 5.59529e-26, 7.12084e-09, 5.59529e-26, 2.18694e-10, 5.59529e-26, 2.87695e-07, 5.59529e-26, 5.59529e-26, 5.59529e-26
0.420231, 0, 3.83382e-07, 1.96386e-25, 1.41421, -3.83382e-07, 0, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 2.05413e-12, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.96386e-25, 1.04909e-08, 1.96386e-25, 3.13876e-10, 1.96386e-25, 3.72575e-07, 1.96386e-25, 1.96386e-25, 1.96386e-25
0.428108, 0, 4.9795e-07, 6.6776e-25, 1.41421, -4.9795e-07, 0, 4.05734e-12, 1.25412e-14, 6.41395e-11, 5.33155e-11, 4.69225e-10, 1.60002e-10, 1.53557e-12, 3.50143e-11, 5.1696e-11, 3.169e-11, 6.25415e-10, 2.0988e-11, 5.90299e-13, 1.54108e-08, 3.94525e-13, 4.49026e-10, 1.42873e-15, 4.80521e-07, 6.6776e-25, 6.6776e-25, 5.14032e-11
0.435985, 0, 6.45381e-07, 2.86123e-10, 1.41421, -6.45381e-07, 2.86123e-10, 2.98329e-10, 2.8616e-10, 4.79081e-10, 4.46518e-10, 1.69775e-09, 7.67477e-10, 2.90742e-10, 3.87168e-10, 4.41646e-10, 3.8146e-10, 2.16764e-09, 3.49263e-10, 2.87898e-10, 2.28518e-08, 2.89995e-10, 9.26269e-10, 2.86127e-10, 6.17455e-07, 2.86123e-10, 2.86123e-10, 4.40765e-10
0.443862, 0, 8.35095e-07, 8.59563e-10, 1.41421, -8.35095e-07, 8.59563e-10, 8.8786e-10, 8.5965e-10, 1.3069e-09, 1.23141e-09, 4.13212e-09, 1.97548e-09, 8.70272e-10, 1.09069e-09, 1.22011e-09, 1.08058e-09, 5.22145e-09, 1.00594e-09, 8.6368e-10, 3.37875e-08, 8.74453e-10, 1.76881e-09, 8.59573e-10, 7.90313e-07, 8.59563e-10, 8.59563e-10, 1.21807e-09
0.451739, 0, 1.08012e-06, 1.99084e-09, 1.41421, -1.08012e-06, 1.99084e-09, 2.05041e-09, 1.99102e-09, 2.93252e-09, 2.7736e-09, 8.87986e-09, 4.33994e-09, 2.01338e-09, 2.47418e-09, 2.74982e-09, 2.4561e-09, 1.1173e-08, 2.29898e-09, 1.99951e-09, 4.98592e-08, 2.02979e-09, 3.27723e-09, 1.99086e-09, 1.00792e-06, 1.99084e-09, 1.99084e-09, 2.74552e-09
0.459615, 0, 1.39832e-06, 4.18741e-09, 1.41421, -1.39832e-06, 4.18741e-09, 4.30681e-09, 4.18778e-09, 6.07501e-09, 5.75646e-09, 1.79965e-08, 8.89622e-09, 4.2326e-09, 5.15232e-09, 5.7088e-09, 5.12003e-09, 2.25932e-08, 4.80508e-09, 4.20478e-09, 7.34982e-08, 4.27583e-09, 5.99983e-09, 4.18745e-09, 1.281e-06, 4.18741e-09, 4.18741e-09, 5.70019e-09
0.467492, 0, 1.81535e-06, 8.38682e-09, 1.41421, -1.81535e-06, 8.38682e-09, 8.619e-09, 8.38754e-09, 1.20571e-08, 1.14377e-08, 3.52375e-08, 1.75427e-08, 8.47469e-09, 1.02566e-08, 1.13451e-08, 1.02002e-08, 4.41753e-08, 9.58783e-09, 8.4206e-09, 1.08326e-07, 8.57335e-09, 1.09293e-08, 8.3869e-09, 1.62303e-06, 8.38682e-09, 8.38682e-09, 1.13283e-08
0.475369, 0, 2.36916e-06, 1.62971e-08, 1.41421, -2.36916e-06, 1.62971e-08, 1.67386e-08, 1.62985e-08, 2.32766e-08, 2.20988e-08, 6.7357e-08, 3.37081e-08, 1.64642e-08, 2.0129e-08, 2.19225e-08, 1.97455e-08, 8.43532e-08, 1.8581e-08, 1.63613e-08, 1.59776e-07, 1.66731e-08, 1.98514e-08, 1.62972e-08, 2.05098e-06, 1.62971e-08, 1.62971e-08, 2.18907e-08
0.483246, 0, 3.11678e-06, 3.09746e-08, 1.41421, -3.11678e-06, 3.09746e-08, 3.1799e-08, 3.09772e-08, 4.40055e-08, 4.18065e-08, 1.26305e-07, 6.34815e-08, 3.12866e-08, 3.872e-08, 4.14775e-08, 3.74129e-08, 1.58037e-07, 3.52387e-08, 3.10946e-08, 2.36039e-07, 3.17093e-08, 3.59165e-08, 3.09749e-08, 2.58663e-06, 3.09746e-08, 3.09746e-08, 4.1418e-08
0.491123, 0, 4.15198e-06, 5.7802e-08, 1.41421, -4.15198e-06, 5.7802e-08, 5.93159e-08, 5.78067e-08, 8.17339e-08, 7.76952e-08, 2.3288e-07, 1.17502e-07, 5.8375e-08, 7.89845e-08, 7.70909e-08, 6.96263e-08, 2.91158e-07, 6.56331e-08, 5.80223e-08, 3.49541e-07, 5.92034e-08, 6.46401e-08, 5.78025e-08, 3.25843e-06, 5.7802e-08, 5.7802e-08, 7.69817e-08
0.499, 0, 5.61168e-06, 1.06109e-07, 1.41421, -5.61168e-06, 1.06109e-07, 1.08847e-07, 1.06118e-07, 1.49388e-07, 1.42084e-07, 4.2272e-07, 2.14071e-07, 1.07145e-07, 1.52907e-07, 1.40991e-07, 1.27492e-07, 5.2811e-07, 1.20271e-07, 1.06508e-07, 5.19288e-07, 1.0873e-07, 1.15525e-07, 1.0611e-07, 4.10455e-06, 1.06109e-07, 1.06109e-07, 1.40794e-07
0.506877, 0, 7.71677e-06, 1.91804e-07, 1.41421, -7.71677e-06, 1.91804e-07, 1.96681e-07, 1.91819e-07, 2.68908e-07, 2.55896e-07, 7.55874e-07, 3.84148e-07, 1.9365e-07, 2.86769e-07, 2.53949e-07, 2.29899e-07, 9.43636e-07, 2.17034e-07, 1.92513e-07, 7.74339e-07, 1.96622e-07, 2.04705e-07, 1.91805e-07, 5.17739e-06, 1.91804e-07, 1.91804e-07, 2.53597e-07
0.514754, 0, 1.08156e-05, 3.4157e-07, 1.41421, -1.08156e-05, 3.4157e-07, 3.50134e-07, 3.41597e-07, 4.76943e-07, 4.54098e-07, 1.33191e-06, 6.7927e-07, 3.44811e-07, 5.25365e-07, 4.5068e-07, 4.08455e-07, 1.66157e-06, 3.85867e-07, 3.42816e-07, 1.15878e-06, 3.50287e-07, 3.59158e-07, 3.41573e-07, 6.5505e-06, 3.4157e-07, 3.4157e-07, 4.50061e-07
0.522631, 0, 1.54542e-05, 5.99443e-07, 1.41421, -1.54542e-05, 5.99443e-07, 6.14261e-07, 5.99488e-07, 8.33704e-07, 7.9417e-07, 2.31322e-06, 1.18383e-06, 6.05051e-07, 9.40578e-07, 7.88255e-07, 7.15186e-07, 2.88369e-06, 6.76098e-07, 6.01599e-07, 1.74043e-06, 6.14978e-07, 6.23299e-07, 5.99448e-07, 8.3297e-06, 5.99443e-07, 5.99443e-07, 7.87186e-07
0.530507, 0, 2.24958e-05, 1.03691e-06, 1.41421, -2.24958e-05, 1.03691e-06, 1.06219e-06, 1.03698e-06, 1.43652e-06, 1.36909e-06, 3.96038e-06, 2.03379e-06, 1.04647e-06, 1.66047e-06, 1.35899e-06, 1.23435e-06, 4.93352e-06, 1.16767e-06, 1.04058e-06, 2.62246e-06, 1.0642e-06, 1.06911e-06, 1.03692e-06, 1.06692e-05, 1.03691e-06, 1.03691e-06, 1.35717e-06
0.538384, 0, 3.328e-05, 1.76809e-06, 1.41421, -3.328e-05, 1.76809e-06, 1.8106e-06, 1.76822e-06, 2.44014e-06, 2.32672e-06, 6.68457e-06, 3.44457e-06, 1.78418e-06, 2.89424e-06, 2.30975e-06, 2.10013e-06, 8.32111e-06, 1.988e-06, 1.77428e-06, 3.96124e-06, 1.81535e-06, 1.81134e-06, 1.76811e-06, 1.37964e-05, 1.76809e-06, 1.76809e-06, 2.30669e-06
0.546261, 0, 4.98656e-05, 2.9722e-06, 1.41421, -4.98656e-05, 2.9722e-06, 3.04269e-06, 2.97242e-06, 4.08648e-06, 3.89843e-06, 1.11239e-05, 5.75187e-06, 2.99888e-06, 4.98149e-06, 3.8703e-06, 3.52274e-06, 1.38373e-05, 3.33682e-06, 2.98246e-06, 5.99198e-06, 3.05292e-06, 3.03002e-06, 2.97223e-06, 1.80471e-05, 2.9722e-06, 2.9722e-06, 3.86521e-06
0.554138, 0, 7.53844e-05, 4.92599e-06, 1.41421, -7.53844e-05, 4.92599e-06, 5.04122e-06, 4.92634e-06, 6.7476e-06, 6.44019e-06, 1.82523e-05, 9.47017e-06, 4.9696e-06, 8.46738e-06, 6.39419e-06, 5.82601e-06, 2.26882e-05, 5.52206e-06, 4.94275e-06, 9.06561e-06, 5.06198e-06, 5.00292e-06, 4.92603e-06, 2.39217e-05, 4.92599e-06, 4.92599e-06, 6.38588e-06
0.562015, 0, 0.000114524, 8.0496e-06, 1.41421, -0.000114524, 8.0496e-06, 8.23535e-06, 8.05018e-06, 1.0986e-05, 1.04904e-05, 2.95312e-05, 1.53747e-05, 8.1199e-06, 1.42147e-05, 1.04163e-05, 9.50041e-06, 3.66818e-05, 9.01046e-06, 8.07663e-06, 1.37001e-05, 8.2756e-06, 8.15155e-06, 8.04967e-06, 3.2149e-05, 8.0496e-06, 8.0496e-06, 1.04029e-05
