   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_72.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.247998, 0, 8.08967e-23, 0, 1.41421, -8.08967e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6189e-25, 0, 0, 2.36833e-27, 0, 1.5798e-26, 0, 8.02167e-23, 0, 0, 0
0.255629, 0, 2.68227e-22, 0, 1.41421, -2.68227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19459e-24, 0, 0, 7.89101e-27, 0, 5.41034e-26, 0, 2.6597e-22, 0, 0, 0
0.263261, 0, 8.62056e-22, 0, 1.41421, -8.62056e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05318e-24, 0, 0, 2.54911e-26, 0, 1.79095e-25, 0, 8.54798e-22, 0, 0, 0
0.270892, 0, 2.6922e-21, 0, 1.41421, -2.6922e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2027e-23, 0, 0, 8.00363e-26, 0, 5.74772e-25, 0, 2.66952e-21, 0, 0, 0
0.278524, 0, 8.18677e-21, 0, 1.41421, -8.18677e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69818e-23, 0, 0, 2.44752e-25, 0, 1.79282e-24, 0, 8.11775e-21, 0, 0, 0
0.286156, 0, 2.4282e-20, 0, 1.41421, -2.4282e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98667e-22, 0, 0, 7.30208e-25, 0, 5.44603e-24, 0, 2.40771e-20, 0, 0, 0
0.293787, 0, 7.03475e-20, 0, 1.41421, -7.03475e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75557e-22, 0, 0, 2.12852e-24, 0, 1.61386e-23, 0, 6.97537e-20, 0, 0, 0
0.301419, 0, 1.99313e-19, 0, 1.41421, -1.99313e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63069e-21, 0, 0, 6.06952e-24, 0, 4.67207e-23, 0, 1.97629e-19, 0, 0, 0
0.30905, 0, 5.52828e-19, 0, 1.41421, -5.52828e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52298e-21, 0, 0, 1.69485e-23, 0, 1.32293e-22, 0, 5.48156e-19, 0, 0, 0
0.316682, 0, 1.50247e-18, 0, 1.41421, -1.50247e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22924e-20, 0, 0, 4.6388e-23, 0, 3.6677e-22, 0, 1.48976e-18, 0, 0, 0
0.324313, 0, 4.00421e-18, 0, 1.41421, -4.00421e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.276e-20, 0, 0, 1.24544e-22, 0, 9.96497e-22, 0, 3.97033e-18, 0, 0, 0
0.331945, 0, 1.04717e-17, 0, 1.41421, -1.04717e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56719e-20, 0, 0, 3.28234e-22, 0, 2.65532e-21, 0, 1.0383e-17, 0, 0, 0
0.339576, 0, 2.68881e-17, 0, 1.41421, -2.68881e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19975e-19, 0, 0, 8.49672e-22, 0, 6.94397e-21, 0, 2.66603e-17, 0, 0, 0
0.347208, 0, 6.78213e-17, 0, 1.41421, -6.78213e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54843e-19, 0, 0, 2.16151e-21, 0, 1.78322e-20, 0, 6.72465e-17, 0, 0, 0
0.35484, 0, 1.68125e-16, 0, 1.41421, -1.68125e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37539e-18, 0, 0, 5.40645e-21, 0, 4.49922e-20, 0, 1.66699e-16, 0, 0, 0
0.362471, 0, 4.09762e-16, 0, 1.41421, -4.09762e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35203e-18, 0, 0, 1.33014e-20, 0, 1.11583e-19, 0, 4.06285e-16, 0, 0, 0
0.370103, 0, 9.82224e-16, 0, 1.41421, -9.82224e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03467e-18, 0, 0, 3.22012e-20, 0, 2.72125e-19, 0, 9.73885e-16, 0, 0, 0
0.377734, 0, 2.31634e-15, 0, 1.41421, -2.31634e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89469e-17, 0, 0, 7.67338e-20, 0, 6.52825e-19, 0, 2.29667e-15, 0, 0, 0
0.385366, 0, 5.37559e-15, 0, 1.41421, -5.37559e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39677e-17, 0, 0, 1.80043e-19, 0, 1.54108e-18, 0, 5.3299e-15, 0, 0, 0
0.392997, 0, 1.22795e-14, 0, 1.41421, -1.22795e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00429e-16, 0, 0, 4.1611e-19, 0, 3.58083e-18, 0, 1.21751e-14, 0, 0, 0
0.400629, 0, 2.76159e-14, 0, 1.41421, -2.76159e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2584e-16, 0, 0, 9.4756e-19, 0, 8.19176e-18, 0, 2.73809e-14, 0, 0, 0
0.40826, 0, 6.11555e-14, 2.94273e-44, 1.41421, -6.11555e-14, 0, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 2.94273e-44, 5.00077e-16, 2.94273e-44, 2.94273e-44, 2.12673e-18, 2.94273e-44, 1.84548e-17, 2.94273e-44, 6.06348e-14, 2.94273e-44, 2.94273e-44, 2.94273e-44
0.415892, 0, 1.33377e-13, 4.9606e-43, 1.41421, -1.33377e-13, 0, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 4.9606e-43, 1.09054e-15, 4.9606e-43, 4.9606e-43, 4.70628e-18, 4.9606e-43, 4.09519e-17, 4.9606e-43, 1.32241e-13, 4.9606e-43, 4.9606e-43, 4.9606e-43
0.423524, 0, 2.86521e-13, 6.92382e-42, 1.41421, -2.86521e-13, 0, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 6.92382e-42, 2.34245e-15, 6.92382e-42, 6.92382e-42, 1.02725e-17, 6.92382e-42, 8.95282e-17, 6.92382e-42, 2.84079e-13, 6.92382e-42, 6.92382e-42, 6.92382e-42
0.431155, 0, 6.06339e-13, 8.53475e-41, 1.41421, -6.06339e-13, 0, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 8.53475e-41, 4.95659e-15, 8.53475e-41, 8.53475e-41, 2.21263e-17, 8.53475e-41, 1.92865e-16, 8.53475e-41, 6.01167e-13, 8.53475e-41, 8.53475e-41, 8.53475e-41
0.438787, 0, 1.26416e-12, 9.45965e-40, 1.41421, -1.26416e-12, 0, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 9.45965e-40, 1.0333e-14, 9.45965e-40, 9.45965e-40, 4.70562e-17, 9.45965e-40, 4.09492e-16, 9.45965e-40, 1.25337e-12, 9.45965e-40, 9.45965e-40, 9.45965e-40
0.446418, 0, 2.59695e-12, 9.51576e-39, 1.41421, -2.59695e-12, 0, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 9.51576e-39, 2.12251e-14, 9.51576e-39, 9.51576e-39, 9.88763e-17, 9.51576e-39, 8.57103e-16, 9.51576e-39, 2.57477e-12, 9.51576e-39, 9.51576e-39, 9.51576e-39
0.45405, 0, 5.25696e-12, 8.73464e-38, 1.41421, -5.25696e-12, 0, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 8.73464e-38, 4.2963e-14, 8.73464e-38, 8.73464e-38, 2.05439e-16, 8.73464e-38, 1.76896e-15, 8.73464e-38, 5.21202e-12, 8.73464e-38, 8.73464e-38, 8.73464e-38
0.461681, 0, 1.0487e-11, 7.35409e-37, 1.41421, -1.0487e-11, 0, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 7.35409e-37, 8.57043e-14, 7.35409e-37, 7.35409e-37, 4.22484e-16, 7.35409e-37, 3.60099e-15, 7.35409e-37, 1.03972e-11, 7.35409e-37, 7.35409e-37, 7.35409e-37
0.469313, 0, 2.06178e-11, 5.70674e-36, 1.41421, -2.06178e-11, 0, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 5.70674e-36, 1.68505e-13, 5.70674e-36, 5.70674e-36, 8.60913e-16, 5.70674e-36, 7.23255e-15, 5.70674e-36, 2.04412e-11, 5.70674e-36, 5.70674e-36, 5.70674e-36
0.476944, 0, 3.99524e-11, 4.1e-35, 1.41421, -3.99524e-11, 0, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 4.1e-35, 3.26568e-13, 4.1e-35, 4.1e-35, 1.74061e-15, 4.1e-35, 1.43389e-14, 4.1e-35, 3.96097e-11, 4.1e-35, 4.1e-35, 4.1e-35
0.484576, 0, 7.63098e-11, 2.73894e-34, 1.41421, -7.63098e-11, 0, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 2.73894e-34, 6.23917e-13, 2.73894e-34, 2.73894e-34, 3.49672e-15, 2.73894e-34, 2.80753e-14, 2.73894e-34, 7.56543e-11, 2.73894e-34, 2.73894e-34, 2.73894e-34
0.492208, 0, 1.43676e-10, 1.7834e-33, 1.41421, -1.43676e-10, 0, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.7834e-33, 1.17522e-12, 1.7834e-33, 1.7834e-33, 6.99043e-15, 1.7834e-33, 5.43279e-14, 1.7834e-33, 1.4244e-10, 1.7834e-33, 1.7834e-33, 1.7834e-33
0.499839, 0, 2.66677e-10, 1.11941e-32, 1.41421, -2.66677e-10, 0, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 1.11941e-32, 2.18278e-12, 1.11941e-32, 1.11941e-32, 1.39283e-14, 1.11941e-32, 1.0399e-13, 1.11941e-32, 2.64376e-10, 1.11941e-32, 1.11941e-32, 1.11941e-32
0.507471, 0, 4.87995e-10, 6.66692e-32, 1.41421, -4.87995e-10, 0, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 6.66692e-32, 3.99812e-12, 6.66692e-32, 6.66692e-32, 2.76991e-14, 6.66692e-32, 1.97114e-13, 6.66692e-32, 4.83772e-10, 6.66692e-32, 6.66692e-32, 6.66692e-32
0.515102, 0, 8.80453e-10, 3.74847e-31, 1.41421, -8.80453e-10, 0, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 3.74847e-31, 7.22318e-12, 3.74847e-31, 3.74847e-31, 5.50442e-14, 3.74847e-31, 3.70521e-13, 3.74847e-31, 8.72805e-10, 3.74847e-31, 3.74847e-31, 3.74847e-31
0.522734, 0, 1.56637e-09, 1.98909e-30, 1.41421, -1.56637e-09, 0, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.98909e-30, 1.28738e-11, 1.98909e-30, 1.98909e-30, 1.09387e-13, 1.98909e-30, 6.91848e-13, 1.98909e-30, 1.55269e-09, 1.98909e-30, 1.98909e-30, 1.98909e-30
0.530365, 0, 2.74803e-09, 9.97892e-30, 1.41421, -2.74803e-09, 0, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 9.97892e-30, 2.26402e-11, 9.97892e-30, 9.97892e-30, 2.17437e-13, 9.97892e-30, 1.28584e-12, 9.97892e-30, 2.72388e-09, 9.97892e-30, 9.97892e-30, 9.97892e-30
0.537997, 0, 4.75474e-09, 4.74432e-29, 1.41421, -4.75474e-09, 0, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 4.74432e-29, 3.92962e-11, 4.74432e-29, 4.74432e-29, 4.32188e-13, 4.74432e-29, 2.38406e-12, 4.74432e-29, 4.71263e-09, 4.74432e-29, 4.74432e-29, 4.74432e-29
0.545628, 0, 8.11454e-09, 2.14354e-28, 1.41421, -8.11454e-09, 0, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 2.14354e-28, 6.73341e-11, 2.14354e-28, 2.14354e-28, 8.5823e-13, 2.14354e-28, 4.42017e-12, 2.14354e-28, 8.04193e-09, 2.14354e-28, 2.14354e-28, 2.14354e-28
0.55326, 0, 1.3661e-08, 9.22888e-28, 1.41421, -1.3661e-08, 0, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 9.22888e-28, 1.13935e-10, 9.22888e-28, 9.22888e-28, 1.70037e-12, 9.22888e-28, 8.21387e-12, 9.22888e-28, 1.35371e-08, 9.22888e-28, 9.22888e-28, 9.22888e-28
0.560892, 0, 2.26905e-08, 3.79661e-27, 1.41421, -2.26905e-08, 0, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 3.79661e-27, 1.90438e-10, 3.79661e-27, 3.79661e-27, 3.35563e-12, 3.79661e-27, 1.53284e-11, 3.79661e-27, 2.24813e-08, 3.79661e-27, 3.79661e-27, 3.79661e-27
0.568523, 0, 3.71885e-08, 1.49612e-26, 1.41421, -3.71885e-08, 0, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 1.49612e-26, 3.14536e-10, 1.49612e-26, 1.49612e-26, 6.58426e-12, 1.49612e-26, 2.87642e-11, 1.49612e-26, 3.68387e-08, 1.49612e-26, 1.49612e-26, 1.49612e-26
0.576155, 0, 6.01529e-08, 5.66136e-26, 1.41421, -6.01529e-08, 0, 5.66136e-26, 5.66136e-26, 5.66136e-26, 5.66136e-26, 5.66136e-26, 5.66136e-26, 6.05911e-13, 5.66136e-26, 5.66136e-26, 5.66136e-26, 5.13525e-10, 5.66136e-26, 5.66136e-26, 1.28219e-11, 5.66136e-26, 5.43004e-11, 5.66136e-26, 5.95716e-08, 5.66136e-26, 5.66136e-26, 5.66136e-26
0.583786, 0, 9.60419e-08, 2.06178e-25, 1.41421, -9.60419e-08, 0, 2.06178e-25, 2.06178e-25, 2.06178e-25, 2.06178e-25, 2.06178e-25, 2.06178e-25, 2.62135e-12, 2.06178e-25, 2.06178e-25, 2.06178e-25, 8.2905e-10, 2.06178e-25, 2.06178e-25, 2.47379e-11, 2.06178e-25, 1.03063e-10, 2.06178e-25, 9.50824e-08, 2.06178e-25, 2.06178e-25, 2.06178e-25
0.591418, 0, 1.51392e-07, 7.26679e-25, 1.41421, -1.51392e-07, 0, 7.26679e-25, 7.26679e-25, 7.26679e-25, 7.26679e-25, 7.26679e-25, 7.26679e-25, 9.01077e-12, 7.26679e-25, 7.26679e-25, 7.26679e-25, 1.32395e-09, 7.26679e-25, 7.26679e-25, 4.72146e-11, 7.26679e-25, 1.96376e-10, 7.26679e-25, 1.49815e-07, 7.26679e-25, 7.26679e-25, 7.26679e-25
0.599049, 0, 2.38766e-07, 7.76493e-10, 1.41421, -2.38766e-07, 7.76493e-10, 7.76515e-10, 7.7662e-10, 7.76618e-10, 7.76777e-10, 7.77059e-10, 7.76809e-10, 8.32156e-10, 7.88832e-10, 7.8358e-10, 3.00066e-09, 2.86865e-09, 7.78269e-10, 7.76555e-10, 8.65523e-10, 7.76575e-10, 1.15128e-09, 7.76494e-10, 2.33888e-07, 7.76493e-10, 7.76493e-10, 7.95519e-10
0.606681, 0, 3.75713e-07, 3.34244e-09, 1.41421, -3.75713e-07, 3.34244e-09, 3.34253e-09, 3.34298e-09, 3.34297e-09, 3.34366e-09, 3.34488e-09, 3.3438e-09, 3.54455e-09, 3.39563e-09, 3.37299e-09, 1.29309e-08, 6.61475e-09, 3.35009e-09, 3.3427e-09, 3.50817e-09, 3.34442e-09, 4.05696e-09, 3.34244e-09, 3.61588e-07, 3.34244e-09, 3.34244e-09, 3.42446e-09
0.614312, 0, 5.96358e-07, 1.14502e-08, 1.41421, -5.96358e-07, 1.14502e-08, 1.14505e-08, 1.14521e-08, 1.14521e-08, 1.14544e-08, 1.14586e-08, 1.14549e-08, 1.20935e-08, 1.16326e-08, 1.1555e-08, 4.43188e-08, 1.65174e-08, 1.14765e-08, 1.14511e-08, 1.17545e-08, 1.14585e-08, 1.2807e-08, 1.14502e-08, 5.55493e-07, 1.14502e-08, 1.14502e-08, 1.17314e-08
0.621944, 0, 9.70746e-07, 3.59495e-08, 1.41421, -9.70746e-07, 3.59495e-08, 3.59505e-08, 3.59554e-08, 3.59553e-08, 3.59627e-08, 3.59758e-08, 3.59642e-08, 3.78685e-08, 3.65222e-08, 3.62785e-08, 1.39184e-07, 4.37193e-08, 3.60319e-08, 3.59524e-08, 3.65003e-08, 3.59782e-08, 3.85086e-08, 3.59496e-08, 8.52747e-07, 3.59495e-08, 3.59495e-08, 3.68326e-08
0.629575, 0, 1.6557e-06, 1.06766e-07, 1.41421, -1.6557e-06, 1.06766e-07, 1.06769e-07, 1.06784e-07, 1.06784e-07, 1.06806e-07, 1.06844e-07, 1.0681e-07, 1.12227e-07, 1.08468e-07, 1.07744e-07, 4.13442e-07, 1.18566e-07, 1.07011e-07, 1.06775e-07, 1.07749e-07, 1.06857e-07, 1.11549e-07, 1.06767e-07, 1.32015e-06, 1.06766e-07, 1.06766e-07, 1.0939e-07
0.637207, 0, 3.01795e-06, 3.02612e-07, 1.41421, -3.01795e-06, 3.02612e-07, 3.02621e-07, 3.02662e-07, 3.02661e-07, 3.02723e-07, 3.02834e-07, 3.02736e-07, 3.1757e-07, 3.07436e-07, 3.05383e-07, 1.17204e-06, 3.2036e-07, 3.03307e-07, 3.02637e-07, 3.0434e-07, 3.02882e-07, 3.11469e-07, 3.02613e-07, 2.08865e-06, 3.02612e-07, 3.02612e-07, 3.10049e-07
0.644839, 0, 5.9209e-06, 8.20864e-07, 1.41421, -5.9209e-06, 8.20864e-07, 8.20887e-07, 8.20999e-07, 8.20996e-07, 8.21165e-07, 8.21464e-07, 8.21199e-07, 8.60683e-07, 8.3395e-07, 8.2838e-07, 3.17977e-06, 8.47309e-07, 8.22748e-07, 8.2093e-07, 8.2386e-07, 8.21628e-07, 8.37044e-07, 8.20865e-07, 3.43153e-06, 8.20864e-07, 8.20864e-07, 8.41042e-07
0.65247, 0, 1.23635e-05, 2.13315e-06, 1.41421, -1.23635e-05, 2.13315e-06, 2.13321e-06, 2.1335e-06, 2.13349e-06, 2.13393e-06, 2.13471e-06, 2.13402e-06, 2.23933e-06, 2.16717e-06, 2.15269e-06, 8.2645e-06, 2.17219e-06, 2.13805e-06, 2.13332e-06, 2.13828e-06, 2.13523e-06, 2.16231e-06, 2.13315e-06, 5.93556e-06, 2.13315e-06, 2.13315e-06, 2.1856e-06
0.660102, 0, 2.68126e-05, 5.31312e-06, 1.41421, -2.68126e-05, 5.31312e-06, 5.31327e-06, 5.31399e-06, 5.31398e-06, 5.31507e-06, 5.31701e-06, 5.31529e-06, 5.58199e-06, 5.39786e-06, 5.36179e-06, 2.05882e-05, 5.37023e-06, 5.32532e-06, 5.31355e-06, 5.32178e-06, 5.31852e-06, 5.36496e-06, 5.31313e-06, 1.0859e-05, 5.31312e-06, 5.31312e-06, 5.44378e-06
0.667733, 0, 5.887e-05, 1.26877e-05, 1.41421, -5.887e-05, 1.26877e-05, 1.26881e-05, 1.26898e-05, 1.26898e-05, 1.26924e-05, 1.2697e-05, 1.26929e-05, 1.33437e-05, 1.28901e-05, 1.2804e-05, 4.91738e-05, 1.27706e-05, 1.27169e-05, 1.26887e-05, 1.27022e-05, 1.27012e-05, 1.27786e-05, 1.26877e-05, 2.08417e-05, 1.26877e-05, 1.26877e-05, 1.29998e-05
