   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_101.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.402814, 0, 8.74136e-12, 1.66797e-40, 1.41421, -8.74136e-12, 1.66797e-40, 0, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 1.66797e-40, 3.84025e-14, 1.66797e-40, 1.66797e-40, 3.10202e-16, 1.66797e-40, 8.70265e-12, 1.66797e-40, 1.66797e-40
0.410707, 0, 1.63485e-11, 1.96708e-39, 1.41421, -1.63485e-11, 1.96708e-39, 0, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 1.96708e-39, 7.1829e-14, 1.96708e-39, 1.96708e-39, 6.01277e-16, 1.96708e-39, 1.6276e-11, 1.96708e-39, 1.96708e-39
0.4186, 0, 3.01855e-11, 2.09425e-38, 1.41421, -3.01855e-11, 2.09425e-38, 0, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 2.09425e-38, 1.32644e-13, 2.09425e-38, 2.09425e-38, 1.15566e-15, 2.09425e-38, 3.00517e-11, 2.09425e-38, 2.09425e-38
0.426493, 0, 5.5028e-11, 2.02415e-37, 1.41421, -5.5028e-11, 2.02415e-37, 0, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.02415e-37, 2.41866e-13, 2.02415e-37, 2.02415e-37, 2.20456e-15, 2.02415e-37, 5.47839e-11, 2.02415e-37, 2.02415e-37
0.434386, 0, 9.90543e-11, 1.78612e-36, 1.41421, -9.90543e-11, 1.78612e-36, 0, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 1.78612e-36, 4.35524e-13, 1.78612e-36, 1.78612e-36, 4.1782e-15, 1.78612e-36, 9.86146e-11, 1.78612e-36, 1.78612e-36
0.44228, 0, 1.76078e-10, 1.44614e-35, 1.41421, -1.76078e-10, 1.44614e-35, 0, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 1.44614e-35, 7.7455e-13, 1.44614e-35, 1.44614e-35, 7.87601e-15, 1.44614e-35, 1.75296e-10, 1.44614e-35, 1.44614e-35
0.450173, 0, 3.09116e-10, 1.0796e-34, 1.41421, -3.09116e-10, 1.0796e-34, 0, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.0796e-34, 1.36064e-12, 1.0796e-34, 1.0796e-34, 1.47826e-14, 1.0796e-34, 3.0774e-10, 1.0796e-34, 1.0796e-34
0.458066, 0, 5.35996e-10, 7.64361e-34, 1.41421, -5.35996e-10, 7.64361e-34, 0, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 7.64361e-34, 2.36135e-12, 7.64361e-34, 7.64361e-34, 2.76557e-14, 7.64361e-34, 5.33607e-10, 7.64361e-34, 7.64361e-34
0.465959, 0, 9.18053e-10, 5.28617e-33, 1.41421, -9.18053e-10, 5.28617e-33, 0, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 5.28617e-33, 4.04913e-12, 5.28617e-33, 5.28617e-33, 5.16204e-14, 5.28617e-33, 9.13952e-10, 5.28617e-33, 5.28617e-33
0.473852, 0, 1.5534e-09, 3.46241e-32, 1.41421, -1.5534e-09, 3.46241e-32, 0, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 3.46241e-32, 6.86155e-12, 3.46241e-32, 3.46241e-32, 9.62023e-14, 3.46241e-32, 1.54645e-09, 3.46241e-32, 3.46241e-32
0.481745, 0, 2.59691e-09, 2.12754e-31, 1.41421, -2.59691e-09, 2.12754e-31, 0, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 2.12754e-31, 1.14926e-11, 2.12754e-31, 2.12754e-31, 1.79096e-13, 2.12754e-31, 2.58523e-09, 2.12754e-31, 2.12754e-31
0.489638, 0, 4.28977e-09, 1.22512e-30, 1.41421, -4.28977e-09, 1.22512e-30, 0, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.22512e-30, 1.90301e-11, 1.22512e-30, 1.22512e-30, 3.33117e-13, 1.22512e-30, 4.2704e-09, 1.22512e-30, 1.22512e-30
