   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.22318, 0, 6.68549e-25, 0, 1.41421, -6.68549e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57174e-27, 0, 0, 4.65898e-30, 0, 6.61973e-25, 0, 0, 0
0.231061, 0, 2.85437e-24, 0, 1.41421, -2.85437e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8058e-26, 0, 0, 1.99184e-29, 0, 2.82629e-24, 0, 0, 0
0.238942, 0, 1.15499e-23, 0, 1.41421, -1.15499e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13534e-25, 0, 0, 8.07251e-29, 0, 1.14363e-23, 0, 0, 0
0.246823, 0, 4.46017e-23, 0, 1.41421, -4.46017e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38429e-25, 0, 0, 3.12294e-28, 0, 4.4163e-23, 0, 0, 0
0.254703, 0, 1.65227e-22, 0, 1.41421, -1.65227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62416e-24, 0, 0, 1.15921e-27, 0, 1.63602e-22, 0, 0, 0
0.262584, 0, 5.89525e-22, 0, 1.41421, -5.89525e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79495e-24, 0, 0, 4.14516e-27, 0, 5.83726e-22, 0, 0, 0
0.270465, 0, 2.03237e-21, 0, 1.41421, -2.03237e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99779e-23, 0, 0, 1.43248e-26, 0, 2.01238e-21, 0, 0, 0
0.278346, 0, 6.78738e-21, 0, 1.41421, -6.78738e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67189e-23, 0, 0, 4.79656e-26, 0, 6.72061e-21, 0, 0, 0
0.286227, 0, 2.20053e-20, 0, 1.41421, -2.20053e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16309e-22, 0, 0, 1.55953e-25, 0, 2.17888e-20, 0, 0, 0
0.294108, 0, 6.93821e-20, 0, 1.41421, -6.93821e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82016e-22, 0, 0, 4.93231e-25, 0, 6.86996e-20, 0, 0, 0
