   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.39441, 0, 4.62651e-08, 6.51093e-29, 1.41421, -4.62651e-08, 0, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 6.51093e-29, 1.82009e-09, 6.51093e-29, 6.51093e-29, 2.60488e-11, 6.51093e-29, 7.02218e-10, 6.51093e-29, 4.37167e-08, 6.51093e-29, 6.51093e-29, 6.51093e-29
0.402264, 0, 6.33648e-08, 3.00228e-28, 1.41421, -6.33648e-08, 0, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 3.00228e-28, 2.50222e-09, 3.00228e-28, 3.00228e-28, 3.99902e-11, 3.00228e-28, 1.05943e-09, 3.00228e-28, 5.97631e-08, 3.00228e-28, 3.00228e-28, 3.00228e-28
0.410117, 0, 8.63573e-08, 1.30901e-27, 1.41421, -8.63573e-08, 0, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 1.30901e-27, 3.42458e-09, 1.30901e-27, 1.30901e-27, 6.13339e-11, 1.30901e-27, 1.59519e-09, 1.30901e-27, 8.12762e-08, 1.30901e-27, 1.30901e-27, 1.30901e-27
0.417971, 0, 1.17122e-07, 5.41228e-27, 1.41421, -1.17122e-07, 0, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 5.41228e-27, 4.66639e-09, 5.41228e-27, 5.41228e-27, 9.39436e-11, 5.41228e-27, 2.39669e-09, 5.41228e-27, 1.09965e-07, 5.41228e-27, 5.41228e-27, 5.41228e-27
0.425825, 0, 1.5809e-07, 2.1279e-26, 1.41421, -1.5809e-07, 0, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 2.1279e-26, 6.33119e-09, 2.1279e-26, 2.1279e-26, 1.43642e-10, 2.1279e-26, 3.5923e-09, 2.1279e-26, 1.48023e-07, 2.1279e-26, 2.1279e-26, 2.1279e-26
0.433678, 0, 2.12412e-07, 7.97602e-26, 1.41421, -2.12412e-07, 0, 7.97602e-26, 7.97602e-26, 7.97602e-26, 7.97602e-26, 7.97602e-26, 7.97602e-26, 7.97602e-26, 2.51755e-11, 7.97602e-26, 7.97602e-26, 7.97602e-26, 8.55383e-09, 7.97602e-26, 7.97602e-26, 2.19163e-10, 7.97602e-26, 5.37002e-09, 7.97602e-26, 1.98244e-07, 7.97602e-26, 7.97602e-26, 7.97602e-26
0.441532, 0, 2.84099e-07, 2.85734e-25, 1.41421, -2.84099e-07, 0, 2.85734e-25, 2.85734e-25, 2.85734e-25, 2.85734e-25, 2.85734e-25, 2.85734e-25, 2.85734e-25, 7.9211e-11, 2.85734e-25, 2.85734e-25, 2.85734e-25, 1.15093e-08, 2.85734e-25, 2.85734e-25, 3.33541e-10, 2.85734e-25, 8.00387e-09, 2.85734e-25, 2.64173e-07, 2.85734e-25, 2.85734e-25, 2.85734e-25
0.449385, 0, 3.78291e-07, 9.85183e-25, 1.41421, -3.78291e-07, 0, 9.85183e-25, 9.85183e-25, 9.85183e-25, 9.85183e-25, 9.85183e-25, 9.85183e-25, 9.85183e-25, 1.9277e-10, 9.85183e-25, 9.85183e-25, 9.85183e-25, 1.54234e-08, 9.85183e-25, 9.85183e-25, 5.06119e-10, 9.85183e-25, 1.18907e-08, 9.85183e-25, 3.50278e-07, 9.85183e-25, 9.85183e-25, 9.85183e-25
0.457239, 0, 5.1567e-07, 5.18789e-09, 1.41421, -5.1567e-07, 5.18789e-09, 5.188e-09, 5.18813e-09, 5.18848e-09, 5.20204e-09, 5.21e-09, 6.00609e-09, 6.48789e-09, 6.73271e-09, 5.45579e-09, 5.21804e-09, 1.00921e-08, 2.57754e-08, 5.53875e-09, 5.18836e-09, 5.95334e-09, 5.19174e-09, 2.279e-08, 5.18789e-09, 4.67403e-07, 5.18789e-09, 5.18789e-09, 5.24198e-09
0.465093, 0, 7.06541e-07, 1.62628e-08, 1.41421, -7.06541e-07, 1.62628e-08, 1.62631e-08, 1.62635e-08, 1.62646e-08, 1.63071e-08, 1.63321e-08, 1.88283e-08, 2.0339e-08, 2.0669e-08, 1.71028e-08, 1.63573e-08, 3.16401e-08, 4.36368e-08, 1.73629e-08, 1.62642e-08, 1.74163e-08, 1.63354e-08, 4.22182e-08, 1.62628e-08, 6.23237e-07, 1.62628e-08, 1.62628e-08, 1.64324e-08
0.472946, 0, 9.78605e-07, 3.94458e-08, 1.41421, -9.78605e-07, 3.94458e-08, 3.94467e-08, 3.94477e-08, 3.94503e-08, 3.95536e-08, 3.96141e-08, 4.56726e-08, 4.93393e-08, 4.97975e-08, 4.14847e-08, 3.96753e-08, 7.67683e-08, 7.57049e-08, 4.2116e-08, 3.94494e-08, 4.11772e-08, 3.96817e-08, 7.75573e-08, 3.94459e-08, 8.32836e-07, 3.94458e-08, 3.94458e-08, 3.98575e-08
0.4808, 0, 1.37922e-06, 8.71455e-08, 1.41421, -1.37922e-06, 8.71455e-08, 8.71475e-08, 8.71497e-08, 8.71555e-08, 8.73836e-08, 8.75174e-08, 1.00906e-07, 1.0901e-07, 1.09634e-07, 9.16513e-08, 8.76527e-08, 1.69627e-07, 1.34993e-07, 9.30466e-08, 8.71535e-08, 8.97331e-08, 8.77458e-08, 1.42852e-07, 8.71456e-08, 1.11942e-06, 8.71455e-08, 8.71455e-08, 8.80553e-08
0.488653, 0, 1.99173e-06, 1.8357e-07, 1.41421, -1.99173e-06, 1.8357e-07, 1.83574e-07, 1.83579e-07, 1.83591e-07, 1.84072e-07, 1.84353e-07, 2.12562e-07, 2.29635e-07, 2.30382e-07, 1.93063e-07, 1.84638e-07, 3.57347e-07, 2.46474e-07, 1.96003e-07, 1.83587e-07, 1.87419e-07, 1.84946e-07, 2.64608e-07, 1.8357e-07, 1.52066e-06, 1.8357e-07, 1.8357e-07, 1.85487e-07
