   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_25.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.437488, 0, 1.31578e-09, 4.05995e-33, 1.41421, -1.31578e-09, 0, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 4.05995e-33, 1.60329e-11, 4.05995e-33, 4.05995e-33, 3.36066e-14, 5.10328e-13, 4.05995e-33, 1.2992e-09, 4.05995e-33, 4.05995e-33, 4.05995e-33
0.445143, 0, 2.07031e-09, 2.45186e-32, 1.41421, -2.07031e-09, 0, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.45186e-32, 2.52712e-11, 2.45186e-32, 2.45186e-32, 5.78763e-14, 8.64311e-13, 2.45186e-32, 2.04412e-09, 2.45186e-32, 2.45186e-32, 2.45186e-32
0.452798, 0, 3.22772e-09, 1.39207e-31, 1.41421, -3.22772e-09, 0, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 1.39207e-31, 3.94836e-11, 1.39207e-31, 1.39207e-31, 9.95839e-14, 1.46244e-12, 1.39207e-31, 3.18667e-09, 1.39207e-31, 1.39207e-31, 1.39207e-31
0.460454, 0, 4.9865e-09, 7.43172e-31, 1.41421, -4.9865e-09, 0, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 7.43172e-31, 6.11571e-11, 7.43172e-31, 7.43172e-31, 1.71208e-13, 2.47386e-12, 7.43172e-31, 4.9227e-09, 7.43172e-31, 7.43172e-31, 7.43172e-31
0.468109, 0, 7.63437e-09, 3.73858e-30, 1.41421, -7.63437e-09, 0, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 3.73858e-30, 9.39258e-11, 3.73858e-30, 3.73858e-30, 2.94075e-13, 4.18589e-12, 3.73858e-30, 7.53596e-09, 3.73858e-30, 3.73858e-30, 3.73858e-30
0.475764, 0, 1.15842e-08, 1.77702e-29, 1.41421, -1.15842e-08, 0, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.77702e-29, 1.43055e-10, 1.77702e-29, 1.77702e-29, 5.04507e-13, 7.087e-12, 1.77702e-29, 1.14335e-08, 1.77702e-29, 1.77702e-29, 1.77702e-29
0.48342, 0, 1.74225e-08, 8.00336e-29, 1.41421, -1.74225e-08, 0, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 8.00336e-29, 2.16112e-10, 8.00336e-29, 8.00336e-29, 8.64087e-13, 1.20071e-11, 8.00336e-29, 1.71935e-08, 8.00336e-29, 8.00336e-29, 8.00336e-29
0.491075, 0, 2.59747e-08, 3.42513e-28, 1.41421, -2.59747e-08, 0, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.42513e-28, 3.23887e-10, 3.42513e-28, 3.42513e-28, 1.47666e-12, 2.03535e-11, 3.42513e-28, 2.56289e-08, 3.42513e-28, 3.42513e-28, 3.42513e-28
0.49873, 0, 3.83909e-08, 1.39655e-27, 1.41421, -3.83909e-08, 0, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 1.39655e-27, 4.81646e-10, 1.39655e-27, 1.39655e-27, 2.51625e-12, 3.45049e-11, 1.39655e-27, 3.78723e-08, 1.39655e-27, 1.39655e-27, 1.39655e-27
0.506386, 0, 5.62591e-08, 5.43916e-27, 1.41421, -5.62591e-08, 0, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 5.43916e-27, 7.10838e-10, 5.43916e-27, 5.43916e-27, 4.27234e-12, 5.84629e-11, 5.43916e-27, 5.54855e-08, 5.43916e-27, 5.43916e-27, 5.43916e-27
