   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_54.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.118854, 0, 1.25284e-26, 0, 1.41421, -1.25284e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54178e-28, 0, 4.0083e-31, 1.69194e-30, 0, 1.23721e-26, 0, 0
0.126868, 0, 6.74231e-26, 0, 1.41421, -6.74231e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29712e-28, 0, 2.16287e-30, 1.01771e-29, 0, 6.6581e-26, 0, 0
0.134882, 0, 3.32367e-25, 0, 1.41421, -3.32367e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09007e-27, 0, 1.07034e-29, 5.46645e-29, 0, 3.28211e-25, 0, 0
0.142895, 0, 1.52378e-24, 0, 1.41421, -1.52378e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87513e-26, 0, 4.93092e-29, 2.6875e-28, 0, 1.50471e-24, 0, 0
0.150909, 0, 6.5652e-24, 0, 1.41421, -6.5652e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07887e-26, 0, 2.13663e-28, 1.22851e-27, 0, 6.48297e-24, 0, 0
0.158923, 0, 3.07712e-23, 0, 1.41421, -3.07712e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78652e-25, 0, 1.01455e-27, 6.26989e-27, 0, 3.03852e-23, 0, 0
0.166937, 0, 1.18041e-22, 0, 1.41421, -1.18041e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45253e-24, 0, 3.9224e-27, 2.51195e-26, 0, 1.1656e-22, 0, 0
0.174951, 0, 4.33853e-22, 0, 1.41421, -4.33853e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33864e-24, 0, 1.45353e-26, 9.60186e-26, 0, 4.28404e-22, 0, 0
0.182965, 0, 1.53269e-21, 0, 1.41421, -1.53269e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88599e-23, 0, 5.17928e-26, 3.51616e-25, 0, 1.51343e-21, 0, 0
0.190978, 0, 5.21806e-21, 0, 1.41421, -5.21806e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42081e-23, 0, 1.77924e-25, 1.2376e-24, 0, 5.15243e-21, 0, 0
0.198992, 0, 1.71584e-20, 0, 1.41421, -1.71584e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11132e-22, 0, 5.90602e-25, 4.1984e-24, 0, 1.69425e-20, 0, 0
0.207006, 0, 5.46004e-20, 0, 1.41421, -5.46004e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71846e-22, 0, 1.898e-24, 1.37594e-23, 0, 5.39129e-20, 0, 0
0.21502, 0, 1.68423e-19, 0, 1.41421, -1.68423e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07239e-21, 0, 5.9154e-24, 4.36525e-23, 0, 1.66301e-19, 0, 0
0.223034, 0, 5.04446e-19, 0, 1.41421, -5.04446e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20701e-21, 0, 1.79123e-23, 1.34351e-22, 0, 4.98087e-19, 0, 0
0.231048, 0, 1.50586e-18, 0, 1.41421, -1.50586e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85288e-20, 0, 5.4264e-23, 4.14291e-22, 0, 1.48686e-18, 0, 0
0.239061, 0, 4.25456e-18, 0, 1.41421, -4.25456e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23497e-20, 0, 1.55151e-22, 1.20033e-21, 0, 4.20085e-18, 0, 0
0.247075, 0, 1.17172e-17, 0, 1.41421, -1.17172e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44172e-19, 0, 4.32668e-22, 3.38862e-21, 0, 1.15692e-17, 0, 0
0.255089, 0, 3.14842e-17, 0, 1.41421, -3.14842e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87388e-19, 0, 1.17795e-21, 9.33112e-21, 0, 3.10863e-17, 0, 0
0.263103, 0, 8.26087e-17, 0, 1.41421, -8.26087e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01643e-18, 0, 3.13357e-21, 2.50867e-20, 0, 8.15641e-17, 0, 0
0.271117, 0, 2.11812e-16, 0, 1.41421, -2.11812e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60614e-18, 0, 8.15148e-21, 6.59063e-20, 0, 2.09132e-16, 0, 0
0.279131, 0, 5.31082e-16, 0, 1.41421, -5.31082e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53436e-18, 0, 2.07501e-20, 1.69323e-19, 0, 5.24357e-16, 0, 0
0.287144, 0, 1.30295e-15, 0, 1.41421, -1.30295e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60312e-17, 0, 5.17216e-20, 4.2572e-19, 0, 1.28644e-15, 0, 0
0.295158, 0, 3.12963e-15, 0, 1.41421, -3.12963e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85058e-17, 0, 1.26314e-19, 1.04819e-18, 0, 3.08995e-15, 0, 0
0.303172, 0, 7.39423e-15, 0, 1.41421, -7.39423e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09746e-17, 0, 3.04127e-19, 2.54446e-18, 0, 7.30041e-15, 0, 0
0.311186, 0, 1.70399e-14, 0, 1.41421, -1.70399e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09647e-16, 0, 7.1369e-19, 6.01455e-18, 0, 1.68236e-14, 0, 0
0.3192, 0, 3.85034e-14, 0, 1.41421, -3.85034e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73713e-16, 0, 1.64365e-18, 1.39479e-17, 0, 3.80141e-14, 0, 0
0.327214, 0, 8.53429e-14, 0, 1.41421, -8.53429e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04997e-15, 0, 3.71677e-18, 3.175e-17, 0, 8.42574e-14, 0, 0
0.335227, 0, 1.85626e-13, 0, 1.41421, -1.85626e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28373e-15, 0, 8.2563e-18, 7.09778e-17, 0, 1.83263e-13, 0, 0
0.343241, 0, 3.96345e-13, 0, 1.41421, -3.96345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87612e-15, 0, 1.80251e-17, 1.55904e-16, 0, 3.91295e-13, 0, 0
0.351255, 0, 8.31041e-13, 0, 1.41421, -8.31041e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0224e-14, 0, 3.86958e-17, 3.36639e-16, 0, 8.20442e-13, 0, 0
0.359269, 0, 1.7117e-12, 0, 1.41421, -1.7117e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10586e-14, 0, 8.17278e-17, 7.14901e-16, 0, 1.68985e-12, 0, 0
0.367283, 0, 3.4644e-12, 0, 1.41421, -3.4644e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26225e-14, 0, 1.69922e-16, 1.49392e-15, 0, 3.42012e-12, 0, 0
0.375297, 0, 6.89568e-12, 2.8026e-44, 1.41421, -6.89568e-12, 0, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 8.4842e-14, 2.8026e-44, 3.48545e-16, 3.07765e-15, 2.8026e-44, 6.80741e-12, 2.8026e-44, 2.8026e-44
0.38331, 0, 1.34874e-11, 6.02558e-43, 1.41421, -1.34874e-11, 0, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 6.02558e-43, 1.65957e-13, 6.02558e-43, 7.03661e-16, 6.23641e-15, 6.02558e-43, 1.33145e-11, 6.02558e-43, 6.02558e-43
0.391324, 0, 2.59457e-11, 1.02337e-41, 1.41421, -2.59457e-11, 0, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 1.02337e-41, 3.1929e-13, 1.02337e-41, 1.40151e-15, 1.24552e-14, 1.02337e-41, 2.56126e-11, 1.02337e-41, 1.02337e-41
0.399338, 0, 4.9103e-11, 1.51744e-40, 1.41421, -4.9103e-11, 0, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 1.51744e-40, 6.04376e-13, 1.51744e-40, 2.75645e-15, 2.45324e-14, 1.51744e-40, 4.84713e-11, 1.51744e-40, 1.51744e-40
0.407352, 0, 9.14478e-11, 2.00587e-39, 1.41421, -9.14478e-11, 0, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 2.00587e-39, 1.12587e-12, 2.00587e-39, 5.35898e-15, 4.76864e-14, 2.00587e-39, 9.02689e-11, 2.00587e-39, 2.00587e-39
0.415366, 0, 1.67639e-10, 2.38204e-38, 1.41421, -1.67639e-10, 0, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.38204e-38, 2.0647e-12, 2.38204e-38, 1.03108e-14, 9.15483e-14, 2.38204e-38, 1.65472e-10, 2.38204e-38, 2.38204e-38
0.42338, 0, 3.02571e-10, 2.55668e-37, 1.41421, -3.02571e-10, 0, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 2.55668e-37, 3.72854e-12, 2.55668e-37, 1.96576e-14, 1.73734e-13, 2.55668e-37, 2.98649e-10, 2.55668e-37, 2.55668e-37
0.431393, 0, 5.37829e-10, 2.49416e-36, 1.41421, -5.37829e-10, 0, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 2.49416e-36, 6.63238e-12, 2.49416e-36, 3.71868e-14, 3.26236e-13, 2.49416e-36, 5.30833e-10, 2.49416e-36, 2.49416e-36
0.439407, 0, 9.41751e-10, 2.2234e-35, 1.41421, -9.41751e-10, 0, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 2.2234e-35, 1.16247e-11, 2.2234e-35, 6.98985e-14, 6.06836e-13, 2.2234e-35, 9.2945e-10, 2.2234e-35, 2.2234e-35
0.447421, 0, 1.62495e-09, 4.4044e-34, 1.41421, -1.62495e-09, 0, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 4.4044e-34, 2.00839e-11, 4.4044e-34, 1.3089e-13, 1.12082e-12, 4.4044e-34, 1.60362e-09, 4.4044e-34, 4.4044e-34
0.455435, 0, 2.76325e-09, 3.36898e-33, 1.41421, -2.76325e-09, 0, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.36898e-33, 3.42097e-11, 3.36898e-33, 2.43852e-13, 2.05379e-12, 3.36898e-33, 2.72674e-09, 3.36898e-33, 3.36898e-33
0.463449, 0, 4.6325e-09, 2.42628e-32, 1.41421, -4.6325e-09, 0, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 2.42628e-32, 5.74739e-11, 2.42628e-32, 4.53007e-13, 3.74287e-12, 2.42628e-32, 4.57083e-09, 2.42628e-32, 2.42628e-32
0.471463, 0, 7.65847e-09, 1.63209e-31, 1.41421, -7.65847e-09, 0, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 1.63209e-31, 9.52737e-11, 1.63209e-31, 8.3972e-13, 6.79345e-12, 1.63209e-31, 7.55556e-09, 1.63209e-31, 1.63209e-31
0.479476, 0, 1.24886e-08, 1.02482e-30, 1.41421, -1.24886e-08, 0, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.02482e-30, 1.5589e-10, 1.02482e-30, 1.5536e-12, 1.22966e-11, 1.02482e-30, 1.23189e-08, 1.02482e-30, 1.02482e-30
0.48749, 0, 2.00935e-08, 6.01984e-30, 1.41421, -2.00935e-08, 0, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 6.01984e-30, 2.51874e-10, 6.01984e-30, 2.86869e-12, 2.22217e-11, 6.01984e-30, 1.98166e-08, 6.01984e-30, 6.01984e-30
0.495504, 0, 3.19069e-08, 3.3175e-29, 1.41421, -3.19069e-08, 0, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 3.3175e-29, 4.02018e-10, 3.3175e-29, 5.28388e-12, 4.01253e-11, 3.3175e-29, 3.14595e-08, 3.3175e-29, 3.3175e-29
0.503518, 0, 5.00178e-08, 1.72075e-28, 1.41421, -5.00178e-08, 0, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 1.72075e-28, 6.34138e-10, 1.72075e-28, 9.70072e-12, 7.24231e-11, 1.72075e-28, 4.93015e-08, 1.72075e-28, 1.72075e-28
0.511532, 0, 7.74284e-08, 8.42679e-28, 1.41421, -7.74284e-08, 0, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 8.42679e-28, 9.88973e-10, 8.42679e-28, 1.77339e-11, 1.30654e-10, 8.42679e-28, 7.6291e-08, 8.42679e-28, 8.42679e-28
0.519546, 0, 1.18397e-07, 3.90778e-27, 1.41421, -1.18397e-07, 0, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 3.90778e-27, 1.52557e-09, 3.90778e-27, 3.22454e-11, 2.35461e-10, 3.90778e-27, 1.16604e-07, 3.90778e-27, 3.90778e-27
0.52756, 0, 1.78885e-07, 2.43191e-26, 1.41421, -1.78885e-07, 0, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.43191e-26, 2.32865e-09, 2.43191e-26, 5.82691e-11, 4.23614e-10, 2.43191e-26, 1.76074e-07, 2.43191e-26, 2.43191e-26
0.535573, 0, 2.67133e-07, 9.86588e-26, 1.41421, -2.67133e-07, 0, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 9.86588e-26, 3.5186e-09, 9.86588e-26, 1.0446e-10, 7.59324e-10, 9.86588e-26, 2.62751e-07, 9.86588e-26, 9.86588e-26
0.543587, 0, 3.9588e-07, 3.86209e-25, 1.41421, -3.9588e-07, 0, 2.50751e-14, 1.09878e-13, 1.25777e-13, 1.84141e-13, 4.90617e-14, 3.34341e-13, 5.32838e-13, 9.36979e-12, 1.4262e-09, 5.26494e-09, 4.22364e-14, 1.85667e-10, 1.35454e-09, 1.39013e-15, 3.87623e-07, 3.86209e-25, 1.54165e-11
0.551601, 0, 5.82624e-07, 4.75986e-10, 1.41421, -5.82624e-07, 4.75986e-10, 4.76092e-10, 4.76451e-10, 4.76518e-10, 4.76766e-10, 4.76194e-10, 4.77402e-10, 4.78242e-10, 5.15657e-10, 6.51439e-09, 8.27998e-09, 4.76165e-10, 8.02928e-10, 2.87689e-09, 4.75992e-10, 5.65943e-07, 4.75986e-10, 5.41258e-10
0.559615, 0, 8.54556e-07, 1.99388e-09, 1.41421, -8.54556e-07, 1.99388e-09, 1.99423e-09, 1.99541e-09, 1.99564e-09, 1.99645e-09, 1.99456e-09, 1.99855e-09, 2.00133e-09, 2.12496e-09, 2.19462e-08, 1.3456e-08, 1.99447e-09, 2.56383e-09, 6.21559e-09, 1.9939e-09, 8.17984e-07, 1.99388e-09, 2.20955e-09
0.567629, 0, 1.25775e-06, 6.53068e-09, 1.41421, -1.25775e-06, 6.53068e-09, 6.53173e-09, 6.53528e-09, 6.53595e-09, 6.53839e-09, 6.53273e-09, 6.54469e-09, 6.55301e-09, 6.92336e-09, 6.63017e-08, 2.32163e-08, 6.53245e-09, 7.51381e-09, 1.38841e-08, 6.53073e-09, 1.17186e-06, 6.53068e-09, 7.17677e-09
0.575643, 0, 1.87726e-06, 1.941e-08, 1.41421, -1.87726e-06, 1.941e-08, 1.94129e-08, 1.94229e-08, 1.94248e-08, 1.94317e-08, 1.94158e-08, 1.94495e-08, 1.94729e-08, 2.0517e-08, 1.87914e-07, 4.3489e-08, 1.9415e-08, 2.10873e-08, 3.20824e-08, 1.94101e-08, 1.66723e-06, 1.941e-08, 2.12314e-08
0.583656, 0, 2.88287e-06, 5.43198e-08, 1.41421, -2.88287e-06, 5.43198e-08, 5.43278e-08, 5.43547e-08, 5.43598e-08, 5.43783e-08, 5.43354e-08, 5.44259e-08, 5.44889e-08, 5.72929e-08, 5.06854e-07, 8.87725e-08, 5.43332e-08, 5.71497e-08, 7.5911e-08, 5.43203e-08, 2.36315e-06, 5.43198e-08, 5.92116e-08
0.59167, 0, 4.6284e-06, 1.44876e-07, 1.41421, -4.6284e-06, 1.44876e-07, 1.44896e-07, 1.44966e-07, 1.44979e-07, 1.45026e-07, 1.44916e-07, 1.45149e-07, 1.45311e-07, 1.52519e-07, 1.30817e-06, 1.93759e-07, 1.4491e-07, 1.49596e-07, 1.81213e-07, 1.44877e-07, 3.3538e-06, 1.44876e-07, 1.57451e-07
0.599684, 0, 7.85928e-06, 3.69984e-07, 1.41421, -7.85928e-06, 3.69984e-07, 3.70035e-07, 3.70205e-07, 3.70237e-07, 3.70354e-07, 3.70083e-07, 3.70657e-07, 3.71056e-07, 3.88831e-07, 3.23878e-06, 4.38771e-07, 3.70069e-07, 3.77768e-07, 4.30322e-07, 3.69987e-07, 4.8009e-06, 3.69984e-07, 4.00994e-07
0.607698, 0, 1.41295e-05, 9.07063e-07, 1.41421, -1.41295e-05, 9.07063e-07, 9.07182e-07, 9.07586e-07, 9.07662e-07, 9.0794e-07, 9.07297e-07, 9.08656e-07, 9.09602e-07, 9.51722e-07, 7.70467e-06, 1.00308e-06, 9.07264e-07, 9.19759e-07, 1.00593e-06, 9.07069e-07, 6.99947e-06, 9.07063e-07, 9.80542e-07
0.615712, 0, 2.65862e-05, 2.13577e-06, 1.41421, -2.65862e-05, 2.13577e-06, 2.13604e-06, 2.13696e-06, 2.13713e-06, 2.13777e-06, 2.1363e-06, 2.1394e-06, 2.14155e-06, 2.2375e-06, 1.76209e-05, 2.26874e-06, 2.13622e-06, 2.15624e-06, 2.2956e-06, 2.13578e-06, 1.05034e-05, 2.13577e-06, 2.30315e-06
0.623726, 0, 5.14142e-05, 4.8378e-06, 1.41421, -5.14142e-05, 4.8378e-06, 4.83839e-06, 4.84041e-06, 4.84079e-06, 4.84218e-06, 4.83897e-06, 4.84576e-06, 4.85048e-06, 5.06087e-06, 3.87922e-05, 5.02057e-06, 4.8388e-06, 4.87046e-06, 5.09287e-06, 4.83783e-06, 1.63657e-05, 4.8378e-06, 5.20483e-06
0.631739, 0, 0.000100302, 1.05505e-05, 1.41421, -0.000100302, 1.05505e-05, 1.05518e-05, 1.0556e-05, 1.05568e-05, 1.05598e-05, 1.0553e-05, 1.05673e-05, 1.05773e-05, 1.10217e-05, 8.22719e-05, 1.07999e-05, 1.05526e-05, 1.06021e-05, 1.09526e-05, 1.05506e-05, 2.65601e-05, 1.05505e-05, 1.13258e-05
0.639753, 0, 0.00019448, 2.21701e-05, 1.41421, -0.00019448, 2.21701e-05, 2.21727e-05, 2.21814e-05, 2.2183e-05, 2.2189e-05, 2.21751e-05, 2.22044e-05, 2.22247e-05, 2.31296e-05, 0.000168223, 2.25083e-05, 2.21744e-05, 2.22507e-05, 2.27966e-05, 2.21703e-05, 4.47e-05, 2.21701e-05, 2.37489e-05
0.647767, 0, 0.000370971, 4.49235e-05, 1.41421, -0.000370971, 4.49235e-05, 4.49285e-05, 4.49456e-05, 4.49488e-05, 4.49605e-05, 4.49333e-05, 4.49907e-05, 4.50307e-05, 4.68087e-05, 0.000331884, 4.53792e-05, 4.4932e-05, 4.50481e-05, 4.58899e-05, 4.49237e-05, 7.71947e-05, 4.49235e-05, 4.80254e-05
0.655781, 0, 0.00069168, 8.78445e-05, 1.41421, -0.00069168, 8.78445e-05, 8.7854e-05, 8.78864e-05, 8.78925e-05, 8.79147e-05, 8.78632e-05, 8.79721e-05, 8.80479e-05, 9.1421e-05, 0.000632238, 8.84554e-05, 8.78606e-05, 8.80356e-05, 8.93222e-05, 8.7845e-05, 0.000135009, 8.78445e-05, 9.37291e-05
0.663795, 0.978757, 0.00125584, 0.000165892, 1.72591, 0.977501, 0.000165892, 0.000165909, 0.000165969, 0.00016598, 0.000166021, 0.000165926, 0.000166126, 0.000166265, 0.000172448, 0.00116387, 0.000166707, 0.000165921, 0.000166182, 0.000168135, 0.000165893, 0.000236186, 0.000165892, 0.00017668
0.671809, 0.0212435, 0.00221583, 0.000302781, 1.4217, 0.0190276, 0.000302781, 0.000302813, 0.000302918, 0.000302938, 0.00030301, 0.000302842, 0.000303196, 0.000303442, 0.000314405, 0.00207198, 0.000303865, 0.000302834, 0.00030322, 0.000306165, 0.000302783, 0.000409241, 0.000302781, 0.000321906
0.679822, 0, 0.00379564, 0.000534502, 1.41421, -0.00379564, 0.000534502, 0.000534556, 0.000534736, 0.00053477, 0.000534894, 0.000534607, 0.000535214, 0.000535636, 0.000554444, 0.00356984, 0.000535936, 0.000534592, 0.000535158, 0.000539582, 0.000534505, 0.000697395, 0.000534502, 0.000567313
0.687836, 0, 0.0063102, 0.000913304, 1.41421, -0.0063102, 0.000913304, 0.000913393, 0.000913692, 0.000913749, 0.000913955, 0.000913477, 0.000914486, 0.000915188, 0.00094644, 0.00595699, 0.000915195, 0.000913453, 0.000914278, 0.000920893, 0.000913309, 0.00116343, 0.000913304, 0.000967824
0.69585, 0, 0.0101822, 0.00151164, 1.41421, -0.0101822, 0.00151164, 0.00151178, 0.00151226, 0.00151235, 0.00151268, 0.00151192, 0.00151354, 0.00151467, 0.001565, 0.00963491, 0.00151412, 0.00151188, 0.00151307, 0.00152292, 0.00151164, 0.00189459, 0.00151164, 0.00159945
0.703864, 0, 0.0159528, 0.00242536, 1.41421, -0.0159528, 0.00242536, 0.00242558, 0.00242634, 0.00242648, 0.002427, 0.0024258, 0.00242834, 0.0024301, 0.00250874, 0.0151164, 0.00242861, 0.00242574, 0.00242747, 0.00244203, 0.00242537, 0.00300673, 0.00242536, 0.00256255
0.711878, 0, 0.0242797, 0.00377512, 1.41421, -0.0242797, 0.00377512, 0.00377546, 0.0037766, 0.00377682, 0.00377761, 0.00377578, 0.00377963, 0.00378231, 0.00390158, 0.023023, 0.00377934, 0.00377569, 0.0037782, 0.00379955, 0.00377514, 0.0046466, 0.00377512, 0.00398318
