   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.201682, 0, 2.79561e-13, 0, 1.41421, -2.79561e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77659e-15, 0, 0, 1.39432e-17, 8.93735e-17, 0, 2.77681e-13, 0, 0, 0
0.209562, 0, 4.71305e-13, 0, 1.41421, -4.71305e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99512e-15, 0, 0, 2.40237e-17, 1.5545e-16, 0, 4.6813e-13, 0, 0, 0
0.217442, 0, 7.88575e-13, 0, 1.41421, -7.88575e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01142e-15, 0, 0, 4.11081e-17, 2.68659e-16, 0, 7.83253e-13, 0, 0, 0
0.225322, 0, 1.30955e-12, 0, 1.41421, -1.30955e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32241e-15, 0, 0, 6.98686e-17, 4.61389e-16, 0, 1.3007e-12, 0, 0, 0
0.233202, 0, 2.15858e-12, 0, 1.41421, -2.15858e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37185e-14, 0, 0, 1.17969e-16, 7.8749e-16, 0, 2.14395e-12, 0, 0, 0
0.241082, 0, 3.53182e-12, 0, 1.41421, -3.53182e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2447e-14, 0, 0, 1.97908e-16, 1.33594e-15, 0, 3.50784e-12, 0, 0, 0
0.248962, 0, 5.73637e-12, 0, 1.41421, -5.73637e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64606e-14, 0, 0, 3.29945e-16, 2.25296e-15, 0, 5.69732e-12, 0, 0, 0
0.256842, 0, 9.2492e-12, 0, 1.41421, -9.2492e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87933e-14, 0, 0, 5.46751e-16, 3.77751e-15, 0, 9.18609e-12, 0, 0, 0
0.264722, 0, 1.48053e-11, 0, 1.41421, -1.48053e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41219e-14, 0, 0, 9.00745e-16, 6.29804e-15, 0, 1.4704e-11, 0, 0, 0
0.272602, 0, 2.35287e-11, 0, 1.41421, -2.35287e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49601e-13, 0, 0, 1.47566e-15, 1.0443e-14, 0, 2.33671e-11, 0, 0, 0
