Column1,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
44,117,shot_44,15.53,1143.6,0.96%,1.23,479,0.39%,2.7,3228.8,0.57%,72.58,199927.5,3.64%,0.39,1184.8,0.23%,0.75,4380.8,0.26%,0.154,1880.6,0.16%,0.07,693.6,0.09%,11.51,142757.9,0.58%,0.13,1860.3,0.15%,0,425.9,,0.05,1423.4,0.07%,0.15,4181.4,0.16%,0.038,1355.8,0.02%,0.0355,1019.9,0.03%,0.0106,121.3,0.03%
45,118,shot_45,15.81,1164.5,0.97%,0.97,377.9,0.33%,2.66,3178.8,0.57%,73.07,201409,3.66%,0.39,1172.5,0.23%,0.56,3275.4,0.20%,0.14,1709.7,0.15%,0.08,796.5,0.10%,11.51,142769.6,0.58%,0.14,1941.2,0.15%,0.05,1185.3,0.06%,0.04,1190.5,0.06%,0.12,3371.9,0.13%,0.052,1856.8,0.02%,0.0363,1043.5,0.02%,0.0166,190.1,0.04%
46,119,shot_46,15.81,1166,0.97%,1.09,423.7,0.35%,2.64,3149.6,0.56%,72.59,199886.9,3.64%,0.39,1175.1,0.23%,0.62,3655.8,0.22%,0.151,1844.1,0.16%,0.07,653,0.08%,11.45,142110.4,0.57%,0.12,1660.3,0.13%,0,469.8,,0.05,1325,0.06%,0.14,4178.4,0.16%,0.0433,1549,0.02%,0.0362,1041.1,0.02%,0.014,161.1,0.03%
47,120,shot_47,15.2,1117.7,0.94%,1.02,400.5,0.34%,2.55,3052.2,0.56%,72.55,200615.5,3.64%,0.39,1176.4,0.23%,0.58,3407.5,0.21%,0.1413,1724.6,0.15%,0.07,686.3,0.09%,11.52,142853,0.58%,0.13,1753.8,0.14%,0,437.3,,0.06,1482,0.07%,0.13,3751.8,0.14%,0.0446,1587,0.02%,0.0445,1274.1,0.02%,0.0197,224.3,0.04%
48,121,shot_48,14.19,1038.1,0.90%,1.13,446.1,0.37%,2.71,3260,0.57%,71.75,198783,3.60%,0.41,1236.6,0.22%,0.64,3742,0.22%,0.136,1658.4,0.15%,0.08,806.6,0.10%,11.47,141900.7,0.58%,0.13,1812.8,0.14%,0.06,1289.9,0.07%,0.05,1304.3,0.06%,0.16,4554.8,0.17%,0.0524,1853.8,0.02%,0.0417,1186.7,0.02%,0.0142,161.3,0.03%
49,122,shot_49,15.38,1132,0.95%,1.09,426.2,0.36%,2.63,3148.4,0.56%,72.47,199980.4,3.63%,0.38,1143.5,0.23%,0.6,3532.9,0.21%,0.1551,1894.1,0.16%,0.07,691.8,0.09%,11.5,142626.6,0.58%,0.14,1937.8,0.15%,0,420.3,,0.05,1461.4,0.07%,0.14,4080.8,0.15%,0.0433,1544.1,0.02%,0.0294,842,0.03%,0.0168,192.5,0.04%
50,126,shot_50,0,0,,0,5.3,,0.26,324,0.22%,1.22,3010.6,0.38%,0.03,75.3,0.06%,0.1,543.9,0.12%,0,239,,0,0,,0,0,,0,0,,0,768.2,,0,0,,0,55.3,,0.048,1883.2,0.02%,0.0077,207.7,0.02%,0.0388,370.7,0.04%
51,127,shot_51,0,0,,0.57,258.6,0.21%,0.29,326.3,0.23%,1.25,3011,0.39%,0,14.5,,0,109.4,,1.0423,11367.5,0.34%,0,0,,0,0,,0,0,,0,910.3,,0,0,,0,21.1,,0.0159,431.9,0.03%,0.0273,577.8,0.03%,0.0539,418.1,0.02%
52,128,shot_52,0,0,,0,2.2,,0.3,385.8,0.23%,1.38,3503,0.41%,0.03,94.6,0.06%,0.12,626.9,0.13%,0,63.2,,0,0,,0,11.4,,0,0,,0,706.4,,0,0,,0,2,,0.0539,2172.7,0.02%,0.0047,133.4,0.01%,0.0212,222,0.04%
53,129,shot_53,0,0,,0,1.1,,0.27,342.6,0.22%,1.4,3683.9,0.42%,0.03,96,0.06%,0.16,868.7,0.17%,0.0575,621.2,0.07%,0,0,,0,0.8,,0,0,,0,751,,0,0,,0,27.1,,0.0421,1625,0.02%,0.0045,125.8,0.01%,0.022,232.5,0.04%
54,130,shot_54,0,0,,0,0.4,,0.23,290.4,0.21%,1.18,2969.8,0.37%,0,4.8,,0.08,447.8,0.10%,0,42.6,,0,0,,0,0,,0,0,,0,946.1,,0,0,,0,129.1,,0.034,1371.4,0.03%,0.0085,243.2,0.02%,0.0369,373.3,0.04%
55,131,shot_55,L5,,,total,keV,cps,Si,Fe,=,,,,elements,,,0,0,,0.1,44.1,0.12%,0.28,358.2,0.23%,1.32,3441.4,0.40%,0.02,45.2,0.04%,0.11,649.4,0.13%,0.2563,2800,0.22%,0,0,,0,0,,0,0,,0,1074.9,
56,132,shot_56,0,0,,0,2,,0.25,324.7,0.22%,1.25,3219.8,0.39%,0.04,100.5,0.06%,0.11,588.8,0.12%,0,192,,0,0,,0,0,,0,0,,0,973.1,,0,0,,0,128.6,,0.0394,1605.3,0.02%,0.0084,243,0.02%,0.0203,216,0.04%
57,133,shot_57,0,0,,0,3.5,,0.2,250.9,0.19%,1.13,2857.6,0.36%,0.03,76.5,0.06%,0.09,487.3,0.11%,0.0286,307.8,0.06%,0,0,,0,0,,0,0,,0,890.8,,0,0,,0,99.2,,0.0541,2047.9,0.02%,0.008,204.9,0.02%,0.0347,319.1,0.04%
58,134,shot_58,0,0,,0.07,29.5,0.09%,0.22,268,0.20%,1.3,3333.3,0.40%,0.02,57.5,0.05%,0.1,516.9,0.11%,0,155.4,,0,0,,0,0,,0,0,,0,862.3,,0,0,,0,71.8,,0.037,1525.2,0.02%,0.0044,131.4,0.01%,0.0258,281.8,0.04%
59,135,shot_59,0,0,,0.2,87.4,0.20%,0.34,407.8,0.23%,1.72,4213.9,0.48%,0.03,71.1,0.05%,0.14,752.6,0.15%,0,744.5,,0,0,,0,0,,0,0,,0,809.2,,0,0,,0.01,325.3,0.03%,0.0177,742,0.03%,0.0102,329.4,0.02%,0.0476,551.9,0.03%
60,136,shot_60,0,0,,0.3,136.4,0.23%,0.32,369.4,0.23%,1.49,3672.1,0.44%,0,2.5,,0.06,374.1,0.08%,0.378,4138.4,0.23%,0,0,,0,0,,0,0,,0,974.8,,0,0,,0,95.8,,0.0168,570.6,0.03%,0.0145,381,0.03%,0.0415,400.3,0.04%
61,137,shot_61,0,0,,0.2,85.6,0.20%,0.08,93.2,0.10%,1.55,3673.3,0.45%,0,6.3,,0.13,699.6,0.15%,0,15.9,,0,0,,0,0,,0,0,,0,1166,,0,0,,0,133.1,,0.0392,1528.8,0.02%,0.0183,511.3,0.03%,0.1141,1009,0.05%
62,138,shot_62,0,0,,0.07,32.7,0.10%,0.35,439.6,0.23%,1.45,3669.8,0.43%,0.03,96.2,0.06%,0.12,672.1,0.14%,0,48.5,,0,0,,0,0,,0,0,,0,890.4,,0,0,,0,9.3,,0.0232,992.6,0.03%,0.0053,172.5,0.01%,0.0218,265.5,0.04%
63,139,shot_63,0,0,,0.06,25,0.08%,0.31,388,0.23%,1.46,3712.1,0.43%,0.05,131.7,0.06%,0.13,719.1,0.14%,0,56.8,,0,0,,0,0,,0,0,,0,878.7,,0,0,,0,13.2,,0.0467,1920.2,0.02%,0.0064,185,0.02%,0.0167,182.5,0.04%
64,140,shot_64,0,0,,0.19,84.9,0.19%,0.34,408.3,0.23%,1.71,4298,0.47%,0.06,176.3,0.08%,0.14,795.6,0.16%,0.068,746.1,0.08%,0,0,,0,6.3,,0,0,,0,1044.8,,0,0,,0.02,514.8,0.04%,0.0101,403.6,0.02%,0.0085,267.3,0.02%,0.0404,467.3,0.04%
65,141,shot_65,0,0,,0.05,21.6,0.07%,0.31,394.7,0.23%,1.39,3558.4,0.42%,0.04,114.3,0.06%,0.11,629.1,0.13%,0.0464,507.3,0.07%,0,0,,0,0,,0,0,,0,921.8,,0,0,,0,33.5,,0.0214,865.6,0.03%,0.0073,223.7,0.02%,0.0274,309.5,0.04%
66,142,shot_66,0,0,,0,2,,0.28,356.4,0.22%,1.43,3662.3,0.42%,0.05,128.1,0.06%,0.13,704,0.14%,0,0,,0,0,,0,0,,0,0,,0,847.5,,0,0,,0,9.7,,0.0382,1550.9,0.02%,0.0114,330.3,0.03%,0.029,303.5,0.04%
67,143,shot_67,0,0,,0,0.4,,0.27,338.1,0.22%,1.38,3511.1,0.41%,0.03,80.6,0.06%,0.12,665.1,0.14%,0.0159,171.5,0.04%,0,0,,0,0,,0,0,,0,898,,0,0,,0,52.5,,0.0452,1787.7,0.02%,0.0092,257.5,0.02%,0.0357,359.7,0.04%
68,144,shot_68,0,0,,0.35,155.8,0.23%,0.4,458.8,0.23%,1.69,4147.3,0.47%,0.02,57,0.04%,0.15,893.1,0.16%,0.2963,3303.6,0.23%,0,0,,0,73.3,,0,0,,0,710.4,,0,0,,0.08,2316.5,0.10%,0.0074,246.5,0.02%,0.008,211.6,0.02%,0.018,182.8,0.04%
69,145,shot_69,total,keV,cps,Si,Fe,=,,,,elements,,,0,0,,0.28,123.8,0.23%,0.45,540.6,0.21%,2.03,5193.5,0.52%,0.04,126.6,0.06%,0.18,1067,0.18%,0.3502,3882.3,0.23%,0,0,,0.02,221.7,0.05%,0,292.7,,0,1358.2,,0,0,
70,146,shot_70,0,0,,0,2.1,,0.25,325.4,0.22%,1.35,3521.4,0.41%,0.03,95.3,0.06%,0.11,606.7,0.13%,0.025,272.3,0.05%,0,0,,0,0,,0,0,,0,1120.3,,0,0,,0,0.4,,0.0423,1685,0.02%,0.0046,132,0.01%,0.0229,243,0.04%
71,147,shot_71,0,0,,0,2.2,0.04%,0.36,478.6,0.23%,1.76,4658.4,0.48%,0.07,210,0.09%,0.19,1041.9,0.19%,0,264.1,,0,0,,0,124.3,,0,0,,0,1304.8,,0,0,,0,33.8,,0.0149,635.2,0.03%,0.0131,430.5,0.03%,0.0242,294.8,0.04%
72,148,shot_72,0,0,,0,4,,0.34,446.2,0.23%,1.64,4317.2,0.46%,0.05,133.3,0.06%,0.11,620.3,0.13%,0,377.4,,0,0,,0,16.8,,0,0,,0,1215.4,,0,0,,0,33.3,,0.0446,1853.5,0.02%,0.0036,107.7,0.01%,0.0131,150.5,0.03%
73,149,shot_73,0,0,,0.29,128.4,0.23%,0.42,502.5,0.22%,2.09,5101.6,0.52%,0.05,142,0.06%,0.19,1057.9,0.19%,0,32.6,,0,0,,0,138.2,,0,0,,0,1172.3,,0,0,,0,3.7,,0.0308,1315.4,0.03%,0.0146,472.3,0.03%,0.0537,625.5,0.02%
74,150,shot_74,0,0,,0.18,78.2,0.18%,0.38,469.2,0.23%,1.74,4305.7,0.48%,0.03,77.8,0.06%,0.14,770.7,0.15%,0,849.6,,0,0,,0,37.9,,0,0,,0,1376.9,,0,0,,0.01,193,0.02%,0.0127,543.5,0.03%,0.0096,318.1,0.02%,0.0407,493.5,0.04%
