,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
29,156,shot_29,elements,,,0,0,,0.07,28,0.08%,0.07,85.7,0.08%,11.66,35912.2,0.59%,0.03,84.6,0.06%,0.03,136.5,0.06%,0.0167,176.7,0.04%,0,0,,0,21.3,0.01%,0,37.7,0.01%,0,70.5,0.01%,0,0,,0,91,0.01%,0.0017,71.1,0.00%,0.0011,39.3,0.00%
30,157,shot_30,elements,,,0,0,,0.03,14.1,0.06%,0.08,99.9,0.09%,11.25,34706.4,0.57%,0.03,67.6,0.05%,0.03,134.2,0.05%,0.017,179.5,0.04%,0,0,,0,33.3,0.01%,0,51.7,0.01%,0,41.6,0.00%,0,0,,0,105.4,0.01%,0.0009,37.6,0.00%,0.0028,98,0.01%
31,158,shot_31,elements,,,0,0,,0.05,22.9,0.07%,0.07,96.9,0.09%,11.75,36382,0.59%,0.02,62,0.05%,0.02,115.1,0.05%,0.0247,262.1,0.05%,0,0,,0,34.5,0.01%,0,49.5,0.01%,0,1.3,0.00%,0,0,,0,139.3,0.01%,0.0007,31.4,0.00%,0.0017,58.6,0.00%
32,159,shot_32,elements,,,0,0,,0.03,14.6,0.06%,0.06,85.9,0.08%,11.01,34510.1,0.55%,0.03,79.1,0.06%,0.03,134.5,0.05%,0.0195,208.6,0.05%,0,0,,0,28.8,0.01%,0,69.1,0.01%,0,13.2,0.00%,0,0,,0,104.1,0.01%,0.0015,65.3,0.00%,0.0014,48.3,0.00%
33,160,shot_33,0.63,5.5,1.02%,0.3,16.4,0.28%,0.49,82.7,0.21%,96.09,36174.3,4.84%,0.22,71.8,0.21%,0.2,123.6,0.19%,0.1882,243.6,0.19%,0,0,,0.02,25.7,0.04%,0.04,68.4,0.06%,0.03,85.4,0.05%,0,0,,0.03,105.4,0.05%,0.0117,61,0.03%,0.0127,53.5,0.03%,0.0112,19.1,0.03%
34,161,shot_34,0,0,,0.35,19.3,0.30%,0,31.9,,106.03,39679.4,5.34%,0,1.3,,0.22,133,0.20%,0,25,,0,0,,0.01,13.5,0.03%,0.04,69.1,0.06%,0.01,36.2,0.03%,0,0,,0.02,89.8,0.05%,0.0214,109.7,0.03%,0.0201,83.4,0.03%,0.0342,57.4,0.04%
35,162,shot_35,0,0,,0.23,12.3,0.25%,0.55,91.2,0.22%,84.67,31381.9,4.27%,0.27,85.7,0.23%,0.17,103.2,0.17%,0.2027,256.8,0.19%,0.01,10.1,0.03%,0.01,15.5,0.03%,0.02,42.7,0.05%,0.01,44.8,0.04%,0,0,,0.03,118.7,0.06%,0.0039,19.6,0.01%,0.0154,63.6,0.03%,0.0175,29.2,0.04%
36,163,shot_36,0,0,,0.4,23.1,0.29%,0.37,64.5,0.26%,101.64,39250.8,5.12%,0.2,66.4,0.20%,0.21,132.6,0.20%,0.1121,147.6,0.13%,0,0,,0,5,0.01%,0.01,19,0.03%,0.01,43.9,0.03%,0,0,,0.03,113.6,0.06%,0.0025,13.4,0.01%,0.009,39,0.02%,0.0123,21.5,0.03%
37,164,shot_37,0,0,,0.36,20.4,0.28%,0.43,74,0.24%,94.81,36582.7,4.78%,0.24,77.8,0.21%,0.22,140.5,0.21%,0.3298,434.3,0.23%,0,3.2,,0.01,9.2,0.02%,0.01,28,0.04%,0,9.9,0.01%,0,0,,0,0.1,,0.0135,71.6,0.03%,0.0111,47.8,0.03%,0.0378,65.5,0.04%
38,165,shot_38,0.37,2.8,1.11%,0.59,29.3,0.28%,0.72,108.1,0.27%,105.33,34982.1,5.31%,0.16,45.2,0.17%,0.21,115.8,0.20%,0.2276,260.1,0.21%,0,0,,0.01,12.4,0.03%,0.02,27.7,0.04%,0.01,30.2,0.03%,0,0,,0.03,93.4,0.05%,0.0104,48,0.02%,0.0069,25.7,0.02%,0.0064,9.6,0.02%
39,166,shot_39,0,0,,0.28,15.5,0.29%,0.45,76.6,0.23%,103.57,38492.3,5.22%,0.29,91.5,0.23%,0.22,132.7,0.20%,0.1252,158.6,0.14%,0,0,,0.02,34.7,0.05%,0.02,42.2,0.05%,0.02,80.1,0.05%,0,0,,0.03,120.1,0.06%,0.0045,22.8,0.01%,0.019,78.4,0.03%,0.0094,15.7,0.03%
40,167,shot_40,0,0,,0.24,13.4,0.27%,0.39,65.8,0.25%,95.9,35755.1,4.83%,0.24,77,0.22%,0.22,133.3,0.20%,0.2282,290,0.21%,0,0,,0.02,26,0.05%,0.03,62.7,0.06%,0.02,52.1,0.04%,0,0,,0.04,164.8,0.06%,0.005,25.4,0.01%,0.0141,58.2,0.03%,0.0275,45.9,0.04%
41,168,shot_41,0,0,,0.42,23.3,0.28%,0.41,68.5,0.24%,97.38,36255.3,4.91%,0.23,72.6,0.21%,0.26,159.2,0.22%,0.2013,255.9,0.19%,0,0,,0.02,26.5,0.05%,0.03,49.7,0.06%,0.02,53,0.04%,0,0,,0.03,140.1,0.06%,0.0026,13.2,0.01%,0.0087,36.1,0.02%,0.0143,23.9,0.03%
42,169,shot_42,0,0,,0.22,12.2,0.27%,0.34,59.1,0.26%,103.02,39270.9,5.19%,0.07,23.2,0.10%,0.2,122.3,0.19%,0.1799,233.5,0.18%,0,0,,0.02,25.2,0.04%,0.03,66.5,0.06%,0.02,66.6,0.05%,0,0,,0.04,159.8,0.06%,0.0124,64.7,0.03%,0.0259,109.7,0.03%,0.0162,27.6,0.04%
43,170,shot_43,0,0,,0.37,20.3,0.28%,0.6,101.2,0.24%,97.52,36171.4,4.91%,0.23,72.3,0.21%,0.19,112.9,0.19%,0.1895,240.4,0.19%,0,0,,0.03,38.1,0.06%,0.04,84.3,0.07%,0.01,16.9,0.02%,0,0,,0.03,119.8,0.06%,0.0055,28,0.02%,0.0136,56.4,0.03%,0.0109,18.2,0.03%
44,171,shot_44,0,0,,0.35,19.6,0.29%,0.65,109.2,0.25%,102.22,37908.7,5.15%,0.3,94.1,0.23%,0.25,151.8,0.22%,0.1664,211.1,0.17%,0,0,,0.03,44.4,0.06%,0.03,60.1,0.06%,0.01,26.3,0.02%,0,0,,0.04,147.7,0.06%,0.0149,75.9,0.03%,0.0071,29.5,0.02%,0.0189,31.7,0.04%
45,172,shot_45,0,0,,0.22,12.8,0.25%,0.36,62.7,0.25%,80.22,31336.4,4.04%,0.24,79.1,0.21%,0.15,95.9,0.16%,0.2767,368.7,0.22%,0,0,,0.01,17.4,0.03%,0.01,13.7,0.02%,0.01,26.3,0.02%,0,0,,0.02,69.2,0.04%,0.011,58.9,0.03%,0.0136,59.1,0.03%,0.0291,50.8,0.04%
46,173,shot_46,0,0,,0.53,30.4,0.25%,0.52,89.6,0.21%,85.06,33004.3,4.29%,0.21,68.9,0.20%,0.22,137.5,0.20%,0.1492,198.7,0.16%,0,0,,0.02,22.8,0.04%,0.02,44.3,0.05%,0.01,45.3,0.03%,0,0,,0.04,152.1,0.06%,0.0089,47.5,0.02%,0.0199,86.2,0.03%,0.013,22.8,0.03%
47,174,shot_47,0,0,,0.35,19.8,0.28%,0.55,94.2,0.22%,93.6,35652.2,4.72%,0.22,69.5,0.20%,0.2,125.4,0.19%,0.0973,126.7,0.12%,0,0,,0.01,14.1,0.03%,0.02,32.2,0.04%,0.01,35.2,0.03%,0,0,,0.01,57.2,0.03%,0.0097,50.9,0.02%,0.0054,22.9,0.02%,0.0363,62.5,0.04%
48,175,shot_48,0,0,,0.51,27.4,0.25%,0.63,104.5,0.24%,86.53,31705.5,4.36%,0.29,90.1,0.23%,0.23,137.7,0.21%,0.1165,146.6,0.13%,0,0,,0.02,23.3,0.04%,0,1.3,0.01%,0.01,35.6,0.03%,0,0,,0,8.9,,0.0059,29.7,0.02%,0.0218,89.8,0.04%,0.0169,28,0.04%
49,176,shot_49,0,0,,0.16,8.9,0.23%,0.57,95.3,0.23%,97.79,36113.6,4.93%,0.31,98.2,0.23%,0.29,175.6,0.23%,0.2062,259.8,0.20%,0,0,,0.01,16.2,0.03%,0.03,51.4,0.06%,0.02,50.8,0.04%,0,0,,0.03,113.9,0.06%,0.0032,16.3,0.01%,0.01,41.2,0.02%,0.0354,58.7,0.04%
50,177,shot_50,0,0,,0.41,22.9,0.28%,0.66,113.1,0.25%,94.67,36037.4,4.77%,0.22,71.3,0.21%,0.27,167,0.22%,0.1715,223.7,0.18%,0,0,,0.03,41.8,0.06%,0.05,99.3,0.06%,0.01,36.5,0.03%,0,0,,0.04,165.2,0.06%,0.0107,56.2,0.02%,0.0141,59.7,0.03%,0.0025,4.3,0.01%
51,178,shot_51,0.55,4.7,0.91%,0.56,30.8,0.26%,0.6,100.4,0.23%,85.36,31681.3,4.30%,0.34,107.1,0.23%,0.2,123.8,0.19%,0.1573,202,0.17%,0,0.1,,0.01,7.5,0.02%,0.01,21.2,0.03%,0.01,39.5,0.03%,0,0,,0.02,67.7,0.04%,0.007,36.3,0.02%,0.0101,42.2,0.02%,0.0289,49,0.04%
52,179,shot_52,0,0,,0.31,17.2,0.28%,0.7,118.8,0.26%,91.35,34169.6,4.60%,0.32,103,0.23%,0.22,134.1,0.20%,0.182,233.2,0.18%,0,0,,0.06,77.5,0.07%,0.01,15.6,0.02%,0.01,42.7,0.03%,0,0,,0.03,129.1,0.06%,0.0052,26.7,0.01%,0.0052,21.6,0.01%,0.0107,18.1,0.03%
53,180,shot_53,0,0,,0.35,19.1,0.28%,0.38,63.7,0.25%,89.35,33278.1,4.50%,0.26,81.8,0.22%,0.23,137.2,0.21%,0.2576,327.5,0.22%,0.01,11.9,0.03%,0.04,54.5,0.06%,0.02,47,0.05%,0.01,27.7,0.02%,0,0,,0.03,112.4,0.06%,0.0101,51.4,0.02%,0.0039,16.3,0.01%,0.011,18.3,0.03%
54,181,shot_54,0,0,,0.5,27.7,0.25%,0.73,122.3,0.27%,96.99,35931.7,4.89%,0.24,76.1,0.22%,0.27,163.8,0.22%,0.1913,243.4,0.19%,0,0.7,0.01%,0.04,52.9,0.06%,0.02,40.5,0.05%,0.01,21.8,0.02%,0,0,,0.04,175.5,0.06%,0.0114,58.3,0.03%,0.0187,77.5,0.03%,0.0285,47.6,0.04%
55,182,shot_55,0,0,,0.48,26.7,0.25%,0.72,122.1,0.27%,87.74,33122.4,4.42%,0.22,70,0.20%,0.18,112.9,0.18%,0.2051,266,0.20%,0,0,,0.03,42.9,0.06%,0.01,28.4,0.04%,0.01,45.8,0.04%,0,0,,0.03,111.9,0.06%,0.0031,16.4,0.01%,0.0127,53.9,0.03%,0.024,40.9,0.04%
56,183,shot_56,0,0,,0.46,25.8,0.26%,0.62,107.3,0.24%,95.4,36308.9,4.81%,0.3,96.3,0.23%,0.28,175.8,0.23%,0.1698,221.3,0.18%,0,0,,0.03,46.6,0.06%,0.02,47.7,0.05%,0,9,0.01%,0,0,,0.03,135.5,0.06%,0.013,68.2,0.03%,0.01,42.5,0.02%,0.0149,25.7,0.03%
57,184,shot_57,0,0,,0.44,24.4,0.27%,0.48,82.6,0.21%,92.31,35085,4.65%,0.22,70.8,0.21%,0.27,169.4,0.22%,0.1784,232,0.18%,0,0,,0.03,38.8,0.06%,0.03,53.5,0.06%,0.02,51.8,0.04%,0,0,,0.03,125.6,0.06%,0.0088,46.1,0.02%,0.0098,41.6,0.02%,0.0149,25.4,0.03%
58,185,shot_58,0,0,,0.46,25.6,0.27%,0.57,97.3,0.23%,94.78,35903.6,4.77%,0.27,85.5,0.22%,0.28,173.8,0.23%,0.202,262,0.20%,0,0,,0.02,32.4,0.05%,0.02,34.3,0.04%,0.01,37.3,0.03%,0,0,,0.03,126.1,0.06%,0.0085,44.4,0.02%,0.0124,52.3,0.03%,0.0128,21.8,0.03%
59,186,shot_59,0,0,,0.24,13.7,0.26%,0.56,96.7,0.22%,90.48,34504.8,4.56%,0.2,63.2,0.19%,0.24,152.7,0.21%,0.1742,226.9,0.18%,0,0,,0.03,38.4,0.06%,0.04,70.7,0.06%,0.01,36.8,0.03%,0,0,,0.04,172.2,0.06%,0.0052,27,0.01%,0.0104,44.3,0.02%,0.0071,12.1,0.02%
60,187,shot_60,0,0.1,,0.48,27.4,0.27%,0.13,23.2,0.18%,102.16,39032.4,5.14%,0.2,64.9,0.20%,0.23,142.3,0.21%,0.1859,241.9,0.19%,0.01,8.3,0.03%,0.01,20.3,0.04%,0.05,92.9,0.06%,0,7.9,,0,0,,0.02,103.4,0.05%,0.008,42,0.02%,0.0093,39.5,0.02%,0.0184,31.6,0.04%
61,188,shot_61,0,0,,0.54,29.5,0.26%,0.45,75.8,0.23%,94.2,34914.5,4.75%,0.23,71.2,0.21%,0.19,117.9,0.19%,0.1992,252.7,0.19%,0.02,19.3,0.05%,0.03,37.1,0.06%,0.02,30.3,0.04%,0.01,30.9,0.03%,0,0,,0.04,154.5,0.06%,0.0003,1.6,0.00%,0.0088,36.6,0.02%,0.0094,15.6,0.02%
62,189,shot_62,0,0,,0.36,19.8,0.28%,0.63,106.1,0.24%,90.28,33547,4.55%,0.24,76.9,0.22%,0.22,132.3,0.20%,0.2334,297.1,0.21%,0,0,,0.01,18.3,0.03%,0.02,31.1,0.04%,0,13.9,0.01%,0,0,,0.03,132,0.06%,0.0115,58.7,0.03%,0.0287,119.1,0.03%,0.0155,26,0.04%
