   PIQUANT 0.0.0-main  ps__0570_0717573838_000rbs__02900001985090613338___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.240332, 7.98072, 3.67467e-08, 0, 3.15923, 7.98072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66002e-13, 0, 3.51532e-11, 0, 3.6711e-08, 0, 0, 0
0.248195, 7.15728, 5.95162e-08, 0, 3.0261, 7.15728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74039e-13, 0, 5.90986e-11, 0, 5.94563e-08, 0, 0, 0
0.256058, 5.16693, 9.57143e-08, 0, 2.67711, 5.16693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27821e-12, 0, 9.87992e-11, 0, 9.56142e-08, 0, 0, 0
0.263921, 3.58347, 1.52848e-07, 0, 2.36294, 3.58347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09892e-12, 0, 1.64271e-10, 0, 1.52682e-07, 0, 0, 0
0.271784, 2.99277, 2.42384e-07, 0, 2.23445, 2.99277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42804e-12, 0, 2.71686e-10, 0, 2.42109e-07, 0, 0, 0
0.279647, 2.59069, 3.81811e-07, 0, 2.14259, 2.59069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57946e-12, 0, 4.47857e-10, 0, 3.81357e-07, 0, 0, 0
0.28751, 1.59551, 5.97086e-07, 0, 1.89618, 1.59551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02236e-12, 0, 7.33278e-10, 0, 5.96343e-07, 0, 0, 0
0.295373, 1.79209, 9.27327e-07, 6.04192e-40, 1.94733, 1.79209, 6.04192e-40, 0, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 6.04192e-40, 1.45243e-11, 6.04192e-40, 1.19496e-09, 6.04192e-40, 9.26118e-07, 6.04192e-40, 6.04192e-40, 6.04192e-40
0.303236, 2.20309, 1.43039e-06, 1.01601e-38, 2.05014, 2.20309, 1.01601e-38, 0, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 1.01601e-38, 2.32846e-11, 1.01601e-38, 1.93863e-09, 1.01601e-38, 1.42842e-06, 1.01601e-38, 1.01601e-38, 1.01601e-38
0.311099, 0.997591, 2.19134e-06, 1.4213e-37, 1.73136, 0.997589, 1.4213e-37, 0, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 1.4213e-37, 3.71889e-11, 1.4213e-37, 3.1318e-09, 1.4213e-37, 2.18818e-06, 1.4213e-37, 1.4213e-37, 1.4213e-37
0.318962, 1.38761, 3.33444e-06, 1.7648e-36, 1.84055, 1.38761, 1.7648e-36, 0, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 1.7648e-36, 5.91983e-11, 1.7648e-36, 5.03923e-09, 1.7648e-36, 3.32934e-06, 1.7648e-36, 1.7648e-36, 1.7648e-36
0.326825, 1.99518, 5.03969e-06, 1.96338e-35, 1.99879, 1.99517, 1.96338e-35, 0, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 1.96338e-35, 9.39605e-11, 1.96338e-35, 8.07833e-09, 1.96338e-35, 5.03152e-06, 1.96338e-35, 1.96338e-35, 1.96338e-35
0.334688, 1.60998, 7.5661e-06, 1.97582e-34, 1.89999, 1.60997, 1.97582e-34, 0, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.97582e-34, 1.48772e-10, 1.97582e-34, 1.2906e-08, 1.97582e-34, 7.55304e-06, 1.97582e-34, 1.97582e-34, 1.97582e-34
0.342551, 0.997591, 1.12834e-05, 1.80816e-33, 1.73136, 0.99758, 1.80816e-33, 0, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 1.80816e-33, 2.3509e-10, 1.80816e-33, 2.0554e-08, 1.80816e-33, 1.12626e-05, 1.80816e-33, 1.80816e-33, 1.80816e-33
0.350414, 0.99759, 1.6716e-05, 1.51351e-32, 1.73135, 0.997573, 1.51351e-32, 0, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 1.51351e-32, 3.7092e-10, 1.51351e-32, 3.26411e-08, 1.51351e-32, 1.6683e-05, 1.51351e-32, 1.51351e-32, 1.51351e-32
0.358277, 1.37556, 2.46015e-05, 1.16362e-31, 1.83727, 1.37554, 1.16362e-31, 0, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 1.16362e-31, 5.84578e-10, 1.16362e-31, 5.17036e-08, 1.16362e-31, 2.45492e-05, 1.16362e-31, 1.16362e-31, 1.16362e-31
0.36614, 1.24406, 3.59705e-05, 8.22969e-31, 1.80113, 1.24402, 8.22969e-31, 0, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 8.22969e-31, 9.20625e-10, 8.22969e-31, 8.17103e-08, 8.22969e-31, 3.58879e-05, 8.22969e-31, 8.22969e-31, 8.22969e-31
0.374003, 0.373151, 5.22531e-05, 5.62109e-30, 1.5405, 0.373099, 5.62109e-30, 0, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 5.62109e-30, 1.44924e-09, 5.62109e-30, 1.28867e-07, 5.62109e-30, 5.21228e-05, 5.62109e-30, 5.62109e-30, 5.62109e-30
0.381866, 0.997591, 7.54181e-05, 3.3495e-29, 1.73136, 0.997516, 3.3495e-29, 0, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 3.3495e-29, 2.28097e-09, 3.3495e-29, 2.02862e-07, 3.3495e-29, 7.5213e-05, 3.3495e-29, 3.3495e-29, 3.3495e-29
0.389729, 0.99759, 0.000108159, 1.87846e-28, 1.73135, 0.997482, 1.87846e-28, 0, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 1.87846e-28, 3.58988e-09, 1.87846e-28, 3.18806e-07, 1.87846e-28, 0.000107837, 1.87846e-28, 1.87846e-28, 1.87846e-28
0.397592, 0.631668, 0.000154132, 1.03568e-27, 1.62224, 0.631513, 1.03568e-27, 0, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 1.03568e-27, 5.64991e-09, 1.03568e-27, 5.00218e-07, 1.03568e-27, 0.000153627, 1.03568e-27, 1.03568e-27, 1.03568e-27
0.405455, 0, 0.000218272, 5.4387e-27, 1.41421, -0.000218272, 5.4387e-27, 0, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 5.4387e-27, 8.89158e-09, 5.4387e-27, 7.83641e-07, 5.4387e-27, 0.00021748, 5.4387e-27, 5.4387e-27, 5.4387e-27
0.413318, 0, 0.000307185, 2.69427e-26, 1.41421, -0.000307185, 2.69427e-26, 0, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 2.69427e-26, 1.39901e-08, 2.69427e-26, 1.22569e-06, 2.69427e-26, 0.000305945, 2.69427e-26, 2.69427e-26, 2.69427e-26
0.421181, 0.717384, 0.000429663, 1.26225e-25, 1.64845, 0.716954, 1.26225e-25, 0, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 1.26225e-25, 2.20016e-08, 1.26225e-25, 1.91385e-06, 1.26225e-25, 0.000427727, 1.26225e-25, 1.26225e-25, 1.26225e-25
0.429044, 2.99518, 0.000597328, 5.68531e-25, 2.23499, 2.99458, 5.68531e-25, 0, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 5.68531e-25, 3.4573e-08, 5.68531e-25, 2.98274e-06, 5.68531e-25, 0.00059431, 5.68531e-25, 5.68531e-25, 5.68531e-25
0.436907, 2.70292, 0.000825439, 2.44402e-24, 2.16862, 2.70209, 2.44402e-24, 0, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 2.44402e-24, 5.42614e-08, 2.44402e-24, 4.63871e-06, 2.44402e-24, 0.000820746, 2.44402e-24, 2.44402e-24, 2.44402e-24
0.44477, 4.28744, 0.00113391, 1.00062e-23, 2.50748, 4.2863, 1.00062e-23, 0, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 1.00062e-23, 8.50207e-08, 1.00062e-23, 7.19644e-06, 1.00062e-23, 0.00112663, 1.00062e-23, 1.00062e-23, 1.00062e-23
0.452633, 1.99518, 0.00154855, 3.9077e-23, 1.99879, 1.99363, 3.9077e-23, 0, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 3.9077e-23, 1.32932e-07, 3.9077e-23, 1.11332e-05, 3.9077e-23, 0.00153728, 3.9077e-23, 3.9077e-23, 3.9077e-23
0.460496, 2.3019, 0.00210264, 1.45793e-22, 2.0741, 2.2998, 1.45793e-22, 0, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.60905e-08, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 1.45793e-22, 2.07296e-07, 1.45793e-22, 1.71683e-05, 1.45793e-22, 0.00208525, 1.45793e-22, 1.45793e-22, 1.45793e-22
0.468359, 0.344231, 0.00283878, 5.20652e-22, 1.53109, 0.341392, 5.20652e-22, 0, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.27646e-08, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 5.20652e-22, 3.22257e-07, 5.20652e-22, 2.63789e-05, 5.20652e-22, 0.00281203, 5.20652e-22, 5.20652e-22, 5.20652e-22
0.476222, 0.997589, 0.00381928, 1.80172e-21, 1.73135, 0.99377, 2.50473e-08, 0, 1.5857e-10, 1.4804e-09, 1.55085e-06, 4.86271e-08, 2.41868e-07, 1.01164e-07, 5.95015e-07, 8.64939e-07, 1.29916e-06, 5.76379e-08, 2.61123e-06, 2.21865e-08, 1.21491e-08, 4.9918e-07, 3.16725e-10, 4.03657e-05, 4.98695e-12, 0.00377075, 1.80172e-21, 1.80172e-21, 2.37054e-07
0.484085, 4.337, 0.00511875, 3.81071e-06, 2.51734, 4.33188, 3.8925e-06, 3.81071e-06, 3.81123e-06, 3.81554e-06, 8.87488e-06, 3.9695e-06, 4.60051e-06, 4.14105e-06, 5.75368e-06, 6.50726e-06, 8.05301e-06, 3.99892e-06, 1.23374e-05, 3.88316e-06, 3.85038e-06, 4.58088e-06, 3.81408e-06, 6.53007e-05, 3.81073e-06, 0.00503158, 3.81071e-06, 3.81071e-06, 4.58479e-06
0.491948, 1.65818, 0.00683658, 1.24173e-05, 1.91264, 1.65134, 1.26244e-05, 1.24173e-05, 1.24186e-05, 1.24296e-05, 2.52363e-05, 1.28193e-05, 1.44165e-05, 1.32535e-05, 1.73356e-05, 1.91406e-05, 2.31559e-05, 1.28937e-05, 3.40011e-05, 1.26007e-05, 1.25177e-05, 1.36004e-05, 1.24308e-05, 0.000105622, 1.24174e-05, 0.00667921, 1.24173e-05, 1.24173e-05, 1.43767e-05
0.499811, 1.66677, 0.00911221, 3.13613e-05, 1.91488, 1.65766, 3.18384e-05, 3.13613e-05, 3.13643e-05, 3.13895e-05, 6.09063e-05, 3.22876e-05, 3.5969e-05, 3.32885e-05, 4.26968e-05, 4.67377e-05, 5.61114e-05, 3.24593e-05, 8.11073e-05, 3.17839e-05, 3.15927e-05, 3.31698e-05, 3.1399e-05, 0.000171878, 3.13614e-05, 0.00882485, 3.13613e-05, 3.13613e-05, 3.58773e-05
