   PIQUANT 0.0.0-main  ps__0573_0717843531_000rbs__02900001995576371687___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.193132, 12.6878, 9.44246e-10, 0, 3.83247, 12.6878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12979e-14, 0, 0, 1.02294e-14, 0, 6.54849e-13, 0, 9.43569e-10, 0, 0, 0
0.200994, 11.9806, 1.59834e-09, 0, 3.73907, 11.9806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91239e-14, 0, 0, 1.76695e-14, 0, 1.14246e-12, 0, 1.59716e-09, 0, 0, 0
0.208856, 9.67579, 2.68563e-09, 0, 3.41699, 9.67579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21331e-14, 0, 0, 3.03153e-14, 0, 1.98043e-12, 0, 2.68359e-09, 0, 0, 0
0.216719, 9.86431, 4.47965e-09, 0, 3.44446, 9.86431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3598e-14, 0, 0, 5.16669e-14, 0, 3.41184e-12, 0, 4.47613e-09, 0, 0, 0
0.224581, 7.82101, 7.41794e-09, 0, 3.13385, 7.82101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87543e-14, 0, 0, 8.74849e-14, 0, 5.84188e-12, 0, 7.41192e-09, 0, 0, 0
0.232444, 7.31219, 1.21951e-08, 0, 3.05159, 7.31219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45914e-13, 0, 0, 1.47192e-13, 0, 9.94266e-12, 0, 1.21848e-08, 0, 0, 0
0.240306, 4.98795, 1.99053e-08, 0, 2.64347, 4.98795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38172e-13, 0, 0, 2.46109e-13, 0, 1.68226e-11, 0, 1.9888e-08, 0, 0, 0
0.248169, 4.16452, 3.22591e-08, 0, 2.48284, 4.16452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86003e-13, 0, 0, 4.0902e-13, 0, 2.82996e-11, 0, 3.223e-08, 0, 0, 0
0.256031, 3.81137, 5.19105e-08, 0, 2.41068, 3.81137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21182e-13, 0, 0, 6.75802e-13, 0, 4.73397e-11, 0, 5.18618e-08, 0, 0, 0
0.263893, 3.76727, 8.29453e-08, 0, 2.40152, 3.76727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92636e-13, 0, 0, 1.11029e-12, 0, 7.87574e-11, 0, 8.28645e-08, 0, 0, 0
