   PIQUANT 0.0.0-main  ps__0240_0688239844_000rbs__00724400836244520068___j05.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0805992, 0, 3.74939e-13, 0, 1.41421, -3.74939e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78509e-16, 0, 1.65158e-14, 0, 3.58045e-13, 0, 0, 0
0.0884769, 0, 6.71618e-13, 0, 1.41421, -6.71618e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90045e-16, 0, 3.0163e-14, 0, 6.40765e-13, 0, 0, 0
0.0963546, 0, 1.19437e-12, 0, 1.41421, -1.19437e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24908e-15, 0, 5.47166e-14, 0, 1.1384e-12, 0, 0, 0
0.104232, 0, 2.1089e-12, 0, 1.41421, -2.1089e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24523e-15, 0, 9.86033e-14, 0, 2.00805e-12, 0, 0, 0
0.11211, 0, 3.69757e-12, 0, 1.41421, -3.69757e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00809e-15, 0, 1.76541e-13, 0, 3.51702e-12, 0, 0, 0
0.119988, 0, 6.43812e-12, 0, 1.41421, -6.43812e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.1066e-15, 0, 3.14076e-13, 0, 6.11694e-12, 0, 0, 0
0.127865, 0, 1.11332e-11, 0, 1.41421, -1.11332e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25162e-14, 0, 5.55267e-13, 0, 1.05654e-11, 0, 0, 0
0.135743, 0, 1.91218e-11, 0, 1.41421, -1.91218e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18988e-14, 0, 9.75656e-13, 0, 1.81243e-11, 0, 0, 0
0.143621, 0, 3.26229e-11, 0, 1.41421, -3.26229e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80664e-14, 0, 1.70396e-12, 0, 3.08808e-11, 0, 0, 0
0.151498, 0, 5.52874e-11, 0, 1.41421, -5.52874e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5747e-14, 0, 2.95822e-12, 0, 5.22634e-11, 0, 0, 0
