   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_68.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.231987, 0, 4.36466e-12, 0, 1.41421, -4.36466e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96918e-16, 0, 5.50431e-15, 0, 4.35866e-12, 0, 0, 0
0.239878, 0, 7.12474e-12, 0, 1.41421, -7.12474e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.31472e-16, 0, 9.29891e-15, 0, 7.11461e-12, 0, 0, 0
0.24777, 0, 1.1548e-11, 0, 1.41421, -1.1548e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38298e-15, 0, 1.562e-14, 0, 1.1531e-11, 0, 0, 0
0.255662, 0, 1.85857e-11, 0, 1.41421, -1.85857e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28699e-15, 0, 2.60921e-14, 0, 1.85573e-11, 0, 0, 0
0.263554, 0, 2.97033e-11, 0, 1.41421, -2.97033e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7609e-15, 0, 4.33491e-14, 0, 2.96562e-11, 0, 0, 0
0.271445, 0, 4.71411e-11, 0, 1.41421, -4.71411e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15184e-15, 0, 7.16412e-14, 0, 4.70633e-11, 0, 0, 0
0.279337, 0, 7.42982e-11, 0, 1.41421, -7.42982e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0012e-14, 0, 1.17796e-13, 0, 7.41704e-11, 0, 0, 0
0.287229, 0, 1.16323e-10, 2.24208e-44, 1.41421, -1.16323e-10, 0, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 2.24208e-44, 1.62456e-14, 2.24208e-44, 1.93067e-13, 2.24208e-44, 1.16114e-10, 2.24208e-44, 2.24208e-44, 2.24208e-44
0.29512, 0, 1.80818e-10, 4.27396e-43, 1.41421, -1.80818e-10, 0, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 2.61989e-14, 4.27396e-43, 3.144e-13, 4.27396e-43, 1.80478e-10, 4.27396e-43, 4.27396e-43, 4.27396e-43
0.303012, 0, 2.7916e-10, 6.42635e-42, 1.41421, -2.7916e-10, 0, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 6.42635e-42, 4.20807e-14, 6.42635e-42, 5.09699e-13, 6.42635e-42, 2.78608e-10, 6.42635e-42, 6.42635e-42, 6.42635e-42
