   PIQUANT 0.0.0-main  ps__0097_0675553164_000PTFE_shot_1.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.378126, 0, 2.30503e-11, 0, 1.41421, -2.30503e-11, 0, 0, 0, 0, 0, 0, 0, 0, 3.26425e-14, 0, 1.25663e-16, 6.2737e-15, 0, 2.30113e-11, 0, 0
0.386365, 0, 4.69223e-11, 1.63532e-42, 1.41421, -4.69223e-11, 1.63532e-42, 0, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 1.63532e-42, 6.64504e-14, 1.63532e-42, 2.60843e-16, 1.31177e-14, 1.63532e-42, 4.68425e-11, 1.63532e-42, 1.63532e-42
0.394605, 0, 9.4144e-11, 3.25494e-41, 1.41421, -9.4144e-11, 3.25494e-41, 0, 3.25494e-41, 3.25494e-41, 3.25494e-41, 3.25494e-41, 3.25494e-41, 3.25494e-41, 1.33333e-13, 3.25494e-41, 5.34851e-16, 2.70581e-14, 3.25494e-41, 9.39831e-11, 3.25494e-41, 3.25494e-41
0.402844, 0, 1.86193e-10, 5.25068e-40, 1.41421, -1.86193e-10, 5.25068e-40, 0, 5.25068e-40, 5.25068e-40, 5.25068e-40, 5.25068e-40, 5.25068e-40, 5.25068e-40, 2.63725e-13, 5.25068e-40, 1.084e-15, 5.50775e-14, 5.25068e-40, 1.85873e-10, 5.25068e-40, 5.25068e-40
0.411083, 0, 3.63023e-10, 7.39658e-39, 1.41421, -3.63023e-10, 7.39658e-39, 0, 7.39658e-39, 7.39658e-39, 7.39658e-39, 7.39658e-39, 7.39658e-39, 7.39658e-39, 5.14273e-13, 7.39658e-39, 2.17313e-15, 1.1067e-13, 7.39658e-39, 3.62396e-10, 7.39658e-39, 7.39658e-39
0.419322, 0, 6.97825e-10, 9.27271e-38, 1.41421, -6.97825e-10, 9.27271e-38, 0, 9.27271e-38, 9.27271e-38, 9.27271e-38, 9.27271e-38, 9.27271e-38, 9.27271e-38, 9.88814e-13, 9.27271e-38, 4.31293e-15, 2.196e-13, 9.27271e-38, 6.96612e-10, 9.27271e-38, 9.27271e-38
0.427562, 0, 1.32264e-09, 1.04225e-36, 1.41421, -1.32264e-09, 1.04225e-36, 0, 1.04225e-36, 1.04225e-36, 1.04225e-36, 1.04225e-36, 1.04225e-36, 1.04225e-36, 1.87485e-12, 1.04225e-36, 8.4824e-15, 4.30505e-13, 1.04225e-36, 1.32032e-09, 1.04225e-36, 1.04225e-36
0.435801, 0, 2.47206e-09, 1.05725e-35, 1.41421, -2.47206e-09, 1.05725e-35, 0, 1.05725e-35, 1.05725e-35, 1.05725e-35, 1.05725e-35, 1.05725e-35, 1.05725e-35, 3.50598e-12, 1.05725e-35, 1.65509e-14, 8.34287e-13, 1.05725e-35, 2.4677e-09, 1.05725e-35, 1.05725e-35
0.44404, 0, 4.55656e-09, 9.73809e-35, 1.41421, -4.55656e-09, 9.73809e-35, 0, 9.73809e-35, 9.73809e-35, 9.73809e-35, 9.73809e-35, 9.73809e-35, 9.73809e-35, 6.4669e-12, 9.73809e-35, 3.20788e-14, 1.5993e-12, 9.73809e-35, 4.54846e-09, 9.73809e-35, 9.73809e-35
0.45228, 0, 8.28364e-09, 8.19085e-34, 1.41421, -8.28364e-09, 8.19085e-34, 0, 8.19085e-34, 8.19085e-34, 8.19085e-34, 8.19085e-34, 8.19085e-34, 8.19085e-34, 1.1768e-11, 8.19085e-34, 6.18451e-14, 3.03523e-12, 8.19085e-34, 8.26878e-09, 8.19085e-34, 8.19085e-34
0.460519, 0, 1.48542e-08, 6.32435e-33, 1.41421, -1.48542e-08, 6.32435e-33, 0, 6.32435e-33, 6.32435e-33, 6.32435e-33, 6.32435e-33, 6.32435e-33, 6.32435e-33, 2.11297e-11, 6.32435e-33, 1.18761e-13, 5.70859e-12, 6.32435e-33, 1.48272e-08, 6.32435e-33, 6.32435e-33
0.468758, 0, 2.62763e-08, 4.80759e-32, 1.41421, -2.62763e-08, 4.80759e-32, 0, 4.80759e-32, 4.80759e-32, 4.80759e-32, 4.80759e-32, 4.80759e-32, 4.80759e-32, 3.74414e-11, 4.80759e-32, 2.27453e-13, 1.06528e-11, 4.80759e-32, 2.6228e-08, 4.80759e-32, 4.80759e-32
0.476998, 0, 4.5858e-08, 3.46837e-31, 1.41421, -4.5858e-08, 3.46837e-31, 0, 3.46837e-31, 3.46837e-31, 3.46837e-31, 3.46837e-31, 3.46837e-31, 3.46837e-31, 6.5489e-11, 3.46837e-31, 4.34962e-13, 1.97523e-11, 3.46837e-31, 4.57723e-08, 3.46837e-31, 3.46837e-31
0.485237, 0, 7.89674e-08, 2.3379e-30, 1.41421, -7.89674e-08, 2.3379e-30, 0, 2.3379e-30, 2.3379e-30, 2.3379e-30, 2.3379e-30, 2.3379e-30, 2.3379e-30, 1.13095e-10, 2.3379e-30, 8.31225e-13, 3.64484e-11, 2.3379e-30, 7.88171e-08, 2.3379e-30, 2.3379e-30
0.493476, 0, 1.34189e-07, 1.46823e-29, 1.41421, -1.34189e-07, 1.46823e-29, 0, 1.46823e-29, 1.46823e-29, 1.46823e-29, 1.46823e-29, 1.46823e-29, 1.46823e-29, 1.92882e-10, 1.46823e-29, 1.58814e-12, 6.70525e-11, 1.46823e-29, 1.33927e-07, 1.46823e-29, 1.46823e-29
0.501715, 0, 2.25052e-07, 1.49475e-28, 1.41421, -2.25052e-07, 1.49475e-28, 0, 1.49475e-28, 1.49475e-28, 1.49475e-28, 1.49475e-28, 1.49475e-28, 1.49475e-28, 3.24974e-10, 1.49475e-28, 3.03649e-12, 1.23355e-10, 1.49475e-28, 2.24601e-07, 1.49475e-28, 1.49475e-28
0.509955, 0, 3.72554e-07, 7.75834e-28, 1.41421, -3.72554e-07, 7.75834e-28, 0, 7.75834e-28, 7.75834e-28, 7.75834e-28, 7.75834e-28, 7.75834e-28, 7.75834e-28, 5.41022e-10, 7.75834e-28, 5.79527e-12, 2.26745e-10, 7.75834e-28, 3.71781e-07, 7.75834e-28, 7.75834e-28
0.518194, 0, 6.08849e-07, 3.79789e-27, 1.41421, -6.08849e-07, 3.79789e-27, 0, 3.79789e-27, 3.79789e-27, 3.79789e-27, 3.79789e-27, 3.79789e-27, 3.79789e-27, 8.90335e-10, 3.79789e-27, 1.1043e-11, 4.17601e-10, 3.79789e-27, 6.0753e-07, 3.79789e-27, 3.79789e-27
0.526433, 0, 9.82454e-07, 1.75946e-26, 1.41421, -9.82454e-07, 1.75946e-26, 0, 1.75946e-26, 1.75946e-26, 1.75946e-26, 1.75946e-26, 1.75946e-26, 1.75946e-26, 1.44883e-09, 1.75946e-26, 2.09839e-11, 7.71403e-10, 1.75946e-26, 9.80212e-07, 1.75946e-26, 1.75946e-26
0.534673, 0, 1.56557e-06, 7.73926e-26, 1.41421, -1.56557e-06, 7.73926e-26, 0, 7.73926e-26, 7.73926e-26, 7.73926e-26, 7.73926e-26, 7.73926e-26, 7.73926e-26, 2.3322e-09, 7.73926e-26, 3.97067e-11, 1.42986e-09, 7.73926e-26, 1.56176e-06, 7.73926e-26, 7.73926e-26
0.542912, 0, 2.46413e-06, 3.24199e-25, 1.41421, -2.46413e-06, 3.24199e-25, 0, 3.24199e-25, 3.24199e-25, 3.24199e-25, 3.24199e-25, 3.24199e-25, 3.24199e-25, 3.71497e-09, 3.24199e-25, 7.47088e-11, 2.65877e-09, 3.24199e-25, 2.45768e-06, 3.24199e-25, 3.24199e-25
0.551151, 0, 3.8315e-06, 1.29713e-24, 1.41421, -3.8315e-06, 1.29713e-24, 0, 1.29713e-24, 1.29713e-24, 1.29713e-24, 1.29713e-24, 1.29713e-24, 1.29713e-24, 5.85789e-09, 1.29713e-24, 1.39568e-10, 4.95494e-09, 1.29713e-24, 3.82055e-06, 1.29713e-24, 1.29713e-24
0.55939, 0, 5.88819e-06, 4.99971e-24, 1.41421, -5.88819e-06, 2.10832e-10, 0, 5.21413e-14, 2.52757e-13, 2.012e-12, 3.15474e-11, 9.84873e-12, 1.38675e-10, 9.14692e-09, 5.8503e-12, 2.58543e-10, 9.2404e-09, 1.49637e-15, 5.86866e-06, 4.99971e-24, 4.88006e-10
0.56763, 0, 8.95947e-06, 1.46985e-08, 1.41421, -8.95947e-06, 1.56022e-08, 1.46985e-08, 1.46987e-08, 1.46996e-08, 1.47071e-08, 1.48337e-08, 1.47407e-08, 1.52929e-08, 2.8846e-08, 1.47236e-08, 1.51729e-08, 3.19089e-08, 1.46985e-08, 8.92384e-06, 1.46985e-08, 1.67903e-08
0.575869, 0, 1.35004e-05, 6.27774e-08, 1.41421, -1.35004e-05, 6.58501e-08, 6.27774e-08, 6.27782e-08, 6.27811e-08, 6.28068e-08, 6.32372e-08, 6.2921e-08, 6.47985e-08, 8.44579e-08, 6.28627e-08, 6.36389e-08, 9.47204e-08, 6.27775e-08, 1.3433e-05, 6.27774e-08, 6.98897e-08
0.584108, 0, 2.01903e-05, 2.12782e-07, 1.41421, -2.01903e-05, 2.2235e-07, 2.12782e-07, 2.12785e-07, 2.12794e-07, 2.12874e-07, 2.14214e-07, 2.13229e-07, 2.19076e-07, 2.45707e-07, 2.13048e-07, 2.14329e-07, 2.71731e-07, 2.12782e-07, 2.00566e-05, 2.12782e-07, 2.34929e-07
0.592348, 0, 3.0081e-05, 6.60945e-07, 1.41421, -3.0081e-05, 6.89148e-07, 6.60945e-07, 6.60952e-07, 6.60979e-07, 6.61214e-07, 6.65165e-07, 6.62263e-07, 6.79495e-07, 7.10504e-07, 6.61728e-07, 6.63691e-07, 7.68892e-07, 6.60946e-07, 2.9802e-05, 6.60945e-07, 7.26224e-07
0.600587, 0, 4.49287e-05, 1.94395e-06, 1.41421, -4.49287e-05, 2.02339e-06, 1.94395e-06, 1.94397e-06, 1.94404e-06, 1.9447e-06, 1.95583e-06, 1.94766e-06, 1.9962e-06, 2.01789e-06, 1.94615e-06, 1.94876e-06, 2.1398e-06, 1.94395e-06, 4.43198e-05, 1.94395e-06, 2.12783e-06
0.608826, 0, 6.79285e-05, 5.46486e-06, 1.41421, -6.79285e-05, 5.6794e-06, 5.46486e-06, 5.46492e-06, 5.46512e-06, 5.46691e-06, 5.49697e-06, 5.47488e-06, 5.60597e-06, 5.57422e-06, 5.47082e-06, 5.4732e-06, 5.81641e-06, 5.46486e-06, 6.65566e-05, 5.46486e-06, 5.96145e-06
0.617065, 0.983581, 0.000105346, 1.47301e-05, 1.7273, 0.983476, 1.52862e-05, 1.47301e-05, 1.47302e-05, 1.47307e-05, 1.47354e-05, 1.48133e-05, 1.4756e-05, 1.50959e-05, 1.48904e-05, 1.47455e-05, 1.47443e-05, 1.53531e-05, 1.47301e-05, 0.000102208, 1.47301e-05, 1.60173e-05
0.625305, 1.01642, 0.000170042, 3.81132e-05, 1.73678, 1.01625, 3.94978e-05, 3.81132e-05, 3.81135e-05, 3.81148e-05, 3.81264e-05, 3.83204e-05, 3.81779e-05, 3.90239e-05, 3.83463e-05, 3.81516e-05, 3.81373e-05, 3.92032e-05, 3.81132e-05, 0.000162869, 3.81132e-05, 4.13182e-05
0.633544, 0, 0.00028882, 9.47237e-05, 1.41421, -0.00028882, 9.80365e-05, 9.47237e-05, 9.47245e-05, 9.47277e-05, 9.47553e-05, 9.52194e-05, 9.48785e-05, 9.69027e-05, 9.50598e-05, 9.48156e-05, 9.47642e-05, 9.66055e-05, 9.47237e-05, 0.000272623, 9.47237e-05, 0.000102392
0.641783, 0, 0.000516993, 0.00022622, 1.41421, -0.000516993, 0.000233838, 0.00022622, 0.000226222, 0.000226229, 0.000226293, 0.00022736, 0.000226576, 0.000231231, 0.000226701, 0.000226431, 0.000226287, 0.000229426, 0.00022622, 0.000481185, 0.00022622, 0.000243854
0.650023, 0, 0.000965919, 0.000519336, 1.41421, -0.000965919, 0.000536183, 0.000519336, 0.00051934, 0.000519356, 0.000519497, 0.000521857, 0.000520123, 0.000530417, 0.000520019, 0.000519803, 0.000519446, 0.000524729, 0.000519336, 0.000888851, 0.000519336, 0.00055833
0.658262, 0, 0.00185217, 0.00114645, 1.41421, -0.00185217, 0.00118228, 0.00114645, 0.00114646, 0.00114649, 0.00114679, 0.00115181, 0.00114812, 0.00117002, 0.00114741, 0.00114744, 0.00114663, 0.00115541, 0.00114645, 0.00169129, 0.00114645, 0.00122939
0.666501, 0, 0.00358048, 0.00243446, 1.41421, -0.00358048, 0.00250781, 0.00243446, 0.00243448, 0.00243455, 0.00243516, 0.00244544, 0.00243789, 0.0024827, 0.00243581, 0.0024365, 0.00243475, 0.00244921, 0.00243446, 0.00325549, 0.00243446, 0.00260423
0.67474, 0.966691, 0.006875, 0.00497445, 1.72241, 0.959816, 0.00511896, 0.00497445, 0.00497449, 0.00497462, 0.00497583, 0.00499607, 0.0049812, 0.0050695, 0.00497633, 0.00497846, 0.00497491, 0.00499852, 0.00497445, 0.00624057, 0.00497445, 0.00530894
0.68298, 1.9976, 0.0129735, 0.00978468, 1.9994, 1.98463, 0.0100589, 0.00978468, 0.00978475, 0.00978501, 0.0097873, 0.00982571, 0.00979749, 0.00996503, 0.00978729, 0.00979229, 0.00978541, 0.00982367, 0.00978468, 0.0117775, 0.00978468, 0.0104193
0.691219, 0.997584, 0.0238923, 0.0185343, 1.73135, 0.973691, 0.0190355, 0.0185343, 0.0185344, 0.0185349, 0.0185391, 0.0186093, 0.0185577, 0.018864, 0.0185379, 0.0185482, 0.0185354, 0.0185971, 0.0185343, 0.0217159, 0.0185343, 0.0196945
0.699458, 1.03813, 0.0427573, 0.0338235, 1.74302, 0.995369, 0.0347066, 0.0338235, 0.0338237, 0.0338245, 0.0338319, 0.0339556, 0.0338647, 0.0344043, 0.0338284, 0.033848, 0.0338253, 0.0339241, 0.0338235, 0.0389342, 0.0338235, 0.0358676
