   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_21.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0478953, 0, 4.49805e-21, 0, 1.41421, -4.49805e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45949e-23, 0, 0, 1.77973e-26, 1.2275e-25, 0, 4.48331e-21, 0, 0
0.0559692, 0, 1.13528e-20, 0, 1.41421, -1.13528e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68368e-23, 0, 0, 4.52708e-26, 3.18377e-25, 0, 1.13156e-20, 0, 0
0.0640431, 0, 2.81294e-20, 0, 1.41421, -2.81294e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12719e-23, 0, 0, 1.13071e-25, 8.09453e-25, 0, 2.80372e-20, 0, 0
0.072117, 0, 6.84988e-20, 0, 1.41421, -6.84988e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22259e-22, 0, 0, 2.77621e-25, 2.02011e-24, 0, 6.82743e-20, 0, 0
0.0801909, 0, 1.64094e-19, 0, 1.41421, -1.64094e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32437e-22, 0, 0, 6.70716e-25, 4.95445e-24, 0, 1.63556e-19, 0, 0
0.0882648, 0, 3.87038e-19, 0, 1.41421, -3.87038e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25583e-21, 0, 0, 1.59581e-24, 1.19534e-23, 0, 3.85769e-19, 0, 0
0.0963388, 0, 8.99467e-19, 0, 1.41421, -8.99467e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91851e-21, 0, 0, 3.74195e-24, 2.8395e-23, 0, 8.96517e-19, 0, 0
0.104413, 0, 2.06095e-18, 0, 1.41421, -2.06095e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68718e-21, 0, 0, 8.6532e-24, 6.6463e-23, 0, 2.05419e-18, 0, 0
0.112487, 0, 4.65851e-18, 0, 1.41421, -4.65851e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51155e-20, 0, 0, 1.97453e-23, 1.53389e-22, 0, 4.64322e-18, 0, 0
0.120561, 0, 1.0393e-17, 0, 1.41421, -1.0393e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37221e-20, 0, 0, 4.4482e-23, 3.49259e-22, 0, 1.03589e-17, 0, 0
0.128634, 0, 2.28951e-17, 0, 1.41421, -2.28951e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42876e-20, 0, 0, 9.89769e-23, 7.84992e-22, 0, 2.28199e-17, 0, 0
0.136708, 0, 4.98224e-17, 0, 1.41421, -4.98224e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61659e-19, 0, 0, 2.17617e-22, 1.74243e-21, 0, 4.96588e-17, 0, 0
0.144782, 0, 1.07138e-16, 0, 1.41421, -1.07138e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4763e-19, 0, 0, 4.72954e-22, 3.8212e-21, 0, 1.06786e-16, 0, 0
