   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_19.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.114651, 0, 1.84266e-10, 0, 1.41421, -1.84266e-10, 0, 0, 0, 0, 0, 0, 5.06323e-12, 0, 0, 2.22349e-14, 2.04746e-12, 1.77133e-10, 0, 0
0.122748, 0, 2.75733e-10, 0, 1.41421, -2.75733e-10, 0, 0, 0, 0, 0, 0, 7.57317e-12, 0, 0, 3.45336e-14, 3.2151e-12, 2.6491e-10, 0, 0
0.130845, 0, 4.09715e-10, 0, 1.41421, -4.09715e-10, 0, 0, 0, 0, 0, 0, 1.1248e-11, 0, 0, 5.32831e-14, 5.01033e-12, 3.93403e-10, 0, 0
0.138942, 0, 6.04755e-10, 0, 1.41421, -6.04755e-10, 0, 0, 0, 0, 0, 0, 1.65951e-11, 0, 0, 8.18128e-14, 7.75874e-12, 5.80319e-10, 0, 0
0.147039, 0, 8.86797e-10, 0, 1.41421, -8.86797e-10, 0, 0, 0, 0, 0, 0, 2.43239e-11, 0, 0, 1.25047e-13, 1.19407e-11, 8.50407e-10, 0, 0
0.155136, 0, 1.29198e-09, 0, 1.41421, -1.29198e-09, 0, 0, 0, 0, 0, 0, 3.54224e-11, 0, 0, 1.90323e-13, 1.82662e-11, 1.2381e-09, 0, 0
0.163233, 0, 1.87031e-09, 0, 1.41421, -1.87031e-09, 0, 0, 0, 0, 0, 0, 5.12575e-11, 0, 0, 2.8855e-13, 2.77784e-11, 1.79098e-09, 0, 0
0.17133, 0, 2.69052e-09, 0, 1.41421, -2.69052e-09, 0, 0, 0, 0, 0, 0, 7.37077e-11, 0, 0, 4.35931e-13, 4.20027e-11, 2.57438e-09, 0, 0
0.179427, 0, 3.84685e-09, 0, 1.41421, -3.84685e-09, 0, 0, 0, 0, 0, 0, 1.05349e-10, 0, 0, 6.57484e-13, 6.3202e-11, 3.67765e-09, 0, 0
0.187524, 0, 5.46608e-09, 0, 1.41421, -5.46608e-09, 0, 0, 0, 0, 0, 0, 1.49646e-10, 0, 0, 9.87428e-13, 9.45221e-11, 5.22092e-09, 0, 0
0.195621, 0, 7.72023e-09, 0, 1.41421, -7.72023e-09, 0, 0, 0, 0, 0, 0, 2.11303e-10, 0, 0, 1.47928e-12, 1.40626e-10, 7.36682e-09, 0, 0
0.203718, 0, 1.08395e-08, 0, 1.41421, -1.08395e-08, 0, 0, 0, 0, 0, 0, 2.96616e-10, 0, 0, 2.21139e-12, 2.08164e-10, 1.03325e-08, 0, 0
0.211815, 0, 1.51304e-08, 1.22193e-42, 1.41421, -1.51304e-08, 0, 1.22193e-42, 1.22193e-42, 1.22193e-42, 1.22193e-42, 1.22193e-42, 4.13981e-10, 1.22193e-42, 1.22193e-42, 3.29976e-12, 3.06642e-10, 1.44064e-08, 1.22193e-42, 1.22193e-42
0.219912, 0, 2.09988e-08, 2.33723e-41, 1.41421, -2.09988e-08, 0, 2.33723e-41, 2.33723e-41, 2.33723e-41, 2.33723e-41, 2.33723e-41, 5.7452e-10, 2.33723e-41, 2.33723e-41, 4.91604e-12, 4.49594e-10, 1.99697e-08, 2.33723e-41, 2.33723e-41
0.228009, 0, 2.89789e-08, 3.77911e-40, 1.41421, -2.89789e-08, 0, 3.77911e-40, 3.77911e-40, 3.77911e-40, 3.77911e-40, 3.77911e-40, 7.92896e-10, 3.77911e-40, 3.77911e-40, 7.31419e-12, 6.56225e-10, 2.75225e-08, 3.77911e-40, 3.77911e-40
0.236106, 0, 3.97716e-08, 3.29041e-38, 1.41421, -3.97716e-08, 0, 3.29041e-38, 3.29041e-38, 3.29041e-38, 3.29041e-38, 3.29041e-38, 1.08838e-09, 3.29041e-38, 3.29041e-38, 1.08831e-11, 9.54079e-10, 3.77183e-08, 3.29041e-38, 3.29041e-38
0.244203, 0, 5.42841e-08, 3.77306e-37, 1.41421, -5.42841e-08, 0, 3.77306e-37, 3.77306e-37, 3.77306e-37, 3.77306e-37, 3.77306e-37, 1.48596e-09, 3.77306e-37, 3.77306e-37, 1.61562e-11, 1.38078e-09, 5.14012e-08, 3.77306e-37, 3.77306e-37
0.2523, 0, 7.36955e-08, 3.90549e-36, 1.41421, -7.36955e-08, 0, 3.90549e-36, 3.90549e-36, 3.90549e-36, 3.90549e-36, 3.90549e-36, 2.0182e-09, 3.90549e-36, 3.90549e-36, 2.39605e-11, 1.99036e-09, 6.9663e-08, 3.90549e-36, 3.90549e-36
0.260397, 0, 9.95226e-08, 3.66988e-35, 1.41421, -9.95226e-08, 0, 3.66988e-35, 3.66988e-35, 3.66988e-35, 3.66988e-35, 3.66988e-35, 2.72711e-09, 3.66988e-35, 3.66988e-35, 3.54993e-11, 2.85804e-09, 9.39019e-08, 3.66988e-35, 3.66988e-35
0.268494, 0, 1.33708e-07, 3.14767e-34, 1.41421, -1.33708e-07, 0, 3.14767e-34, 3.14767e-34, 3.14767e-34, 3.14767e-34, 3.14767e-34, 3.66666e-09, 3.14767e-34, 3.14767e-34, 5.25397e-11, 4.08882e-09, 1.259e-07, 3.14767e-34, 3.14767e-34
0.276591, 0, 1.78729e-07, 2.47644e-33, 1.41421, -1.78729e-07, 0, 2.47644e-33, 2.47644e-33, 2.47644e-33, 2.47644e-33, 2.47644e-33, 4.90594e-09, 2.47644e-33, 2.47644e-33, 7.76691e-11, 5.82869e-09, 1.67917e-07, 2.47644e-33, 2.47644e-33
0.284688, 0, 2.37727e-07, 1.91308e-32, 1.41421, -2.37727e-07, 0, 1.91308e-32, 1.91308e-32, 1.91308e-32, 1.91308e-32, 1.91308e-32, 6.53291e-09, 1.91308e-32, 1.91308e-32, 1.14665e-10, 8.28e-09, 2.228e-07, 1.91308e-32, 1.91308e-32
0.292785, 0, 3.14675e-07, 4.7666e-31, 1.41421, -3.14675e-07, 0, 4.7666e-31, 4.7666e-31, 4.7666e-31, 4.7666e-31, 4.7666e-31, 8.65935e-09, 4.7666e-31, 4.7666e-31, 1.69143e-10, 1.17242e-08, 2.94123e-07, 4.7666e-31, 4.7666e-31
0.300882, 0, 4.14551e-07, 3.06186e-30, 1.41421, -4.14551e-07, 0, 3.06186e-30, 3.06186e-30, 3.06186e-30, 3.06186e-30, 3.06186e-30, 1.1426e-08, 3.06186e-30, 3.06186e-30, 2.48876e-10, 1.65425e-08, 3.86334e-07, 3.06186e-30, 3.06186e-30
0.308979, 0, 5.43601e-07, 1.83e-29, 1.41421, -5.43601e-07, 0, 1.83e-29, 1.83e-29, 1.83e-29, 1.83e-29, 1.83e-29, 1.50103e-08, 1.83e-29, 1.83e-29, 3.65448e-10, 2.32633e-08, 5.04962e-07, 1.83e-29, 1.83e-29
0.317076, 0, 7.09608e-07, 1.02096e-28, 1.41421, -7.09608e-07, 0, 1.02096e-28, 1.02096e-28, 1.02096e-28, 1.02096e-28, 1.02096e-28, 1.96347e-08, 1.02096e-28, 1.02096e-28, 5.35384e-10, 3.2606e-08, 6.56832e-07, 1.02096e-28, 1.02096e-28
0.325173, 0, 9.22234e-07, 5.33553e-28, 1.41421, -9.22234e-07, 0, 5.33553e-28, 5.33553e-28, 5.33553e-28, 5.33553e-28, 5.33553e-28, 2.5577e-08, 5.33553e-28, 5.33553e-28, 7.82313e-10, 4.55481e-08, 8.50326e-07, 5.33553e-28, 5.33553e-28
0.33327, 0, 1.19343e-06, 2.62089e-27, 1.41421, -1.19343e-06, 0, 2.62089e-27, 2.62089e-27, 2.62089e-27, 2.62089e-27, 2.62089e-27, 3.31829e-08, 2.62089e-27, 2.62089e-27, 1.13986e-09, 6.34115e-08, 1.0957e-06, 2.62089e-27, 2.62089e-27
