   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0752426, 0, 2.20654e-12, 0, 1.41421, -2.20654e-12, 0, 0, 0, 0, 0, 0, 2.87346e-14, 0, 0, 6.70962e-17, 3.47774e-15, 0, 2.17426e-12, 0, 0
0.0832647, 0, 3.62124e-12, 0, 1.41421, -3.62124e-12, 0, 0, 0, 0, 0, 0, 4.71544e-14, 0, 0, 1.12984e-16, 5.96082e-15, 0, 3.56802e-12, 0, 0
0.0912868, 0, 5.89681e-12, 0, 1.41421, -5.89681e-12, 0, 0, 0, 0, 0, 0, 7.67807e-14, 0, 0, 1.88837e-16, 1.01424e-14, 0, 5.8097e-12, 0, 0
0.0993089, 0, 9.52873e-12, 0, 1.41421, -9.52873e-12, 0, 0, 0, 0, 0, 0, 1.24062e-13, 0, 0, 3.13312e-16, 1.71337e-14, 0, 9.38722e-12, 0, 0
0.107331, 0, 1.52811e-11, 0, 1.41421, -1.52811e-11, 0, 0, 0, 0, 0, 0, 1.98944e-13, 0, 0, 5.16116e-16, 2.8739e-14, 0, 1.50529e-11, 0, 0
0.115353, 0, 2.43416e-11, 0, 1.41421, -2.43416e-11, 0, 0, 0, 0, 0, 0, 3.16881e-13, 0, 0, 8.45834e-16, 4.79917e-14, 0, 2.39759e-11, 0, 0
0.123375, 0, 3.8456e-11, 0, 1.41421, -3.8456e-11, 0, 0, 0, 0, 0, 0, 5.00591e-13, 0, 0, 1.37403e-15, 7.93704e-14, 0, 3.78747e-11, 0, 0
0.131397, 0, 6.03121e-11, 0, 1.41421, -6.03121e-11, 0, 0, 0, 0, 0, 0, 7.8505e-13, 0, 0, 2.2172e-15, 1.30375e-13, 0, 5.93944e-11, 0, 0
0.139419, 0, 9.3909e-11, 0, 1.41421, -9.3909e-11, 0, 0, 0, 0, 0, 0, 1.2223e-12, 0, 0, 3.55459e-15, 2.12721e-13, 0, 9.24704e-11, 0, 0
0.147442, 0, 1.45181e-10, 0, 1.41421, -1.45181e-10, 0, 0, 0, 0, 0, 0, 1.88957e-12, 0, 0, 5.66284e-15, 3.44793e-13, 0, 1.42941e-10, 0, 0
0.155464, 0, 2.2287e-10, 0, 1.41421, -2.2287e-10, 0, 0, 0, 0, 0, 0, 2.90062e-12, 0, 0, 8.96663e-15, 5.55237e-13, 0, 2.19405e-10, 0, 0
0.163486, 0, 3.39754e-10, 0, 1.41421, -3.39754e-10, 0, 0, 0, 0, 0, 0, 4.42181e-12, 0, 0, 1.41148e-14, 8.88428e-13, 0, 3.3443e-10, 0, 0
0.171508, 0, 5.14381e-10, 0, 1.41421, -5.14381e-10, 0, 0, 0, 0, 0, 0, 6.69461e-12, 0, 0, 2.20942e-14, 1.41266e-12, 0, 5.06252e-10, 0, 0
0.17953, 0, 7.73642e-10, 0, 1.41421, -7.73642e-10, 0, 0, 0, 0, 0, 0, 1.00694e-11, 0, 0, 3.4447e-14, 2.23509e-12, 0, 7.61303e-10, 0, 0
0.187552, 0, 1.1555e-09, 0, 1.41421, -1.1555e-09, 0, 0, 0, 0, 0, 0, 1.50405e-11, 0, 0, 5.3365e-14, 3.51077e-12, 0, 1.13689e-09, 0, 0
0.195574, 0, 1.71438e-09, 0, 1.41421, -1.71438e-09, 0, 0, 0, 0, 0, 0, 2.23179e-11, 0, 0, 8.22822e-14, 5.48216e-12, 0, 1.6865e-09, 0, 0
0.203596, 0, 2.52691e-09, 0, 1.41421, -2.52691e-09, 0, 0, 0, 0, 0, 0, 3.2901e-11, 0, 0, 1.26313e-13, 8.51149e-12, 0, 2.48537e-09, 0, 0
