   PIQUANT 0.0.0-main  ps__0846_0742001877_000PTFE_shot_22.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0975415, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.105502, 0, 1.2255e-28, 0, 1.41421, -1.2255e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22629e-31, 0, 0, 7.67158e-34, 1.45679e-34, 1.22226e-28, 0, 0
0.113462, 0, 1.36296e-27, 0, 1.41421, -1.36296e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58808e-30, 0, 0, 8.53186e-33, 3.50357e-32, 1.35933e-27, 0, 0
0.121422, 0, 9.52236e-27, 0, 1.41421, -9.52236e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50679e-29, 0, 0, 5.96073e-32, 3.74777e-31, 9.49686e-27, 0, 0
0.129382, 0, 5.31938e-26, 0, 1.41421, -5.31938e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40033e-28, 0, 0, 3.33555e-31, 2.57022e-30, 5.30508e-26, 0, 0
0.137342, 0, 2.58814e-25, 0, 1.41421, -2.58814e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81325e-28, 0, 0, 1.62917e-30, 1.41921e-29, 2.58117e-25, 0, 0
0.145303, 0, 1.14273e-24, 0, 1.41421, -1.14273e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00822e-27, 0, 0, 7.23141e-30, 6.84776e-29, 1.13965e-24, 0, 0
0.153263, 0, 4.68536e-24, 0, 1.41421, -4.68536e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2334e-26, 0, 0, 2.98334e-29, 3.00369e-28, 4.67269e-24, 0, 0
0.161223, 0, 1.80972e-23, 0, 1.41421, -1.80972e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76399e-26, 0, 0, 1.16009e-28, 1.22499e-27, 1.80482e-23, 0, 0
0.169183, 0, 6.64848e-23, 0, 1.41421, -6.64848e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75018e-25, 0, 0, 4.29235e-28, 4.71021e-27, 6.63046e-23, 0, 0
0.177143, 0, 2.33906e-22, 0, 1.41421, -2.33906e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15744e-25, 0, 0, 1.52138e-27, 1.72369e-26, 2.33272e-22, 0, 0
0.185103, 0, 7.9207e-22, 0, 1.41421, -7.9207e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08507e-24, 0, 0, 5.19165e-27, 6.04347e-26, 7.89919e-22, 0, 0
0.193064, 0, 2.59169e-21, 0, 1.41421, -2.59169e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82244e-24, 0, 0, 1.71233e-26, 2.04026e-25, 2.58465e-21, 0, 0
0.201024, 0, 8.21926e-21, 0, 1.41421, -8.21926e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16365e-23, 0, 0, 5.47545e-26, 6.65755e-25, 8.1969e-21, 0, 0
0.208984, 0, 2.53276e-20, 0, 1.41421, -2.53276e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66727e-23, 0, 0, 1.70171e-25, 2.10618e-24, 2.52587e-20, 0, 0
0.216944, 0, 7.59906e-20, 0, 1.41421, -7.59906e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00038e-22, 0, 0, 5.15085e-25, 6.47589e-24, 7.57835e-20, 0, 0
0.224904, 0, 2.22367e-19, 0, 1.41421, -2.22367e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85359e-22, 0, 0, 1.52106e-24, 1.93912e-23, 2.21761e-19, 0, 0
0.232864, 0, 6.35561e-19, 0, 1.41421, -6.35561e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67305e-21, 0, 0, 4.38861e-24, 5.66437e-23, 6.33827e-19, 0, 0
0.240824, 0, 1.77646e-18, 0, 1.41421, -1.77646e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67634e-21, 0, 0, 1.23868e-23, 1.61646e-22, 1.77161e-18, 0, 0
0.248785, 0, 4.86096e-18, 0, 1.41421, -4.86096e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27959e-20, 0, 0, 3.42378e-23, 4.51208e-22, 4.84768e-18, 0, 0
0.256745, 0, 1.30334e-17, 0, 1.41421, -1.30334e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4309e-20, 0, 0, 9.27634e-23, 1.23324e-21, 1.29978e-17, 0, 0
0.264705, 0, 3.42697e-17, 0, 1.41421, -3.42697e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02107e-20, 0, 0, 2.46562e-22, 3.30349e-21, 3.41759e-17, 0, 0
0.272665, 0, 8.84261e-17, 0, 1.41421, -8.84261e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3277e-19, 0, 0, 6.43374e-22, 8.6797e-21, 8.8184e-17, 0, 0
0.280625, 0, 2.24046e-16, 0, 1.41421, -2.24046e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89769e-19, 0, 0, 1.64918e-21, 2.23845e-20, 2.23432e-16, 0, 0
0.288585, 0, 5.57717e-16, 0, 1.41421, -5.57717e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4681e-18, 0, 0, 4.15511e-21, 5.66983e-20, 5.56188e-16, 0, 0
0.296546, 0, 1.36464e-15, 0, 1.41421, -1.36464e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59215e-18, 0, 0, 1.0295e-20, 1.41128e-19, 1.3609e-15, 0, 0
0.304506, 0, 3.28351e-15, 0, 1.41421, -3.28351e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64309e-18, 0, 0, 2.50954e-20, 3.45375e-19, 3.27449e-15, 0, 0
0.312466, 0, 7.77204e-15, 0, 1.41421, -7.77204e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04578e-17, 0, 0, 6.02094e-20, 8.31369e-19, 7.75069e-15, 0, 0
0.320426, 0, 1.8234e-14, 0, 1.41421, -1.8234e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79947e-17, 0, 0, 1.43531e-19, 1.98716e-18, 1.81839e-14, 0, 0
0.328386, 0, 4.17588e-14, 0, 1.41421, -4.17588e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09913e-16, 0, 0, 3.33501e-19, 4.62685e-18, 4.16439e-14, 0, 0
0.336346, 0, 9.41814e-14, 0, 1.41421, -9.41814e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47885e-16, 0, 0, 7.63602e-19, 1.06102e-17, 9.39221e-14, 0, 0
0.344307, 0, 2.09234e-13, 0, 1.41421, -2.09234e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5068e-16, 0, 0, 1.72345e-18, 2.39699e-17, 2.08657e-13, 0, 0
0.352267, 0, 4.57966e-13, 0, 1.41421, -4.57966e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20526e-15, 0, 0, 3.83537e-18, 5.33617e-17, 4.56703e-13, 0, 0
0.360227, 0, 9.87748e-13, 0, 1.41421, -9.87748e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5994e-15, 0, 0, 8.41807e-18, 1.17088e-16, 9.85023e-13, 0, 0
0.368187, 0, 2.09962e-12, 0, 1.41421, -2.09962e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52515e-15, 0, 0, 1.82281e-17, 2.53288e-16, 2.09383e-12, 0, 0
0.376147, 0, 4.3993e-12, 0, 1.41421, -4.3993e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15761e-14, 0, 0, 3.89526e-17, 5.40296e-16, 4.38714e-12, 0, 0
0.384107, 0, 9.08715e-12, 3.61535e-43, 1.41421, -9.08715e-12, 3.61535e-43, 0, 3.61535e-43, 3.61535e-43, 3.61535e-43, 3.61535e-43, 3.61535e-43, 3.61535e-43, 3.61535e-43, 3.61535e-43, 2.391e-14, 3.61535e-43, 3.61535e-43, 8.21776e-17, 1.13672e-15, 9.06202e-12, 3.61535e-43, 3.61535e-43
0.392068, 0, 1.85067e-11, 6.9042e-42, 1.41421, -1.85067e-11, 6.9042e-42, 0, 6.9042e-42, 6.9042e-42, 6.9042e-42, 6.9042e-42, 6.9042e-42, 6.9042e-42, 6.9042e-42, 6.9042e-42, 4.86918e-14, 6.9042e-42, 6.9042e-42, 1.71228e-16, 2.35939e-15, 1.84554e-11, 6.9042e-42, 6.9042e-42
0.400028, 0, 3.71651e-11, 1.07069e-40, 1.41421, -3.71651e-11, 1.07069e-40, 0, 1.07069e-40, 1.07069e-40, 1.07069e-40, 1.07069e-40, 1.07069e-40, 1.07069e-40, 1.07069e-40, 1.07069e-40, 9.77787e-14, 1.07069e-40, 1.07069e-40, 3.52543e-16, 4.8324e-15, 3.70621e-11, 1.07069e-40, 1.07069e-40
0.407988, 0, 7.36025e-11, 1.45556e-39, 1.41421, -7.36025e-11, 1.45556e-39, 0, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.45556e-39, 1.93638e-13, 1.45556e-39, 1.45556e-39, 7.17659e-16, 9.76917e-15, 7.33983e-11, 1.45556e-39, 1.45556e-39
0.415948, 0, 1.43762e-10, 1.76741e-38, 1.41421, -1.43762e-10, 1.76741e-38, 0, 1.76741e-38, 1.76741e-38, 1.76741e-38, 1.76741e-38, 1.76741e-38, 1.76741e-38, 1.76741e-38, 1.76741e-38, 3.78218e-13, 1.76741e-38, 1.76741e-38, 1.4454e-15, 1.94992e-14, 1.43362e-10, 1.76741e-38, 1.76741e-38
0.423908, 0, 2.76968e-10, 1.93318e-37, 1.41421, -2.76968e-10, 1.93318e-37, 0, 1.93318e-37, 1.93318e-37, 1.93318e-37, 1.93318e-37, 1.93318e-37, 1.93318e-37, 1.93318e-37, 1.93318e-37, 7.28702e-13, 1.93318e-37, 1.93318e-37, 2.88252e-15, 3.84413e-14, 2.76198e-10, 1.93318e-37, 1.93318e-37
0.431868, 0, 5.26366e-10, 1.91585e-36, 1.41421, -5.26366e-10, 1.91585e-36, 0, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.91585e-36, 1.38503e-12, 1.91585e-36, 1.91585e-36, 5.6973e-15, 7.48829e-14, 5.249e-10, 1.91585e-36, 1.91585e-36
0.439829, 0, 9.86865e-10, 1.73036e-35, 1.41421, -9.86865e-10, 1.73036e-35, 0, 1.73036e-35, 1.73036e-35, 1.73036e-35, 1.73036e-35, 1.73036e-35, 1.73036e-35, 1.73036e-35, 1.73036e-35, 2.59727e-12, 1.73036e-35, 1.73036e-35, 1.11722e-14, 1.44212e-13, 9.84112e-10, 1.73036e-35, 1.73036e-35
0.447789, 0, 1.82548e-09, 1.43171e-34, 1.41421, -1.82548e-09, 1.43171e-34, 0, 1.43171e-34, 1.43171e-34, 1.43171e-34, 1.43171e-34, 1.43171e-34, 1.43171e-34, 1.43171e-34, 1.43171e-34, 4.80595e-12, 1.43171e-34, 1.43171e-34, 2.17611e-14, 2.74746e-13, 1.82038e-09, 1.43171e-34, 1.43171e-34
0.455749, 0, 3.33184e-09, 1.09067e-33, 1.41421, -3.33184e-09, 1.09067e-33, 0, 1.09067e-33, 1.09067e-33, 1.09067e-33, 1.09067e-33, 1.09067e-33, 1.09067e-33, 1.09067e-33, 1.09067e-33, 8.77604e-12, 1.09067e-33, 1.09067e-33, 4.21538e-14, 5.18231e-13, 3.3225e-09, 1.09067e-33, 1.09067e-33
0.463709, 0, 6.0009e-09, 7.81467e-33, 1.41421, -6.0009e-09, 7.81467e-33, 0, 7.81467e-33, 7.81467e-33, 7.81467e-33, 7.81467e-33, 7.81467e-33, 7.81467e-33, 7.81467e-33, 7.81467e-33, 1.58175e-11, 7.81467e-33, 7.81467e-33, 8.13122e-14, 9.68725e-13, 5.98403e-09, 7.81467e-33, 7.81467e-33
0.471669, 0, 1.06663e-08, 5.47372e-32, 1.41421, -1.06663e-08, 5.47372e-32, 0, 5.47372e-32, 5.47372e-32, 5.47372e-32, 5.47372e-32, 5.47372e-32, 5.47372e-32, 5.47372e-32, 5.47372e-32, 2.81423e-11, 5.47372e-32, 5.47372e-32, 1.56373e-13, 1.79671e-12, 1.06362e-08, 5.47372e-32, 5.47372e-32
0.479629, 0, 1.87119e-08, 3.63885e-31, 1.41421, -1.87119e-08, 3.63885e-31, 0, 3.63885e-31, 3.63885e-31, 3.63885e-31, 3.63885e-31, 3.63885e-31, 3.63885e-31, 3.63885e-31, 3.63885e-31, 4.94357e-11, 3.63885e-31, 3.63885e-31, 3.00136e-13, 3.31109e-12, 1.86588e-08, 3.63885e-31, 3.63885e-31
0.487589, 0, 3.24018e-08, 2.26822e-30, 1.41421, -3.24018e-08, 2.26822e-30, 0, 2.26822e-30, 2.26822e-30, 2.26822e-30, 2.26822e-30, 2.26822e-30, 2.26822e-30, 2.26822e-30, 2.26822e-30, 8.57548e-11, 2.26822e-30, 2.26822e-30, 5.75401e-13, 6.07265e-12, 3.23094e-08, 2.26822e-30, 2.26822e-30
0.49555, 0, 5.53885e-08, 1.32546e-29, 1.41421, -5.53885e-08, 1.32546e-29, 0, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.32546e-29, 1.4693e-10, 1.32546e-29, 1.32546e-29, 1.10238e-12, 1.11043e-11, 5.52293e-08, 1.32546e-29, 1.32546e-29
0.50351, 0, 9.34786e-08, 7.27061e-29, 1.41421, -9.34786e-08, 7.27061e-29, 0, 7.27061e-29, 7.27061e-29, 7.27061e-29, 7.27061e-29, 7.27061e-29, 7.27061e-29, 7.27061e-29, 7.27061e-29, 2.48709e-10, 7.27061e-29, 7.27061e-29, 2.11066e-12, 2.02825e-11, 9.32075e-08, 7.27061e-29, 7.27061e-29
0.51147, 0, 1.55777e-07, 3.75344e-28, 1.41421, -1.55777e-07, 3.75344e-28, 0, 3.75344e-28, 3.75344e-28, 3.75344e-28, 3.75344e-28, 3.75344e-28, 3.75344e-28, 3.75344e-28, 3.75344e-28, 4.1602e-10, 3.75344e-28, 3.75344e-28, 4.03722e-12, 3.70743e-11, 1.5532e-07, 3.75344e-28, 3.75344e-28
0.51943, 0, 2.56358e-07, 1.82992e-27, 1.41421, -2.56358e-07, 1.82992e-27, 0, 1.82992e-27, 1.82992e-27, 1.82992e-27, 1.82992e-27, 1.82992e-27, 1.82992e-27, 1.82992e-27, 1.82992e-27, 6.87864e-10, 1.82992e-27, 1.82992e-27, 7.70902e-12, 6.79284e-11, 2.55595e-07, 1.82992e-27, 1.82992e-27
0.52739, 0, 4.16683e-07, 8.45036e-27, 1.41421, -4.16683e-07, 8.45036e-27, 0, 8.45036e-27, 8.45036e-27, 8.45036e-27, 8.45036e-27, 8.45036e-27, 8.45036e-27, 8.45036e-27, 8.45036e-27, 1.12456e-09, 8.45036e-27, 8.45036e-27, 1.46794e-11, 1.24902e-10, 4.15419e-07, 8.45036e-27, 8.45036e-27
0.535351, 0, 6.69027e-07, 3.70705e-26, 1.41421, -6.69027e-07, 3.70705e-26, 0, 3.70705e-26, 3.70705e-26, 3.70705e-26, 3.70705e-26, 3.70705e-26, 3.70705e-26, 3.70705e-26, 3.70705e-26, 1.81844e-09, 3.70705e-26, 3.70705e-26, 2.78395e-11, 2.3061e-10, 6.6695e-07, 3.70705e-26, 3.70705e-26
0.543311, 0, 1.06128e-06, 1.54928e-25, 1.41421, -1.06128e-06, 1.54928e-25, 0, 1.54928e-25, 1.54928e-25, 1.54928e-25, 1.54928e-25, 1.54928e-25, 1.54928e-25, 1.54928e-25, 1.54928e-25, 2.90934e-09, 1.54928e-25, 1.54928e-25, 5.25127e-11, 4.2748e-10, 1.05789e-06, 1.54928e-25, 1.54928e-25
0.551271, 0, 1.66355e-06, 6.18525e-25, 1.41421, -1.66355e-06, 6.18525e-25, 0, 6.18525e-25, 6.18525e-25, 6.18525e-25, 6.18525e-25, 3.60518e-12, 6.18525e-25, 6.18525e-25, 6.18525e-25, 4.60695e-09, 6.18525e-25, 6.18525e-25, 9.83839e-11, 7.94884e-10, 1.65805e-06, 6.18525e-25, 6.18525e-25
0.559231, 0, 2.57717e-06, 2.36497e-24, 1.41421, -2.57717e-06, 2.36497e-24, 0, 2.36497e-24, 2.36497e-24, 2.36497e-24, 2.36497e-24, 1.50089e-11, 2.36497e-24, 2.36497e-24, 2.36497e-24, 7.2228e-09, 2.36497e-24, 2.36497e-24, 1.82846e-10, 1.48041e-09, 2.56827e-06, 2.36497e-24, 2.36497e-24
0.567191, 0, 3.94662e-06, 8.725e-24, 1.41421, -3.94662e-06, 8.725e-24, 0, 8.725e-24, 8.725e-24, 8.725e-24, 8.725e-24, 4.93599e-11, 8.725e-24, 8.725e-24, 8.725e-24, 1.12151e-08, 8.725e-24, 8.725e-24, 3.36702e-10, 2.75602e-09, 3.93226e-06, 8.725e-24, 8.725e-24
0.575151, 0, 6.00016e-06, 2.19206e-08, 1.41421, -6.00016e-06, 2.22296e-08, 2.19206e-08, 2.19208e-08, 2.19211e-08, 2.19214e-08, 2.19225e-08, 2.22373e-08, 2.2001e-08, 2.19289e-08, 2.21609e-08, 3.91732e-08, 2.1931e-08, 2.1921e-08, 2.25344e-08, 2.70379e-08, 5.9753e-06, 2.19206e-08, 2.28286e-08
0.583112, 0, 9.04881e-06, 9.03782e-08, 1.41421, -9.04881e-06, 9.16561e-08, 9.03782e-08, 9.03788e-08, 9.03802e-08, 9.03814e-08, 9.03858e-08, 9.14963e-08, 9.07107e-08, 9.04121e-08, 9.13721e-08, 1.16678e-07, 9.04209e-08, 9.03795e-08, 9.1485e-08, 9.98327e-08, 9.00438e-06, 9.03782e-08, 9.41339e-08
0.591072, 0, 1.35853e-05, 2.95032e-07, 1.41421, -1.35853e-05, 2.99211e-07, 2.95032e-07, 2.95034e-07, 2.95039e-07, 2.95043e-07, 2.95057e-07, 2.98457e-07, 2.96119e-07, 2.95143e-07, 2.98282e-07, 3.3477e-07, 2.95172e-07, 2.95037e-07, 2.97005e-07, 3.12376e-07, 1.35017e-05, 2.95032e-07, 3.07312e-07
0.599032, 0, 2.04182e-05, 8.81593e-07, 1.41421, -2.04182e-05, 8.94089e-07, 8.81593e-07, 8.81599e-07, 8.81613e-07, 8.81625e-07, 8.81668e-07, 8.91401e-07, 8.84844e-07, 8.81925e-07, 8.91312e-07, 9.41114e-07, 8.82011e-07, 8.81606e-07, 8.85069e-07, 9.13117e-07, 2.02507e-05, 8.81593e-07, 9.18318e-07
0.606992, 0, 3.09958e-05, 2.49503e-06, 1.41421, -3.09958e-05, 2.53042e-06, 2.49503e-06, 2.49505e-06, 2.49509e-06, 2.49512e-06, 2.49525e-06, 2.52184e-06, 2.50424e-06, 2.49597e-06, 2.52256e-06, 2.58343e-06, 2.49622e-06, 2.49507e-06, 2.50108e-06, 2.55171e-06, 3.06392e-05, 2.49503e-06, 2.59903e-06
0.614952, 0, 4.81224e-05, 6.75599e-06, 1.41421, -4.81224e-05, 6.85186e-06, 6.75599e-06, 6.75604e-06, 6.75615e-06, 6.75624e-06, 6.75657e-06, 6.82815e-06, 6.78094e-06, 6.75854e-06, 6.83056e-06, 6.88615e-06, 6.7592e-06, 6.7561e-06, 6.7664e-06, 6.85683e-06, 4.73249e-05, 6.75599e-06, 7.03773e-06
0.622912, 0, 7.7525e-05, 1.75635e-05, 1.41421, -7.7525e-05, 1.78128e-05, 1.75635e-05, 1.75636e-05, 1.75639e-05, 1.75641e-05, 1.7565e-05, 1.77505e-05, 1.76284e-05, 1.75701e-05, 1.77574e-05, 1.77535e-05, 1.75718e-05, 1.75638e-05, 1.75812e-05, 1.77404e-05, 7.56946e-05, 1.75635e-05, 1.82962e-05
0.630872, 0.990799, 0.000131215, 4.38956e-05, 1.72939, 0.990668, 4.4519e-05, 4.38956e-05, 4.38959e-05, 4.38966e-05, 4.38972e-05, 4.38993e-05, 4.43998e-05, 4.40578e-05, 4.39122e-05, 4.43805e-05, 4.41708e-05, 4.39165e-05, 4.38963e-05, 4.39253e-05, 4.42016e-05, 0.000126952, 4.38956e-05, 4.57277e-05
0.638833, 2.0092, 0.000234205, 0.000105537, 2.0023, 2.00897, 0.000107037, 0.000105537, 0.000105538, 0.000105539, 0.000105541, 0.000105546, 0.000106813, 0.000105927, 0.000105577, 0.000106703, 0.000105932, 0.000105587, 0.000105539, 0.000105586, 0.000106059, 0.000224392, 0.000105537, 0.000109944
0.646793, 0, 0.000437709, 0.000244203, 1.41421, -0.000437709, 0.000247674, 0.000244203, 0.000244204, 0.000244208, 0.000244212, 0.000244224, 0.000247306, 0.000245106, 0.000244295, 0.000246903, 0.000244766, 0.000244319, 0.000244207, 0.000244284, 0.000245082, 0.000415556, 0.000244203, 0.000254405
0.654753, 0.983581, 0.000843411, 0.000544018, 1.7273, 0.982738, 0.000551755, 0.000544018, 0.000544022, 0.000544031, 0.000544038, 0.000544064, 0.00055135, 0.000546031, 0.000544224, 0.000550036, 0.000544815, 0.000544277, 0.000544026, 0.00054415, 0.000545477, 0.000794628, 0.000544018, 0.000566757
0.662713, 0.0164186, 0.00164597, 0.00116718, 1.42001, 0.0147726, 0.00118379, 0.00116718, 0.00116719, 0.0011672, 0.00116722, 0.00116728, 0.00118404, 0.0011715, 0.00116762, 0.0011801, 0.0011683, 0.00116773, 0.0011672, 0.00116739, 0.00116957, 0.00154152, 0.00116718, 0.00121599
0.670673, 0, 0.00320342, 0.00241247, 1.41421, -0.00320342, 0.00244683, 0.00241247, 0.00241249, 0.00241253, 0.00241256, 0.00241268, 0.00245042, 0.00242141, 0.00241339, 0.00243919, 0.00241404, 0.00241362, 0.00241251, 0.00241281, 0.00241636, 0.00298626, 0.00241247, 0.00251343
0.678633, 0.976333, 0.00614699, 0.00480559, 1.72521, 0.970186, 0.00487406, 0.00480559, 0.00480562, 0.0048057, 0.00480577, 0.004806, 0.00488919, 0.00482341, 0.00480741, 0.00485885, 0.00480776, 0.00480788, 0.00480567, 0.00480613, 0.00481183, 0.00570875, 0.00480559, 0.00500682
0.686594, 0.997599, 0.0115415, 0.00922884, 1.73136, 0.986057, 0.00936043, 0.00922884, 0.0092289, 0.00922905, 0.00922917, 0.00922963, 0.00940916, 0.00926307, 0.00923233, 0.00933118, 0.00923183, 0.00923324, 0.00922898, 0.00922968, 0.00923879, 0.0106831, 0.00922884, 0.00961555
0.694554, 0.0260684, 0.0211037, 0.0170934, 1.4234, 0.00496463, 0.0173373, 0.0170934, 0.0170935, 0.0170938, 0.017094, 0.0170949, 0.0174741, 0.0171569, 0.0170999, 0.0172831, 0.0170975, 0.0171016, 0.0170937, 0.0170947, 0.0171092, 0.0194704, 0.0170934, 0.0178102
0.702514, 0, 0.0374757, 0.0305472, 1.41421, -0.0374757, 0.0309834, 0.0305472, 0.0305474, 0.0305479, 0.0305483, 0.0305498, 0.0313331, 0.0306607, 0.0305587, 0.0308865, 0.0305528, 0.0305618, 0.0305476, 0.0305492, 0.030572, 0.0344548, 0.0305472, 0.0318292
0.710474, 0, 0.0645326, 0.0526934, 1.41421, -0.0645326, 0.0534466, 0.0526934, 0.0526938, 0.0526946, 0.0526953, 0.0526979, 0.0542783, 0.0528894, 0.0527134, 0.0532792, 0.0527011, 0.0527186, 0.0526942, 0.0526966, 0.0527324, 0.0590953, 0.0526934, 0.054907
0.718434, 0, 0.107685, 0.0877788, 1.41421, -0.107685, 0.0890348, 0.0877788, 0.0877794, 0.0877809, 0.087782, 0.0877864, 0.0908968, 0.0881056, 0.0878122, 0.0887557, 0.0877892, 0.0878209, 0.0877802, 0.0877836, 0.0878396, 0.0981502, 0.0877788, 0.09147
0.726394, 0, 0.174108, 0.141282, 1.41421, -0.174108, 0.143306, 0.141282, 0.141283, 0.141286, 0.141287, 0.141294, 0.147258, 0.141809, 0.141336, 0.142856, 0.141296, 0.14135, 0.141284, 0.14129, 0.141376, 0.1578, 0.141282, 0.14723
0.734355, 0, 0.272811, 0.219829, 1.41421, -0.272811, 0.222982, 0.219829, 0.21983, 0.219834, 0.219837, 0.219848, 0.23097, 0.220649, 0.219913, 0.222281, 0.219848, 0.219934, 0.219832, 0.21984, 0.219973, 0.245579, 0.219829, 0.229094
