   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_2.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.349467, 0, 2.84104e-15, 0, 1.41421, -2.84104e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.55228e-18, 0, 7.29468e-21, 8.58034e-19, 2.83363e-15, 0, 0
0.357789, 0, 7.77181e-15, 0, 1.41421, -7.77181e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.79235e-17, 0, 2.00883e-20, 2.4088e-18, 7.75146e-15, 0, 0
0.366111, 0, 2.08102e-14, 0, 1.41421, -2.08102e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.79912e-17, 0, 5.4177e-20, 6.61746e-18, 2.07555e-14, 0, 0
0.374433, 0, 5.45662e-14, 0, 1.41421, -5.45662e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.25832e-16, 0, 1.43161e-19, 1.77992e-17, 5.44225e-14, 0, 0
0.382755, 0, 1.4016e-13, 0, 1.41421, -1.4016e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.23196e-16, 0, 3.70811e-19, 4.68939e-17, 1.39789e-13, 0, 0
0.391078, 0, 3.5279e-13, 0, 1.41421, -3.5279e-13, 0, 0, 0, 0, 0, 0, 0, 0, 8.13452e-16, 0, 9.41866e-19, 1.21065e-16, 3.51855e-13, 0, 0
0.3994, 0, 8.70406e-13, 0, 1.41421, -8.70406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.00681e-15, 0, 2.34696e-18, 3.06375e-16, 8.6809e-13, 0, 0
0.407722, 0, 2.10992e-12, 4.89053e-43, 1.41421, -2.10992e-12, 4.89053e-43, 0, 4.89053e-43, 4.89053e-43, 4.89053e-43, 4.89053e-43, 4.89053e-43, 4.89053e-43, 4.86426e-15, 4.89053e-43, 5.75652e-18, 7.62671e-16, 2.10429e-12, 4.89053e-43, 4.89053e-43
0.416044, 0, 5.00282e-12, 1.04649e-41, 1.41421, -5.00282e-12, 1.04649e-41, 0, 1.04649e-41, 1.04649e-41, 1.04649e-41, 1.04649e-41, 1.04649e-41, 1.04649e-41, 1.15327e-14, 1.04649e-41, 1.38165e-17, 1.85524e-15, 4.98942e-12, 1.04649e-41, 1.04649e-41
0.424366, 0, 1.16362e-11, 1.78063e-40, 1.41421, -1.16362e-11, 1.78063e-40, 0, 1.78063e-40, 1.78063e-40, 1.78063e-40, 1.78063e-40, 1.78063e-40, 1.78063e-40, 2.68221e-14, 1.78063e-40, 3.25802e-17, 4.42851e-15, 1.16049e-11, 1.78063e-40, 1.78063e-40
0.432689, 0, 2.65535e-11, 2.62792e-39, 1.41421, -2.65535e-11, 2.62792e-39, 0, 2.62792e-39, 2.62792e-39, 2.62792e-39, 2.62792e-39, 2.62792e-39, 2.62792e-39, 6.12029e-14, 2.62792e-39, 7.55203e-17, 1.03758e-14, 2.64818e-11, 2.62792e-39, 2.62792e-39
0.441011, 0, 5.94591e-11, 3.44047e-38, 1.41421, -5.94591e-11, 3.44047e-38, 0, 3.44047e-38, 3.44047e-38, 3.44047e-38, 3.44047e-38, 3.44047e-38, 3.44047e-38, 1.3704e-13, 3.44047e-38, 1.72203e-16, 2.38684e-14, 5.92981e-11, 3.44047e-38, 3.44047e-38
0.449333, 0, 1.30663e-10, 4.03156e-37, 1.41421, -1.30663e-10, 4.03156e-37, 0, 4.03156e-37, 4.03156e-37, 4.03156e-37, 4.03156e-37, 4.03156e-37, 4.03156e-37, 3.01148e-13, 4.03156e-37, 3.86582e-16, 5.39246e-14, 1.30308e-10, 4.03156e-37, 4.03156e-37
