   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.253275, 0, 1.39506e-16, 0, 1.41421, -1.39506e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01924e-19, 0, 0, 7.46858e-22, 1.35667e-20, 0, 1.3919e-16, 0, 0
0.261243, 0, 3.4407e-16, 0, 1.41421, -3.4407e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44647e-19, 0, 0, 1.86198e-21, 3.41003e-20, 0, 3.4329e-16, 0, 0
0.269212, 0, 8.34247e-16, 0, 1.41421, -8.34247e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80549e-18, 0, 0, 4.56566e-21, 8.42457e-20, 0, 8.32352e-16, 0, 0
0.277181, 0, 1.98941e-15, 0, 1.41421, -1.98941e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30549e-18, 0, 0, 1.10161e-20, 2.04673e-19, 0, 1.98489e-15, 0, 0
0.285149, 0, 4.6678e-15, 0, 1.41421, -4.6678e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0102e-17, 0, 0, 2.61656e-20, 4.89219e-19, 0, 4.65718e-15, 0, 0
0.293118, 0, 1.07798e-14, 0, 1.41421, -1.07798e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33292e-17, 0, 0, 6.12037e-20, 1.15095e-18, 0, 1.07552e-14, 0, 0
0.301086, 0, 2.45111e-14, 0, 1.41421, -2.45111e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.30451e-17, 0, 0, 1.41034e-19, 2.66617e-18, 0, 2.44552e-14, 0, 0
0.309055, 0, 5.48895e-14, 0, 1.41421, -5.48895e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18786e-16, 0, 0, 3.20261e-19, 6.08339e-18, 0, 5.47643e-14, 0, 0
0.317024, 0, 1.2109e-13, 0, 1.41421, -1.2109e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62044e-16, 0, 0, 7.16881e-19, 1.36765e-17, 0, 1.20814e-13, 0, 0
0.324992, 0, 2.63223e-13, 0, 1.41421, -2.63223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6961e-16, 0, 0, 1.58224e-18, 3.03045e-17, 0, 2.62621e-13, 0, 0
0.332961, 0, 5.6567e-13, 0, 1.41421, -5.6567e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22406e-15, 0, 0, 3.45979e-18, 6.64953e-17, 0, 5.64376e-13, 0, 0
0.34093, 0, 1.19401e-12, 0, 1.41421, -1.19401e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58366e-15, 0, 0, 7.42682e-18, 1.43154e-16, 0, 1.19128e-12, 0, 0
0.348898, 0, 2.48506e-12, 0, 1.41421, -2.48506e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37712e-15, 0, 0, 1.57349e-17, 3.04021e-16, 0, 2.47936e-12, 0, 0
0.356867, 0, 5.10055e-12, 0, 1.41421, -5.10055e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10361e-14, 0, 0, 3.29133e-17, 6.37086e-16, 0, 5.08884e-12, 0, 0
0.364836, 0, 1.03254e-11, 0, 1.41421, -1.03254e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23405e-14, 0, 0, 6.79925e-17, 1.31763e-15, 0, 1.03017e-11, 0, 0
0.372804, 0, 2.06189e-11, 1.41531e-43, 1.41421, -2.06189e-11, 1.41531e-43, 0, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 1.41531e-43, 4.46111e-14, 1.41531e-43, 1.41531e-43, 1.38771e-16, 2.69027e-15, 1.41531e-43, 2.05715e-11, 1.41531e-43, 1.41531e-43
0.380773, 0, 4.06204e-11, 2.92871e-42, 1.41421, -4.06204e-11, 2.92871e-42, 0, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 2.92871e-42, 8.78852e-14, 2.92871e-42, 2.92871e-42, 2.79944e-16, 5.42394e-15, 2.92871e-42, 4.05268e-11, 2.92871e-42, 2.92871e-42
0.388742, 0, 7.89568e-11, 4.57552e-41, 1.41421, -7.89568e-11, 4.57552e-41, 0, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 4.57552e-41, 1.70831e-13, 4.57552e-41, 4.57552e-41, 5.5846e-16, 1.08013e-14, 4.57552e-41, 7.87747e-11, 4.57552e-41, 4.57552e-41
0.39671, 0, 1.51444e-10, 6.4624e-40, 1.41421, -1.51444e-10, 6.4624e-40, 0, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 6.4624e-40, 3.27677e-13, 6.4624e-40, 6.4624e-40, 1.10235e-15, 2.12527e-14, 6.4624e-40, 1.51094e-10, 6.4624e-40, 6.4624e-40
0.404679, 0, 2.86663e-10, 8.18134e-39, 1.41421, -2.86663e-10, 8.18134e-39, 0, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 8.18134e-39, 6.203e-13, 8.18134e-39, 8.18134e-39, 2.15449e-15, 4.13321e-14, 8.18134e-39, 2.85999e-10, 8.18134e-39, 8.18134e-39
0.412648, 0, 5.35543e-10, 9.32148e-38, 1.41421, -5.35543e-10, 9.32148e-38, 0, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 9.32148e-38, 1.15901e-12, 9.32148e-38, 9.32148e-38, 4.17264e-15, 7.94853e-14, 9.32148e-38, 5.343e-10, 9.32148e-38, 9.32148e-38
0.420616, 0, 9.87551e-10, 9.60453e-37, 1.41421, -9.87551e-10, 9.60453e-37, 0, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 9.60453e-37, 2.13774e-12, 9.60453e-37, 9.60453e-37, 8.01504e-15, 1.51227e-13, 9.60453e-37, 9.85254e-10, 9.60453e-37, 9.60453e-37
0.428585, 0, 1.79767e-09, 8.99838e-36, 1.41421, -1.79767e-09, 8.99838e-36, 0, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 8.99838e-36, 3.89273e-12, 8.99838e-36, 8.99838e-36, 1.52849e-14, 2.84829e-13, 8.99838e-36, 1.79348e-09, 8.99838e-36, 8.99838e-36
0.436554, 0, 3.23062e-09, 7.70728e-35, 1.41421, -3.23062e-09, 7.70728e-35, 0, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 7.70728e-35, 6.99909e-12, 7.70728e-35, 7.70728e-35, 2.89698e-14, 5.31456e-13, 7.70728e-35, 3.22306e-09, 7.70728e-35, 7.70728e-35
0.444522, 0, 5.73232e-09, 6.06563e-34, 1.41421, -5.73232e-09, 6.06563e-34, 0, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 6.06563e-34, 1.24274e-11, 6.06563e-34, 6.06563e-34, 5.46329e-14, 9.83252e-13, 6.06563e-34, 5.71885e-09, 6.06563e-34, 6.06563e-34
0.452491, 0, 1.00434e-08, 4.40662e-33, 1.41421, -1.00434e-08, 4.40662e-33, 0, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 4.40662e-33, 2.17938e-11, 4.40662e-33, 4.40662e-33, 1.0263e-13, 1.80561e-12, 4.40662e-33, 1.00197e-08, 4.40662e-33, 4.40662e-33
