   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_22.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.18098, 0, 1.91558e-20, 0, 1.41421, -1.91558e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64666e-23, 0, 0, 8.30829e-26, 7.9378e-25, 0, 1.91284e-20, 0, 0
0.188849, 0, 5.63102e-20, 0, 1.41421, -5.63102e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7801e-23, 0, 0, 2.46039e-25, 2.39656e-24, 0, 5.62297e-20, 0, 0
0.196718, 0, 1.61508e-19, 0, 1.41421, -1.61508e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23147e-22, 0, 0, 7.11127e-25, 7.04884e-24, 0, 1.61277e-19, 0, 0
0.204586, 0, 4.52634e-19, 0, 1.41421, -4.52634e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2538e-22, 0, 0, 2.00896e-24, 2.02318e-23, 0, 4.51986e-19, 0, 0
0.212455, 0, 1.24103e-18, 0, 1.41421, -1.24103e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71467e-21, 0, 0, 5.55414e-24, 5.67502e-23, 0, 1.23926e-18, 0, 0
0.220324, 0, 3.33245e-18, 0, 1.41421, -3.33245e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60426e-21, 0, 0, 1.50436e-23, 1.5576e-22, 0, 3.32768e-18, 0, 0
0.228193, 0, 8.77179e-18, 0, 1.41421, -8.77179e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21195e-20, 0, 0, 3.99556e-23, 4.18764e-22, 0, 8.75921e-18, 0, 0
0.236062, 0, 2.26519e-17, 0, 1.41421, -2.26519e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12968e-20, 0, 0, 1.04148e-22, 1.10384e-21, 0, 2.26194e-17, 0, 0
0.243931, 0, 5.87902e-17, 0, 1.41421, -5.87902e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12269e-20, 0, 0, 2.7374e-22, 2.93737e-21, 0, 5.87058e-17, 0, 0
0.2518, 0, 1.4595e-16, 0, 1.41421, -1.4595e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0165e-19, 0, 0, 6.86404e-22, 7.43328e-21, 0, 1.4574e-16, 0, 0
0.259669, 0, 3.56276e-16, 0, 1.41421, -3.56276e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92243e-19, 0, 0, 1.6931e-21, 1.84915e-20, 0, 3.55764e-16, 0, 0
0.267538, 0, 8.55552e-16, 0, 1.41421, -8.55552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18206e-18, 0, 0, 4.1101e-21, 4.52436e-20, 0, 8.54321e-16, 0, 0
0.275407, 0, 2.02188e-15, 0, 1.41421, -2.02188e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79348e-18, 0, 0, 9.8236e-21, 1.08928e-19, 0, 2.01897e-15, 0, 0
0.283275, 0, 4.70401e-15, 0, 1.41421, -4.70401e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49912e-18, 0, 0, 2.31259e-20, 2.58163e-19, 0, 4.69723e-15, 0, 0
0.291144, 0, 1.07776e-14, 0, 1.41421, -1.07776e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48903e-17, 0, 0, 5.364e-20, 6.02546e-19, 0, 1.0762e-14, 0, 0
0.299013, 0, 2.43244e-14, 0, 1.41421, -2.43244e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36063e-17, 0, 0, 1.22624e-19, 1.3854e-18, 0, 2.42893e-14, 0, 0
0.306882, 0, 5.40933e-14, 0, 1.41421, -5.40933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47337e-17, 0, 0, 2.76366e-19, 3.13898e-18, 0, 5.40151e-14, 0, 0
0.314751, 0, 1.18557e-13, 0, 1.41421, -1.18557e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63793e-16, 0, 0, 6.14229e-19, 7.01058e-18, 0, 1.18386e-13, 0, 0
0.32262, 0, 2.56146e-13, 0, 1.41421, -2.56146e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53872e-16, 0, 0, 1.34661e-18, 1.5438e-17, 0, 2.55775e-13, 0, 0
0.330489, 0, 5.4564e-13, 0, 1.41421, -5.4564e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53801e-16, 0, 0, 2.91289e-18, 3.35279e-17, 0, 5.4485e-13, 0, 0
0.338358, 0, 1.1462e-12, 0, 1.41421, -1.1462e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58344e-15, 0, 0, 6.21854e-18, 7.183e-17, 0, 1.14454e-12, 0, 0
0.346227, 0, 2.37477e-12, 0, 1.41421, -2.37477e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28061e-15, 0, 0, 1.31053e-17, 1.5184e-16, 0, 2.37133e-12, 0, 0
0.354096, 0, 4.85349e-12, 0, 1.41421, -4.85349e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70467e-15, 0, 0, 2.72724e-17, 3.16772e-16, 0, 4.84644e-12, 0, 0
0.361964, 0, 9.78623e-12, 0, 1.41421, -9.78623e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35186e-14, 0, 0, 5.6059e-17, 6.52349e-16, 0, 9.772e-12, 0, 0
0.369833, 0, 1.94699e-11, 0, 1.41421, -1.94699e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68952e-14, 0, 0, 1.13858e-16, 1.32645e-15, 0, 1.94415e-11, 0, 0
0.377702, 0, 3.82249e-11, 3.5593e-43, 1.41421, -3.82249e-11, 3.5593e-43, 0, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 5.28032e-14, 3.5593e-43, 3.5593e-43, 2.28586e-16, 2.66371e-15, 3.5593e-43, 3.81692e-11, 3.5593e-43, 3.5593e-43
0.385571, 0, 7.40656e-11, 6.70101e-42, 1.41421, -7.40656e-11, 6.70101e-42, 0, 6.70101e-42, 6.70101e-42, 6.70101e-42, 6.70101e-42, 6.70101e-42, 6.70101e-42, 6.70101e-42, 6.70101e-42, 1.02315e-13, 6.70101e-42, 6.70101e-42, 4.53836e-16, 5.28413e-15, 6.70101e-42, 7.39576e-11, 6.70101e-42, 6.70101e-42
0.39344, 0, 1.4165e-10, 1.02717e-40, 1.41421, -1.4165e-10, 1.02717e-40, 0, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.02717e-40, 1.95688e-13, 1.02717e-40, 1.02717e-40, 8.91535e-16, 1.03579e-14, 1.02717e-40, 1.41443e-10, 1.02717e-40, 1.02717e-40
0.401309, 0, 2.67419e-10, 1.38434e-39, 1.41421, -2.67419e-10, 1.38434e-39, 0, 1.38434e-39, 1.38434e-39, 1.38434e-39, 1.38434e-39, 1.38434e-39, 1.38434e-39, 1.38434e-39, 1.38434e-39, 3.6947e-13, 1.38434e-39, 1.38434e-39, 1.73394e-15, 2.00689e-14, 1.38434e-39, 2.67027e-10, 1.38434e-39, 1.38434e-39
0.409178, 0, 4.98407e-10, 1.66884e-38, 1.41421, -4.98407e-10, 1.66884e-38, 0, 1.66884e-38, 1.66884e-38, 1.66884e-38, 1.66884e-38, 1.66884e-38, 1.66884e-38, 1.66884e-38, 1.66884e-38, 6.88711e-13, 1.66884e-38, 1.66884e-38, 3.34119e-15, 3.84493e-14, 1.66884e-38, 4.97676e-10, 1.66884e-38, 1.66884e-38
0.417047, 0, 9.17135e-10, 1.81414e-37, 1.41421, -9.17135e-10, 1.81414e-37, 0, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.81414e-37, 1.26761e-12, 1.81414e-37, 1.81414e-37, 6.38396e-15, 7.28711e-14, 1.81414e-37, 9.15788e-10, 1.81414e-37, 1.81414e-37
0.424916, 0, 1.66641e-09, 1.78865e-36, 1.41421, -1.66641e-09, 1.78865e-36, 0, 1.78865e-36, 1.78865e-36, 1.78865e-36, 1.78865e-36, 1.78865e-36, 1.78865e-36, 1.78865e-36, 1.78865e-36, 2.30397e-12, 1.78865e-36, 1.78865e-36, 1.2106e-14, 1.36695e-13, 1.78865e-36, 1.66395e-09, 1.78865e-36, 1.78865e-36
0.432785, 0, 2.98996e-09, 1.6082e-35, 1.41421, -2.98996e-09, 1.6082e-35, 0, 1.6082e-35, 1.6082e-35, 1.6082e-35, 1.6082e-35, 1.6082e-35, 1.6082e-35, 1.6082e-35, 1.6082e-35, 4.13583e-12, 1.6082e-35, 1.6082e-35, 2.28072e-14, 2.53948e-13, 1.6082e-35, 2.98555e-09, 1.6082e-35, 1.6082e-35
