   PIQUANT 0.0.0-main  ps__0545_0715362334_000PTFE_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.208939, 0, 2.18017e-17, 0, 1.41421, -2.18017e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18713e-20, 0, 0, 1.01237e-22, 8.66956e-22, 0, 2.17488e-17, 0, 0
0.217016, 0, 5.24598e-17, 0, 1.41421, -5.24598e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24814e-19, 0, 0, 2.45393e-22, 2.13235e-21, 0, 5.23326e-17, 0, 0
0.225093, 0, 1.24363e-16, 0, 1.41421, -1.24363e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95889e-19, 0, 0, 5.86224e-22, 5.16526e-21, 0, 1.24062e-16, 0, 0
0.233171, 0, 2.90579e-16, 0, 1.41421, -2.90579e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91352e-19, 0, 0, 1.38078e-21, 1.23284e-20, 0, 2.89874e-16, 0, 0
0.241248, 0, 6.69416e-16, 0, 1.41421, -6.69416e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59269e-18, 0, 0, 3.2078e-21, 2.9006e-20, 0, 6.67791e-16, 0, 0
0.249325, 0, 1.521e-15, 0, 1.41421, -1.521e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61878e-18, 0, 0, 7.35296e-21, 6.72984e-20, 0, 1.5173e-15, 0, 0
0.257402, 0, 3.40944e-15, 0, 1.41421, -3.40944e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11176e-18, 0, 0, 1.66349e-20, 1.5403e-19, 0, 3.40116e-15, 0, 0
0.26548, 0, 7.54172e-15, 0, 1.41421, -7.54172e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79432e-17, 0, 0, 3.71537e-20, 3.47875e-19, 0, 7.52339e-15, 0, 0
0.273557, 0, 1.64661e-14, 0, 1.41421, -1.64661e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91758e-17, 0, 0, 8.19445e-20, 7.75511e-19, 0, 1.64261e-14, 0, 0
0.281634, 0, 3.54918e-14, 0, 1.41421, -3.54918e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44407e-17, 0, 0, 1.78511e-19, 1.70688e-18, 0, 3.54055e-14, 0, 0
0.289711, 0, 7.55378e-14, 0, 1.41421, -7.55378e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79715e-16, 0, 0, 3.84184e-19, 3.71003e-18, 0, 7.5354e-14, 0, 0
0.297788, 0, 1.58769e-13, 0, 1.41421, -1.58769e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77731e-16, 0, 0, 8.17016e-19, 7.96528e-18, 0, 1.58382e-13, 0, 0
0.305866, 0, 3.29608e-13, 0, 1.41421, -3.29608e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84171e-16, 0, 0, 1.71725e-18, 1.68953e-17, 0, 3.28805e-13, 0, 0
0.313943, 0, 6.75948e-13, 0, 1.41421, -6.75948e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60814e-15, 0, 0, 3.56801e-18, 3.54119e-17, 0, 6.74301e-13, 0, 0
0.32202, 0, 1.3695e-12, 0, 1.41421, -1.3695e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25814e-15, 0, 0, 7.32987e-18, 7.33552e-17, 0, 1.36617e-12, 0, 0
