   PIQUANT 0.0.0-main  ps__0661_0725638583_PTFE_shot_18.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.13841, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.146681, 0, 1.25526e-28, 0, 1.41421, -1.25526e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79881e-31, 0, 3.38729e-34, 5.17916e-34, 0, 1.25245e-28, 0, 0
0.154953, 0, 1.54035e-27, 0, 1.41421, -1.54035e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43432e-30, 0, 4.15642e-33, 7.21897e-32, 0, 1.53684e-27, 0, 0
0.163224, 0, 1.18787e-26, 0, 1.41421, -1.18787e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64838e-29, 0, 3.20523e-32, 8.81671e-31, 0, 1.18513e-26, 0, 0
0.171496, 0, 7.31728e-26, 0, 1.41421, -7.31728e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63137e-28, 0, 1.97438e-31, 6.84253e-30, 0, 7.30026e-26, 0, 0
0.179767, 0, 3.91899e-25, 0, 1.41421, -3.91899e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.73715e-28, 0, 1.0582e-30, 4.24175e-29, 0, 3.90982e-25, 0, 0
0.188038, 0, 1.90057e-24, 0, 1.41421, -1.90057e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23716e-27, 0, 5.139e-30, 2.2841e-28, 0, 1.8961e-24, 0, 0
0.19631, 0, 8.53903e-24, 0, 1.41421, -8.53903e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90368e-26, 0, 2.31322e-29, 1.11282e-27, 0, 8.51885e-24, 0, 0
0.204581, 0, 3.60536e-23, 0, 1.41421, -3.60536e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03767e-26, 0, 9.78881e-29, 5.02021e-27, 0, 3.59681e-23, 0, 0
0.212852, 0, 1.44439e-22, 0, 1.41421, -1.44439e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22004e-25, 0, 3.93158e-28, 2.12754e-26, 0, 1.44095e-22, 0, 0
0.221124, 0, 5.5284e-22, 0, 1.41421, -5.5284e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23247e-24, 0, 1.50904e-27, 8.55299e-26, 0, 5.51521e-22, 0, 0
0.229395, 0, 2.03202e-21, 0, 1.41421, -2.03202e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53002e-24, 0, 5.56363e-27, 3.28446e-25, 0, 2.02716e-21, 0, 0
0.237667, 0, 7.20091e-21, 0, 1.41421, -7.20091e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6053e-23, 0, 1.97813e-26, 1.21106e-24, 0, 7.18363e-21, 0, 0
0.245938, 0, 2.468e-20, 0, 1.41421, -2.468e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50189e-23, 0, 6.80393e-26, 4.30492e-24, 0, 2.46206e-20, 0, 0
0.254209, 0, 8.20178e-20, 0, 1.41421, -8.20178e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8284e-22, 0, 2.26978e-25, 1.47994e-23, 0, 8.18199e-20, 0, 0
0.262481, 0, 2.64839e-19, 0, 1.41421, -2.64839e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90396e-22, 0, 7.35933e-25, 4.93302e-23, 0, 2.64199e-19, 0, 0
0.270752, 0, 8.32395e-19, 0, 1.41421, -8.32395e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85562e-21, 0, 2.32321e-24, 1.59772e-22, 0, 8.30377e-19, 0, 0
0.279024, 0, 2.55026e-18, 0, 1.41421, -2.55026e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68515e-21, 0, 7.15114e-24, 5.03699e-22, 0, 2.54407e-18, 0, 0
0.287295, 0, 7.6258e-18, 0, 1.41421, -7.6258e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69996e-20, 0, 2.14904e-23, 1.54799e-21, 0, 7.60723e-18, 0, 0
0.295566, 0, 2.28944e-17, 0, 1.41421, -2.28944e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10364e-20, 0, 6.49745e-23, 4.80273e-21, 0, 2.28385e-17, 0, 0
0.303838, 0, 6.5123e-17, 0, 1.41421, -6.5123e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45172e-19, 0, 1.85858e-22, 1.40031e-20, 0, 6.49636e-17, 0, 0
0.312109, 0, 1.8141e-16, 0, 1.41421, -1.8141e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04395e-19, 0, 5.20844e-22, 3.99611e-20, 0, 1.80966e-16, 0, 0
0.32038, 0, 4.95197e-16, 0, 1.41421, -4.95197e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10386e-18, 0, 1.43085e-21, 1.11695e-19, 0, 4.9398e-16, 0, 0
