   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_9.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0886183, 0, 1.17799e-22, 0, 1.41421, -1.17799e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.14596e-25, 0, 0, 3.10114e-28, 4.85913e-27, 0, 1.17279e-22, 0, 0
0.0966867, 0, 3.48758e-22, 0, 1.41421, -3.48758e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52353e-24, 0, 0, 9.22609e-28, 1.49549e-26, 0, 3.47219e-22, 0, 0
0.104755, 0, 1.00465e-21, 0, 1.41421, -1.00465e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38875e-24, 0, 0, 2.67131e-27, 4.46296e-26, 0, 1.00022e-21, 0, 0
0.112824, 0, 2.82258e-21, 0, 1.41421, -2.82258e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23302e-23, 0, 0, 7.54516e-27, 1.29541e-25, 0, 2.81011e-21, 0, 0
0.120892, 0, 7.7492e-21, 0, 1.41421, -7.7492e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38517e-23, 0, 0, 2.08303e-26, 3.6661e-25, 0, 7.71496e-21, 0, 0
0.128961, 0, 2.08233e-20, 0, 1.41421, -2.08233e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09647e-23, 0, 0, 5.62999e-26, 1.01364e-24, 0, 2.07313e-20, 0, 0
0.137029, 0, 5.48425e-20, 0, 1.41421, -5.48425e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39574e-22, 0, 0, 1.49176e-25, 2.74265e-24, 0, 5.46001e-20, 0, 0
0.145097, 0, 1.41731e-19, 0, 1.41421, -1.41731e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19136e-22, 0, 0, 3.87949e-25, 7.27246e-24, 0, 1.41104e-19, 0, 0
0.153166, 0, 3.59767e-19, 0, 1.41421, -3.59767e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5716e-21, 0, 0, 9.91224e-25, 1.89205e-23, 0, 3.58176e-19, 0, 0
0.161234, 0, 8.97776e-19, 0, 1.41421, -8.97776e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92183e-21, 0, 0, 2.49042e-24, 4.83481e-23, 0, 8.93803e-19, 0, 0
0.169303, 0, 2.20408e-18, 0, 1.41421, -2.20408e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62826e-21, 0, 0, 6.15749e-24, 1.21452e-22, 0, 2.19433e-18, 0, 0
0.177371, 0, 5.32706e-18, 0, 1.41421, -5.32706e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32706e-20, 0, 0, 1.4992e-23, 3.00159e-22, 0, 5.30347e-18, 0, 0
0.18544, 0, 1.26822e-17, 0, 1.41421, -1.26822e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54006e-20, 0, 0, 3.59659e-23, 7.30322e-22, 0, 1.26261e-17, 0, 0
0.193508, 0, 2.97562e-17, 0, 1.41421, -2.97562e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29986e-19, 0, 0, 8.50611e-23, 1.75048e-21, 0, 2.96243e-17, 0, 0
0.201577, 0, 6.88373e-17, 0, 1.41421, -6.88373e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00706e-19, 0, 0, 1.98416e-22, 4.13535e-21, 0, 6.85323e-17, 0, 0
0.209645, 0, 1.57077e-16, 0, 1.41421, -1.57077e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86166e-19, 0, 0, 4.56681e-22, 9.63351e-21, 0, 1.56381e-16, 0, 0
0.217714, 0, 3.53668e-16, 0, 1.41421, -3.53668e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54494e-18, 0, 0, 1.03753e-21, 2.21392e-20, 0, 3.521e-16, 0, 0
0.225782, 0, 7.85988e-16, 0, 1.41421, -7.85988e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43345e-18, 0, 0, 2.32748e-21, 5.02123e-20, 0, 7.82502e-16, 0, 0
0.23385, 0, 1.72461e-15, 0, 1.41421, -1.72461e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53363e-18, 0, 0, 5.15702e-21, 1.12428e-19, 0, 1.71696e-15, 0, 0
0.241919, 0, 3.73708e-15, 0, 1.41421, -3.73708e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63247e-17, 0, 0, 1.12891e-20, 2.48597e-19, 0, 3.72049e-15, 0, 0
0.249987, 0, 7.99908e-15, 0, 1.41421, -7.99908e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49422e-17, 0, 0, 2.44218e-20, 5.42992e-19, 0, 7.96357e-15, 0, 0
0.258056, 0, 1.69161e-14, 0, 1.41421, -1.69161e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3894e-17, 0, 0, 5.22213e-20, 1.17187e-18, 0, 1.6841e-14, 0, 0
0.266124, 0, 3.53506e-14, 0, 1.41421, -3.53506e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54419e-16, 0, 0, 1.10399e-19, 2.49955e-18, 0, 3.51935e-14, 0, 0
0.274193, 0, 7.30118e-14, 0, 1.41421, -7.30118e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1893e-16, 0, 0, 2.30783e-19, 5.27018e-18, 0, 7.26874e-14, 0, 0
0.282261, 0, 1.4906e-13, 0, 1.41421, -1.4906e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51116e-16, 0, 0, 4.77159e-19, 1.09867e-17, 0, 1.48397e-13, 0, 0
0.29033, 0, 3.00849e-13, 0, 1.41421, -3.00849e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31415e-15, 0, 0, 9.75934e-19, 2.26498e-17, 0, 2.99512e-13, 0, 0
0.298398, 0, 6.00363e-13, 0, 1.41421, -6.00363e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62244e-15, 0, 0, 1.97494e-18, 4.61843e-17, 0, 5.97692e-13, 0, 0
0.306467, 0, 1.18467e-12, 0, 1.41421, -1.18467e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17472e-15, 0, 0, 3.95492e-18, 9.31602e-17, 0, 1.1794e-12, 0, 0
