   PIQUANT 0.0.0-main  ps__0246_0688790088_000PTFE_shot_20.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.123341, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.131612, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.139882, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.148153, 0, 1.49171e-28, 0, 1.41421, -1.49171e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31425e-31, 0, 2.88488e-34, 6.57329e-34, 0, 1.48839e-28, 0, 0
0.156423, 0, 1.88049e-27, 0, 1.41421, -1.88049e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17778e-30, 0, 3.63654e-33, 1.16914e-31, 0, 1.87619e-27, 0, 0
0.164694, 0, 1.48713e-26, 0, 1.41421, -1.48713e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30376e-29, 0, 2.87574e-32, 1.44582e-30, 0, 1.48368e-26, 0, 0
0.172965, 0, 9.37875e-26, 0, 1.41421, -9.37875e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0835e-28, 0, 1.8144e-31, 1.13842e-29, 0, 9.35675e-26, 0, 0
0.181235, 0, 5.13478e-25, 0, 1.41421, -5.13478e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14068e-27, 0, 9.94803e-31, 7.16841e-29, 0, 5.12264e-25, 0, 0
0.189506, 0, 2.5419e-24, 0, 1.41421, -2.5419e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64666e-27, 0, 4.93579e-30, 3.92144e-28, 0, 2.53585e-24, 0, 0
0.197776, 0, 1.16416e-23, 0, 1.41421, -1.16416e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58609e-26, 0, 2.26698e-29, 1.94014e-27, 0, 1.16138e-23, 0, 0
0.206047, 0, 5.00406e-23, 0, 1.41421, -5.00406e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1116e-25, 0, 9.77626e-29, 8.882e-27, 0, 4.99205e-23, 0, 0
0.214317, 0, 2.03842e-22, 0, 1.41421, -2.03842e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52808e-25, 0, 3.99678e-28, 3.81675e-26, 0, 2.03351e-22, 0, 0
0.222588, 0, 7.92388e-22, 0, 1.41421, -7.92388e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76017e-24, 0, 1.55975e-27, 1.55446e-25, 0, 7.90471e-22, 0, 0
0.230859, 0, 2.95465e-21, 0, 1.41421, -2.95465e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56323e-24, 0, 5.84051e-27, 6.04192e-25, 0, 2.94747e-21, 0, 0
0.239129, 0, 1.06105e-20, 0, 1.41421, -1.06105e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35692e-23, 0, 2.10687e-26, 2.25284e-24, 0, 1.05847e-20, 0, 0
0.2474, 0, 3.68144e-20, 0, 1.41421, -3.68144e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17756e-23, 0, 7.34523e-26, 8.09077e-24, 0, 3.67245e-20, 0, 0
