   PIQUANT 0.0.0-main  ps__0368_0699563413_000PTFE_shot_17.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0697405, 0, 2.66774e-13, 0, 1.41421, -2.66774e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30251e-16, 0, 0, 2.42466e-18, 7.16069e-17, 0, 2.6577e-13, 0, 0
0.0776388, 0, 4.46388e-13, 0, 1.41421, -4.46388e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55656e-15, 0, 0, 4.14473e-18, 1.23692e-16, 0, 4.44704e-13, 0, 0
0.085537, 0.159561, 7.41896e-13, 0, 1.46954, 0.159561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58698e-15, 0, 0, 7.03874e-18, 2.12367e-16, 0, 7.3909e-13, 0, 0
0.0934353, 0.840439, 1.2248e-12, 0, 1.68536, 0.840439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27082e-15, 0, 0, 1.18764e-17, 3.62431e-16, 0, 1.22016e-12, 0, 0
0.101334, 0, 2.00869e-12, 0, 1.41421, -2.00869e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00414e-15, 0, 0, 1.99116e-17, 6.14879e-16, 0, 2.00105e-12, 0, 0
0.109232, 0, 3.27272e-12, 0, 1.41421, -3.27272e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14117e-14, 0, 0, 3.3174e-17, 1.03707e-15, 0, 3.26024e-12, 0, 0
0.11713, 0, 5.29765e-12, 0, 1.41421, -5.29765e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84723e-14, 0, 0, 5.49284e-17, 1.73905e-15, 0, 5.27738e-12, 0, 0
0.125028, 0, 8.52038e-12, 0, 1.41421, -8.52038e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97096e-14, 0, 0, 9.03947e-17, 2.89971e-15, 0, 8.48768e-12, 0, 0
0.132926, 0, 1.36163e-11, 0, 1.41421, -1.36163e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74787e-14, 0, 0, 1.47868e-16, 4.8078e-15, 0, 1.35639e-11, 0, 0
0.140825, 0, 2.16226e-11, 0, 1.41421, -2.16226e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53966e-14, 0, 0, 2.40458e-16, 7.9272e-15, 0, 2.15391e-11, 0, 0
0.148723, 0, 3.41214e-11, 0, 1.41421, -3.41214e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18981e-13, 0, 0, 3.88755e-16, 1.29988e-14, 0, 3.39891e-11, 0, 0
0.156621, 0, 5.35102e-11, 0, 1.41421, -5.35102e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86593e-13, 0, 0, 6.2494e-16, 2.11996e-14, 0, 5.33018e-11, 0, 0
0.164519, 0, 8.3398e-11, 0, 1.41421, -8.3398e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90824e-13, 0, 0, 9.99063e-16, 3.43893e-14, 0, 8.30718e-11, 0, 0
0.172418, 0, 1.29183e-10, 0, 1.41421, -1.29183e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50505e-13, 0, 0, 1.5885e-15, 5.54914e-14, 0, 1.28675e-10, 0, 0
0.180316, 0, 1.98884e-10, 0, 1.41421, -1.98884e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93623e-13, 0, 0, 2.51239e-15, 8.90779e-14, 0, 1.98099e-10, 0, 0
0.188214, 0, 3.04343e-10, 0, 1.41421, -3.04343e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06151e-12, 0, 0, 3.95335e-15, 1.42264e-13, 0, 3.03135e-10, 0, 0
0.196112, 0, 4.62924e-10, 0, 1.41421, -4.62924e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6148e-12, 0, 0, 6.19011e-15, 2.26069e-13, 0, 4.61077e-10, 0, 0
0.204011, 0, 7.00153e-10, 0, 1.41421, -7.00153e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4427e-12, 0, 0, 9.66205e-15, 3.58088e-13, 0, 6.97342e-10, 0, 0
0.211909, 0, 1.05231e-09, 0, 1.41421, -1.05231e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67196e-12, 0, 0, 1.49898e-14, 5.6349e-13, 0, 1.04806e-09, 0, 0
0.219807, 0, 1.57228e-09, 0, 1.41421, -1.57228e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48758e-12, 0, 0, 2.31566e-14, 8.82569e-13, 0, 1.56589e-09, 0, 0
0.227705, 0, 2.33545e-09, 0, 1.41421, -2.33545e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15343e-12, 0, 0, 3.56306e-14, 1.37605e-12, 0, 2.32588e-09, 0, 0
0.235604, 0, 3.44889e-09, 0, 1.41421, -3.44889e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20447e-11, 0, 0, 5.46217e-14, 2.13597e-12, 0, 3.43466e-09, 0, 0
0.243502, 0, 5.0638e-09, 0, 1.41421, -5.0638e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76917e-11, 0, 0, 8.34525e-14, 3.30138e-12, 0, 5.04272e-09, 0, 0
0.2514, 0, 7.39225e-09, 4.27396e-43, 1.41421, -7.39225e-09, 4.27396e-43, 0, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 4.27396e-43, 2.58395e-11, 4.27396e-43, 4.27396e-43, 1.27114e-13, 5.08161e-12, 4.27396e-43, 7.3612e-09, 4.27396e-43, 4.27396e-43
0.259298, 0, 1.07299e-08, 7.56841e-42, 1.41421, -1.07299e-08, 7.56841e-42, 0, 7.56841e-42, 7.56841e-42, 7.56841e-42, 7.56841e-42, 7.56841e-42, 7.56841e-42, 7.56841e-42, 7.56841e-42, 3.75285e-11, 7.56841e-42, 7.56841e-42, 1.93097e-13, 7.7907e-12, 7.56841e-42, 1.06844e-08, 7.56841e-42, 7.56841e-42
0.267197, 0, 1.54864e-08, 1.1316e-40, 1.41421, -1.54864e-08, 1.1316e-40, 0, 1.1316e-40, 1.1316e-40, 1.1316e-40, 1.1316e-40, 1.1316e-40, 1.1316e-40, 1.1316e-40, 1.1316e-40, 5.42031e-11, 1.1316e-40, 1.1316e-40, 2.92651e-13, 1.18985e-11, 1.1316e-40, 1.542e-08, 1.1316e-40, 1.1316e-40
0.275095, 0, 2.22259e-08, 1.4963e-39, 1.41421, -2.22259e-08, 1.4963e-39, 0, 1.4963e-39, 1.4963e-39, 1.4963e-39, 1.4963e-39, 1.4963e-39, 1.4963e-39, 1.4963e-39, 1.4963e-39, 7.7857e-11, 1.4963e-39, 1.4963e-39, 4.42667e-13, 1.81058e-11, 1.4963e-39, 2.21295e-08, 1.4963e-39, 1.4963e-39
0.282993, 0, 3.17203e-08, 1.7713e-38, 1.41421, -3.17203e-08, 1.7713e-38, 0, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.7713e-38, 1.11227e-10, 1.7713e-38, 1.7713e-38, 6.68524e-13, 2.74554e-11, 1.7713e-38, 3.1581e-08, 1.7713e-38, 1.7713e-38
0.290891, 0, 4.50199e-08, 1.88972e-37, 1.41421, -4.50199e-08, 1.88972e-37, 0, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.88972e-37, 1.58046e-10, 1.88972e-37, 1.88972e-37, 1.00838e-12, 4.14949e-11, 1.88972e-37, 4.48194e-08, 1.88972e-37, 1.88972e-37
0.29879, 0, 6.35444e-08, 1.82678e-36, 1.41421, -6.35444e-08, 1.82678e-36, 0, 1.82678e-36, 1.82678e-36, 1.82678e-36, 1.82678e-36, 1.82678e-36, 1.82678e-36, 1.82678e-36, 1.82678e-36, 2.23384e-10, 1.82678e-36, 1.82678e-36, 1.51964e-12, 6.25155e-11, 1.82678e-36, 6.3257e-08, 1.82678e-36, 1.82678e-36
0.306688, 0, 8.92019e-08, 1.60889e-35, 1.41421, -8.92019e-08, 1.60889e-35, 0, 1.60889e-35, 1.60889e-35, 1.60889e-35, 1.60889e-35, 1.60889e-35, 1.60889e-35, 1.60889e-35, 1.60889e-35, 3.14083e-10, 1.60889e-35, 1.60889e-35, 2.28872e-12, 9.39019e-11, 1.60889e-35, 8.87917e-08, 1.60889e-35, 1.60889e-35
0.314586, 0, 1.24542e-07, 1.29763e-34, 1.41421, -1.24542e-07, 1.29763e-34, 0, 1.29763e-34, 1.29763e-34, 1.29763e-34, 1.29763e-34, 1.29763e-34, 1.29763e-34, 1.29763e-34, 1.29763e-34, 4.39331e-10, 1.29763e-34, 1.29763e-34, 3.44579e-12, 1.40642e-10, 1.29763e-34, 1.23958e-07, 1.29763e-34, 1.29763e-34
0.322484, 0, 1.72949e-07, 9.63002e-34, 1.41421, -1.72949e-07, 9.63002e-34, 0, 9.63002e-34, 9.63002e-34, 9.63002e-34, 9.63002e-34, 9.63002e-34, 9.63002e-34, 9.63002e-34, 9.63002e-34, 6.11404e-10, 9.63002e-34, 9.63002e-34, 5.18687e-12, 2.10071e-10, 9.63002e-34, 1.72122e-07, 9.63002e-34, 9.63002e-34
0.330383, 0, 2.38893e-07, 6.72559e-33, 1.41421, -2.38893e-07, 6.72559e-33, 0, 6.72559e-33, 6.72559e-33, 6.72559e-33, 6.72559e-33, 6.72559e-33, 6.72559e-33, 6.72559e-33, 6.72559e-33, 8.46621e-10, 6.72559e-33, 6.72559e-33, 7.80716e-12, 3.12949e-10, 6.72559e-33, 2.37725e-07, 6.72559e-33, 6.72559e-33
0.338281, 0, 3.2824e-07, 4.64539e-32, 1.41421, -3.2824e-07, 4.64539e-32, 0, 4.64539e-32, 4.64539e-32, 4.64539e-32, 4.64539e-32, 4.64539e-32, 4.64539e-32, 4.64539e-32, 4.64539e-32, 1.16657e-09, 4.64539e-32, 4.64539e-32, 1.17508e-11, 4.65021e-10, 4.64539e-32, 3.26596e-07, 4.64539e-32, 4.64539e-32
0.346179, 0, 4.48647e-07, 3.0307e-31, 1.41421, -4.48647e-07, 3.0307e-31, 0, 3.0307e-31, 3.0307e-31, 3.0307e-31, 3.0307e-31, 3.0307e-31, 3.0307e-31, 3.0307e-31, 3.0307e-31, 1.59967e-09, 3.0307e-31, 3.0307e-31, 1.76854e-11, 6.89262e-10, 3.0307e-31, 4.4634e-07, 3.0307e-31, 3.0307e-31
