   PIQUANT 0.0.0-main  ps__0097_0675553164_000PTFE_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.337992, 0, 3.03364e-15, 0, 1.41421, -3.03364e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.59988e-18, 0, 0, 9.94529e-21, 6.78821e-19, 0, 3.02635e-15, 0, 0
0.346248, 0, 7.97199e-15, 0, 1.41421, -7.97199e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.73433e-17, 0, 0, 2.63525e-20, 1.82375e-18, 0, 7.9528e-15, 0, 0
0.354503, 0, 2.05431e-14, 0, 1.41421, -2.05431e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.46909e-17, 0, 0, 6.85112e-20, 4.80381e-18, 0, 2.04935e-14, 0, 0
0.362758, 0, 5.19327e-14, 0, 1.41421, -5.19327e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.12974e-16, 0, 0, 1.74836e-19, 1.24116e-17, 0, 5.18071e-14, 0, 0
0.371014, 0, 1.28835e-13, 0, 1.41421, -1.28835e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.80256e-16, 0, 0, 4.38124e-19, 3.14674e-17, 0, 1.28523e-13, 0, 0
0.379269, 0, 3.13744e-13, 0, 1.41421, -3.13744e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.82463e-16, 0, 0, 1.07856e-18, 7.83156e-17, 0, 3.12982e-13, 0, 0
0.387524, 0, 7.502e-13, 0, 1.41421, -7.502e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.63177e-15, 0, 0, 2.60931e-18, 1.91393e-16, 0, 7.48374e-13, 0, 0
0.39578, 0, 1.76171e-12, 0, 1.41421, -1.76171e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.83172e-15, 0, 0, 6.20582e-18, 4.59429e-16, 0, 1.75741e-12, 0, 0
0.404035, 0, 4.06379e-12, 3.13891e-43, 1.41421, -4.06379e-12, 3.13891e-43, 0, 3.13891e-43, 3.13891e-43, 3.13891e-43, 3.13891e-43, 3.13891e-43, 3.13891e-43, 8.83823e-15, 3.13891e-43, 3.13891e-43, 1.45156e-17, 1.08353e-15, 3.13891e-43, 4.05385e-12, 3.13891e-43, 3.13891e-43
0.41229, 0, 9.2096e-12, 7.2279e-42, 1.41421, -9.2096e-12, 7.2279e-42, 0, 7.2279e-42, 7.2279e-42, 7.2279e-42, 7.2279e-42, 7.2279e-42, 7.2279e-42, 2.00286e-14, 7.2279e-42, 7.2279e-42, 3.3406e-17, 2.51131e-15, 7.2279e-42, 9.18703e-12, 7.2279e-42, 7.2279e-42
0.420546, 0, 2.05084e-11, 1.22772e-40, 1.41421, -2.05084e-11, 1.22772e-40, 0, 1.22772e-40, 1.22772e-40, 1.22772e-40, 1.22772e-40, 1.22772e-40, 1.22772e-40, 4.45987e-14, 1.22772e-40, 1.22772e-40, 7.5682e-17, 5.72147e-15, 1.22772e-40, 2.0458e-11, 1.22772e-40, 1.22772e-40
0.428801, 0, 4.49176e-11, 6.77601e-39, 1.41421, -4.49176e-11, 6.77601e-39, 0, 6.77601e-39, 6.77601e-39, 6.77601e-39, 6.77601e-39, 6.77601e-39, 6.77601e-39, 9.76792e-14, 6.77601e-39, 6.77601e-39, 1.69252e-16, 1.28352e-14, 6.77601e-39, 4.48069e-11, 6.77601e-39, 6.77601e-39
0.437057, 0, 9.65966e-11, 8.24008e-38, 1.41421, -9.65966e-11, 8.24008e-38, 0, 8.24008e-38, 8.24008e-38, 8.24008e-38, 8.24008e-38, 8.24008e-38, 8.24008e-38, 2.10063e-13, 8.24008e-38, 8.24008e-38, 3.72315e-16, 2.82728e-14, 8.24008e-38, 9.63579e-11, 8.24008e-38, 8.24008e-38
