   PIQUANT 0.0.0-main  ps__0545_0715362334_000PTFE_shot_16.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.083125, 0, 1.5319e-12, 0, 1.41421, -1.5319e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26335e-15, 0, 0, 1.74176e-17, 3.36038e-16, 0, 1.52428e-12, 0, 0
0.0910008, 0, 2.48551e-12, 0, 1.41421, -2.48551e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17848e-14, 0, 0, 2.8878e-17, 5.64501e-16, 0, 2.47313e-12, 0, 0
0.0988766, 0, 4.00733e-12, 0, 1.41421, -4.00733e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90003e-14, 0, 0, 4.75924e-17, 9.42994e-16, 0, 3.98734e-12, 0, 0
0.106752, 0, 6.42062e-12, 0, 1.41421, -6.42062e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04426e-14, 0, 0, 7.79715e-17, 1.56657e-15, 0, 6.38853e-12, 0, 0
0.114628, 0, 1.02236e-11, 0, 1.41421, -1.02236e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8474e-14, 0, 0, 1.26998e-16, 2.58841e-15, 0, 1.01724e-11, 0, 0
0.122504, 0, 1.6179e-11, 0, 1.41421, -1.6179e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67122e-14, 0, 0, 2.05666e-16, 4.25375e-15, 0, 1.60979e-11, 0, 0
0.13038, 0, 2.54479e-11, 0, 1.41421, -2.54479e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20662e-13, 0, 0, 3.31186e-16, 6.95335e-15, 0, 2.532e-11, 0, 0
0.138256, 0, 3.97848e-11, 0, 1.41421, -3.97848e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88645e-13, 0, 0, 5.30352e-16, 1.13064e-14, 0, 3.95843e-11, 0, 0
0.146131, 0, 6.18259e-11, 0, 1.41421, -6.18259e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93165e-13, 0, 0, 8.44709e-16, 1.8289e-14, 0, 6.15136e-11, 0, 0
0.154007, 0, 9.55056e-11, 0, 1.41421, -9.55056e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52886e-13, 0, 0, 1.33825e-15, 2.94321e-14, 0, 9.50219e-11, 0, 0
0.161883, 0, 1.4666e-10, 0, 1.41421, -1.4666e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.955e-13, 0, 0, 2.10919e-15, 4.71243e-14, 0, 1.45915e-10, 0, 0
0.169759, 0, 2.23889e-10, 0, 1.41421, -2.23889e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06183e-12, 0, 0, 3.3075e-15, 7.50743e-14, 0, 2.22749e-10, 0, 0
0.177634, 0, 3.39792e-10, 0, 1.41421, -3.39792e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61167e-12, 0, 0, 5.16131e-15, 1.19012e-13, 0, 3.38056e-10, 0, 0
0.18551, 0, 5.12706e-10, 0, 1.41421, -5.12706e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43212e-12, 0, 0, 8.01626e-15, 1.87752e-13, 0, 5.10078e-10, 0, 0
0.193386, 0, 7.69155e-10, 0, 1.41421, -7.69155e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64922e-12, 0, 0, 1.23942e-14, 2.94781e-13, 0, 7.65198e-10, 0, 0
0.201262, 0, 1.14727e-09, 0, 1.41421, -1.14727e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44424e-12, 0, 0, 1.90808e-14, 4.60663e-13, 0, 1.14135e-09, 0, 0
