   PIQUANT 0.0.0-main  ps__0845_0741970080_000PTFE_shot_4.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.174627, 0, 5.21486e-11, 0, 1.41421, -5.21486e-11, 0, 0, 0, 0, 0, 0, 0, 1.43177e-13, 0, 0, 6.41468e-16, 1.53026e-14, 0, 5.19895e-11, 0, 0
0.182628, 0, 8.28005e-11, 0, 1.41421, -8.28005e-11, 0, 0, 0, 0, 0, 0, 0, 2.27345e-13, 0, 0, 1.04491e-15, 2.52968e-14, 0, 8.25468e-11, 0, 0
0.19063, 0, 1.30608e-10, 0, 1.41421, -1.30608e-10, 0, 0, 0, 0, 0, 0, 0, 3.58633e-13, 0, 0, 1.69237e-15, 4.15887e-14, 0, 1.30206e-10, 0, 0
0.198631, 0, 2.04679e-10, 0, 1.41421, -2.04679e-10, 0, 0, 0, 0, 0, 0, 0, 5.62069e-13, 0, 0, 2.7258e-15, 6.80038e-14, 0, 2.04046e-10, 0, 0
0.206633, 0, 3.18684e-10, 0, 1.41421, -3.18684e-10, 0, 0, 0, 0, 0, 0, 0, 8.75235e-13, 0, 0, 4.36668e-15, 1.10606e-13, 0, 3.17694e-10, 0, 0
0.214634, 0, 4.93003e-10, 0, 1.41421, -4.93003e-10, 0, 0, 0, 0, 0, 0, 0, 1.35417e-12, 0, 0, 6.95912e-15, 1.78961e-13, 0, 4.91462e-10, 0, 0
0.222636, 0, 7.57802e-10, 0, 1.41421, -7.57802e-10, 0, 0, 0, 0, 0, 0, 0, 2.08189e-12, 0, 0, 1.10356e-14, 2.88079e-13, 0, 7.55421e-10, 0, 0
0.230637, 0, 1.15774e-09, 0, 1.41421, -1.15774e-09, 0, 0, 0, 0, 0, 0, 0, 3.18142e-12, 0, 0, 1.74454e-14, 4.62168e-13, 0, 1.15408e-09, 0, 0
0.238639, 0, 1.75708e-09, 0, 1.41421, -1.75708e-09, 0, 0, 0, 0, 0, 0, 0, 4.82973e-12, 0, 0, 2.74122e-14, 7.3662e-13, 0, 1.75149e-09, 0, 0
0.24664, 0, 2.64999e-09, 0, 1.41421, -2.64999e-09, 0, 0, 0, 0, 0, 0, 0, 7.2866e-12, 0, 0, 4.28949e-14, 1.16851e-12, 0, 2.6415e-09, 0, 0
