   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.266385, 0, 2.68202e-19, 0, 1.41421, -2.68202e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58762e-21, 0, 0, 3.93917e-24, 9.9386e-23, 0, 2.65511e-19, 0, 0, 0
0.274631, 0, 7.56714e-19, 0, 1.41421, -7.56714e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30076e-21, 0, 0, 1.1199e-23, 2.86751e-22, 0, 7.49115e-19, 0, 0, 0
0.282878, 0, 2.09104e-18, 0, 1.41421, -2.09104e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01741e-20, 0, 0, 3.11948e-23, 8.09772e-22, 0, 2.07003e-18, 0, 0, 0
0.291124, 0, 5.66305e-18, 0, 1.41421, -5.66305e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46359e-20, 0, 0, 8.51972e-23, 2.23997e-21, 0, 5.60609e-18, 0, 0, 0
0.29937, 0, 1.50406e-17, 0, 1.41421, -1.50406e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45106e-19, 0, 0, 2.28289e-22, 6.07372e-21, 0, 1.48891e-17, 0, 0, 0
0.307616, 0, 3.9195e-17, 0, 1.41421, -3.9195e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78135e-19, 0, 0, 6.00485e-22, 1.61535e-20, 0, 3.88001e-17, 0, 0, 0
0.315863, 0, 1.00266e-16, 0, 1.41421, -1.00266e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67308e-19, 0, 0, 1.5513e-21, 4.21617e-20, 0, 9.92551e-17, 0, 0, 0
0.324109, 0, 2.51893e-16, 0, 1.41421, -2.51893e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43007e-18, 0, 0, 3.93782e-21, 1.08049e-19, 0, 2.49351e-16, 0, 0, 0
0.332355, 0, 6.2169e-16, 0, 1.41421, -6.2169e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99747e-18, 0, 0, 9.82561e-21, 2.71993e-19, 0, 6.15411e-16, 0, 0, 0
0.340602, 0, 1.50789e-15, 0, 1.41421, -1.50789e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45463e-17, 0, 0, 2.41081e-20, 6.72824e-19, 0, 1.49265e-15, 0, 0, 0
0.348848, 0, 3.5952e-15, 0, 1.41421, -3.5952e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46812e-17, 0, 0, 5.81841e-20, 1.63606e-18, 0, 3.55882e-15, 0, 0, 0
0.357094, 0, 8.42846e-15, 0, 1.41421, -8.42846e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13029e-17, 0, 0, 1.38181e-19, 3.91195e-18, 0, 8.34311e-15, 0, 0, 0
0.365341, 0, 1.9433e-14, 0, 1.41421, -1.9433e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87449e-16, 0, 0, 3.23017e-19, 9.20034e-18, 0, 1.9236e-14, 0, 0, 0
0.373587, 0, 4.40742e-14, 0, 1.41421, -4.40742e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25119e-16, 0, 0, 7.43488e-19, 2.12886e-17, 0, 4.3627e-14, 0, 0, 0
0.381833, 0, 9.83465e-14, 0, 1.41421, -9.83465e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48566e-16, 0, 0, 1.68554e-18, 4.84764e-17, 0, 9.73478e-14, 0, 0, 0
0.39008, 0, 2.1594e-13, 1.26117e-44, 1.41421, -2.1594e-13, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 2.08268e-15, 1.26117e-44, 1.26117e-44, 3.76516e-18, 1.08656e-16, 1.26117e-44, 2.13745e-13, 1.26117e-44, 1.26117e-44, 1.26117e-44
0.398326, 0, 4.66624e-13, 2.83062e-43, 1.41421, -4.66624e-13, 2.83062e-43, 0, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 2.83062e-43, 4.5003e-15, 2.83062e-43, 2.83062e-43, 8.29069e-18, 2.39783e-16, 2.83062e-43, 4.61875e-13, 2.83062e-43, 2.83062e-43, 2.83062e-43
0.406572, 0, 9.92468e-13, 4.88493e-42, 1.41421, -9.92468e-13, 4.88493e-42, 0, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 4.88493e-42, 9.57148e-15, 4.88493e-42, 4.88493e-42, 1.80043e-17, 5.21119e-16, 4.88493e-42, 9.82357e-13, 4.88493e-42, 4.88493e-42, 4.88493e-42
0.414818, 0, 2.07793e-12, 7.3372e-41, 1.41421, -2.07793e-12, 7.3372e-41, 0, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 7.3372e-41, 2.00396e-14, 7.3372e-41, 7.3372e-41, 3.85832e-17, 1.11562e-15, 7.3372e-41, 2.05674e-12, 7.3372e-41, 7.3372e-41, 7.3372e-41
0.423065, 0, 4.28312e-12, 9.76618e-40, 1.41421, -4.28312e-12, 9.76618e-40, 0, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 9.76618e-40, 4.1307e-14, 9.76618e-40, 9.76618e-40, 8.16521e-17, 2.3533e-15, 9.76618e-40, 4.23938e-12, 9.76618e-40, 9.76618e-40, 9.76618e-40
0.431311, 0, 8.69254e-12, 1.16224e-38, 1.41421, -8.69254e-12, 1.16224e-38, 0, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 1.16224e-38, 8.38363e-14, 1.16224e-38, 1.16224e-38, 1.70788e-16, 4.89286e-15, 1.16224e-38, 8.60364e-12, 1.16224e-38, 1.16224e-38, 1.16224e-38
0.439557, 0, 1.73712e-11, 1.24461e-37, 1.41421, -1.73712e-11, 1.24461e-37, 0, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.24461e-37, 1.67556e-13, 1.24461e-37, 1.24461e-37, 3.53436e-16, 1.0031e-14, 1.24461e-37, 1.71932e-11, 1.24461e-37, 1.24461e-37, 1.24461e-37
0.447804, 0, 3.41866e-11, 1.20679e-36, 1.41421, -3.41866e-11, 1.20679e-36, 0, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 1.20679e-36, 3.29814e-13, 1.20679e-36, 1.20679e-36, 7.2453e-16, 2.02882e-14, 1.20679e-36, 3.38357e-11, 1.20679e-36, 1.20679e-36, 1.20679e-36
0.45605, 0, 6.62608e-11, 1.06585e-35, 1.41421, -6.62608e-11, 1.06585e-35, 0, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 1.06585e-35, 6.3944e-13, 1.06585e-35, 1.06585e-35, 1.47326e-15, 4.05059e-14, 1.06585e-35, 6.55793e-11, 1.06585e-35, 1.06585e-35, 1.06585e-35
0.464296, 0, 1.26496e-10, 8.62244e-35, 1.41421, -1.26496e-10, 8.62244e-35, 0, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 8.62244e-35, 1.22127e-12, 8.62244e-35, 8.62244e-35, 2.97602e-15, 7.98945e-14, 8.62244e-35, 1.25191e-10, 8.62244e-35, 8.62244e-35, 8.62244e-35
0.472543, 0, 2.37877e-10, 6.6076e-34, 1.41421, -2.37877e-10, 6.6076e-34, 0, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 6.6076e-34, 2.2981e-12, 6.6076e-34, 6.6076e-34, 5.98165e-15, 1.55838e-13, 6.6076e-34, 2.35417e-10, 6.6076e-34, 6.6076e-34, 6.6076e-34
0.480789, 0, 4.40688e-10, 4.90577e-33, 1.41421, -4.40688e-10, 4.90577e-33, 0, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.90577e-33, 4.26127e-12, 4.90577e-33, 4.90577e-33, 1.19816e-14, 3.0098e-13, 4.90577e-33, 4.36113e-10, 4.90577e-33, 4.90577e-33, 4.90577e-33
0.489035, 0, 8.04365e-10, 3.43115e-32, 1.41421, -8.04365e-10, 3.43115e-32, 0, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 3.43115e-32, 7.78747e-12, 3.43115e-32, 3.43115e-32, 2.39514e-14, 5.76483e-13, 3.43115e-32, 7.95977e-10, 3.43115e-32, 3.43115e-32, 3.43115e-32
