   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_260.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.118312, 0, 1.01166e-14, 0, 1.41421, -1.01166e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13774e-16, 0, 0, 1.62942e-18, 2.26702e-15, 0, 7.73417e-15, 0, 0, 0
0.126183, 0, 1.73604e-14, 0, 1.41421, -1.73604e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.941e-16, 0, 0, 2.83467e-18, 3.96895e-15, 0, 1.31946e-14, 0, 0, 0
0.134053, 0, 2.9597e-14, 0, 1.41421, -2.9597e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28884e-16, 0, 0, 4.89936e-18, 6.90624e-15, 0, 2.23569e-14, 0, 0, 0
0.141923, 0, 5.0299e-14, 0, 1.41421, -5.0299e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54961e-16, 0, 0, 8.45063e-18, 1.20104e-14, 0, 3.77252e-14, 0, 0, 0
0.149793, 0, 8.46298e-14, 0, 1.41421, -8.46298e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27466e-16, 0, 0, 1.44141e-17, 2.06408e-14, 0, 6.30471e-14, 0, 0, 0
0.157663, 0, 1.41504e-13, 0, 1.41421, -1.41504e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53981e-15, 0, 0, 2.44335e-17, 3.52677e-14, 0, 1.04673e-13, 0, 0, 0
0.165533, 0, 2.35141e-13, 0, 1.41421, -2.35141e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53975e-15, 0, 0, 4.11641e-17, 5.99159e-14, 0, 1.72644e-13, 0, 0, 0
0.173403, 0, 3.88366e-13, 0, 1.41421, -3.88366e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16189e-15, 0, 0, 6.89334e-17, 1.01225e-13, 0, 2.8291e-13, 0, 0, 0
0.181273, 0, 6.37574e-13, 0, 1.41421, -6.37574e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77618e-15, 0, 0, 1.14751e-16, 1.7007e-13, 0, 4.60613e-13, 0, 0, 0
0.189143, 0, 1.04048e-12, 0, 1.41421, -1.04048e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09621e-14, 0, 0, 1.89908e-16, 2.84187e-13, 0, 7.45137e-13, 0, 0, 0
