   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.280503, 0, 2.38013e-10, 2.28412e-43, 1.41421, -2.38013e-10, 2.28412e-43, 0, 2.28412e-43, 2.28412e-43, 2.28412e-43, 2.28412e-43, 2.28412e-43, 2.28412e-43, 2.28412e-43, 2.28412e-43, 6.56503e-13, 2.28412e-43, 4.65691e-15, 1.24161e-11, 2.28412e-43, 2.24936e-10, 2.28412e-43, 2.28412e-43
0.288368, 0, 3.53432e-10, 3.38414e-42, 1.41421, -3.53432e-10, 3.38414e-42, 0, 3.38414e-42, 3.38414e-42, 3.38414e-42, 3.38414e-42, 3.38414e-42, 3.38414e-42, 3.38414e-42, 3.38414e-42, 9.72533e-13, 3.38414e-42, 7.20472e-15, 1.94177e-11, 3.38414e-42, 3.33034e-10, 3.38414e-42, 3.38414e-42
0.296232, 0, 5.21916e-10, 4.58505e-41, 1.41421, -5.21916e-10, 4.58505e-41, 0, 4.58505e-41, 4.58505e-41, 4.58505e-41, 4.58505e-41, 4.58505e-41, 4.58505e-41, 4.58505e-41, 4.58505e-41, 1.43245e-12, 4.58505e-41, 1.11198e-14, 3.02637e-11, 4.58505e-41, 4.90209e-10, 4.58505e-41, 4.58505e-41
0.304097, 0, 7.66508e-10, 5.57124e-40, 1.41421, -7.66508e-10, 5.57124e-40, 0, 5.57124e-40, 5.57124e-40, 5.57124e-40, 5.57124e-40, 5.57124e-40, 5.57124e-40, 5.57124e-40, 5.57124e-40, 2.0979e-12, 5.57124e-40, 1.7128e-14, 4.70151e-11, 5.57124e-40, 7.17378e-10, 5.57124e-40, 5.57124e-40
0.311962, 0, 1.11966e-09, 6.09828e-39, 1.41421, -1.11966e-09, 6.09828e-39, 0, 6.09828e-39, 6.09828e-39, 6.09828e-39, 6.09828e-39, 6.09828e-39, 6.09828e-39, 6.09828e-39, 6.09828e-39, 3.05518e-12, 6.09828e-39, 2.63399e-14, 7.28166e-11, 6.09828e-39, 1.04376e-09, 6.09828e-39, 6.09828e-39
0.319827, 0, 1.62684e-09, 6.03816e-38, 1.41421, -1.62684e-09, 6.03816e-38, 0, 6.03816e-38, 6.03816e-38, 6.03816e-38, 6.03816e-38, 6.03816e-38, 6.03816e-38, 6.03816e-38, 6.03816e-38, 4.42446e-12, 6.03816e-38, 4.04564e-14, 1.12458e-10, 6.03816e-38, 1.50992e-09, 6.03816e-38, 6.03816e-38
0.327691, 0, 2.35144e-09, 5.43693e-37, 1.41421, -2.35144e-09, 5.43693e-37, 0, 5.43693e-37, 5.43693e-37, 5.43693e-37, 5.43693e-37, 5.43693e-37, 5.43693e-37, 5.43693e-37, 5.43693e-37, 6.37203e-12, 5.43693e-37, 6.20843e-14, 1.7322e-10, 5.43693e-37, 2.17179e-09, 5.43693e-37, 5.43693e-37
0.335556, 0, 3.38141e-09, 4.47571e-36, 1.41421, -3.38141e-09, 4.47571e-36, 0, 4.47571e-36, 4.47571e-36, 4.47571e-36, 4.47571e-36, 4.47571e-36, 4.47571e-36, 4.47571e-36, 4.47571e-36, 9.12669e-12, 4.47571e-36, 9.52228e-14, 2.66154e-10, 4.47571e-36, 3.10603e-09, 4.47571e-36, 4.47571e-36
0.343421, 0, 4.83882e-09, 1.09806e-34, 1.41421, -4.83882e-09, 1.09806e-34, 0, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.09806e-34, 1.30023e-11, 1.09806e-34, 1.46239e-13, 4.08458e-10, 1.09806e-34, 4.41722e-09, 1.09806e-34, 1.09806e-34
0.351286, 0, 6.88975e-09, 7.49333e-34, 1.41421, -6.88975e-09, 7.49333e-34, 0, 7.49333e-34, 7.49333e-34, 7.49333e-34, 7.49333e-34, 7.49333e-34, 7.49333e-34, 7.49333e-34, 7.49333e-34, 1.84234e-11, 7.49333e-34, 2.24214e-13, 6.24779e-10, 7.49333e-34, 6.24633e-09, 7.49333e-34, 7.49333e-34
