   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_122.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.3048, 0, 8.70001e-10, 6.16788e-39, 1.41421, -8.70001e-10, 6.16788e-39, 0, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 6.16788e-39, 3.6488e-12, 6.16788e-39, 6.16788e-39, 5.92913e-14, 3.56359e-11, 6.16788e-39, 8.30657e-10, 6.16788e-39, 6.16788e-39
0.312663, 0, 1.24988e-09, 6.02708e-38, 1.41421, -1.24988e-09, 6.02708e-38, 0, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 6.02708e-38, 5.23367e-12, 6.02708e-38, 6.02708e-38, 9.02095e-14, 5.44428e-11, 6.02708e-38, 1.19011e-09, 6.02708e-38, 6.02708e-38
0.320526, 0, 1.78651e-09, 5.35863e-37, 1.41421, -1.78651e-09, 5.35863e-37, 0, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 5.35863e-37, 7.46796e-12, 5.35863e-37, 5.35863e-37, 1.37157e-13, 8.29645e-11, 5.35863e-37, 1.69594e-09, 5.35863e-37, 5.35863e-37
0.328388, 0, 2.54076e-09, 4.3575e-36, 1.41421, -2.54076e-09, 4.3575e-36, 0, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 4.3575e-36, 1.06014e-11, 4.3575e-36, 4.3575e-36, 2.08458e-13, 1.2613e-10, 4.3575e-36, 2.40382e-09, 4.3575e-36, 4.3575e-36
0.336251, 0, 3.59564e-09, 3.25673e-35, 1.41421, -3.59564e-09, 3.25673e-35, 0, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 3.25673e-35, 1.49729e-11, 3.25673e-35, 3.25673e-35, 3.1678e-13, 1.91328e-10, 3.25673e-35, 3.38902e-09, 3.25673e-35, 3.25673e-35
0.344114, 0, 5.06384e-09, 2.24712e-34, 1.41421, -5.06384e-09, 2.24712e-34, 0, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.24712e-34, 2.10409e-11, 2.24712e-34, 2.24712e-34, 4.81415e-13, 2.89623e-10, 2.24712e-34, 4.75269e-09, 2.24712e-34, 2.24712e-34
0.351977, 0, 7.09764e-09, 1.5247e-33, 1.41421, -7.09764e-09, 1.5247e-33, 0, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 1.5247e-33, 2.94214e-11, 1.5247e-33, 1.5247e-33, 7.31738e-13, 4.37553e-10, 1.5247e-33, 6.62994e-09, 1.5247e-33, 1.5247e-33
0.359839, 0, 9.90206e-09, 9.94349e-33, 1.41421, -9.90206e-09, 9.94349e-33, 0, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 9.94349e-33, 4.09384e-11, 9.94349e-33, 9.94349e-33, 1.11247e-12, 6.59794e-10, 9.94349e-33, 9.20022e-09, 9.94349e-33, 9.94349e-33
0.367702, 0, 1.37519e-08, 6.08228e-32, 1.41421, -1.37519e-08, 6.08228e-32, 0, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 6.08228e-32, 5.6689e-11, 6.08228e-32, 6.08228e-32, 1.69161e-12, 9.93086e-10, 6.08228e-32, 1.27004e-08, 6.08228e-32, 6.08228e-32
0.375565, 0, 1.90144e-08, 3.47561e-31, 1.41421, -1.90144e-08, 3.47561e-31, 0, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 3.47561e-31, 7.81267e-11, 3.47561e-31, 3.47561e-31, 2.57247e-12, 1.49202e-09, 3.47561e-31, 1.74417e-08, 3.47561e-31, 3.47561e-31
