   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_378.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.174927, 0, 6.33105e-15, 0, 1.41421, -6.33105e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50606e-15, 0, 3.82499e-15, 0, 0
0.182795, 0, 1.1451e-14, 0, 1.41421, -1.1451e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59632e-15, 0, 6.85466e-15, 0, 0
0.190663, 0, 2.055e-14, 0, 1.41421, -2.055e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.36694e-15, 0, 1.2183e-14, 0, 0
0.198531, 0, 3.65961e-14, 0, 1.41421, -3.65961e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51189e-14, 0, 2.14772e-14, 0, 0
0.206399, 0, 6.46795e-14, 0, 1.41421, -6.46795e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71225e-14, 0, 3.7557e-14, 0, 0
0.214268, 0, 1.13463e-13, 0, 1.41421, -1.13463e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83114e-14, 0, 6.51517e-14, 0, 0
0.222136, 0, 1.97583e-13, 0, 1.41421, -1.97583e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54544e-14, 0, 1.12128e-13, 0, 0
0.230004, 0, 3.41594e-13, 0, 1.41421, -3.41594e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5013e-13, 0, 1.91464e-13, 0, 0
0.237872, 0, 5.86387e-13, 0, 1.41421, -5.86387e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61996e-13, 0, 3.24392e-13, 0, 0
0.24574, 0, 9.99589e-13, 0, 1.41421, -9.99589e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54224e-13, 0, 5.45365e-13, 0, 0
0.253608, 0, 1.6923e-12, 0, 1.41421, -1.6923e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82456e-13, 0, 9.0984e-13, 0, 0
0.261476, 0, 2.84579e-12, 0, 1.41421, -2.84579e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33945e-12, 0, 1.50634e-12, 0, 0
