   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_166.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.336244, 0, 1.52628e-16, 0, 1.41421, -1.52628e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83972e-19, 0, 0, 1.61922e-21, 3.47277e-20, 0, 1.51708e-16, 0, 0, 0
0.344146, 0, 3.82919e-16, 0, 1.41421, -3.82919e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21767e-18, 0, 0, 4.10248e-21, 8.88405e-20, 0, 3.80608e-16, 0, 0, 0
0.352048, 0, 9.43416e-16, 0, 1.41421, -9.43416e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46359e-18, 0, 0, 1.02129e-20, 2.23161e-19, 0, 9.37719e-16, 0, 0, 0
0.35995, 0, 2.28334e-15, 0, 1.41421, -2.28334e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32229e-17, 0, 0, 2.49903e-20, 5.5064e-19, 0, 2.26954e-15, 0, 0, 0
0.367852, 0, 5.43054e-15, 0, 1.41421, -5.43054e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14467e-17, 0, 0, 6.01271e-20, 1.33513e-18, 0, 5.39769e-15, 0, 0, 0
0.375754, 0, 1.26951e-14, 0, 1.41421, -1.26951e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3509e-17, 0, 0, 1.42303e-19, 3.18218e-18, 0, 1.26182e-14, 0, 0, 0
0.383656, 0, 2.91778e-14, 0, 1.41421, -2.91778e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68938e-16, 0, 0, 3.31393e-19, 7.45776e-18, 0, 2.90011e-14, 0, 0, 0
0.391558, 0, 6.59464e-14, 0, 1.41421, -6.59464e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81794e-16, 0, 0, 7.5964e-19, 1.71907e-17, 0, 6.55466e-14, 0, 0, 0
0.39946, 0, 1.46599e-13, 1.96182e-44, 1.41421, -1.46599e-13, 1.96182e-44, 0, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 8.48655e-16, 1.96182e-44, 1.96182e-44, 1.71461e-18, 3.89848e-17, 1.96182e-44, 1.4571e-13, 1.96182e-44, 1.96182e-44, 1.96182e-44
0.407362, 0, 3.20591e-13, 3.72745e-43, 1.41421, -3.20591e-13, 3.72745e-43, 0, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 3.72745e-43, 1.85571e-15, 3.72745e-43, 3.72745e-43, 3.81237e-18, 8.7001e-17, 3.72745e-43, 3.18644e-13, 3.72745e-43, 3.72745e-43, 3.72745e-43
