   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.355114, 0, 3.83255e-14, 0, 1.41421, -3.83255e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47632e-16, 0, 1.26737e-19, 6.85559e-18, 0, 3.81709e-14, 0, 0
0.363331, 0, 9.26e-14, 0, 1.41421, -9.26e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56686e-16, 0, 3.08935e-19, 1.69539e-17, 0, 9.22261e-14, 0, 0
0.371549, 0, 2.19914e-13, 0, 1.41421, -2.19914e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47047e-16, 0, 7.407e-19, 4.12122e-17, 0, 2.19025e-13, 0, 0
0.379766, 0, 5.13466e-13, 0, 1.41421, -5.13466e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97762e-15, 0, 1.7473e-18, 9.85012e-17, 0, 5.11389e-13, 0, 0
0.387983, 0, 1.1789e-12, 0, 1.41421, -1.1789e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54026e-15, 0, 4.05685e-18, 2.31545e-16, 0, 1.17412e-12, 0, 0
0.3962, 0, 2.66208e-12, 1.63952e-43, 1.41421, -2.66208e-12, 1.63952e-43, 0, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.63952e-43, 1.02517e-14, 1.63952e-43, 9.27372e-18, 5.35446e-16, 1.63952e-43, 2.65128e-12, 1.63952e-43, 1.63952e-43
0.404417, 0, 5.91304e-12, 3.62096e-42, 1.41421, -5.91304e-12, 3.62096e-42, 0, 3.62096e-42, 3.62096e-42, 3.62096e-42, 3.62096e-42, 3.62096e-42, 3.62096e-42, 3.62096e-42, 2.27698e-14, 3.62096e-42, 2.08798e-17, 1.21838e-15, 3.62096e-42, 5.88903e-12, 3.62096e-42, 3.62096e-42
0.412634, 0, 1.29213e-11, 6.08079e-41, 1.41421, -1.29213e-11, 6.08079e-41, 0, 6.08079e-41, 6.08079e-41, 6.08079e-41, 6.08079e-41, 6.08079e-41, 6.08079e-41, 6.08079e-41, 4.9754e-14, 6.08079e-41, 4.63238e-17, 2.72857e-15, 6.08079e-41, 1.28688e-11, 6.08079e-41, 6.08079e-41
0.420851, 0, 2.77817e-11, 9.15467e-40, 1.41421, -2.77817e-11, 9.15467e-40, 0, 9.15467e-40, 9.15467e-40, 9.15467e-40, 9.15467e-40, 9.15467e-40, 9.15467e-40, 9.15467e-40, 1.06969e-13, 9.15467e-40, 1.01325e-16, 6.01564e-15, 9.15467e-40, 2.76686e-11, 9.15467e-40, 9.15467e-40
0.429068, 0, 5.87778e-11, 1.22734e-38, 1.41421, -5.87778e-11, 1.22734e-38, 0, 1.22734e-38, 1.22734e-38, 1.22734e-38, 1.22734e-38, 1.22734e-38, 1.22734e-38, 1.22734e-38, 2.2631e-13, 1.22734e-38, 2.18642e-16, 1.30595e-14, 1.22734e-38, 5.85382e-11, 1.22734e-38, 1.22734e-38
0.437285, 0, 1.22381e-10, 1.47271e-37, 1.41421, -1.22381e-10, 1.47271e-37, 0, 1.47271e-37, 1.47271e-37, 1.47271e-37, 1.47271e-37, 1.47271e-37, 1.47271e-37, 1.47271e-37, 4.71207e-13, 1.47271e-37, 4.65805e-16, 2.79247e-14, 1.47271e-37, 1.21882e-10, 1.47271e-37, 1.47271e-37
