   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_719.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.350313, 0, 4.16602e-07, 1.62102e-27, 1.41421, -4.16602e-07, 1.62102e-27, 0, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 1.62102e-27, 5.05743e-09, 2.34768e-07, 1.62102e-27, 1.76776e-07, 1.62102e-27, 1.62102e-27, 1.62102e-27
0.358201, 0, 5.5696e-07, 6.42758e-27, 1.41421, -5.5696e-07, 6.42758e-27, 0, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 6.42758e-27, 7.22115e-09, 3.24514e-07, 6.42758e-27, 2.25225e-07, 6.42758e-27, 6.42758e-27, 6.42758e-27
0.366089, 0, 7.43812e-07, 2.42771e-26, 1.41421, -7.43812e-07, 2.42771e-26, 0, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 2.42771e-26, 1.0291e-08, 4.47557e-07, 2.42771e-26, 2.85964e-07, 2.42771e-26, 2.42771e-26, 2.42771e-26
0.373977, 0, 9.92264e-07, 8.75062e-26, 1.41421, -9.92264e-07, 8.75062e-26, 0, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 8.75062e-26, 1.46345e-08, 6.15789e-07, 8.75062e-26, 3.6184e-07, 8.75062e-26, 8.75062e-26, 8.75062e-26
0.381865, 0, 1.32219e-06, 3.01622e-25, 1.41421, -1.32219e-06, 3.01622e-25, 0, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 3.01622e-25, 2.07617e-08, 8.45139e-07, 3.01622e-25, 4.56294e-07, 3.01622e-25, 3.01622e-25, 3.01622e-25
0.389754, 0, 1.76086e-06, 1.01041e-24, 1.41421, -1.76086e-06, 6.27678e-12, 0, 3.79557e-12, 1.95833e-11, 1.70744e-10, 4.67252e-12, 1.81911e-10, 3.6961e-10, 4.89529e-11, 1.52598e-11, 2.47661e-10, 2.37951e-12, 2.29759e-13, 2.93775e-08, 1.15685e-06, 7.80259e-16, 5.73543e-07, 1.01041e-24, 1.01041e-24, 2.31142e-11
0.397642, 0, 2.34238e-06, 1.33576e-10, 1.41421, -2.34238e-06, 1.51531e-10, 1.33576e-10, 1.44433e-10, 1.89595e-10, 6.22001e-10, 1.46942e-10, 6.53945e-10, 1.19087e-09, 2.73609e-10, 1.77227e-10, 8.42026e-10, 1.40382e-10, 1.34233e-10, 4.15874e-08, 1.57926e-06, 1.33578e-10, 7.1867e-07, 1.33576e-10, 1.33576e-10, 1.99695e-10
0.40553, 0, 3.11206e-06, 3.80586e-10, 1.41421, -3.11206e-06, 4.19999e-10, 3.80586e-10, 4.04419e-10, 5.03553e-10, 1.45272e-09, 4.09926e-10, 1.52284e-09, 2.70143e-09, 6.8797e-10, 4.76405e-10, 1.93569e-09, 3.95527e-10, 3.82029e-10, 5.87007e-08, 2.1496e-06, 3.80591e-10, 8.97651e-07, 3.80586e-10, 3.80586e-10, 5.25724e-10
0.413418, 0, 4.12943e-06, 8.32585e-10, 1.41421, -4.12943e-06, 9.10945e-10, 8.32585e-10, 8.7997e-10, 1.07707e-09, 2.96419e-09, 8.90918e-10, 3.1036e-09, 5.44686e-09, 1.44372e-09, 1.02309e-09, 3.92442e-09, 8.62291e-10, 8.35453e-10, 8.26219e-08, 2.91694e-06, 8.32595e-10, 1.11788e-06, 8.32585e-10, 8.32585e-10, 1.12115e-09
0.421306, 0, 5.47225e-06, 1.6512e-09, 1.41421, -5.47225e-06, 1.7994e-09, 1.6512e-09, 1.74082e-09, 2.11359e-09, 5.6827e-09, 1.76152e-09, 5.94636e-09, 1.03782e-08, 2.80704e-09, 2.0115e-09, 7.49879e-09, 1.70738e-09, 1.65662e-09, 1.15974e-07, 3.94573e-06, 1.65122e-09, 1.38801e-06, 1.6512e-09, 1.6512e-09, 2.19695e-09
