   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_154.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.393075, 0, 1.04266e-12, 2.14399e-43, 1.41421, -1.04266e-12, 2.14399e-43, 0, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.14399e-43, 2.42754e-15, 2.14399e-43, 2.14399e-43, 2.25659e-17, 2.14399e-43, 3.86914e-16, 2.14399e-43, 1.03982e-12, 2.14399e-43, 2.14399e-43, 2.14399e-43
0.400921, 0, 2.08963e-12, 3.31547e-42, 1.41421, -2.08963e-12, 3.31547e-42, 0, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 3.31547e-42, 4.865e-15, 3.31547e-42, 3.31547e-42, 4.61501e-17, 3.31547e-42, 7.92672e-16, 3.31547e-42, 2.08393e-12, 3.31547e-42, 3.31547e-42, 3.31547e-42
0.408767, 0, 4.12974e-12, 4.49803e-41, 1.41421, -4.12974e-12, 4.49803e-41, 0, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 4.49803e-41, 9.61464e-15, 4.49803e-41, 4.49803e-41, 9.32894e-17, 4.49803e-41, 1.60259e-15, 4.49803e-41, 4.11843e-12, 4.49803e-41, 4.49803e-41, 4.49803e-41
0.416613, 0, 8.04908e-12, 5.45541e-40, 1.41421, -8.04908e-12, 5.45541e-40, 0, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 5.45541e-40, 1.87399e-14, 5.45541e-40, 5.45541e-40, 1.86512e-16, 5.45541e-40, 3.19833e-15, 5.45541e-40, 8.02696e-12, 5.45541e-40, 5.45541e-40, 5.45541e-40
0.424459, 0, 1.54733e-11, 5.96897e-39, 1.41421, -1.54733e-11, 5.96897e-39, 0, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 5.96897e-39, 3.60277e-14, 5.96897e-39, 5.96897e-39, 3.69081e-16, 5.96897e-39, 6.30267e-15, 5.96897e-39, 1.54306e-11, 5.96897e-39, 5.96897e-39, 5.96897e-39
0.432305, 0, 2.93408e-11, 5.92428e-38, 1.41421, -2.93408e-11, 5.92428e-38, 0, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 5.92428e-38, 6.83256e-14, 5.92428e-38, 5.92428e-38, 7.23526e-16, 5.92428e-38, 1.22681e-14, 5.92428e-38, 2.92595e-11, 5.92428e-38, 5.92428e-38, 5.92428e-38
0.440151, 0, 5.48852e-11, 5.36301e-37, 1.41421, -5.48852e-11, 5.36301e-37, 0, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 5.36301e-37, 1.27839e-13, 5.36301e-37, 5.36301e-37, 1.40651e-15, 5.36301e-37, 2.35977e-14, 5.36301e-37, 5.47323e-11, 5.36301e-37, 5.36301e-37, 5.36301e-37
0.447997, 0, 1.01291e-10, 4.45097e-36, 1.41421, -1.01291e-10, 4.45097e-36, 0, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 4.45097e-36, 2.36006e-13, 4.45097e-36, 4.45097e-36, 2.71441e-15, 4.45097e-36, 4.48768e-14, 4.45097e-36, 1.01007e-10, 4.45097e-36, 4.45097e-36, 4.45097e-36
0.455843, 0, 1.8444e-10, 3.4034e-35, 1.41421, -1.8444e-10, 3.4034e-35, 0, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 3.4034e-35, 4.29956e-13, 3.4034e-35, 3.4034e-35, 5.20706e-15, 3.4034e-35, 8.44323e-14, 3.4034e-35, 1.83921e-10, 3.4034e-35, 3.4034e-35, 3.4034e-35
0.463688, 0, 3.314e-10, 2.40841e-34, 1.41421, -3.314e-10, 2.40841e-34, 0, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 2.40841e-34, 7.73074e-13, 2.40841e-34, 2.40841e-34, 9.94153e-15, 2.40841e-34, 1.57276e-13, 2.40841e-34, 3.3046e-10, 2.40841e-34, 2.40841e-34, 2.40841e-34
0.471535, 0, 5.8763e-10, 1.67381e-33, 1.41421, -5.8763e-10, 1.67381e-33, 0, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.67381e-33, 1.37209e-12, 1.67381e-33, 1.67381e-33, 1.89156e-14, 1.67381e-33, 2.90332e-13, 1.67381e-33, 5.85949e-10, 1.67381e-33, 1.67381e-33, 1.67381e-33
0.47938, 0, 1.02837e-09, 1.11365e-32, 1.41421, -1.02837e-09, 1.11365e-32, 0, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 1.11365e-32, 2.40425e-12, 1.11365e-32, 1.11365e-32, 3.59093e-14, 1.11365e-32, 5.31735e-13, 1.11365e-32, 1.0254e-09, 1.11365e-32, 1.11365e-32, 1.11365e-32
0.487227, 0, 1.77637e-09, 6.98225e-32, 1.41421, -1.77637e-09, 6.98225e-32, 0, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 6.98225e-32, 4.15997e-12, 6.98225e-32, 6.98225e-32, 6.80843e-14, 6.98225e-32, 9.67502e-13, 6.98225e-32, 1.77117e-09, 6.98225e-32, 6.98225e-32, 6.98225e-32
0.495073, 0, 3.02903e-09, 4.10916e-31, 1.41421, -3.02903e-09, 4.10916e-31, 0, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 4.10916e-31, 7.10894e-12, 4.10916e-31, 4.10916e-31, 1.29013e-13, 4.10916e-31, 1.75161e-12, 4.10916e-31, 3.02004e-09, 4.10916e-31, 4.10916e-31, 4.10916e-31
0.502918, 0, 5.09929e-09, 2.2714e-30, 1.41421, -5.09929e-09, 2.2714e-30, 0, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 2.2714e-30, 1.2001e-11, 2.2714e-30, 2.2714e-30, 2.44397e-13, 2.2714e-30, 3.16085e-12, 2.2714e-30, 5.08388e-09, 2.2714e-30, 2.2714e-30, 2.2714e-30
0.510765, 0, 8.47637e-09, 1.18205e-29, 1.41421, -8.47637e-09, 1.18205e-29, 0, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 1.18205e-29, 2.00188e-11, 1.18205e-29, 1.18205e-29, 4.62787e-13, 1.18205e-29, 5.69571e-12, 1.18205e-29, 8.45019e-09, 1.18205e-29, 1.18205e-29, 1.18205e-29
0.518611, 0, 1.39141e-08, 5.80803e-29, 1.41421, -1.39141e-08, 5.80803e-29, 0, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 5.80803e-29, 3.3005e-11, 5.80803e-29, 5.80803e-29, 8.7547e-13, 5.80803e-29, 1.02672e-11, 5.80803e-29, 1.387e-08, 5.80803e-29, 5.80803e-29, 5.80803e-29
0.526456, 0, 2.25584e-08, 2.70262e-28, 1.41421, -2.25584e-08, 2.70262e-28, 0, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 2.70262e-28, 5.37981e-11, 2.70262e-28, 2.70262e-28, 1.65301e-12, 2.70262e-28, 1.85446e-11, 2.70262e-28, 2.24844e-08, 2.70262e-28, 2.70262e-28, 2.70262e-28
0.534302, 0, 3.61276e-08, 1.19454e-27, 1.41421, -3.61276e-08, 1.19454e-27, 0, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 1.19454e-27, 8.67232e-11, 1.19454e-27, 1.19454e-27, 3.11149e-12, 1.19454e-27, 3.36039e-11, 1.19454e-27, 3.60042e-08, 1.19454e-27, 1.19454e-27, 1.19454e-27
