   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.333038, 0, 4.36192e-10, 1.99405e-42, 1.41421, -4.36192e-10, 1.99405e-42, 0, 1.99405e-42, 1.99405e-42, 1.99405e-42, 1.99405e-42, 1.99405e-42, 1.99405e-42, 1.29449e-12, 1.99405e-42, 3.94393e-15, 8.81479e-14, 1.99405e-42, 4.34805e-10, 1.99405e-42, 1.99405e-42
0.341151, 0, 7.28263e-10, 3.65501e-41, 1.41421, -7.28263e-10, 3.65501e-41, 0, 3.65501e-41, 3.65501e-41, 3.65501e-41, 3.65501e-41, 3.65501e-41, 3.65501e-41, 2.16186e-12, 3.65501e-41, 6.83931e-15, 1.52657e-13, 3.65501e-41, 7.25942e-10, 3.65501e-41, 3.65501e-41
0.349263, 0, 1.20558e-09, 5.52423e-40, 1.41421, -1.20558e-09, 5.52423e-40, 0, 5.52423e-40, 5.52423e-40, 5.52423e-40, 5.52423e-40, 5.52423e-40, 5.52423e-40, 3.58004e-12, 5.52423e-40, 1.18012e-14, 2.62875e-13, 5.52423e-40, 1.20173e-09, 5.52423e-40, 5.52423e-40
0.357375, 0, 1.97887e-09, 7.34121e-39, 1.41421, -1.97887e-09, 7.34121e-39, 0, 7.34121e-39, 7.34121e-39, 7.34121e-39, 7.34121e-39, 7.34121e-39, 7.34121e-39, 5.87901e-12, 7.34121e-39, 2.02726e-14, 4.50296e-13, 7.34121e-39, 1.97252e-09, 7.34121e-39, 7.34121e-39
0.365487, 0, 3.22079e-09, 8.71083e-38, 1.41421, -3.22079e-09, 8.71083e-38, 0, 8.71083e-38, 8.71083e-38, 8.71083e-38, 8.71083e-38, 8.71083e-38, 8.71083e-38, 9.57414e-12, 8.71083e-38, 3.46908e-14, 7.67674e-13, 8.71083e-38, 3.21041e-09, 8.71083e-38, 8.71083e-38
0.373599, 0, 5.19884e-09, 3.52617e-36, 1.41421, -5.19884e-09, 3.52617e-36, 0, 3.52617e-36, 3.52617e-36, 3.52617e-36, 3.52617e-36, 3.52617e-36, 3.52617e-36, 1.54659e-11, 3.52617e-36, 5.92937e-14, 1.30565e-12, 3.52617e-36, 5.182e-09, 3.52617e-36, 3.52617e-36
0.381712, 0, 8.32027e-09, 3.0959e-35, 1.41421, -8.32027e-09, 3.0959e-35, 0, 3.0959e-35, 3.0959e-35, 3.0959e-35, 3.0959e-35, 3.0959e-35, 3.0959e-35, 2.47744e-11, 3.0959e-35, 1.00863e-13, 2.20843e-12, 3.0959e-35, 8.29319e-09, 3.0959e-35, 3.0959e-35
0.389824, 0, 1.32051e-08, 2.48553e-34, 1.41421, -1.32051e-08, 2.48553e-34, 0, 2.48553e-34, 2.48553e-34, 2.48553e-34, 2.48553e-34, 2.48553e-34, 2.48553e-34, 3.93642e-11, 2.48553e-34, 1.71222e-13, 3.72401e-12, 2.48553e-34, 1.31618e-08, 2.48553e-34, 2.48553e-34
0.397936, 0, 2.07843e-08, 1.83392e-33, 1.41421, -2.07843e-08, 1.83392e-33, 0, 1.83392e-33, 1.83392e-33, 1.83392e-33, 1.83392e-33, 1.83392e-33, 1.83392e-33, 6.20447e-11, 1.83392e-33, 2.90223e-13, 6.2644e-12, 1.83392e-33, 2.07157e-08, 1.83392e-33, 1.83392e-33
0.406048, 0, 3.24441e-08, 1.32379e-32, 1.41421, -3.24441e-08, 1.32379e-32, 0, 1.32379e-32, 1.32379e-32, 1.32379e-32, 1.32379e-32, 1.32379e-32, 1.32379e-32, 9.7018e-11, 1.32379e-32, 4.91424e-13, 1.05186e-11, 1.32379e-32, 3.23361e-08, 1.32379e-32, 1.32379e-32
