   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_74.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.14723, 0, 2.06956e-13, 0, 1.41421, -2.06956e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18998e-15, 0, 5.86194e-18, 0, 3.51189e-17, 0, 2.05725e-13, 0, 0
0.155132, 0, 3.34021e-13, 0, 1.41421, -3.34021e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92061e-15, 0, 9.66676e-18, 0, 5.84838e-17, 0, 3.32033e-13, 0, 0
0.163034, 0, 5.35876e-13, 0, 1.41421, -5.35876e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0813e-15, 0, 1.58532e-17, 0, 9.68954e-17, 0, 5.32681e-13, 0, 0
0.170936, 0, 8.54597e-13, 0, 1.41421, -8.54597e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91404e-15, 0, 2.58577e-17, 0, 1.59723e-16, 0, 8.49497e-13, 0, 0
0.178838, 0, 1.35482e-12, 0, 1.41421, -1.35482e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79059e-15, 0, 4.19507e-17, 0, 2.61976e-16, 0, 1.34673e-12, 0, 0
0.186741, 0, 2.1352e-12, 0, 1.41421, -2.1352e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22784e-14, 0, 6.77058e-17, 0, 4.27582e-16, 0, 2.12243e-12, 0, 0
0.194643, 0, 3.34538e-12, 0, 1.41421, -3.34538e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92384e-14, 0, 1.08716e-16, 0, 6.94504e-16, 0, 3.32534e-12, 0, 0
0.202545, 0, 5.21091e-12, 0, 1.41421, -5.21091e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99685e-14, 0, 1.737e-16, 0, 1.12271e-15, 0, 5.17965e-12, 0, 0
0.210447, 0, 8.06966e-12, 0, 1.41421, -8.06966e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.64131e-14, 0, 2.7619e-16, 0, 1.80648e-15, 0, 8.02116e-12, 0, 0
0.218349, 0, 1.24246e-11, 0, 1.41421, -1.24246e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14678e-14, 0, 4.3711e-16, 0, 2.89348e-15, 0, 1.23498e-11, 0, 0
0.226251, 0, 1.90197e-11, 0, 1.41421, -1.90197e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09418e-13, 0, 6.8869e-16, 0, 4.61393e-15, 0, 1.89049e-11, 0, 0
0.234154, 0, 2.89487e-11, 0, 1.41421, -2.89487e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66565e-13, 0, 1.08043e-15, 0, 7.32549e-15, 0, 2.87738e-11, 0, 0
0.242056, 0, 4.38099e-11, 0, 1.41421, -4.38099e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52123e-13, 0, 1.68811e-15, 0, 1.15817e-14, 0, 4.35445e-11, 0, 0
0.249958, 0, 6.59235e-11, 0, 1.41421, -6.59235e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79479e-13, 0, 2.62754e-15, 0, 1.82361e-14, 0, 6.55231e-11, 0, 0
0.25786, 0, 9.86377e-11, 0, 1.41421, -9.86377e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67964e-13, 0, 4.07525e-15, 0, 2.86011e-14, 0, 9.80371e-11, 0, 0
0.265762, 0, 1.46754e-10, 1.96182e-44, 1.41421, -1.46754e-10, 0, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 1.96182e-44, 8.4533e-13, 1.96182e-44, 6.29998e-15, 1.96182e-44, 4.46877e-14, 1.96182e-44, 1.45858e-10, 1.96182e-44, 1.96182e-44
0.273665, 0, 2.17116e-10, 3.60134e-43, 1.41421, -2.17116e-10, 0, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 3.60134e-43, 1.25118e-12, 3.60134e-43, 9.7105e-15, 3.60134e-43, 6.95696e-14, 3.60134e-43, 2.15785e-10, 3.60134e-43, 3.60134e-43
0.281567, 0, 3.19416e-10, 5.36277e-42, 1.41421, -3.19416e-10, 0, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 5.36277e-42, 1.84168e-12, 5.36277e-42, 1.4928e-14, 5.36277e-42, 1.07932e-13, 5.36277e-42, 3.17452e-10, 5.36277e-42, 5.36277e-42
0.289469, 0, 4.67301e-10, 7.07796e-41, 1.41421, -4.67301e-10, 0, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 7.07796e-41, 2.69604e-12, 7.07796e-41, 2.28965e-14, 7.07796e-41, 1.669e-13, 7.07796e-41, 4.64415e-10, 7.07796e-41, 7.07796e-41
0.297371, 0, 6.79861e-10, 8.35356e-40, 1.41421, -6.79861e-10, 0, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 8.35356e-40, 3.92533e-12, 8.35356e-40, 3.50506e-14, 8.35356e-40, 2.57287e-13, 8.35356e-40, 6.75643e-10, 8.35356e-40, 8.35356e-40
0.305273, 0, 9.83643e-10, 8.8801e-39, 1.41421, -9.83643e-10, 0, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 8.8801e-39, 5.68434e-12, 8.8801e-39, 5.35713e-14, 8.8801e-39, 3.9547e-13, 8.8801e-39, 9.7751e-10, 8.8801e-39, 8.8801e-39
0.313175, 0, 1.41534e-09, 8.54739e-38, 1.41421, -1.41534e-09, 0, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.54739e-38, 8.18764e-12, 8.54739e-38, 8.17768e-14, 8.54739e-38, 6.06211e-13, 8.54739e-38, 1.40647e-09, 8.54739e-38, 8.54739e-38
0.321078, 0, 2.02536e-09, 7.49031e-37, 1.41421, -2.02536e-09, 0, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 7.49031e-37, 1.17309e-11, 7.49031e-37, 1.24717e-13, 7.49031e-37, 9.26878e-13, 7.49031e-37, 2.01257e-09, 7.49031e-37, 7.49031e-37
0.32898, 0, 2.8825e-09, 6.00661e-36, 1.41421, -2.8825e-09, 0, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 6.00661e-36, 1.67195e-11, 6.00661e-36, 1.90085e-13, 6.00661e-36, 1.41378e-12, 6.00661e-36, 2.86418e-09, 6.00661e-36, 6.00661e-36
0.336882, 0, 4.08017e-09, 4.42962e-35, 1.41421, -4.08017e-09, 0, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 4.42962e-35, 2.37061e-11, 4.42962e-35, 2.89603e-13, 4.42962e-35, 2.15164e-12, 4.42962e-35, 4.05402e-09, 4.42962e-35, 4.42962e-35
0.344784, 0, 5.74436e-09, 3.02916e-34, 1.41421, -5.74436e-09, 0, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.02916e-34, 3.344e-11, 3.02916e-34, 4.4114e-13, 3.02916e-34, 3.2677e-12, 3.02916e-34, 5.70721e-09, 3.02916e-34, 3.02916e-34
0.352686, 0, 8.04399e-09, 2.07319e-33, 1.41421, -8.04399e-09, 0, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 2.07319e-33, 4.6932e-11, 2.07319e-33, 6.71932e-13, 2.07319e-33, 4.9527e-12, 2.07319e-33, 7.99143e-09, 2.07319e-33, 2.07319e-33
0.360588, 0, 1.12043e-08, 1.34267e-32, 1.41421, -1.12043e-08, 0, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 1.34267e-32, 6.55389e-11, 1.34267e-32, 1.02347e-12, 1.34267e-32, 7.49211e-12, 1.34267e-32, 1.11302e-08, 1.34267e-32, 1.34267e-32
0.368491, 0, 1.55236e-08, 8.12246e-32, 1.41421, -1.55236e-08, 0, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 8.12246e-32, 9.10728e-11, 8.12246e-32, 1.55893e-12, 8.12246e-32, 1.13121e-11, 8.12246e-32, 1.54196e-08, 8.12246e-32, 8.12246e-32
0.376393, 0, 2.1395e-08, 4.58658e-31, 1.41421, -2.1395e-08, 0, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 4.58658e-31, 1.25942e-10, 4.58658e-31, 2.37431e-12, 4.58658e-31, 1.70475e-11, 4.58658e-31, 2.12497e-08, 4.58658e-31, 4.58658e-31
0.384295, 0, 2.93334e-08, 2.42326e-30, 1.41421, -2.93334e-08, 0, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 2.42326e-30, 1.73333e-10, 2.42326e-30, 3.61527e-12, 2.42326e-30, 2.56411e-11, 2.42326e-30, 2.91308e-08, 2.42326e-30, 2.42326e-30
0.392197, 0, 4.00092e-08, 1.20173e-29, 1.41421, -4.00092e-08, 0, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 1.20173e-29, 2.3744e-10, 1.20173e-29, 5.50225e-12, 1.20173e-29, 3.84888e-11, 1.20173e-29, 3.97277e-08, 1.20173e-29, 1.20173e-29
0.400099, 0, 5.42902e-08, 5.61219e-29, 1.41421, -5.42902e-08, 0, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 5.61219e-29, 3.23764e-10, 5.61219e-29, 8.36795e-12, 5.61219e-29, 5.76501e-11, 5.61219e-29, 5.39005e-08, 5.61219e-29, 5.61219e-29
0.408001, 0, 7.32938e-08, 2.47591e-28, 1.41421, -7.32938e-08, 0, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 2.47591e-28, 4.39482e-10, 2.47591e-28, 1.27126e-11, 2.47591e-28, 8.6151e-11, 2.47591e-28, 7.27554e-08, 2.47591e-28, 2.47591e-28
0.415904, 0, 9.84501e-08, 1.0349e-27, 1.41421, -9.84501e-08, 0, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 1.0349e-27, 5.93923e-10, 1.0349e-27, 1.92856e-11, 1.0349e-27, 1.28419e-10, 1.0349e-27, 9.77085e-08, 1.0349e-27, 1.0349e-27
0.423806, 0, 1.3158e-07, 4.11014e-27, 1.41421, -1.3158e-07, 0, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 4.11014e-27, 7.99159e-10, 4.11014e-27, 2.92047e-11, 4.11014e-27, 1.90899e-10, 4.11014e-27, 1.3056e-07, 4.11014e-27, 4.11014e-27
0.431708, 0, 1.74987e-07, 1.55505e-26, 1.41421, -1.74987e-07, 0, 1.55505e-26, 1.55505e-26, 1.55505e-26, 1.55505e-26, 1.55505e-26, 1.55505e-26, 7.83152e-14, 1.55505e-26, 1.55505e-26, 1.55505e-26, 1.07075e-09, 1.55505e-26, 4.41292e-11, 1.55505e-26, 2.82925e-10, 1.55505e-26, 1.73589e-07, 1.55505e-26, 1.55505e-26
0.43961, 0, 2.31574e-07, 5.61912e-26, 1.41421, -2.31574e-07, 0, 5.61912e-26, 5.61912e-26, 5.61912e-26, 5.61912e-26, 5.61912e-26, 5.61912e-26, 2.44106e-13, 5.61912e-26, 5.61912e-26, 5.61912e-26, 1.42866e-09, 5.61912e-26, 6.65097e-11, 5.61912e-26, 4.17938e-10, 5.61912e-26, 2.29661e-07, 5.61912e-26, 5.61912e-26
0.447512, 0, 3.04972e-07, 1.95425e-25, 1.41421, -3.04972e-07, 0, 1.95425e-25, 1.95425e-25, 1.95425e-25, 1.95425e-25, 1.95425e-25, 1.95425e-25, 5.87321e-13, 1.95425e-25, 1.95425e-25, 1.95425e-25, 1.89841e-09, 1.95425e-25, 9.99459e-11, 1.95425e-25, 6.15173e-10, 1.95425e-25, 3.02358e-07, 1.95425e-25, 1.95425e-25
0.455414, 0, 4.02898e-07, 8.12068e-10, 1.41421, -4.02898e-07, 8.12068e-10, 8.12089e-10, 8.12141e-10, 8.12113e-10, 8.12264e-10, 8.15676e-10, 8.12554e-10, 8.16909e-10, 8.2132e-10, 8.15301e-10, 3.09236e-09, 3.32463e-09, 8.12141e-10, 9.61764e-10, 8.12096e-10, 1.71405e-09, 8.1207e-10, 3.97009e-07, 8.12068e-10, 8.34036e-10
0.463317, 0, 5.31282e-07, 2.51651e-09, 1.41421, -5.31282e-07, 2.51651e-09, 2.51658e-09, 2.51674e-09, 2.51665e-09, 2.51712e-09, 2.52772e-09, 2.51802e-09, 2.53023e-09, 2.54524e-09, 2.52655e-09, 9.59583e-09, 5.8288e-09, 2.51674e-09, 2.73993e-09, 2.51707e-09, 3.83351e-09, 2.51652e-09, 5.19215e-07, 2.51651e-09, 2.58471e-09
0.471219, 0, 7.00768e-07, 6.02584e-09, 1.41421, -7.00768e-07, 6.02584e-09, 6.02599e-09, 6.02638e-09, 6.02618e-09, 6.0273e-09, 6.0527e-09, 6.02946e-09, 6.05771e-09, 6.09473e-09, 6.04991e-09, 2.30031e-08, 1.03754e-08, 6.02639e-09, 6.35797e-09, 6.02761e-09, 7.94022e-09, 6.02586e-09, 6.76871e-07, 6.02584e-09, 6.1894e-09
0.479121, 0, 9.26863e-07, 1.31183e-08, 1.41421, -9.26863e-07, 1.31183e-08, 1.31186e-08, 1.31195e-08, 1.3119e-08, 1.31215e-08, 1.31769e-08, 1.31262e-08, 1.31866e-08, 1.32685e-08, 1.31708e-08, 5.01324e-08, 1.88081e-08, 1.31195e-08, 1.36099e-08, 1.31227e-08, 1.58877e-08, 1.31183e-08, 8.80193e-07, 1.31183e-08, 1.34749e-08
0.487023, 0, 1.23354e-06, 2.72099e-08, 1.41421, -1.23354e-06, 2.72099e-08, 2.72106e-08, 2.72124e-08, 2.72114e-08, 2.72165e-08, 2.73315e-08, 2.72263e-08, 2.73502e-08, 2.75217e-08, 2.73189e-08, 1.04066e-07, 3.46249e-08, 2.72124e-08, 2.79344e-08, 2.722e-08, 3.11965e-08, 2.721e-08, 1.14309e-06, 2.72099e-08, 2.79503e-08
0.494925, 0, 1.659e-06, 5.47257e-08, 1.41421, -1.659e-06, 5.47257e-08, 5.4727e-08, 5.47306e-08, 5.47287e-08, 5.47389e-08, 5.49704e-08, 5.47586e-08, 5.50125e-08, 5.53533e-08, 5.4945e-08, 2.09426e-07, 6.43526e-08, 5.47306e-08, 5.57884e-08, 5.47471e-08, 6.04408e-08, 5.47258e-08, 1.48494e-06, 5.47257e-08, 5.6216e-08
0.502827, 0, 2.26593e-06, 1.07536e-07, 1.41421, -2.26593e-06, 1.07536e-07, 1.07538e-07, 1.07545e-07, 1.07542e-07, 1.07562e-07, 1.08017e-07, 1.076e-07, 1.08171e-07, 1.0877e-07, 1.07967e-07, 4.11713e-07, 1.19988e-07, 1.07545e-07, 1.09087e-07, 1.0758e-07, 1.15679e-07, 1.07536e-07, 1.93373e-06, 1.07536e-07, 1.10466e-07
0.51073, 0, 3.15927e-06, 2.07161e-07, 1.41421, -3.15927e-06, 2.07161e-07, 2.07167e-07, 2.0718e-07, 2.07173e-07, 2.07212e-07, 2.08089e-07, 2.07286e-07, 2.09092e-07, 2.0954e-07, 2.07992e-07, 7.9345e-07, 2.23209e-07, 2.0718e-07, 2.09414e-07, 2.07249e-07, 2.187e-07, 2.07162e-07, 2.53111e-06, 2.07161e-07, 2.12809e-07
0.518632, 0, 4.51644e-06, 3.92287e-07, 1.41421, -4.51644e-06, 3.92287e-07, 3.92297e-07, 3.92322e-07, 3.92309e-07, 3.92382e-07, 3.94045e-07, 3.92524e-07, 3.9715e-07, 3.96794e-07, 3.93862e-07, 1.50313e-06, 4.12892e-07, 3.92323e-07, 3.95543e-07, 3.9246e-07, 4.08544e-07, 3.92288e-07, 3.34146e-06, 3.92287e-07, 4.02989e-07
0.526534, 0, 6.62832e-06, 7.29059e-07, 1.41421, -6.62832e-06, 7.29059e-07, 7.29078e-07, 7.29125e-07, 7.291e-07, 7.29236e-07, 7.32327e-07, 7.295e-07, 7.3898e-07, 7.37439e-07, 7.31987e-07, 2.79436e-06, 7.55421e-07, 7.29125e-07, 7.3374e-07, 7.29389e-07, 7.51835e-07, 7.29061e-07, 4.46366e-06, 7.29059e-07, 7.48956e-07
0.534436, 0, 9.98972e-06, 1.33256e-06, 1.41421, -9.98972e-06, 1.33256e-06, 1.3326e-06, 1.33269e-06, 1.33264e-06, 1.33289e-06, 1.33854e-06, 1.33337e-06, 1.35226e-06, 1.34789e-06, 1.33792e-06, 5.10901e-06, 1.36617e-06, 1.33269e-06, 1.33926e-06, 1.33318e-06, 1.36429e-06, 1.33257e-06, 6.05642e-06, 1.33256e-06, 1.36895e-06
0.542338, 0, 1.54148e-05, 2.39574e-06, 1.41421, -1.54148e-05, 2.39574e-06, 2.3958e-06, 2.39596e-06, 2.39588e-06, 2.39633e-06, 2.40649e-06, 2.39719e-06, 2.43375e-06, 2.4233e-06, 2.40537e-06, 9.18798e-06, 2.43843e-06, 2.39596e-06, 2.40526e-06, 2.39688e-06, 2.43968e-06, 2.39575e-06, 8.37127e-06, 2.39574e-06, 2.46118e-06
0.55024, 0, 2.42333e-05, 4.23709e-06, 1.41421, -2.42333e-05, 4.23709e-06, 4.2372e-06, 4.23747e-06, 4.23733e-06, 4.23812e-06, 4.25611e-06, 4.23965e-06, 4.30942e-06, 4.28585e-06, 4.25413e-06, 1.62549e-05, 4.29112e-06, 4.23747e-06, 4.25056e-06, 4.23916e-06, 4.29761e-06, 4.2371e-06, 1.18077e-05, 4.23709e-06, 4.35287e-06
0.558143, 0, 3.85825e-05, 7.37239e-06, 1.41421, -3.85825e-05, 7.37239e-06, 7.37258e-06, 7.37306e-06, 7.3728e-06, 7.37418e-06, 7.40549e-06, 7.37685e-06, 7.50812e-06, 7.45727e-06, 7.40204e-06, 2.82924e-05, 7.44055e-06, 7.37306e-06, 7.39135e-06, 7.37609e-06, 7.45529e-06, 7.37241e-06, 1.69957e-05, 7.37239e-06, 7.57393e-06
0.566045, 0, 6.18452e-05, 1.26211e-05, 1.41421, -6.18452e-05, 1.26211e-05, 1.26214e-05, 1.26222e-05, 1.26218e-05, 1.26241e-05, 1.26778e-05, 1.26287e-05, 1.28722e-05, 1.27665e-05, 1.26719e-05, 4.84518e-05, 1.27068e-05, 1.26222e-05, 1.26476e-05, 1.26276e-05, 1.27341e-05, 1.26211e-05, 2.49196e-05, 1.26211e-05, 1.29663e-05
0.573947, 0, 9.92775e-05, 2.12601e-05, 1.41421, -9.92775e-05, 2.12601e-05, 2.12606e-05, 2.1262e-05, 2.12613e-05, 2.12653e-05, 2.13556e-05, 2.1273e-05, 2.17181e-05, 2.15051e-05, 2.13457e-05, 8.16469e-05, 2.13675e-05, 2.1262e-05, 2.12971e-05, 2.12713e-05, 2.14133e-05, 2.12602e-05, 3.70923e-05, 2.12601e-05, 2.18418e-05
0.581849, 0, 0.000158907, 3.52411e-05, 1.41421, -0.000158907, 3.52411e-05, 3.5242e-05, 3.52443e-05, 3.52431e-05, 3.52497e-05, 3.53996e-05, 3.52624e-05, 3.60644e-05, 3.56474e-05, 3.53831e-05, 0.000135392, 3.53753e-05, 3.52443e-05, 3.52924e-05, 3.52602e-05, 3.5448e-05, 3.52412e-05, 5.58097e-05, 3.52411e-05, 3.62059e-05
0.589751, 0, 0.000252765, 5.74884e-05, 1.41421, -0.000252765, 5.74884e-05, 5.74898e-05, 5.74936e-05, 5.74916e-05, 5.75024e-05, 5.7747e-05, 5.75232e-05, 5.89471e-05, 5.81516e-05, 5.77201e-05, 0.000220957, 5.76556e-05, 5.74936e-05, 5.75592e-05, 5.75205e-05, 5.77665e-05, 5.74885e-05, 8.44965e-05, 5.74884e-05, 5.90632e-05
0.597653, 0, 0.000398546, 9.22981e-05, 1.41421, -0.000398546, 9.22981e-05, 9.23005e-05, 9.23065e-05, 9.23033e-05, 9.23207e-05, 9.27136e-05, 9.23541e-05, 9.48453e-05, 9.33636e-05, 9.26704e-05, 0.000354906, 9.25059e-05, 9.23066e-05, 9.23956e-05, 9.23512e-05, 9.26708e-05, 9.22984e-05, 0.000128173, 9.22981e-05, 9.48281e-05
0.605556, 0, 0.000621771, 0.000145855, 1.41421, -0.000621771, 0.000145855, 0.000145859, 0.000145868, 0.000145863, 0.000145891, 0.000146512, 0.000145943, 0.000150238, 0.00014754, 0.000146444, 0.000561111, 0.000146113, 0.000145868, 0.000145988, 0.000145941, 0.000146353, 0.000145855, 0.000194063, 0.000145855, 0.000149856
