   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_763.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.075073, 0, 6.06048e-17, 0, 1.41421, -6.06048e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91429e-17, 0, 4.14619e-17, 0, 0
0.0829381, 0, 1.12087e-16, 0, 1.41421, -1.12087e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.594e-17, 0, 7.6147e-17, 0, 0
0.0908033, 0, 2.05688e-16, 0, 1.41421, -2.05688e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69633e-17, 0, 1.38725e-16, 0, 0
0.0986685, 0, 3.74576e-16, 0, 1.41421, -3.74576e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23841e-16, 0, 2.50735e-16, 0, 0
0.106534, 0, 6.77034e-16, 0, 1.41421, -6.77034e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2737e-16, 0, 4.49663e-16, 0, 0
0.114399, 0, 1.21474e-15, 0, 1.41421, -1.21474e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14491e-16, 0, 8.00253e-16, 0, 0
0.122264, 0, 2.16381e-15, 0, 1.41421, -2.16381e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50365e-16, 0, 1.41344e-15, 0, 0
0.130129, 0, 3.82707e-15, 0, 1.41421, -3.82707e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34916e-15, 0, 2.4779e-15, 0, 0
0.137995, 0, 6.72168e-15, 0, 1.41421, -6.72168e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40963e-15, 0, 4.31206e-15, 0, 0
0.14586, 0, 1.17247e-14, 0, 1.41421, -1.17247e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27544e-15, 0, 7.44928e-15, 0, 0
0.153725, 0, 2.03135e-14, 0, 1.41421, -2.03135e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53715e-15, 0, 1.27763e-14, 0, 0
0.16159, 0, 3.49599e-14, 0, 1.41421, -3.49599e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32032e-14, 0, 2.17568e-14, 0, 0
0.169455, 0, 5.97724e-14, 0, 1.41421, -5.97724e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29847e-14, 0, 3.67877e-14, 0, 0
0.177321, 0, 1.01535e-13, 0, 1.41421, -1.01535e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97675e-14, 0, 6.17674e-14, 0, 0
0.185186, 0, 1.71378e-13, 0, 1.41421, -1.71378e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83895e-14, 0, 1.02988e-13, 0, 0
0.193051, 0, 2.87447e-13, 0, 1.41421, -2.87447e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16913e-13, 0, 1.70534e-13, 0, 0
0.200916, 0, 4.79159e-13, 0, 1.41421, -4.79159e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98714e-13, 0, 2.80445e-13, 0, 0
0.208781, 0, 7.93876e-13, 0, 1.41421, -7.93876e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3582e-13, 0, 4.58056e-13, 0, 0
0.216646, 0, 1.30744e-12, 0, 1.41421, -1.30744e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64341e-13, 0, 7.43094e-13, 0, 0
0.224512, 0, 2.14055e-12, 0, 1.41421, -2.14055e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4315e-13, 0, 1.1974e-12, 0, 0
0.232377, 0, 3.48428e-12, 0, 1.41421, -3.48428e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56774e-12, 0, 1.91654e-12, 0, 0
0.240242, 0, 5.64667e-12, 0, 1.41421, -5.64667e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59791e-12, 0, 3.04875e-12, 0, 0
0.248107, 0, 9.08806e-12, 0, 1.41421, -9.08806e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27313e-12, 0, 4.81493e-12, 0, 0
0.255972, 0, 1.4548e-11, 0, 1.41421, -1.4548e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99366e-12, 0, 7.5543e-12, 0, 0
0.263838, 0, 2.31657e-11, 0, 1.41421, -2.31657e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13911e-11, 0, 1.17746e-11, 0, 0
0.271703, 0, 3.67005e-11, 0, 1.41421, -3.67005e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84673e-11, 0, 1.82331e-11, 0, 0
0.279568, 0, 5.78568e-11, 0, 1.41421, -5.78568e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98057e-11, 0, 2.80512e-11, 0, 0
0.287433, 0, 9.0777e-11, 3.54529e-43, 1.41421, -9.0777e-11, 3.54529e-43, 0, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 3.54529e-43, 4.78997e-11, 3.54529e-43, 4.28773e-11, 3.54529e-43, 3.54529e-43
0.295298, 0, 1.41784e-10, 5.92329e-42, 1.41421, -1.41784e-10, 5.92329e-42, 0, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 5.92329e-42, 7.66657e-11, 5.92329e-42, 6.51188e-11, 5.92329e-42, 5.92329e-42
0.303164, 0, 2.20501e-10, 8.23641e-41, 1.41421, -2.20501e-10, 8.23641e-41, 0, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 8.23641e-41, 1.22236e-10, 8.23641e-41, 9.8265e-11, 8.23641e-41, 8.23641e-41
0.311029, 0, 3.41533e-10, 1.01899e-39, 1.41421, -3.41533e-10, 1.01899e-39, 0, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.01899e-39, 1.94194e-10, 1.01899e-39, 1.47339e-10, 1.01899e-39, 1.01899e-39
0.318894, 0, 5.26998e-10, 1.12807e-38, 1.41421, -5.26998e-10, 1.12807e-38, 0, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 1.12807e-38, 3.07477e-10, 1.12807e-38, 2.19522e-10, 1.12807e-38, 1.12807e-38
0.326759, 0, 8.10345e-10, 1.1308e-37, 1.41421, -8.10345e-10, 1.1308e-37, 0, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 1.1308e-37, 4.85338e-10, 1.1308e-37, 3.25007e-10, 1.1308e-37, 1.1308e-37
0.334624, 0, 1.24207e-09, 1.03102e-36, 1.41421, -1.24207e-09, 1.03102e-36, 0, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 1.03102e-36, 7.63912e-10, 1.03102e-36, 4.78162e-10, 1.03102e-36, 1.03102e-36
0.34249, 0, 1.89838e-09, 8.60159e-36, 1.41421, -1.89838e-09, 8.60159e-36, 0, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 8.60159e-36, 1.19928e-09, 8.60159e-36, 6.99104e-10, 8.60159e-36, 8.60159e-36
0.350355, 0, 2.89415e-09, 6.59195e-35, 1.41421, -2.89415e-09, 6.59195e-35, 0, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 6.59195e-35, 1.87835e-09, 6.59195e-35, 1.0158e-09, 6.59195e-35, 6.59195e-35
0.35822, 0, 4.40257e-09, 4.56933e-34, 1.41421, -4.40257e-09, 4.56933e-34, 0, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 4.56933e-34, 2.93572e-09, 4.56933e-34, 1.46685e-09, 4.56933e-34, 4.56933e-34
0.366085, 0, 6.68471e-09, 3.08877e-33, 1.41421, -6.68471e-09, 3.08877e-33, 0, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 3.08877e-33, 4.57949e-09, 3.08877e-33, 2.10522e-09, 3.08877e-33, 3.08877e-33
0.37395, 0, 1.01341e-08, 1.70075e-32, 1.41421, -1.01341e-08, 1.70075e-32, 0, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 1.70075e-32, 7.13104e-09, 1.70075e-32, 3.00302e-09, 1.70075e-32, 1.70075e-32
0.381816, 0, 1.53437e-08, 8.89488e-32, 1.41421, -1.53437e-08, 8.89488e-32, 0, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 8.89488e-32, 1.10859e-08, 8.89488e-32, 4.2578e-09, 8.89488e-32, 8.89488e-32
0.389681, 0, 2.32074e-08, 4.71357e-31, 1.41421, -2.32074e-08, 4.71357e-31, 0, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 4.71357e-31, 1.72067e-08, 4.71357e-31, 6.00068e-09, 4.71357e-31, 4.71357e-31
0.397546, 0, 3.50711e-08, 2.40896e-30, 1.41421, -3.50711e-08, 2.40896e-30, 0, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.40896e-30, 2.66644e-08, 2.40896e-30, 8.40662e-09, 2.40896e-30, 2.40896e-30
0.405411, 0, 5.29599e-08, 1.16713e-29, 1.41421, -5.29599e-08, 1.16713e-29, 0, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 1.16713e-29, 4.12522e-08, 1.16713e-29, 1.17076e-08, 1.16713e-29, 1.16713e-29
0.413276, 0, 7.99168e-08, 5.36745e-29, 1.41421, -7.99168e-08, 5.36745e-29, 0, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 5.36745e-29, 6.37074e-08, 5.36745e-29, 1.62094e-08, 5.36745e-29, 5.36745e-29
0.421142, 0, 1.20504e-07, 2.39257e-28, 1.41421, -1.20504e-07, 2.39257e-28, 0, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 2.39257e-28, 9.81919e-08, 2.39257e-28, 2.23119e-08, 2.39257e-28, 2.39257e-28
0.429007, 0, 1.81543e-07, 1.02147e-27, 1.41421, -1.81543e-07, 1.02147e-27, 0, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.02147e-27, 1.51008e-07, 1.02147e-27, 3.05352e-08, 1.02147e-27, 1.02147e-27
0.436872, 0, 2.73201e-07, 4.15844e-27, 1.41421, -2.73201e-07, 4.15844e-27, 0, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 4.15844e-27, 2.3165e-07, 4.15844e-27, 4.15512e-08, 4.15844e-27, 4.15844e-27
0.444737, 0, 4.10568e-07, 1.616e-26, 1.41421, -4.10568e-07, 1.616e-26, 0, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 1.616e-26, 3.54345e-07, 1.616e-26, 5.62224e-08, 1.616e-26, 1.616e-26
0.452602, 0, 6.15934e-07, 6.00111e-26, 1.41421, -6.15934e-07, 6.00111e-26, 0, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 6.00111e-26, 5.40285e-07, 6.00111e-26, 7.56493e-08, 6.00111e-26, 6.00111e-26
0.460468, 0, 9.22052e-07, 2.13338e-25, 1.41421, -9.22052e-07, 2.13338e-25, 0, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 2.13338e-25, 8.20826e-07, 2.13338e-25, 1.01226e-07, 2.13338e-25, 2.13338e-25
0.468333, 0, 1.37761e-06, 7.3433e-25, 1.41421, -1.37761e-06, 4.41982e-11, 0, 3.67559e-11, 3.09136e-10, 1.30799e-11, 2.47095e-10, 5.13785e-11, 8.19036e-11, 4.39627e-12, 5.51648e-11, 2.59274e-12, 1.33254e-13, 1.24204e-06, 1.56207e-15, 1.34727e-07, 7.3433e-25, 7.3433e-25
0.476198, 0, 2.05231e-06, 1.21115e-10, 1.41421, -2.05231e-06, 2.63178e-10, 1.21115e-10, 2.39256e-10, 1.11474e-09, 1.63157e-10, 9.15331e-10, 2.86257e-10, 3.84371e-10, 1.35246e-10, 2.98426e-10, 1.29449e-10, 1.21544e-10, 1.87124e-06, 1.2112e-10, 1.78477e-07, 1.21115e-10, 1.21115e-10
0.484063, 0, 3.04731e-06, 3.82233e-10, 1.41421, -3.04731e-06, 7.35801e-10, 3.82233e-10, 6.76265e-10, 2.85519e-09, 4.86867e-10, 2.35889e-09, 7.9324e-10, 1.03743e-09, 4.17402e-10, 8.23529e-10, 4.02974e-10, 3.83299e-10, 2.80567e-06, 3.82246e-10, 2.35256e-07, 3.82233e-10, 3.82233e-10
0.491928, 0, 4.50803e-06, 9.3925e-10, 1.41421, -4.50803e-06, 1.74012e-09, 9.3925e-10, 1.60527e-09, 6.54079e-09, 1.17626e-09, 5.41661e-09, 1.87023e-09, 2.42334e-09, 1.01891e-09, 1.93883e-09, 9.86231e-10, 9.41665e-10, 4.18495e-06, 9.39279e-10, 3.0869e-07, 9.3925e-10, 9.3925e-10
0.499794, 0, 6.64216e-06, 2.10916e-09, 1.41421, -6.64216e-06, 3.83676e-09, 2.10916e-09, 3.54586e-09, 1.41925e-08, 2.62042e-09, 1.17675e-08, 4.11742e-09, 5.31057e-09, 2.281e-09, 4.26541e-09, 2.21051e-09, 2.11437e-09, 6.20785e-06, 2.10922e-09, 4.03357e-07, 2.10916e-09, 2.10916e-09
0.507659, 0, 9.7448e-06, 4.52301e-09, 1.41421, -9.7448e-06, 8.13264e-09, 4.52301e-09, 7.52483e-09, 2.97699e-08, 5.59123e-09, 2.4703e-08, 8.71905e-09, 1.1212e-08, 4.88205e-09, 9.02826e-09, 4.73476e-09, 4.53389e-09, 9.15503e-06, 4.52314e-09, 5.25211e-07, 4.52301e-09, 4.52301e-09
0.515524, 0, 1.42511e-05, 9.41095e-09, 1.41421, -1.42511e-05, 1.6768e-08, 9.41095e-09, 1.55292e-08, 6.08684e-08, 1.15882e-08, 5.05414e-08, 1.79632e-08, 2.30443e-08, 1.01427e-08, 1.85934e-08, 9.84253e-09, 9.43313e-09, 1.34376e-05, 9.41121e-09, 6.82114e-07, 9.41095e-09, 9.41095e-09
0.523389, 0, 2.07289e-05, 1.91175e-08, 1.41421, -2.07289e-05, 3.37917e-08, 1.91175e-08, 3.13207e-08, 1.21753e-07, 2.34601e-08, 1.01155e-07, 3.61756e-08, 4.63102e-08, 2.05771e-08, 3.74326e-08, 1.99783e-08, 1.91617e-08, 1.95824e-05, 1.9118e-08, 8.84734e-07, 1.91175e-08, 1.91175e-08
0.531254, 0, 3.0015e-05, 3.8021e-08, 1.41421, -3.0015e-05, 6.67075e-08, 3.8021e-08, 6.18771e-08, 2.38664e-07, 4.65104e-08, 1.98396e-07, 7.13679e-08, 9.118e-08, 4.08743e-08, 7.38253e-08, 3.97038e-08, 3.81075e-08, 2.8356e-05, 3.8022e-08, 1.14804e-06, 3.8021e-08, 3.8021e-08
0.53912, 0, 4.32684e-05, 7.41265e-08, 1.41421, -4.32684e-05, 1.29132e-07, 7.41265e-08, 1.1987e-07, 4.58852e-07, 9.04047e-08, 3.81641e-07, 1.38068e-07, 1.76057e-07, 7.95977e-08, 1.4278e-07, 7.73532e-08, 7.42923e-08, 4.07961e-05, 7.41284e-08, 1.49369e-06, 7.41265e-08, 7.41265e-08
0.546985, 0, 6.21083e-05, 1.41764e-07, 1.41421, -6.21083e-05, 2.45259e-07, 1.41764e-07, 2.27832e-07, 8.65639e-07, 1.72392e-07, 7.20364e-07, 2.62072e-07, 3.3355e-07, 1.52058e-07, 2.70938e-07, 1.47835e-07, 1.42076e-07, 5.83154e-05, 1.41767e-07, 1.95408e-06, 1.41764e-07, 1.41764e-07
0.55485, 0, 8.87961e-05, 2.66046e-07, 1.41421, -8.87961e-05, 4.57178e-07, 2.66046e-07, 4.24994e-07, 1.60288e-06, 3.22609e-07, 1.33459e-06, 4.88228e-07, 6.20231e-07, 2.85057e-07, 5.04601e-07, 2.77258e-07, 2.66622e-07, 8.28257e-05, 2.66053e-07, 2.57866e-06, 2.66046e-07, 2.66046e-07
0.562715, 0, 0.000126488, 4.90045e-07, 1.41421, -0.000126488, 8.36557e-07, 4.90045e-07, 7.78209e-07, 2.91366e-06, 5.92591e-07, 2.42726e-06, 8.92851e-07, 1.13217e-06, 5.24512e-07, 9.22534e-07, 5.10372e-07, 4.9109e-07, 0.000116903, 4.90057e-07, 3.44433e-06, 4.90045e-07, 4.90045e-07
0.57058, 0, 0.000179596, 8.86074e-07, 1.41421, -0.000179596, 1.50287e-06, 8.86074e-07, 1.39901e-06, 5.20012e-06, 1.06861e-06, 4.33432e-06, 1.60307e-06, 2.02905e-06, 9.47424e-07, 1.65591e-06, 9.22256e-07, 8.87933e-07, 0.000164007, 8.86095e-07, 4.67128e-06, 8.86074e-07, 8.86074e-07
0.578446, 0, 0.000254288, 1.57296e-06, 1.41421, -0.000254288, 2.65104e-06, 1.57296e-06, 2.46951e-06, 9.1134e-06, 1.892e-06, 7.6001e-06, 2.82618e-06, 3.57075e-06, 1.68019e-06, 2.91854e-06, 1.6362e-06, 1.57621e-06, 0.000228781, 1.573e-06, 6.44756e-06, 1.57296e-06, 1.57296e-06
0.586311, 0, 0.000359188, 2.74176e-06, 1.41421, -0.000359188, 4.59235e-06, 2.74176e-06, 4.28073e-06, 1.56853e-05, 3.28942e-06, 1.30877e-05, 4.89299e-06, 6.17107e-06, 2.92584e-06, 5.05152e-06, 2.85032e-06, 2.74734e-06, 0.000317448, 2.74183e-06, 9.066e-06, 2.74176e-06, 2.74176e-06
0.594176, 0, 0.000506349, 4.6929e-06, 1.41421, -0.000506349, 7.81284e-06, 4.6929e-06, 7.28749e-06, 2.65148e-05, 5.6162e-06, 2.21353e-05, 8.3197e-06, 1.04744e-05, 5.00323e-06, 8.58697e-06, 4.87592e-06, 4.7023e-06, 0.00043836, 4.69301e-06, 1.29746e-05, 4.6929e-06, 4.6929e-06
0.602041, 0, 0.000712583, 7.88866e-06, 1.41421, -0.000712583, 1.30555e-05, 7.88866e-06, 1.21855e-05, 4.4027e-05, 9.41772e-06, 3.67744e-05, 1.38949e-05, 1.74633e-05, 8.40259e-06, 1.43375e-05, 8.19176e-06, 7.90424e-06, 0.000602739, 7.88885e-06, 1.88534e-05, 7.88866e-06, 7.88866e-06
0.609906, 0, 0.00100125, 1.30246e-05, 1.41421, -0.00100125, 2.14307e-05, 1.30246e-05, 2.00152e-05, 7.1819e-05, 1.55123e-05, 6.00194e-05, 2.27963e-05, 2.86018e-05, 1.38608e-05, 2.35164e-05, 1.35178e-05, 1.305e-05, 0.000825691, 1.30249e-05, 2.77149e-05, 1.30246e-05, 1.30246e-05
0.617772, 0, 0.00140463, 2.11241e-05, 1.41421, -0.00140463, 3.45611e-05, 2.11241e-05, 3.22985e-05, 0.000115107, 2.51006e-05, 9.62452e-05, 3.6744e-05, 4.60241e-05, 2.24606e-05, 3.78951e-05, 2.19123e-05, 2.11646e-05, 0.00112756, 2.11246e-05, 4.10402e-05, 2.11241e-05, 2.11241e-05
0.625637, 0, 0.00196694, 3.36576e-05, 1.41421, -0.00196694, 5.47638e-05, 3.36576e-05, 5.12098e-05, 0.000181281, 3.99037e-05, 0.000151654, 5.81926e-05, 7.27692e-05, 3.5757e-05, 6.00006e-05, 3.48957e-05, 3.37212e-05, 0.00153573, 3.36584e-05, 6.09525e-05, 3.36576e-05, 3.36576e-05
0.633502, 0, 0.00274822, 5.26908e-05, 1.41421, -0.00274822, 8.52721e-05, 5.26908e-05, 7.97858e-05, 0.000280574, 6.23328e-05, 0.00023484, 9.05651e-05, 0.000113067, 5.59316e-05, 9.33562e-05, 5.4602e-05, 5.2789e-05, 0.00208696, 5.26919e-05, 9.04346e-05, 5.26908e-05, 5.26908e-05
0.641367, 0, 0.00382892, 8.1056e-05, 1.41421, -0.00382892, 0.000130492, 8.1056e-05, 0.000122167, 0.000426824, 9.56859e-05, 0.000357431, 0.000138523, 0.000172664, 8.59733e-05, 0.000142758, 8.3956e-05, 8.12051e-05, 0.00283033, 8.10578e-05, 0.000133587, 8.1056e-05, 8.1056e-05
0.649232, 0.988399, 0.00531533, 0.000122543, 1.7287, 0.983083, 0.000196279, 0.000122543, 0.000183863, 0.000638279, 0.000144364, 0.000534775, 0.000208258, 0.000259183, 0.000129877, 0.000214575, 0.000126868, 0.000122765, 0.00383083, 0.000122546, 0.000195922, 0.000122543, 0.000122543
0.657098, 0.0116014, 0.00734558, 0.000182096, 1.41831, 0.00425585, 0.00029023, 0.000182096, 0.000272022, 0.00093842, 0.000214097, 0.000786632, 0.000307798, 0.000382477, 0.000192852, 0.000317061, 0.000188439, 0.000182422, 0.00517359, 0.0001821, 0.00028469, 0.000182096, 0.000182096
0.664963, 0, 0.0100959, 0.000266, 1.41421, -0.0100959, 0.000421936, 0.000266, 0.000395679, 0.00135666, 0.000312147, 0.00113778, 0.000447269, 0.000554961, 0.000281511, 0.000460627, 0.000275147, 0.000266471, 0.00696847, 0.000266006, 0.0004092, 0.000266, 0.000266
0.672828, 0, 0.0137864, 0.000382027, 1.41421, -0.0137864, 0.000603186, 0.000382027, 0.000565946, 0.00192888, 0.000447476, 0.00161844, 0.000639115, 0.000791848, 0.000404025, 0.00065806, 0.000394999, 0.000382694, 0.00935486, 0.000382035, 0.000581134, 0.000382027, 0.000382027
0.680693, 0, 0.0186859, 0.000539515, 1.41421, -0.0186859, 0.000848057, 0.000539515, 0.000796102, 0.00269755, 0.000630824, 0.00226445, 0.000898181, 0.00111126, 0.000570205, 0.000924612, 0.000557613, 0.000540447, 0.012506, 0.000539526, 0.00081481, 0.000539515, 0.000539515
0.688558, 0, 0.0251145, 0.000749338, 1.41421, -0.0251145, 0.00117283, 0.000749338, 0.00110152, 0.00371141, 0.000874667, 0.00311694, 0.00124163, 0.0015341, 0.000791462, 0.00127791, 0.000774177, 0.000750617, 0.0166319, 0.000749353, 0.00112734, 0.000749338, 0.000749338
0.696423, 0, 0.0334421, 0.00102374, 1.41421, -0.0334421, 0.00159575, 0.00102374, 0.00149943, 0.00502453, 0.00119302, 0.0042216, 0.00168868, 0.00208369, 0.00108064, 0.00173768, 0.00105729, 0.00102547, 0.0219804, 0.00102376, 0.00153874, 0.00102374, 0.00102374
0.704289, 0, 0.0440829, 0.00137601, 1.41421, -0.0440829, 0.00213643, 0.00137601, 0.00200839, 0.00669462, 0.00160105, 0.00562722, 0.00225997, 0.00278508, 0.00145165, 0.00232511, 0.00142061, 0.00137831, 0.0288347, 0.00137604, 0.00207184, 0.00137601, 0.00137601
0.712154, 0, 0.0574831, 0.00181991, 1.41421, -0.0574831, 0.0028151, 0.00181991, 0.00264752, 0.00878054, 0.00211443, 0.0073836, 0.00297677, 0.00366398, 0.0019189, 0.00306202, 0.00187827, 0.00182293, 0.0375059, 0.00181995, 0.00275212, 0.00181991, 0.00181991
