   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.365323, 0, 1.00695e-08, 4.14279e-33, 1.41421, -1.00695e-08, 4.14279e-33, 0, 4.14279e-33, 4.14279e-33, 4.14279e-33, 4.14279e-33, 4.14279e-33, 4.14279e-33, 4.14279e-33, 4.14279e-33, 3.91458e-11, 4.14279e-33, 4.14279e-33, 5.11003e-13, 6.62923e-10, 4.14279e-33, 9.3669e-09, 4.14279e-33, 4.14279e-33
0.373196, 0, 1.42667e-08, 2.60298e-32, 1.41421, -1.42667e-08, 2.60298e-32, 0, 2.60298e-32, 2.60298e-32, 2.60298e-32, 2.60298e-32, 2.60298e-32, 2.60298e-32, 2.60298e-32, 2.60298e-32, 5.52759e-11, 2.60298e-32, 2.60298e-32, 7.88411e-13, 1.02018e-09, 2.60298e-32, 1.31904e-08, 2.60298e-32, 2.60298e-32
0.38107, 0, 2.01138e-08, 1.52849e-31, 1.41421, -2.01138e-08, 1.52849e-31, 0, 1.52849e-31, 1.52849e-31, 1.52849e-31, 1.52849e-31, 1.52849e-31, 1.52849e-31, 1.52849e-31, 1.52849e-31, 7.76348e-11, 1.52849e-31, 1.52849e-31, 1.21651e-12, 1.56716e-09, 1.52849e-31, 1.84678e-08, 1.52849e-31, 1.52849e-31
0.388943, 0, 2.82223e-08, 8.39299e-31, 1.41421, -2.82223e-08, 8.39299e-31, 0, 8.39299e-31, 8.39299e-31, 8.39299e-31, 8.39299e-31, 8.39299e-31, 8.39299e-31, 8.39299e-31, 8.39299e-31, 1.08464e-10, 8.39299e-31, 8.39299e-31, 1.87708e-12, 2.40315e-09, 8.39299e-31, 2.57088e-08, 8.39299e-31, 8.39299e-31
0.396817, 0, 3.9418e-08, 4.32091e-30, 1.41421, -3.9418e-08, 4.32091e-30, 0, 4.32091e-30, 4.32091e-30, 4.32091e-30, 4.32091e-30, 4.32091e-30, 4.32091e-30, 4.32091e-30, 4.32091e-30, 1.50753e-10, 4.32091e-30, 4.32091e-30, 2.89593e-12, 3.67839e-09, 4.32091e-30, 3.5586e-08, 4.32091e-30, 4.32091e-30
0.404691, 0, 5.48134e-08, 2.09217e-29, 1.41421, -5.48134e-08, 2.09217e-29, 0, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.09217e-29, 2.08466e-10, 2.09217e-29, 2.09217e-29, 4.46608e-12, 5.61965e-09, 2.09217e-29, 4.89808e-08, 2.09217e-29, 2.09217e-29
0.412564, 0, 7.59032e-08, 9.5576e-29, 1.41421, -7.59032e-08, 9.5576e-29, 0, 9.5576e-29, 9.5576e-29, 9.5576e-29, 9.5576e-29, 9.5576e-29, 9.5576e-29, 9.5576e-29, 9.5576e-29, 2.86838e-10, 9.5576e-29, 9.5576e-29, 6.88287e-12, 8.56783e-09, 9.5576e-29, 6.70417e-08, 9.5576e-29, 9.5576e-29
0.420438, 0, 1.04692e-07, 4.13187e-28, 1.41421, -1.04692e-07, 4.13187e-28, 0, 4.13187e-28, 4.13187e-28, 4.13187e-28, 4.13187e-28, 4.13187e-28, 4.13187e-28, 4.13187e-28, 4.13187e-28, 3.9275e-10, 4.13187e-28, 4.13187e-28, 1.05964e-11, 1.30334e-08, 4.13187e-28, 9.12549e-08, 4.13187e-28, 4.13187e-28
0.428311, 0, 1.43862e-07, 1.69533e-27, 1.41421, -1.43862e-07, 1.69533e-27, 0, 1.69533e-27, 1.69533e-27, 1.69533e-27, 1.69533e-27, 1.69533e-27, 1.69533e-27, 1.69533e-27, 1.69533e-27, 5.35198e-10, 1.69533e-27, 1.69533e-27, 1.62901e-11, 1.97771e-08, 1.69533e-27, 1.23533e-07, 1.69533e-27, 1.69533e-27
0.436185, 0, 1.97e-07, 6.61994e-27, 1.41421, -1.97e-07, 6.61994e-27, 0, 6.61994e-27, 6.61994e-27, 6.61994e-27, 6.61994e-27, 6.61994e-27, 6.61994e-27, 6.61994e-27, 6.61994e-27, 7.25898e-10, 6.61994e-27, 6.61994e-27, 2.49963e-11, 2.99272e-08, 6.61994e-27, 1.66322e-07, 6.61994e-27, 6.61994e-27
0.444058, 0, 2.68894e-07, 2.46636e-26, 1.41421, -2.68894e-07, 2.46636e-26, 0, 2.46636e-26, 2.46636e-26, 2.46636e-26, 2.46636e-26, 1.12466e-14, 2.46636e-26, 2.46636e-26, 2.46636e-26, 9.80031e-10, 2.46636e-26, 2.46636e-26, 3.82671e-11, 4.51472e-08, 2.46636e-26, 2.22728e-07, 2.46636e-26, 2.46636e-26
0.451932, 0, 3.65929e-07, 8.78819e-26, 1.41421, -3.65929e-07, 8.78819e-26, 0, 8.78819e-26, 8.78819e-26, 8.78819e-26, 8.78819e-26, 3.59924e-14, 8.78819e-26, 8.78819e-26, 8.78819e-26, 1.31719e-09, 8.78819e-26, 8.78819e-26, 5.84231e-11, 6.78748e-08, 8.78819e-26, 2.96679e-07, 8.78819e-26, 8.78819e-26
0.459806, 0, 4.97807e-07, 3.03184e-25, 1.41421, -4.97807e-07, 6.30889e-12, 0, 1.03668e-14, 4.53927e-14, 5.94127e-12, 1.5934e-11, 5.99626e-13, 6.30022e-12, 2.38407e-12, 1.09965e-09, 1.76257e-09, 2.04375e-13, 2.91878e-14, 8.89135e-11, 1.01659e-07, 2.43409e-15, 3.93149e-07, 3.03184e-25, 9.85812e-12
0.467679, 0, 6.76598e-07, 5.27124e-10, 1.41421, -6.76598e-07, 5.47235e-10, 5.27124e-10, 5.27157e-10, 5.27269e-10, 5.46063e-10, 5.77916e-10, 5.28952e-10, 5.47207e-10, 5.34724e-10, 4.03243e-09, 2.87547e-09, 5.27775e-10, 5.27217e-10, 6.61963e-10, 1.5216e-07, 5.27132e-10, 5.18826e-07, 5.27124e-10, 5.58548e-10
0.475553, 0, 9.19001e-07, 1.67172e-09, 1.41421, -9.19001e-07, 1.72133e-09, 1.67172e-09, 1.6718e-09, 1.67207e-09, 1.71844e-09, 1.79702e-09, 1.67616e-09, 1.72126e-09, 1.69046e-09, 1.03193e-08, 4.78723e-09, 1.67332e-09, 1.67194e-09, 1.8754e-09, 2.26829e-07, 1.67173e-09, 6.81503e-07, 1.67172e-09, 1.74924e-09
0.483426, 0, 1.24888e-06, 4.11039e-09, 1.41421, -1.24888e-06, 4.22176e-09, 4.11039e-09, 4.11057e-09, 4.11119e-09, 4.21527e-09, 4.39168e-09, 4.12029e-09, 4.22161e-09, 4.15247e-09, 2.35236e-08, 8.22638e-09, 4.11399e-09, 4.1109e-09, 4.41675e-09, 3.36826e-07, 4.11043e-09, 8.91491e-07, 4.11039e-09, 4.28442e-09
0.4913, 0, 1.70026e-06, 9.20524e-09, 1.41421, -1.70026e-06, 9.4434e-09, 9.20524e-09, 9.20563e-09, 9.20696e-09, 9.42952e-09, 9.80675e-09, 9.22632e-09, 9.44307e-09, 9.29524e-09, 5.07169e-08, 1.46205e-08, 9.21296e-09, 9.20634e-09, 9.66392e-09, 4.9832e-07, 9.20533e-09, 1.16196e-06, 9.20524e-09, 9.57738e-09
0.499174, 0, 2.32286e-06, 1.96471e-08, 1.41421, -2.32286e-06, 2.01406e-08, 1.96471e-08, 1.96479e-08, 1.96507e-08, 2.01118e-08, 2.08934e-08, 1.96906e-08, 2.01399e-08, 1.98336e-08, 1.05656e-07, 2.67428e-08, 1.96631e-08, 1.96494e-08, 2.03305e-08, 7.34734e-07, 1.96473e-08, 1.51027e-06, 1.96471e-08, 2.04182e-08
0.507047, 0, 3.19217e-06, 4.0644e-08, 1.41421, -3.19217e-06, 4.16418e-08, 4.0644e-08, 4.06456e-08, 4.06511e-08, 4.15837e-08, 4.31642e-08, 4.07367e-08, 4.16404e-08, 4.1021e-08, 2.14572e-07, 4.99039e-08, 4.06763e-08, 4.06486e-08, 4.16569e-08, 1.08126e-06, 4.06443e-08, 1.95983e-06, 4.0644e-08, 4.22032e-08
0.514921, 0, 4.42032e-06, 8.20808e-08, 1.41421, -4.42032e-06, 8.40567e-08, 8.20808e-08, 8.20841e-08, 8.2095e-08, 8.39416e-08, 8.70712e-08, 8.22752e-08, 8.4054e-08, 8.28275e-08, 4.26485e-07, 9.41168e-08, 8.21448e-08, 8.209e-08, 8.35741e-08, 1.58631e-06, 8.20816e-08, 2.54324e-06, 8.20808e-08, 8.51683e-08
0.522794, 0, 6.18441e-06, 1.62339e-07, 1.41421, -6.18441e-06, 1.66176e-07, 1.62339e-07, 1.62345e-07, 1.62367e-07, 1.65953e-07, 1.72031e-07, 1.62843e-07, 1.66171e-07, 1.63789e-07, 8.31186e-07, 1.77921e-07, 1.62463e-07, 1.62357e-07, 1.64529e-07, 2.3235e-06, 1.6234e-07, 3.30752e-06, 1.62339e-07, 1.68335e-07
0.530668, 0, 8.76232e-06, 3.14914e-07, 1.41421, -8.76232e-06, 3.22228e-07, 3.14914e-07, 3.14926e-07, 3.14967e-07, 3.21802e-07, 3.33388e-07, 3.1604e-07, 3.22218e-07, 3.17678e-07, 1.58984e-06, 3.35007e-07, 3.15151e-07, 3.14948e-07, 3.18107e-07, 3.40058e-06, 3.14917e-07, 4.32281e-06, 3.14914e-07, 3.26343e-07
0.538542, 0, 1.25957e-05, 5.99621e-07, 1.41421, -1.25957e-05, 6.13311e-07, 5.99621e-07, 5.99643e-07, 5.99719e-07, 6.12514e-07, 6.34198e-07, 6.01974e-07, 6.13293e-07, 6.04794e-07, 2.98592e-06, 6.25431e-07, 6.00064e-07, 5.99684e-07, 6.04251e-07, 4.97751e-06, 5.99626e-07, 5.69668e-06, 5.99621e-07, 6.21013e-07
0.546415, 0, 1.83883e-05, 1.12113e-06, 1.41421, -1.83883e-05, 1.1463e-06, 1.12113e-06, 1.12117e-06, 1.12131e-06, 1.14483e-06, 1.1847e-06, 1.12586e-06, 1.14627e-06, 1.13064e-06, 5.50807e-06, 1.15416e-06, 1.12195e-06, 1.12125e-06, 1.12781e-06, 7.29309e-06, 1.12114e-06, 7.5974e-06, 1.12113e-06, 1.16046e-06
0.554289, 0, 2.72603e-05, 2.05891e-06, 1.41421, -2.72603e-05, 2.10437e-06, 2.05891e-06, 2.05899e-06, 2.05924e-06, 2.10172e-06, 2.17371e-06, 2.0681e-06, 2.1043e-06, 2.07609e-06, 9.98156e-06, 2.10101e-06, 2.06038e-06, 2.05912e-06, 2.06848e-06, 1.07054e-05, 2.05893e-06, 1.02915e-05, 2.05891e-06, 2.12994e-06
0.562162, 0, 4.09838e-05, 3.71443e-06, 1.41421, -4.09838e-05, 3.79508e-06, 3.71443e-06, 3.71457e-06, 3.71501e-06, 3.79038e-06, 3.91813e-06, 3.732e-06, 3.79497e-06, 3.74491e-06, 1.7772e-05, 3.7679e-06, 3.71705e-06, 3.71481e-06, 3.72807e-06, 1.57528e-05, 3.71446e-06, 1.42021e-05, 3.71443e-06, 3.84046e-06
0.570036, 0, 6.23365e-05, 6.5838e-06, 1.41421, -6.23365e-05, 6.72441e-06, 6.5838e-06, 6.58403e-06, 6.58481e-06, 6.71622e-06, 6.93894e-06, 6.61691e-06, 6.72422e-06, 6.63694e-06, 3.10929e-05, 6.65147e-06, 6.58836e-06, 6.58445e-06, 6.60312e-06, 2.32443e-05, 6.58386e-06, 1.99989e-05, 6.5838e-06, 6.80352e-06
0.57791, 0, 9.56194e-05, 1.14667e-05, 1.41421, -9.56194e-05, 1.17077e-05, 1.14667e-05, 1.14671e-05, 1.14685e-05, 1.16936e-05, 1.20752e-05, 1.15283e-05, 1.17073e-05, 1.15578e-05, 5.34592e-05, 1.15521e-05, 1.14745e-05, 1.14679e-05, 1.1494e-05, 3.43921e-05, 1.14668e-05, 2.8732e-05, 1.14667e-05, 1.18432e-05
0.585783, 0, 0.000147401, 1.96258e-05, 1.41421, -0.000147401, 2.00315e-05, 1.96258e-05, 1.96265e-05, 1.96287e-05, 2.00078e-05, 2.06504e-05, 1.97386e-05, 2.00309e-05, 1.97791e-05, 9.03367e-05, 1.97331e-05, 1.96389e-05, 1.96277e-05, 1.9664e-05, 5.10021e-05, 1.96259e-05, 4.2032e-05, 1.96258e-05, 2.02597e-05
0.593657, 0, 0.000227542, 3.30128e-05, 1.41421, -0.000227542, 3.36843e-05, 3.30128e-05, 3.30139e-05, 3.30176e-05, 3.36451e-05, 3.47087e-05, 3.32167e-05, 3.36833e-05, 3.32665e-05, 0.000150049, 3.31473e-05, 3.30346e-05, 3.30159e-05, 3.30661e-05, 7.5742e-05, 3.30131e-05, 6.23816e-05, 3.30128e-05, 3.4062e-05
0.60153, 0, 0.000350606, 5.45822e-05, 1.41421, -0.000350606, 5.56747e-05, 5.45822e-05, 5.4584e-05, 5.45901e-05, 5.56111e-05, 5.73415e-05, 5.49454e-05, 5.56732e-05, 5.49951e-05, 0.000245003, 5.47503e-05, 5.46176e-05, 5.45873e-05, 5.46561e-05, 0.000112511, 5.45827e-05, 9.35097e-05, 5.45822e-05, 5.62893e-05
0.609404, 0, 0.000537698, 8.87113e-05, 1.41421, -0.000537698, 9.04588e-05, 8.87113e-05, 8.87142e-05, 8.87239e-05, 9.0357e-05, 9.31249e-05, 8.93487e-05, 9.04564e-05, 8.93717e-05, 0.000393305, 8.89207e-05, 8.87679e-05, 8.87194e-05, 8.88134e-05, 0.000166932, 8.8712e-05, 0.000140911, 8.87113e-05, 9.14419e-05
0.617278, 0, 0.000818822, 0.000141746, 1.41421, -0.000818822, 0.000144494, 0.000141746, 0.000141751, 0.000141766, 0.000144334, 0.000148688, 0.000142848, 0.000144491, 0.000142785, 0.000620802, 0.000142006, 0.000141835, 0.000141759, 0.000141886, 0.000246999, 0.000141747, 0.000212527, 0.000141746, 0.000146041
0.625151, 0, 0.00123578, 0.000222688, 1.41421, -0.00123578, 0.000226939, 0.000222688, 0.000222695, 0.000222719, 0.000226691, 0.000233424, 0.000224566, 0.000226933, 0.000224294, 0.000963592, 0.000223011, 0.000222826, 0.000222708, 0.00022288, 0.000363889, 0.00022269, 0.000319607, 0.000222688, 0.00022933
