   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_531.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.13874, 0, 4.69965e-11, 0, 1.41421, -4.69965e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57478e-13, 0, 5.13705e-12, 0, 4.1602e-11, 0, 0, 0
0.146613, 0, 6.70685e-11, 0, 1.41421, -6.70685e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7662e-13, 0, 7.60837e-12, 0, 5.90835e-11, 0, 0, 0
0.154486, 0, 9.5359e-11, 0, 1.41421, -9.5359e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49533e-13, 0, 1.12328e-11, 0, 8.35767e-11, 0, 0, 0
0.162359, 0, 1.35086e-10, 0, 1.41421, -1.35086e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00002e-13, 0, 1.65323e-11, 0, 1.17754e-10, 0, 0, 0
0.170232, 0, 1.9067e-10, 0, 1.41421, -1.9067e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16221e-12, 0, 2.42578e-11, 0, 1.6525e-10, 0, 0, 0
0.178105, 0, 2.6816e-10, 0, 1.41421, -2.6816e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68524e-12, 0, 3.54872e-11, 0, 2.30988e-10, 0, 0, 0
0.185979, 0, 3.75806e-10, 0, 1.41421, -3.75806e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43965e-12, 0, 5.17638e-11, 0, 3.21603e-10, 0, 0, 0
0.193852, 0, 5.24823e-10, 0, 1.41421, -5.24823e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52676e-12, 0, 7.52915e-11, 0, 4.46004e-10, 0, 0, 0
0.201725, 0, 7.30404e-10, 2.8026e-44, 1.41421, -7.30404e-10, 0, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 2.8026e-44, 5.09234e-12, 2.8026e-44, 1.09211e-10, 2.8026e-44, 6.16101e-10, 2.8026e-44, 2.8026e-44, 2.8026e-44
0.209598, 0, 1.01307e-09, 5.33895e-43, 1.41421, -1.01307e-09, 0, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 5.33895e-43, 7.34607e-12, 5.33895e-43, 1.57987e-10, 5.33895e-43, 8.47741e-10, 5.33895e-43, 5.33895e-43, 5.33895e-43
