   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_834.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.0720543, 0, 1.52604e-16, 0, 1.41421, -1.52604e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62635e-18, 0, 0, 6.03489e-17, 0, 9.06286e-17, 0, 0
0.0799212, 0, 2.758e-16, 0, 1.41421, -2.758e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91393e-18, 0, 0, 1.10507e-16, 0, 1.62379e-16, 0, 0
0.0877881, 0, 4.94901e-16, 0, 1.41421, -4.94901e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18195e-18, 0, 0, 2.00953e-16, 0, 2.88765e-16, 0, 0
0.095655, 0, 8.81845e-16, 0, 1.41421, -8.81845e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.14759e-18, 0, 0, 3.62946e-16, 0, 5.09752e-16, 0, 0
0.103522, 0, 1.56055e-15, 0, 1.41421, -1.56055e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60312e-17, 0, 0, 6.51169e-16, 0, 8.93345e-16, 0, 0
0.111389, 0, 2.74298e-15, 0, 1.41421, -2.74298e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78943e-17, 0, 0, 1.16066e-15, 0, 1.55442e-15, 0, 0
0.119256, 0, 4.78939e-15, 0, 1.41421, -4.78939e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81941e-17, 0, 0, 2.05556e-15, 0, 2.68564e-15, 0, 0
0.127123, 0, 8.308e-15, 0, 1.41421, -8.308e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26869e-17, 0, 0, 3.61755e-15, 0, 4.60776e-15, 0, 0
0.13499, 0, 1.43191e-14, 0, 1.41421, -1.43191e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40889e-16, 0, 0, 6.32712e-15, 0, 7.85111e-15, 0, 0
0.142856, 0, 2.45234e-14, 0, 1.41421, -2.45234e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38423e-16, 0, 0, 1.09988e-14, 0, 1.32862e-14, 0, 0
0.150723, 0, 4.1738e-14, 0, 1.41421, -4.1738e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00749e-16, 0, 0, 1.90053e-14, 0, 2.23319e-14, 0, 0
0.15859, 0, 7.06001e-14, 0, 1.41421, -7.06001e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69087e-16, 0, 0, 3.26461e-14, 0, 3.72849e-14, 0, 0
0.166457, 0, 1.18697e-13, 0, 1.41421, -1.18697e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10968e-15, 0, 0, 5.57507e-14, 0, 6.18367e-14, 0, 0
0.174324, 0, 1.98369e-13, 0, 1.41421, -1.98369e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82829e-15, 0, 0, 9.46612e-14, 0, 1.0188e-13, 0, 0
0.182191, 0, 3.29577e-13, 0, 1.41421, -3.29577e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99254e-15, 0, 0, 1.59829e-13, 0, 1.66755e-13, 0, 0
0.190058, 0, 5.44403e-13, 0, 1.41421, -5.44403e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.8664e-15, 0, 0, 2.68368e-13, 0, 2.71169e-13, 0, 0
0.197925, 0, 8.94136e-13, 0, 1.41421, -8.94136e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.86257e-15, 0, 0, 4.4816e-13, 0, 4.38112e-13, 0, 0
0.205792, 0, 1.46031e-12, 0, 1.41421, -1.46031e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2622e-14, 0, 0, 7.44393e-13, 0, 7.0329e-13, 0, 0
0.213659, 0, 2.37183e-12, 0, 1.41421, -2.37183e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01333e-14, 0, 0, 1.22993e-12, 0, 1.12177e-12, 0, 0
0.221525, 0, 3.8315e-12, 0, 1.41421, -3.8315e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19112e-14, 0, 0, 2.02169e-12, 0, 1.7779e-12, 0, 0
0.229392, 0, 6.16553e-12, 0, 1.41421, -6.16553e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02881e-14, 0, 0, 3.31374e-12, 0, 2.8015e-12, 0, 0
0.237259, 0, 9.85496e-12, 0, 1.41421, -9.85496e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87023e-14, 0, 0, 5.39225e-12, 0, 4.38401e-12, 0, 0
0.245126, 0, 1.56727e-11, 0, 1.41421, -1.56727e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22405e-13, 0, 0, 8.73265e-12, 0, 6.81761e-12, 0, 0
0.252993, 0, 2.48025e-11, 0, 1.41421, -2.48025e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89199e-13, 0, 0, 1.4077e-11, 0, 1.05363e-11, 0, 0
0.26086, 0, 3.90638e-11, 0, 1.41421, -3.90638e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90642e-13, 0, 0, 2.25907e-11, 0, 1.61824e-11, 0, 0
0.268727, 0, 6.12423e-11, 0, 1.41421, -6.12423e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43743e-13, 0, 0, 3.60974e-11, 0, 2.47012e-11, 0, 0
0.276594, 0, 9.55877e-11, 1.30321e-43, 1.41421, -9.55877e-11, 1.30321e-43, 0, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 1.30321e-43, 6.7337e-13, 1.30321e-43, 1.30321e-43, 5.74415e-11, 1.30321e-43, 3.74729e-11, 1.30321e-43, 1.30321e-43
0.284461, 0, 1.48564e-10, 2.25189e-42, 1.41421, -1.48564e-10, 2.25189e-42, 0, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 2.25189e-42, 1.01565e-12, 2.25189e-42, 2.25189e-42, 9.10472e-11, 2.25189e-42, 5.65012e-11, 2.25189e-42, 2.25189e-42
0.292328, 0, 2.29972e-10, 3.2789e-41, 1.41421, -2.29972e-10, 3.2789e-41, 0, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 3.2789e-41, 1.5227e-12, 3.2789e-41, 3.2789e-41, 1.43775e-10, 3.2789e-41, 8.46735e-11, 3.2789e-41, 3.2789e-41
0.300194, 0, 3.54638e-10, 4.19899e-40, 1.41421, -3.54638e-10, 4.19899e-40, 0, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 4.19899e-40, 2.26927e-12, 4.19899e-40, 4.19899e-40, 2.26243e-10, 4.19899e-40, 1.26125e-10, 4.19899e-40, 4.19899e-40
0.308061, 0, 5.44942e-10, 4.82064e-39, 1.41421, -5.44942e-10, 4.82064e-39, 0, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 4.82064e-39, 3.36183e-12, 4.82064e-39, 4.82064e-39, 3.54844e-10, 4.82064e-39, 1.86737e-10, 4.82064e-39, 4.82064e-39
0.315928, 0, 8.34605e-10, 5.00415e-38, 1.41421, -8.34605e-10, 5.00415e-38, 0, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 5.00415e-38, 4.95111e-12, 5.00415e-38, 5.00415e-38, 5.54836e-10, 5.00415e-38, 2.74817e-10, 5.00415e-38, 5.00415e-38
0.323795, 0, 1.27437e-09, 4.71142e-37, 1.41421, -1.27437e-09, 4.71142e-37, 0, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 4.71142e-37, 7.24918e-12, 4.71142e-37, 4.71142e-37, 8.6509e-10, 4.71142e-37, 4.0203e-10, 4.71142e-37, 4.71142e-37
0.331662, 0, 1.9405e-09, 4.05256e-36, 1.41421, -1.9405e-09, 4.05256e-36, 0, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 4.05256e-36, 1.05525e-11, 4.05256e-36, 4.05256e-36, 1.34531e-09, 4.05256e-36, 5.84636e-10, 4.05256e-36, 4.05256e-36
0.339529, 0, 2.94752e-09, 3.19675e-35, 1.41421, -2.94752e-09, 3.19675e-35, 0, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 3.19675e-35, 1.52731e-11, 3.19675e-35, 3.19675e-35, 2.08709e-09, 3.19675e-35, 8.45159e-10, 3.19675e-35, 3.19675e-35
0.347396, 0, 4.46732e-09, 2.32254e-34, 1.41421, -4.46732e-09, 2.32254e-34, 0, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.32254e-34, 2.19802e-11, 2.32254e-34, 2.32254e-34, 3.23074e-09, 2.32254e-34, 1.2146e-09, 2.32254e-34, 2.32254e-34
0.355263, 0, 6.75769e-09, 1.55045e-33, 1.41421, -6.75769e-09, 1.55045e-33, 0, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 1.55045e-33, 3.14552e-11, 1.55045e-33, 1.55045e-33, 4.99091e-09, 1.55045e-33, 1.73533e-09, 1.55045e-33, 1.55045e-33
0.36313, 0, 1.02051e-08, 8.68332e-33, 1.41421, -1.02051e-08, 8.68332e-33, 0, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 8.68332e-33, 4.47653e-11, 8.68332e-33, 8.68332e-33, 7.6954e-09, 8.68332e-33, 2.4649e-09, 8.68332e-33, 8.68332e-33
0.370997, 0, 1.53885e-08, 5.06946e-32, 1.41421, -1.53885e-08, 5.06946e-32, 0, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 5.06946e-32, 6.33592e-11, 5.06946e-32, 5.06946e-32, 1.18441e-08, 5.06946e-32, 3.48101e-09, 5.06946e-32, 5.06946e-32
0.378863, 0, 2.31747e-08, 2.62169e-31, 1.41421, -2.31747e-08, 2.62169e-31, 0, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 2.62169e-31, 8.91926e-11, 2.62169e-31, 2.62169e-31, 1.81976e-08, 2.62169e-31, 4.88781e-09, 2.62169e-31, 2.62169e-31
0.38673, 0, 3.48596e-08, 1.34488e-30, 1.41421, -3.48596e-08, 1.34488e-30, 0, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.34488e-30, 1.24892e-10, 1.34488e-30, 1.34488e-30, 2.79106e-08, 1.34488e-30, 6.82409e-09, 1.34488e-30, 1.34488e-30
0.394597, 0, 5.23785e-08, 6.60782e-30, 1.41421, -5.23785e-08, 6.60782e-30, 0, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 6.60782e-30, 1.73967e-10, 6.60782e-30, 6.60782e-30, 4.27309e-08, 6.60782e-30, 9.47359e-09, 6.60782e-30, 6.60782e-30
0.402464, 0, 7.86154e-08, 3.07402e-29, 1.41421, -7.86154e-08, 3.07402e-29, 0, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 3.07402e-29, 2.41079e-10, 3.07402e-29, 3.07402e-29, 6.52963e-08, 3.07402e-29, 1.30781e-08, 3.07402e-29, 3.07402e-29
0.410331, 0, 1.17858e-07, 1.38439e-28, 1.41421, -1.17858e-07, 1.38439e-28, 0, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 1.38439e-28, 3.32394e-10, 1.38439e-28, 1.38439e-28, 9.95722e-08, 1.38439e-28, 1.79536e-08, 1.38439e-28, 1.38439e-28
0.418198, 0, 1.76462e-07, 5.99271e-28, 1.41421, -1.76462e-07, 5.99271e-28, 0, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 5.99271e-28, 4.56025e-10, 5.99271e-28, 5.99271e-28, 1.51495e-07, 5.99271e-28, 2.45107e-08, 5.99271e-28, 5.99271e-28
0.426065, 0, 2.63815e-07, 2.47551e-27, 1.41421, -2.63815e-07, 2.47551e-27, 0, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 2.47551e-27, 6.226e-10, 2.47551e-27, 2.47551e-27, 2.29912e-07, 2.47551e-27, 3.32801e-08, 2.47551e-27, 2.47551e-27
0.433932, 0, 3.93725e-07, 9.7592e-27, 1.41421, -3.93725e-07, 9.7592e-27, 0, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 9.7592e-27, 8.45966e-10, 9.7592e-27, 9.7592e-27, 3.47937e-07, 9.7592e-27, 4.49422e-08, 9.7592e-27, 9.7592e-27
0.441799, 0, 5.86408e-07, 3.67422e-26, 1.41421, -5.86408e-07, 3.67422e-26, 0, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 3.67422e-26, 1.1441e-09, 3.67422e-26, 3.67422e-26, 5.24898e-07, 3.67422e-26, 6.03657e-08, 3.67422e-26, 3.67422e-26
0.449666, 0, 8.71301e-07, 1.32315e-25, 1.41421, -8.71301e-07, 1.32315e-25, 0, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.32315e-25, 1.5402e-09, 1.32315e-25, 1.32315e-25, 7.89109e-07, 1.32315e-25, 8.06518e-08, 1.32315e-25, 1.32315e-25
0.457532, 0, 1.29102e-06, 4.59198e-25, 1.41421, -1.29102e-06, 4.59198e-25, 0, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 4.59198e-25, 2.06412e-09, 4.59198e-25, 4.59198e-25, 1.18177e-06, 4.59198e-25, 1.07189e-07, 4.59198e-25, 4.59198e-25
0.465399, 0, 1.90782e-06, 7.06528e-11, 1.41421, -1.90782e-06, 1.14207e-10, 7.06528e-11, 7.06588e-11, 1.06851e-10, 3.81861e-10, 8.39557e-11, 3.15628e-10, 1.21767e-10, 1.56733e-10, 7.66153e-11, 1.32916e-10, 2.82476e-09, 7.37136e-11, 7.07637e-11, 1.76247e-06, 7.06535e-11, 1.41805e-07, 7.06528e-11, 7.06528e-11
0.473266, 0, 2.80946e-06, 2.1826e-10, 1.41421, -2.80946e-06, 3.56403e-10, 2.1826e-10, 2.18279e-10, 3.33071e-10, 1.20532e-09, 2.60454e-10, 9.95251e-10, 3.80379e-10, 4.91283e-10, 2.37172e-10, 4.15743e-10, 3.87709e-09, 2.27968e-10, 2.18612e-10, 2.61662e-06, 2.18262e-10, 1.86675e-07, 2.1826e-10, 2.1826e-10
0.481133, 0, 4.12139e-06, 5.2429e-10, 1.41421, -4.12139e-06, 8.63211e-10, 5.2429e-10, 5.24336e-10, 8.05969e-10, 2.94597e-09, 6.27807e-10, 2.43058e-09, 9.22034e-10, 1.19413e-09, 5.70687e-10, 1.0088e-09, 5.36434e-09, 5.48107e-10, 5.25153e-10, 3.86577e-06, 5.24295e-10, 2.44632e-07, 5.2429e-10, 5.2429e-10
0.489, 0, 6.02082e-06, 1.15391e-09, 1.41421, -6.02082e-06, 1.91035e-09, 1.15391e-09, 1.15401e-09, 1.78259e-09, 6.55886e-09, 1.38495e-09, 5.40855e-09, 2.04163e-09, 2.64892e-09, 1.25746e-09, 2.23528e-09, 7.52966e-09, 1.20706e-09, 1.15583e-09, 5.68151e-06, 1.15392e-09, 3.19194e-07, 1.15391e-09, 1.15391e-09
0.496867, 0, 8.75711e-06, 2.43106e-09, 1.41421, -8.75711e-06, 4.03893e-09, 2.43106e-09, 2.43128e-09, 3.76736e-09, 1.39197e-08, 2.92215e-09, 1.14746e-08, 4.31798e-09, 5.60882e-09, 2.65117e-09, 4.7296e-09, 1.0795e-08, 2.54405e-09, 2.43515e-09, 8.30464e-06, 2.43108e-09, 4.1487e-07, 2.43106e-09, 2.43106e-09
0.504734, 0, 1.2694e-05, 4.97788e-09, 1.41421, -1.2694e-05, 8.28937e-09, 4.97788e-09, 4.97833e-09, 7.73008e-09, 2.86394e-08, 5.98932e-09, 2.36036e-08, 8.86411e-09, 1.15227e-08, 5.43122e-09, 9.71186e-09, 1.59052e-08, 5.2106e-09, 4.98631e-09, 1.20854e-05, 4.97793e-09, 5.37479e-07, 4.97788e-09, 4.97788e-09
0.512601, 0, 1.82996e-05, 9.96389e-09, 1.41421, -1.82996e-05, 1.66208e-08, 9.96389e-09, 9.96481e-09, 1.54965e-08, 5.75291e-08, 1.19971e-08, 4.7406e-08, 1.77761e-08, 2.31205e-08, 1.08752e-08, 1.94803e-08, 2.41823e-08, 1.04317e-08, 9.98085e-09, 1.74696e-05, 9.96399e-09, 6.9467e-07, 9.96389e-09, 9.96389e-09
0.520468, 0, 2.62542e-05, 1.95464e-08, 1.41421, -2.62542e-05, 3.26517e-08, 1.95464e-08, 1.95482e-08, 3.04383e-08, 1.13187e-07, 2.35492e-08, 9.3258e-08, 3.49262e-08, 4.54475e-08, 2.13405e-08, 3.82812e-08, 3.7973e-08, 2.04674e-08, 1.95798e-08, 2.51005e-05, 1.95466e-08, 8.96753e-07, 1.95464e-08, 1.95464e-08
0.528335, 0, 3.74881e-05, 3.7624e-08, 1.41421, -3.74881e-05, 6.29308e-08, 3.7624e-08, 3.76274e-08, 5.86566e-08, 2.18448e-07, 4.53535e-08, 1.79964e-07, 6.7323e-08, 8.76399e-08, 4.10884e-08, 7.38015e-08, 6.14094e-08, 3.94024e-08, 3.76884e-08, 3.58455e-05, 3.76243e-08, 1.15802e-06, 3.7624e-08, 3.7624e-08
0.536201, 0, 5.32814e-05, 7.11026e-08, 1.41421, -5.32814e-05, 1.19076e-07, 7.11026e-08, 7.11092e-08, 1.10973e-07, 4.13882e-07, 8.57551e-08, 3.4093e-07, 1.27402e-07, 1.65916e-07, 7.767e-08, 1.39683e-07, 1.01685e-07, 7.44739e-08, 7.12248e-08, 5.08781e-05, 7.11034e-08, 1.49888e-06, 7.11026e-08, 7.11026e-08
0.544068, 0, 7.53932e-05, 1.31969e-07, 1.41421, -7.53932e-05, 2.21282e-07, 1.31969e-07, 1.31981e-07, 2.06198e-07, 7.70136e-07, 1.59248e-07, 6.34317e-07, 2.36783e-07, 3.08486e-07, 1.44196e-07, 2.59648e-07, 1.71137e-07, 1.38245e-07, 1.32196e-07, 7.17777e-05, 1.3197e-07, 1.94918e-06, 1.31969e-07, 1.31969e-07
0.551935, 0, 0.00010624, 2.40605e-07, 1.41421, -0.00010624, 4.03949e-07, 2.40605e-07, 2.40627e-07, 3.76361e-07, 1.40775e-06, 2.90495e-07, 1.15935e-06, 4.32299e-07, 5.63437e-07, 2.62966e-07, 4.74116e-07, 2.90576e-07, 2.52084e-07, 2.41021e-07, 0.00010066, 2.40607e-07, 2.5537e-06, 2.40605e-07, 2.40605e-07
0.559802, 0, 0.000149145, 4.30965e-07, 1.41421, -0.000149145, 7.24487e-07, 4.30965e-07, 4.31005e-07, 6.74913e-07, 2.52826e-06, 5.20616e-07, 2.0819e-06, 7.75431e-07, 1.01108e-06, 4.71147e-07, 8.50573e-07, 4.9448e-07, 4.51592e-07, 4.31712e-07, 0.000140351, 4.30969e-07, 3.38034e-06, 4.30965e-07, 4.30965e-07
0.567669, 0, 0.000208683, 7.58467e-07, 1.41421, -0.000208683, 1.27677e-06, 7.58467e-07, 7.58539e-07, 1.18923e-06, 4.46189e-06, 9.16774e-07, 3.6737e-06, 1.36673e-06, 1.78284e-06, 8.29422e-07, 1.49941e-06, 8.38901e-07, 7.94891e-07, 7.59788e-07, 0.000194619, 7.58475e-07, 4.53293e-06, 7.58467e-07, 7.58467e-07
0.575536, 0, 0.000291164, 1.3117e-06, 1.41421, -0.000291164, 2.21117e-06, 1.3117e-06, 1.31182e-06, 2.05925e-06, 7.73862e-06, 1.58642e-06, 6.37081e-06, 2.36728e-06, 3.08939e-06, 1.43483e-06, 2.59754e-06, 1.4132e-06, 1.37491e-06, 1.31399e-06, 0.000268488, 1.31171e-06, 6.1702e-06, 1.3117e-06, 1.3117e-06
0.583403, 0, 0.000405304, 2.22932e-06, 1.41421, -0.000405304, 3.76353e-06, 2.22932e-06, 2.22953e-06, 3.50441e-06, 1.31917e-05, 2.69791e-06, 1.08586e-05, 4.02981e-06, 5.26151e-06, 2.43935e-06, 4.42257e-06, 2.35696e-06, 2.33713e-06, 2.23322e-06, 0.000368654, 2.22934e-06, 8.53454e-06, 2.22932e-06, 2.22932e-06
0.59127, 0, 0.00056315, 3.72383e-06, 1.41421, -0.00056315, 6.2962e-06, 3.72383e-06, 3.72419e-06, 5.86174e-06, 2.2104e-05, 4.50951e-06, 1.81923e-05, 6.74265e-06, 8.80781e-06, 4.07598e-06, 7.40118e-06, 3.88383e-06, 3.90461e-06, 3.73039e-06, 0.00050406, 3.72387e-06, 1.19887e-05, 3.72383e-06, 3.72383e-06
0.599137, 0, 0.000781346, 6.11418e-06, 1.41421, -0.000781346, 1.03543e-05, 6.11418e-06, 6.11476e-06, 9.63815e-06, 3.64108e-05, 7.40924e-06, 2.99629e-05, 1.10902e-05, 1.44942e-05, 6.69464e-06, 1.21757e-05, 6.31414e-06, 6.41215e-06, 6.12498e-06, 0.000686674, 6.11424e-06, 1.70738e-05, 6.11418e-06, 6.11418e-06
0.607004, 0, 0.00108281, 9.86838e-06, 1.41421, -0.00108281, 1.67399e-05, 9.86838e-06, 9.86933e-06, 1.55793e-05, 5.89668e-05, 1.19671e-05, 4.85174e-05, 1.79325e-05, 2.3449e-05, 1.08091e-05, 1.96916e-05, 1.01176e-05, 1.03513e-05, 9.88588e-06, 0.000932515, 9.86848e-06, 2.45785e-05, 9.86838e-06, 9.86838e-06
0.61487, 0, 0.00149901, 1.5659e-05, 1.41421, -0.00149901, 2.66088e-05, 1.5659e-05, 1.56605e-05, 2.47594e-05, 9.38984e-05, 1.90034e-05, 7.7247e-05, 2.85093e-05, 3.73e-05, 1.7158e-05, 3.13124e-05, 1.59687e-05, 1.64285e-05, 1.56869e-05, 0.00126305, 1.56591e-05, 3.56418e-05, 1.5659e-05, 1.5659e-05
0.622737, 0, 0.00207278, 2.44306e-05, 1.41421, -0.00207278, 4.15898e-05, 2.44306e-05, 2.44329e-05, 3.86917e-05, 0.000147037, 2.96715e-05, 0.000120944, 4.45679e-05, 5.83436e-05, 2.67796e-05, 4.89607e-05, 2.48147e-05, 2.56364e-05, 2.44743e-05, 0.00170699, 2.44308e-05, 5.18721e-05, 2.44306e-05, 2.44306e-05
0.630604, 0, 0.00286197, 3.74805e-05, 1.41421, -0.00286197, 6.39271e-05, 3.74805e-05, 3.74841e-05, 5.94604e-05, 0.000226448, 4.55581e-05, 0.000186231, 6.85171e-05, 8.97488e-05, 4.1101e-05, 7.52875e-05, 3.79558e-05, 3.9339e-05, 3.75479e-05, 0.00230259, 3.74809e-05, 7.54998e-05, 3.74805e-05, 3.74805e-05
