   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.366966, 0, 6.31421e-08, 4.5051e-29, 1.41421, -6.31421e-08, 0, 4.5051e-29, 4.5051e-29, 4.5051e-29, 4.5051e-29, 4.5051e-29, 4.5051e-29, 4.5051e-29, 4.5051e-29, 9.9042e-10, 4.5051e-29, 2.89001e-11, 1.98776e-10, 4.5051e-29, 6.1924e-08, 4.5051e-29, 4.5051e-29
0.374614, 0, 8.23958e-08, 1.908e-28, 1.41421, -8.23958e-08, 0, 1.908e-28, 1.908e-28, 1.908e-28, 1.908e-28, 1.908e-28, 1.908e-28, 1.908e-28, 1.908e-28, 1.29829e-09, 1.908e-28, 4.22725e-11, 2.82292e-10, 1.908e-28, 8.0773e-08, 1.908e-28, 1.908e-28
0.382261, 0, 1.0707e-07, 7.68144e-28, 1.41421, -1.0707e-07, 0, 7.68144e-28, 7.68144e-28, 7.68144e-28, 7.68144e-28, 7.68144e-28, 7.68144e-28, 7.68144e-28, 7.68144e-28, 1.69551e-09, 7.68144e-28, 6.1735e-11, 3.99894e-10, 7.68144e-28, 1.04912e-07, 7.68144e-28, 7.68144e-28
0.389909, 0, 1.38555e-07, 2.94707e-27, 1.41421, -1.38555e-07, 0, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.94707e-27, 2.20612e-09, 2.94707e-27, 8.99869e-11, 5.65006e-10, 2.94707e-27, 1.35694e-07, 2.94707e-27, 2.94707e-27
0.397556, 0, 1.78564e-07, 1.08004e-26, 1.41421, -1.78564e-07, 0, 1.08004e-26, 1.08004e-26, 1.08004e-26, 1.08004e-26, 1.08004e-26, 2.70543e-13, 1.08004e-26, 1.08004e-26, 2.86017e-09, 1.08004e-26, 1.30876e-10, 7.96093e-10, 1.08004e-26, 1.74777e-07, 1.08004e-26, 1.08004e-26
0.405204, 0, 2.29195e-07, 3.78956e-26, 1.41421, -2.29195e-07, 0, 3.78956e-26, 3.78956e-26, 3.78956e-26, 3.78956e-26, 3.78956e-26, 8.13664e-13, 3.78956e-26, 3.78956e-26, 3.69502e-09, 3.78956e-26, 1.89864e-10, 1.11844e-09, 3.78956e-26, 2.24191e-07, 3.78956e-26, 3.78956e-26
0.412852, 0, 2.93005e-07, 1.28235e-25, 1.41421, -2.93005e-07, 0, 1.28235e-25, 1.28235e-25, 1.28235e-25, 1.28235e-25, 1.28235e-25, 1.87787e-12, 1.28235e-25, 1.28235e-25, 4.75698e-09, 1.28235e-25, 2.74659e-10, 1.5665e-09, 1.28235e-25, 2.86405e-07, 1.28235e-25, 1.28235e-25
0.420499, 0, 3.75354e-07, 4.94977e-10, 1.41421, -3.75354e-07, 4.94977e-10, 4.95015e-10, 4.95092e-10, 4.9505e-10, 4.96026e-10, 4.95175e-10, 5.11787e-10, 5.02821e-10, 2.1762e-09, 6.59837e-09, 4.95005e-10, 8.91068e-10, 2.68193e-09, 4.94979e-10, 3.64946e-07, 4.94977e-10, 5.09106e-10
0.428147, 0, 4.79977e-07, 1.47934e-09, 1.41421, -4.79977e-07, 1.47934e-09, 1.47946e-09, 1.47969e-09, 1.47956e-09, 1.48248e-09, 1.47993e-09, 1.52568e-09, 1.50281e-09, 6.50834e-09, 9.28396e-09, 1.47943e-09, 2.04867e-09, 4.52207e-09, 1.47935e-09, 4.63415e-07, 1.47934e-09, 1.52161e-09
0.435794, 0, 6.13428e-07, 3.39575e-09, 1.41421, -6.13428e-07, 3.39575e-09, 3.39601e-09, 3.39654e-09, 3.39625e-09, 3.40296e-09, 3.39711e-09, 3.49924e-09, 3.44963e-09, 1.49455e-08, 1.33429e-08, 3.39594e-09, 4.21113e-09, 7.6139e-09, 3.39576e-09, 5.86632e-07, 3.39575e-09, 3.49281e-09
0.443442, 0, 7.84933e-07, 7.05749e-09, 1.41421, -7.84933e-07, 7.05749e-09, 7.05802e-09, 7.05912e-09, 7.05852e-09, 7.07247e-09, 7.06031e-09, 7.26968e-09, 7.16954e-09, 3.10756e-08, 1.9694e-08, 7.05788e-09, 8.22084e-09, 1.2883e-08, 7.05751e-09, 7.40742e-07, 7.05749e-09, 7.25933e-09
0.45109, 0, 1.00772e-06, 1.39416e-08, 1.41421, -1.00772e-06, 1.39416e-08, 1.39426e-08, 1.39448e-08, 1.39436e-08, 1.39712e-08, 1.39471e-08, 1.43568e-08, 1.4163e-08, 6.14054e-08, 2.99432e-08, 1.39424e-08, 1.55948e-08, 2.19558e-08, 1.39416e-08, 9.33507e-07, 1.39416e-08, 1.43405e-08
0.458737, 0, 1.30161e-06, 2.66814e-08, 1.41421, -1.30161e-06, 2.66814e-08, 2.66835e-08, 2.66876e-08, 2.66854e-08, 2.67381e-08, 2.66921e-08, 2.74706e-08, 2.71053e-08, 1.17543e-07, 4.68799e-08, 2.66829e-08, 2.90212e-08, 3.76667e-08, 2.66815e-08, 1.17516e-06, 2.66814e-08, 2.7445e-08
0.466385, 0, 1.69728e-06, 4.99018e-08, 1.41421, -1.69728e-06, 4.99018e-08, 4.99055e-08, 4.99133e-08, 4.99091e-08, 5.00078e-08, 4.99217e-08, 5.16473e-08, 5.06947e-08, 2.19878e-07, 7.53177e-08, 4.99045e-08, 5.31991e-08, 6.48969e-08, 4.99019e-08, 1.47948e-06, 4.99018e-08, 5.13302e-08
0.474032, 0, 2.24315e-06, 9.15942e-08, 1.41421, -2.24315e-06, 9.15942e-08, 9.16012e-08, 9.16155e-08, 9.16077e-08, 9.17889e-08, 9.16308e-08, 9.59522e-08, 9.305e-08, 4.03651e-07, 1.23476e-07, 9.15993e-08, 9.62208e-08, 1.11969e-07, 9.15946e-08, 1.8655e-06, 9.15942e-08, 9.42167e-08
0.48168, 0, 3.01692e-06, 1.65362e-07, 1.41421, -3.01692e-06, 1.65362e-07, 1.65374e-07, 1.654e-07, 1.65386e-07, 1.65713e-07, 1.65428e-07, 1.76772e-07, 1.6799e-07, 7.28844e-07, 2.05231e-07, 1.65371e-07, 1.71825e-07, 1.92923e-07, 1.65362e-07, 2.36027e-06, 1.65362e-07, 1.70097e-07
0.489328, 0, 4.13953e-06, 2.93985e-07, 1.41421, -4.13953e-06, 2.93985e-07, 2.94007e-07, 2.94053e-07, 2.94028e-07, 2.9461e-07, 2.94102e-07, 3.18686e-07, 2.98659e-07, 1.29592e-06, 3.4369e-07, 2.94001e-07, 3.02977e-07, 3.31101e-07, 2.93986e-07, 3.00309e-06, 2.93985e-07, 3.02405e-07
0.496975, 0, 5.80849e-06, 5.15344e-07, 1.41421, -5.80849e-06, 5.15344e-07, 5.15383e-07, 5.15463e-07, 5.1542e-07, 5.1644e-07, 5.1555e-07, 5.66221e-07, 5.23539e-07, 2.27202e-06, 5.77125e-07, 5.15372e-07, 5.27797e-07, 5.65101e-07, 5.15346e-07, 3.85242e-06, 5.15344e-07, 5.30107e-07
0.504623, 0, 8.32396e-06, 8.89756e-07, 1.41421, -8.32396e-06, 8.89756e-07, 8.89824e-07, 8.89963e-07, 8.89887e-07, 8.91649e-07, 8.90112e-07, 9.83442e-07, 9.03907e-07, 3.92313e-06, 9.66316e-07, 8.89806e-07, 9.06923e-07, 9.56157e-07, 8.89759e-07, 4.99442e-06, 8.89756e-07, 9.15248e-07
0.512271, 0, 1.21746e-05, 1.51491e-06, 1.41421, -1.21746e-05, 1.51491e-06, 1.51503e-06, 1.51526e-06, 1.51513e-06, 1.51813e-06, 1.51552e-06, 1.68529e-06, 1.53901e-06, 6.68031e-06, 1.6095e-06, 1.515e-06, 1.53847e-06, 1.60312e-06, 1.51492e-06, 6.56034e-06, 1.51491e-06, 1.55832e-06
0.519918, 0, 1.81152e-05, 2.54393e-06, 1.41421, -1.81152e-05, 2.54393e-06, 2.54413e-06, 2.54453e-06, 2.54431e-06, 2.54935e-06, 2.54495e-06, 2.84995e-06, 2.58441e-06, 1.12193e-05, 2.66047e-06, 2.54408e-06, 2.57613e-06, 2.6606e-06, 2.54394e-06, 8.74733e-06, 2.54393e-06, 2.61684e-06
0.527566, 0, 2.73074e-05, 4.21384e-06, 1.41421, -2.73074e-05, 4.21384e-06, 4.21416e-06, 4.21482e-06, 4.21446e-06, 4.22281e-06, 4.21553e-06, 4.75664e-06, 4.28089e-06, 1.85861e-05, 4.35699e-06, 4.21408e-06, 4.25765e-06, 4.36747e-06, 4.21386e-06, 1.18512e-05, 4.21384e-06, 4.33462e-06
0.535213, 0, 4.15181e-05, 6.88569e-06, 1.41421, -4.15181e-05, 6.88569e-06, 6.88621e-06, 6.88729e-06, 6.8867e-06, 6.90035e-06, 6.88844e-06, 7.83648e-06, 6.99527e-06, 3.03745e-05, 7.06104e-06, 6.88607e-06, 6.94504e-06, 7.08714e-06, 6.88571e-06, 1.63144e-05, 6.88569e-06, 7.08308e-06
0.542861, 0, 6.33934e-05, 1.11011e-05, 1.41421, -6.33934e-05, 1.11011e-05, 1.11019e-05, 1.11036e-05, 1.11027e-05, 1.11247e-05, 1.11055e-05, 1.27457e-05, 1.12778e-05, 4.89759e-05, 1.13153e-05, 1.11017e-05, 1.11811e-05, 1.13642e-05, 1.11011e-05, 2.27878e-05, 1.11011e-05, 1.14194e-05
0.550509, 0, 9.6844e-05, 1.7659e-05, 1.41421, -9.6844e-05, 1.7659e-05, 1.76603e-05, 1.76631e-05, 1.76616e-05, 1.76966e-05, 1.7666e-05, 2.04682e-05, 1.79401e-05, 7.79186e-05, 1.792e-05, 1.766e-05, 1.77666e-05, 1.80013e-05, 1.7659e-05, 3.22228e-05, 1.7659e-05, 1.81654e-05
