   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.150459, 0, 2.11572e-13, 0, 1.41421, -2.11572e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71487e-15, 0, 1.06663e-17, 6.94793e-17, 0, 2.09777e-13, 0, 0, 0
0.158345, 0, 3.40403e-13, 0, 1.41421, -3.40403e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7591e-15, 0, 1.75365e-17, 1.15277e-16, 0, 3.37511e-13, 0, 0, 0
0.166231, 0, 5.44463e-13, 0, 1.41421, -5.44463e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41311e-15, 0, 2.86755e-17, 1.90305e-16, 0, 5.39831e-13, 0, 0, 0
0.174118, 0, 8.65761e-13, 0, 1.41421, -8.65761e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01744e-15, 0, 4.66401e-17, 3.12616e-16, 0, 8.58384e-13, 0, 0, 0
0.182004, 0, 1.36866e-12, 0, 1.41421, -1.36866e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10939e-14, 0, 7.54627e-17, 5.11043e-16, 0, 1.35698e-12, 0, 0, 0
0.18989, 0, 2.15118e-12, 0, 1.41421, -2.15118e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74371e-14, 0, 1.21475e-16, 8.31425e-16, 0, 2.13279e-12, 0, 0, 0
0.197776, 0, 3.36163e-12, 0, 1.41421, -3.36163e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72498e-14, 0, 1.94567e-16, 1.34631e-15, 0, 3.33284e-12, 0, 0, 0
0.205662, 0, 5.22311e-12, 0, 1.41421, -5.22311e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23413e-14, 0, 3.10128e-16, 2.16999e-15, 0, 5.17829e-12, 0, 0, 0
0.213549, 0, 8.06909e-12, 0, 1.41421, -8.06909e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54167e-14, 0, 4.92001e-16, 3.48183e-15, 0, 7.9997e-12, 0, 0, 0
0.221435, 0, 1.2395e-11, 0, 1.41421, -1.2395e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00496e-13, 0, 7.76997e-16, 5.56208e-15, 0, 1.22882e-11, 0, 0, 0
0.229321, 0, 1.89324e-11, 0, 1.41421, -1.89324e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53516e-13, 0, 1.22175e-15, 8.84695e-15, 0, 1.87688e-11, 0, 0, 0
0.237207, 0, 2.87549e-11, 0, 1.41421, -2.87549e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33195e-13, 0, 1.91312e-15, 1.4013e-14, 0, 2.85058e-11, 0, 0, 0
0.245093, 0, 4.34283e-11, 0, 1.41421, -4.34283e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52254e-13, 0, 2.98401e-15, 2.21055e-14, 0, 4.30509e-11, 0, 0, 0
0.252979, 0, 6.52228e-11, 0, 1.41421, -6.52228e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29147e-13, 0, 4.63733e-15, 3.47352e-14, 0, 6.46543e-11, 0, 0, 0
0.260866, 0, 9.7409e-11, 0, 1.41421, -9.7409e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90479e-13, 0, 7.18224e-15, 5.43749e-14, 0, 9.6557e-11, 0, 0, 0
0.268752, 0, 1.44671e-10, 5.04467e-44, 1.41421, -1.44671e-10, 0, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 1.17439e-12, 5.04467e-44, 1.10893e-14, 8.48117e-14, 5.04467e-44, 1.43401e-10, 5.04467e-44, 5.04467e-44, 5.04467e-44
0.276638, 0, 2.13676e-10, 8.47786e-43, 1.41421, -2.13676e-10, 0, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 8.47786e-43, 1.73522e-12, 8.47786e-43, 1.70742e-14, 1.3183e-13, 8.47786e-43, 2.11792e-10, 8.47786e-43, 8.47786e-43, 8.47786e-43
0.284524, 0, 3.13856e-10, 1.21479e-41, 1.41421, -3.13856e-10, 0, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 1.21479e-41, 2.54997e-12, 1.21479e-41, 2.62247e-14, 2.04246e-13, 1.21479e-41, 3.11075e-10, 1.21479e-41, 1.21479e-41, 1.21479e-41
0.29241, 0, 4.58474e-10, 1.54092e-40, 1.41421, -4.58474e-10, 0, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 1.54092e-40, 3.72703e-12, 1.54092e-40, 4.01942e-14, 3.15461e-13, 1.54092e-40, 4.54391e-10, 1.54092e-40, 1.54092e-40, 1.54092e-40
0.300296, 0, 6.66069e-10, 1.7525e-39, 1.41421, -6.66069e-10, 0, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 1.7525e-39, 5.41824e-12, 1.7525e-39, 6.14964e-14, 4.85819e-13, 1.7525e-39, 6.60103e-10, 1.7525e-39, 1.7525e-39, 1.7525e-39
0.308183, 0, 9.62394e-10, 1.79845e-38, 1.41421, -9.62394e-10, 0, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 1.79845e-38, 7.83496e-12, 1.79845e-38, 9.39547e-14, 7.46136e-13, 1.79845e-38, 9.53719e-10, 1.79845e-38, 1.79845e-38, 1.79845e-38
0.316069, 0, 1.38301e-09, 1.67438e-37, 1.41421, -1.38301e-09, 0, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.67438e-37, 1.12698e-11, 1.67438e-37, 1.43389e-13, 1.14302e-12, 1.67438e-37, 1.37046e-09, 1.67438e-37, 1.67438e-37, 1.67438e-37
0.323955, 0, 1.97674e-09, 1.42173e-36, 1.41421, -1.97674e-09, 0, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.42173e-36, 1.61257e-11, 1.42173e-36, 2.18662e-13, 1.74686e-12, 1.42173e-36, 1.95865e-09, 1.42173e-36, 1.42173e-36, 1.42173e-36
