   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_396.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.24973, 0, 1.29921e-10, 2.00386e-43, 1.41421, -1.29921e-10, 0, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 2.00386e-43, 1.42116e-12, 2.00386e-43, 2.00386e-43, 1.55178e-12, 2.00386e-43, 2.00386e-43, 1.26948e-10, 2.00386e-43, 2.00386e-43
0.257588, 0, 1.86205e-10, 2.9119e-42, 1.41421, -1.86205e-10, 0, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.9119e-42, 2.03673e-12, 2.9119e-42, 2.9119e-42, 2.33242e-12, 2.9119e-42, 2.9119e-42, 1.81835e-10, 2.9119e-42, 2.9119e-42
0.265446, 0, 2.65595e-10, 3.87683e-41, 1.41421, -2.65595e-10, 0, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 3.87683e-41, 2.90502e-12, 3.87683e-41, 3.87683e-41, 3.50189e-12, 3.87683e-41, 3.87683e-41, 2.59188e-10, 3.87683e-41, 3.87683e-41
0.273303, 0, 3.77032e-10, 4.63447e-40, 1.41421, -3.77032e-10, 0, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.63447e-40, 4.12382e-12, 4.63447e-40, 4.63447e-40, 5.25358e-12, 4.63447e-40, 4.63447e-40, 3.67655e-10, 4.63447e-40, 4.63447e-40
0.281161, 0, 5.32699e-10, 4.99331e-39, 1.41421, -5.32699e-10, 0, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 4.99331e-39, 5.82644e-12, 4.99331e-39, 4.99331e-39, 7.8779e-12, 4.99331e-39, 4.99331e-39, 5.18995e-10, 4.99331e-39, 4.99331e-39
0.289019, 0, 7.49111e-10, 4.86848e-38, 1.41421, -7.49111e-10, 0, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 4.86848e-38, 8.19354e-12, 4.86848e-38, 4.86848e-38, 1.18111e-11, 4.86848e-38, 4.86848e-38, 7.29106e-10, 4.86848e-38, 4.86848e-38
0.296877, 0, 1.04855e-09, 4.31677e-37, 1.41421, -1.04855e-09, 0, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 4.31677e-37, 1.1469e-11, 4.31677e-37, 4.31677e-37, 1.77098e-11, 4.31677e-37, 4.31677e-37, 1.01937e-09, 4.31677e-37, 4.31677e-37
0.304734, 0, 1.46093e-09, 3.49916e-36, 1.41421, -1.46093e-09, 0, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 3.49916e-36, 1.598e-11, 3.49916e-36, 3.49916e-36, 2.65623e-11, 3.49916e-36, 3.49916e-36, 1.41839e-09, 3.49916e-36, 3.49916e-36
0.312592, 0, 2.02624e-09, 2.60611e-35, 1.41421, -2.02624e-09, 0, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.60611e-35, 2.21641e-11, 2.60611e-35, 2.60611e-35, 3.98581e-11, 2.60611e-35, 2.60611e-35, 1.96422e-09, 2.60611e-35, 2.60611e-35
0.32045, 0, 2.79768e-09, 1.7673e-34, 1.41421, -2.79768e-09, 0, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 1.7673e-34, 3.06029e-11, 1.7673e-34, 1.7673e-34, 5.98417e-11, 1.7673e-34, 1.7673e-34, 2.70724e-09, 1.7673e-34, 1.7673e-34
0.328308, 0, 3.84571e-09, 1.18712e-33, 1.41421, -3.84571e-09, 0, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 1.18712e-33, 4.20666e-11, 1.18712e-33, 1.18712e-33, 8.98951e-11, 1.18712e-33, 1.18712e-33, 3.71375e-09, 1.18712e-33, 1.18712e-33
0.336165, 0, 5.26331e-09, 7.67632e-33, 1.41421, -5.26331e-09, 0, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 7.67632e-33, 5.75702e-11, 7.67632e-33, 7.67632e-33, 1.35111e-10, 7.67632e-33, 7.67632e-33, 5.07063e-09, 7.67632e-33, 7.67632e-33
0.344023, 0, 7.17263e-09, 4.65988e-32, 1.41421, -7.17263e-09, 0, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 4.65988e-32, 7.84454e-11, 4.65988e-32, 4.65988e-32, 2.0315e-10, 4.65988e-32, 4.65988e-32, 6.89104e-09, 4.65988e-32, 4.65988e-32
0.351881, 0, 9.73356e-09, 2.6487e-31, 1.41421, -9.73356e-09, 0, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 2.6487e-31, 1.06432e-10, 2.6487e-31, 2.6487e-31, 3.0551e-10, 2.6487e-31, 2.6487e-31, 9.32162e-09, 2.6487e-31, 2.6487e-31
0.359739, 0, 1.31547e-08, 1.40928e-30, 1.41421, -1.31547e-08, 0, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.40928e-30, 1.43793e-10, 1.40928e-30, 1.40928e-30, 4.59426e-10, 1.40928e-30, 1.40928e-30, 1.25515e-08, 1.40928e-30, 1.40928e-30
