   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.289384, 0, 1.5285e-10, 3.74007e-42, 1.41421, -1.5285e-10, 3.74007e-42, 0, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 3.74007e-42, 1.42373e-12, 3.74007e-42, 5.06489e-15, 1.39035e-13, 3.74007e-42, 1.51282e-10, 3.74007e-42, 3.74007e-42, 3.74007e-42
0.297118, 0, 2.25562e-10, 4.63115e-41, 1.41421, -2.25562e-10, 4.63115e-41, 0, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 4.63115e-41, 2.10209e-12, 4.63115e-41, 7.79729e-15, 2.16153e-13, 4.63115e-41, 2.23236e-10, 4.63115e-41, 4.63115e-41, 4.63115e-41
0.304851, 0, 3.31036e-10, 5.15196e-40, 1.41421, -3.31036e-10, 5.15196e-40, 0, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 5.15196e-40, 3.08694e-12, 5.15196e-40, 1.19769e-14, 3.35029e-13, 5.15196e-40, 3.27602e-10, 5.15196e-40, 5.15196e-40, 5.15196e-40
0.312584, 0, 4.83171e-10, 5.18499e-39, 1.41421, -4.83171e-10, 5.18499e-39, 0, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 5.18499e-39, 4.50889e-12, 5.18499e-39, 1.83619e-14, 5.17815e-13, 5.18499e-39, 4.78125e-10, 5.18499e-39, 5.18499e-39, 5.18499e-39
0.320318, 0, 7.01372e-10, 4.74492e-38, 1.41421, -7.01372e-10, 4.74492e-38, 0, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 4.74492e-38, 6.5508e-12, 4.74492e-38, 2.8107e-14, 7.98224e-13, 4.74492e-38, 6.93994e-10, 4.74492e-38, 4.74492e-38, 4.74492e-38
0.328051, 0, 1.01257e-09, 3.96822e-37, 1.41421, -1.01257e-09, 3.96822e-37, 0, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 3.96822e-37, 9.46711e-12, 3.96822e-37, 4.29714e-14, 1.22749e-12, 3.96822e-37, 1.00184e-09, 3.96822e-37, 3.96822e-37, 3.96822e-37
0.335784, 0, 1.45394e-09, 3.04755e-36, 1.41421, -1.45394e-09, 3.04755e-36, 0, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 3.04755e-36, 1.361e-11, 3.04755e-36, 6.56374e-14, 1.88341e-12, 3.04755e-36, 1.43838e-09, 3.04755e-36, 3.04755e-36, 3.04755e-36
0.343518, 0, 2.07644e-09, 2.15933e-35, 1.41421, -2.07644e-09, 2.15933e-35, 0, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 2.15933e-35, 1.94644e-11, 2.15933e-35, 1.00198e-13, 2.88391e-12, 2.15933e-35, 2.05399e-09, 2.15933e-35, 2.15933e-35, 2.15933e-35
0.351251, 0, 2.94951e-09, 1.41746e-34, 1.41421, -2.94951e-09, 1.41746e-34, 0, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 1.41746e-34, 2.76938e-11, 1.41746e-34, 1.529e-13, 4.40766e-12, 1.41746e-34, 2.91726e-09, 1.41746e-34, 1.41746e-34, 1.41746e-34
0.358985, 0, 4.16729e-09, 9.26725e-34, 1.41421, -4.16729e-09, 9.26725e-34, 0, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 9.26725e-34, 3.92023e-11, 9.26725e-34, 2.33287e-13, 6.72498e-12, 9.26725e-34, 4.12113e-09, 9.26725e-34, 9.26725e-34, 9.26725e-34
0.366718, 0, 5.85652e-09, 5.7873e-33, 1.41421, -5.85652e-09, 5.7873e-33, 0, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.7873e-33, 5.52142e-11, 5.7873e-33, 3.55933e-13, 1.02444e-11, 5.7873e-33, 5.79071e-09, 5.7873e-33, 5.7873e-33, 5.7873e-33
0.374451, 0, 8.18698e-09, 3.39241e-32, 1.41421, -8.18698e-09, 3.39241e-32, 0, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 3.39241e-32, 7.73803e-11, 3.39241e-32, 5.43093e-13, 1.55824e-11, 3.39241e-32, 8.09347e-09, 3.39241e-32, 3.39241e-32, 3.39241e-32
