   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.382688, 0, 2.52794e-08, 9.80158e-31, 1.41421, -2.52794e-08, 9.80158e-31, 0, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 9.80158e-31, 1.79336e-10, 9.80158e-31, 2.59506e-12, 9.80158e-31, 3.63343e-09, 9.80158e-31, 2.14641e-08, 9.80158e-31, 9.80158e-31
0.390553, 0, 3.52573e-08, 4.97395e-30, 1.41421, -3.52573e-08, 4.97395e-30, 0, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 4.97395e-30, 2.47503e-10, 4.97395e-30, 3.97817e-12, 4.97395e-30, 5.50181e-09, 4.97395e-30, 2.9504e-08, 4.97395e-30, 4.97395e-30
0.398418, 0, 4.89988e-08, 2.37534e-29, 1.41421, -4.89988e-08, 2.37534e-29, 0, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 2.37534e-29, 3.39928e-10, 2.37534e-29, 6.09608e-12, 2.37534e-29, 8.31489e-09, 2.37534e-29, 4.03379e-08, 2.37534e-29, 2.37534e-29
0.406282, 0, 6.78713e-08, 1.07085e-28, 1.41421, -6.78713e-08, 1.07085e-28, 0, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 1.07085e-28, 4.64651e-10, 1.07085e-28, 9.33497e-12, 1.07085e-28, 1.25406e-08, 1.07085e-28, 5.48567e-08, 1.07085e-28, 1.07085e-28
0.414147, 0, 9.37262e-08, 4.57097e-28, 1.41421, -9.37262e-08, 4.57097e-28, 0, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 4.57097e-28, 6.32178e-10, 4.57097e-28, 1.42794e-11, 4.57097e-28, 1.88719e-08, 4.57097e-28, 7.42078e-08, 4.57097e-28, 4.57097e-28
0.422012, 0, 1.29069e-07, 1.8527e-27, 1.41421, -1.29069e-07, 1.8527e-27, 0, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 1.8527e-27, 8.5618e-10, 1.8527e-27, 2.18107e-11, 1.8527e-27, 2.83308e-08, 1.8527e-27, 9.98604e-08, 1.8527e-27, 1.8527e-27
0.429877, 0, 1.7729e-07, 7.14974e-27, 1.41421, -1.7729e-07, 7.14974e-27, 0, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 7.14974e-27, 1.15437e-09, 7.14974e-27, 3.32512e-11, 7.14974e-27, 4.24172e-08, 7.14974e-27, 1.33685e-07, 7.14974e-27, 7.14974e-27
0.437741, 0, 2.42968e-07, 2.63375e-26, 1.41421, -2.42968e-07, 2.63375e-26, 0, 2.63375e-26, 2.63375e-26, 2.63375e-26, 2.63375e-26, 2.63375e-26, 1.07235e-13, 2.63375e-26, 2.63375e-26, 2.63375e-26, 1.54957e-09, 2.63375e-26, 5.05752e-11, 2.63375e-26, 6.33206e-08, 2.63375e-26, 1.78048e-07, 2.63375e-26, 2.63375e-26
0.445606, 0, 3.32293e-07, 9.28278e-26, 1.41421, -3.32293e-07, 9.28278e-26, 0, 9.28278e-26, 9.28278e-26, 9.28278e-26, 9.28278e-26, 9.28278e-26, 3.39463e-13, 9.28278e-26, 9.28278e-26, 9.28278e-26, 2.07113e-09, 9.28278e-26, 7.67139e-11, 9.28278e-26, 9.42184e-08, 9.28278e-26, 2.35927e-07, 9.28278e-26, 9.28278e-26
0.453471, 0, 4.54616e-07, 3.17464e-25, 1.41421, -4.54616e-07, 6.75312e-12, 0, 1.51725e-14, 5.00751e-14, 7.44173e-12, 1.62e-12, 2.92144e-14, 5.67545e-12, 4.40553e-12, 2.23036e-12, 9.27218e-10, 2.75662e-09, 4.20736e-15, 1.15995e-10, 7.45355e-15, 1.39694e-07, 1.98762e-15, 3.11082e-07, 3.17464e-25, 1.07405e-11
